i	j	c0	c1	c2
0	1	-1	0	1
0	2	2.2464067506010448	1	-2.0782802809150263
0	3	0.031659276499022088	-0.068026373408557245	-0.0035120982661035363
0	4	0.14398246411654353	-0.23538370080597984	-0.17869037998322226
0	5	0.15837147715210587	-0.25682356234299669	-0.20113190970530737
0	6	0.1670940564397905	-0.2698203513788015	-0.21473590567209183
0	7	-0.075038661677371998	0.090949588984254565	0.16289312464946684
0	8	0.16058435346589103	-0.26012074756976655	-0.20458315130717486
1	2	0.69982526692535119	0.066994877446840254	-0.68856172459128984
1	3	0.031659276499022171	-0.068026373408556579	-0.0035120982661032475
1	4	0.14398246411654386	-0.23538370080597906	-0.17869037998322193
1	5	0.15837147715210592	-0.25682356234299958	-0.20113190970530648
1	6	0.16709405643979056	-0.26982035137879989	-0.21473590567209228
1	7	-0.075038661677371721	0.090949588984255855	0.16289312464946745
1	8	0.16058435346589017	-0.26012074756976089	-0.20458315130717727
2	3	0.031659276499022088	-0.068026373408557148	-0.0035120982661037271
2	4	0.14398246411654292	-0.23538370080597976	-0.17869037998322268
2	5	0.158371477152106	-0.25682356234299519	-0.20113190970530806
2	6	0.16709405643979056	-0.26982035137880162	-0.21473590567209228
2	7	-0.075038661677371929	0.090949588984254245	0.16289312464946651
2	8	0.16058435346589173	-0.26012074756976872	-0.20458315130717394
3	4	-0.074213003068436742	0.13727460595363855	0.057031553399016631
3	5	-0.035046443709754585	0.073515735542965657	0.0078216509332147237
3	6	-0.013866922776961509	0.039243120429807161	-0.01924012439611263
3	7	0.15466034485295896	-0.30135563487734152	-0.085256317594233896
3	8	-0.029513732761738323	0.064548488448779959	0.00078387009343387911
4	5	-0.17381045927629921	0.28372257688556185	0.21664024329524506
4	6	-0.039718617755650838	0.066717445825710611	0.045364231845910194
4	7	-0.053215332096843516	0.055436205508533294	0.13544611370933632
4	8	-0.12732084292119542	0.20837628282248952	0.15750424641899083
5	6	0.11788895357130497	-0.190079206044174	-0.15213275674891633
5	7	-0.073199858044440125	0.08796955446875071	0.16055357954930236
5	8	-0.033369284411466471	0.05420126412466466	0.042183978816992311
6	7	-0.084990656308992607	0.10704928376668393	0.17561940020504255
6	8	-0.20958668513892026	0.33869781111466907	0.26876732334421582
7	8	0.076212631848696644	-0.092852575261508252	-0.16438592227343871
