trial	slot	shallow_rank	orthogonal_height	orthogonal_ratio	nearest_L_d2	nearest_halfL_d2	nearest_thirdL_d2	nearest_quarterL_d2	nearest_half_advantage	nearest_third_advantage	nearest_quarter_advantage	short_corr_max	short_corr_mean_top10	short_corr_mean_top50	short_corr_gt_050	short_corr_gt_070	short_corr_gt_090	short_effective_count	short_entropy_norm	nearest_short_index	nearest_short_corr	nearest_short_norm
0	1	1	0.25138330844401935	0.004184553153000822	38.52652265409539	8.015195984807866	5.3270758570014465	2.8454744416939457	-30.51132666928752	-33.19944679709394	-5.16972154311392	0.587629916679972	0.5707736102800784	0.46704928732638706	16	0	0	215.20550057846822	0.8874786829289294	524	0.587629916679972	135.33342573694904
0	1	2	0.2513833084442112	0.004064342226366727	38.52652265409514	8.015195984807987	5.3270758570014065	2.8454744416940425	-30.51132666928715	-33.199446797093735	-5.169721543113944	0.5939215554990973	0.5833978381773604	0.505077821957972	22	0	0	229.13335085028652	0.9011009335562141	294	0.5939215554990973	102.61336089429965
0	1	3	0.25138330844428225	0.004016581082552808	38.526522654094805	8.015195984807836	5.327075857001414	2.8454744416940576	-30.51132666928697	-33.199446797093394	-5.169721543113778	0.6307514720865524	0.5494748030088442	0.4467856131057291	12	0	0	189.04311103805762	0.8790275540027175	70	0.6307514720865524	69.63562633623334
0	1	4	0.25138330844428936	0.0037574263511854656	38.5265226540951	8.01519598480792	5.3270758570013745	2.8454744416940323	-30.511326669287183	-33.19944679709373	-5.169721543113889	0.6015067522900266	0.5499409447198801	0.44879167886229354	8	0	0	231.6837248634258	0.9022978406701978	170	0.6015067522900266	86.06021110292386
0	1	5	0.25138330844428936	0.0037765594084929366	38.52652265409528	8.015195984807889	5.3270758570014785	2.8454744416940554	-30.511326669287392	-33.1994467970938	-5.169721543113834	0.4769734367845403	0.4550001333717927	0.3875169411898897	0	0	0	230.57093570003204	0.901273249573495	350	0.4769734367845403	109.25730736147636
0	1	6	0.25138330844431067	0.004141740202106946	38.52652265409522	8.015195984807944	5.327075857001436	2.8454744416940323	-30.51132666928727	-33.199446797093785	-5.169721543113912	0.740118847757627	0.6761986061938652	0.5707224684218782	46	2	0	221.28907646794153	0.8968941598864326	356	0.740118847757627	110.30042936112628
0	1	7	0.2513833084443249	0.004490657926542273	38.5265226540953	8.015195984807939	5.327075857001433	2.8454744416940083	-30.511326669287364	-33.19944679709387	-5.16972154311393	0.6529822689918118	0.5800802569068537	0.4922135094565526	14	0	0	234.46957829873247	0.9031883411388676	186	0.6529822689918118	88.33366058777926
0	1	8	0.251383308444332	0.003916124183623129	38.52652265409529	8.01519598480797	5.327075857001425	2.8454744416940168	-30.511326669287318	-33.19944679709386	-5.169721543113954	0.8001368661692555	0.7260200744402858	0.5639006855492754	36	6	0	190.06381080546691	0.8761553097456144	358	0.8001368661692555	111.1445407756494
0	1	9	0.251383308444332	0.00511890411296197	38.52652265409477	8.015195984807864	5.327075857001445	2.8454744416941016	-30.511326669286905	-33.19944679709332	-5.169721543113763	0.6545715974781766	0.5897382068095766	0.5030842844901244	20	0	0	269.0765481447955	0.915336055029008	66	0.6545715974781766	68.48493870806848
0	1	10	0.251383308444332	0.0039050451206364715	38.52652265409497	8.015195984807786	5.327075857001444	2.8454744416940123	-30.511326669287183	-33.19944679709352	-5.1697215431137735	0.5221653222634128	0.45377318438352454	0.3592141942059898	2	0	0	208.10108336356353	0.8929711334616957	98	0.5221653222634128	75.12312232632877
0	1	11	0.251383308444332	0.004181129472802008	38.52652265409496	8.015195984807752	5.327075857001543	2.8454744416940416	-30.511326669287207	-33.199446797093415	-5.1697215431137105	0.5770362876056083	0.5555502621609675	0.4882603849351482	18	0	0	237.37762635086685	0.9019229142343412	440	0.5770362876056083	121.90798490185765
0	1	12	0.2513833084443604	0.003865251006507872	38.52652265409542	8.015195984807791	5.327075857001458	2.8454744416939866	-30.511326669287634	-33.19944679709396	-5.169721543113805	0.567197556935621	0.4985373759210491	0.4402534254976949	2	0	0	264.1363144225424	0.9129183499068273	148	0.567197556935621	83.80836329490988
0	1	13	0.2513833084443675	0.00393347071118573	38.526522654095196	8.015195984807955	5.327075857001354	2.8454744416939985	-30.511326669287243	-33.19944679709384	-5.1697215431139565	0.5914269706297308	0.5439938472507316	0.44901156383594854	10	0	0	233.77093977127316	0.9042013201581621	80	0.5914269706297308	72.33737059904338
0	1	14	0.2513833084443675	0.003971509411264834	38.526522654095395	8.0151959848078	5.3270758570014385	2.845474441693966	-30.511326669287595	-33.199446797093955	-5.169721543113834	0.6381764220972383	0.5350756003826032	0.43283272601882194	6	0	0	218.37747243969915	0.8954807599106847	258	0.6381764220972383	98.51533516950167
0	1	15	0.2513833084443746	0.004352605860254102	38.526522654094954	8.01519598480771	5.327075857001374	2.8454744416939866	-30.511326669287243	-33.19944679709358	-5.169721543113723	0.5343012257865624	0.4495717519155013	0.3877338463499015	2	0	0	239.4302936069307	0.9051603870487099	192	0.5343012257865624	89.57816416575423
0	1	16	0.2513833084443817	0.005427437018068487	38.52652265409516	8.015195984807862	5.327075857001439	2.8454744416940123	-30.5113266692873	-33.19944679709372	-5.16972154311385	0.6093410935787082	0.587253489714455	0.5440684158367967	46	0	0	267.3658871051009	0.9137737235962989	418	0.6093410935787082	118.85868037996288
0	1	17	0.2513833084443817	0.003943293321060606	38.52652265409497	8.01519598480787	5.327075857001377	2.845474441693999	-30.5113266692871	-33.19944679709359	-5.16972154311387	0.6846669429793224	0.6045297318426094	0.5079337709791819	24	0	0	234.28166533297411	0.9036167477822048	64	0.6846669429793224	68.28605636147424
0	1	18	0.25138330844438883	0.004098741439081124	38.52652265409502	8.015195984807843	5.327075857001485	2.8454744416940723	-30.511326669287175	-33.199446797093536	-5.16972154311377	0.6030976605128268	0.5904146277498145	0.49076280281760143	20	0	0	221.0248728818711	0.898511768398769	178	0.6030976605128268	87.70747719612314
