0	2891195474228537189458255536634	-1159930748096127597655310139264508137848961917
1	3402542165322127811451484642234	-1661508223164694458404822945858277012239933117
2	4298760026558467240422107564794	-4313142249890240503551013345852148145035039357
3	3728756667770947009884455714554	-2530180219584737819873196464478670430116111997
4	5991744132052078230511185130234	-10418901628842040354045405107806531180403989117
5	3236493534632768520540227223034	-1324626796262170480152221831184722365600968317
6	78226686134991174232380689386234	-690394210062759974730115789116691012380201941117
7	11492605643548859374635605140234	-35536316911450963648067267787167830665224081117
8	-5143303362384229804906088118566	-7622356511107981720816989971444500774134249917
9	443985655575065435281568435002	-6584468124388859067200459514708992647204055357
10	-979565018904269680752629749766	-8987348422104536705401687534444357881202421117
11	5184894285212178249566461261834	-7390536788003155386167489676874109441966742317
12	-4469171023687146502067179612166	-9310658892841454464962197450245579336234843517
13	3606405835110925482450522970234	-2183644666981707238888497304315962490650869117
14	16151744576785317732688993162234	-61908882092472355098264486061773564152740373117
15	3573684355943766387962362869754	-2094467155115752998537403227425465767923128957
16	-759376049938858166436491644166	-8679171135458196436537974222941895374460475517
17	-5328058719935886182106003119366	-6920588147379492305144215621481317570221230717
18	5380268474895377355583039694554	-8105660240030030472718593192680779978895731997
19	17069233487425098088940203248484	-67583677272795316283100930930509982465989759117
20	5215432542403430758248050783794	-7501515746204722071354253361794836542294598437
21	2838942178046024039763692432122	-1212346280964593147886353846568545463800640125
22	243146882395382015946366404808154/81	-811625272160728520521229694625571022664225381493/729
23	2558229016839511149831260080762	-1706598395830082552616522083644532540909717885
24	2361253942905600810977556672634	-2157503396243554810052793994911519740855438717
25	2678312077644931683114439906234	-1462722361020799115053605078405069229487525117
26	3379397084927230910084852603902	-1608494167359579374882740115580118535218457657
27	3632407730870998917912491355514	-2255654937037704434385889252184536965888068477
28	2428778263277521959543043930234	-1998325023610606034940000583008827346378341117
