core_id	slot	pool_index	norm	projection_norm	orthogonal_height	orthogonal_ratio	orthogonal_percentile	grid1_score	grid2_score	grid3_score	grid4_score	half_advantage	third_advantage	quarter_advantage	coeff_l2	frac_l2	frac_max	integer_grid_euclid	integer_grid_metric	half_grid_euclid	half_grid_metric	third_grid_euclid	third_grid_metric	quarter_grid_euclid	quarter_grid_metric	pair_abs_mean	pair_abs_max	pair_corr_mean	pair_corr_max	support	max_coeff	vector	projection_coeffs
0	1	47004	62.30893690317552	62.257022482272625	0.05191442090289655	0.0008331777668357359	0.00012023807138133504	0.2772266083128435	0.2749646044906104	0.3152099325133194	0.25971794563626005	-0.0022620038222331273	0.0379833242004759	-0.015246658854350337	2.6139055790228807	1.143034588305589	0.4922875576344439	1.143034588305589	8.81845194651705	0.5668540538104854	3.85804855107404	0.4332146153320768	3.136668649092379	0.26771113068168145	2.379112589958834	8.322202625522692	25.615566166049234	0.16087487693229083	0.5714744170447038	12	2	0 2 0 -1 -1 0 -2 -1 1 1 0 -1 0 -1 0 -1 1 1 0 0 0	0.362903819129 -0.161230091269 0.578569686043 0.0134883479851 -0.0563517220313 1.28244284434 -0.769357710031 0.0645274269739 -0.163738085768 -0.204297123511 -0.492287557634 0.409576583645 -1.52349140848 -0.0548664918969 -1.08563409561 0.290054841523 0.174802452133
0	2	34228	60.459178083237866	59.96451022205568	0.49466786118218664	0.008181848924594162	0.008617061782329011	0.26546339929148954	0.29303864306087407	0.24169284043775174	0.3057141419128145	0.027575243769384528	-0.0237705588537378	0.04025074262132494	1.56788175894346	1.094533635014328	0.4431482955206185	1.094533635014328	7.785068891061503	0.6041146388638278	4.70803764789268	0.3321750366934686	1.9878498342249609	0.31512292458790037	1.4274606069151945	11.949070470500715	30.318016448299552	0.22737413680811	0.5200981599736737	17	2	1 2 -1 -1 -1 -1 -1 -1 1 1 -1 -1 0 0 1 -1 1 1 -1 0 0	0.0899452009448 -0.0640441276607 0.0138260034268 -0.130410888299 -0.309375591057 0.28753845193 0.0327862827086 0.326319526277 0.346792182429 0.212351689227 -0.600656608939 0.732017031832 -0.682122523331 0.109135045602 -0.443148295521 -0.615328501824 -0.169427697581
0	3	42318	61.67761479732093	60.21224074132836	1.4653740559925694	0.023758604492212308	0.0380753892707561	0.28897222355815017	0.2862469427744792	0.29719577144377285	0.2486987476619153	-0.002725280783670958	0.008223547885622684	-0.03754819511256391	2.4738908698008073	1.1914630005998534	0.49816510574276	1.1914630005998534	9.431745039699413	0.5901131900346559	3.1852595230716214	0.40845651904986674	2.6396155121270457	0.2563528013922275	1.7797166641966433	9.08021025476269	28.239613482248227	0.16720526002569838	0.5062676918098261	13	2	0 -1 0 1 2 1 0 1 0 -2 0 1 1 0 -1 1 -2 0 0 -1 1	0.538572925509 1.0970456305 -0.992005271192 -0.498165105743 0.142756825301 0.274945564996 0.714608270457 0.0153209023745 -0.325336430882 0.830645439448 0.221749298802 -0.977487871714 0.699910568121 0.139603308726 0.479650524469 -0.297667199539 -0.398677443204
0	4	9267	53.31030587771518	42.09749574663631	11.212810131078868	0.21033100347987416	0.5992665477645739	0.3019318341135368	0.24500987939268196	0.2955125679384743	0.26255406629890077	-0.056921954720854845	-0.006419266175062499	0.01754418690621881	1.7537062068899052	1.2448968437865817	0.49984727467966816	1.2448968437865817	8.38471436739026	0.5051008060279357	3.0886254698839575	0.4061431771026149	2.7527304842402027	0.27063453694644746	1.8902230232515713	10.451261504776667	19.8804768867608	0.20995756975320895	0.3714399102356515	10	1	0 -1 0 1 1 0 1 1 -1 0 0 1 1 0 0 0 -1 0 -1 0 0	-0.307805226703 0.759694609294 -0.0682932981205 0.202209835972 -0.17340058628 -0.383855211564 0.457579249995 -0.0287525577869 0.50015272532 0.450983280393 -0.0586592228104 -0.0495373044073 0.477252962151 0.38808972645 1.00301131959 -0.329228395485 0.134885352553
1	1	26118	58.933224018534176	58.515615234778615	0.4176087837555613	0.007086135040299605	0.0009819048954972647	0.26964774136647873	0.2810318711769783	0.27465388561772996	0.32014229921750187	0.011384129810499577	0.005006144251251232	0.050494557851023136	2.109094647225152	1.1117861193632244	0.46356443511950896	1.1117861193632244	6.6088646257515835	0.5793620445138284	3.379985030001119	0.37747566029607055	2.7418063703031637	0.32999512872546355	1.9191747698696275	10.839434167103951	22.312579975755973	0.2023712886455327	0.4112942409696111	16	3	-1 -1 1 2 3 1 2 2 -2 -1 -1 0 1 0 -2 0 -2 -1 -1 0 0	0.767386693628 -0.825983884652 -0.0732313998409 -0.53643556488 -0.0526133919056 -0.0720171180851 0.43280993582 0.0624395974455 0.622406639711 0.864853178906 0.251078327515 -0.590592762352 0.345789668446 0.278633484868 0.898447203743 0.34153154688 -0.128783972176
1	2	43364	61.83096350500044	61.3826270076446	0.44833649735583947	0.007251002927029938	0.0016031100334649218	0.2676149888231905	0.3070351143886315	0.27477359927273126	0.26478604631240654	0.039420125565441	0.007158610449540748	-0.0028289425107839716	2.764445700994712	1.103404865916504	0.47186492620338494	1.103404865916504	5.9040693413078875	0.6329691036989642	5.2208943345520815	0.377640190977537	2.4915514569437756	0.27293520928393544	2.2462224893251848	8.42098803251032	27.171056316502398	0.1518029141270074	0.4873165089938806	12	2	-1 0 1 1 0 0 1 -1 -1 0 -1 0 -1 -1 0 -1 1 0 0 2 0	-0.998916238815 0.129194760757 -0.310453384464 0.186511363703 -0.937949933502 -0.063092200069 -0.161803971816 1.03858723191 -0.665947039179 0.658011192221 -0.724613725434 0.800778312912 0.528135073797 -0.603769132768 -0.431254203551 1.25562098728 -0.243083147081
1	3	1759	45.577855407929974	44.84938031767339	0.7284750902565804	0.015983092748366456	0.015069234314570266	0.3099285740483067	0.2955610368086173	0.2858530350410966	0.3183823387886867	-0.01436753723968942	-0.0240755390072101	0.02282130198006943	1.6563340203841592	1.2778682471982332	0.4799826822371128	1.2778682471982332	9.323451830605906	0.6093146867894992	4.134851401574272	0.39286741895927585	2.696846258872497	0.32818100303923553	2.294279510763145	7.855358433588952	22.7602162191638	0.172816262257747	0.5666650454464068	15	2	1 2 -1 -1 -1 -1 -1 -2 1 2 0 -1 0 0 0 -1 1 1 0 -1 0	0.35039324629 0.276595812132 0.819069078941 0.322645054128 0.0833807545749 -0.360504018947 0.213135819561 -0.520017317763 0.529376257106 -0.12961278351 0.147976200934 -0.228820728864 0.381975425938 0.405152978068 0.400594820158 -0.686784911132 -0.0541191321181
1	4	28864	59.4816083592768	55.63641029780142	3.8451980614753793	0.06464515952981421	0.10939222090856261	0.24814301698260033	0.2764605504086306	0.25350961808089073	0.31005526252577237	0.028317533426030272	0.005366601098290402	0.06191224554317204	2.0907313756581676	1.023119869278698	0.44976946298769904	1.023119869278698	7.941670320444489	0.5699380253255898	3.992534085391392	0.3484156441525017	2.6231613941804097	0.3195976492930932	2.0638637461958385	11.263237619895412	29.276368408747217	0.20948868747425187	0.5045937675531849	15	2	-1 -2 1 2 2 1 1 1 -1 -2 -1 0 1 0 -2 0 -1 0 0 0 1	0.630892990288 -0.693523086264 -0.0241633752665 -0.286022008678 -0.0519835664514 -0.405651722565 0.550230537012 0.393129713705 0.261788082816 0.147053572841 0.0993955670556 0.136309048186 -0.0319580987165 -0.135945156606 1.03808546769 0.091182066398 -1.24945962787
2	1	43343	61.82833552569288	59.88204711371021	1.946288411982671	0.03147890680598845	0.002001819836214741	0.24993185171266744	0.2988817730824583	0.35213879983786667	0.2673981915009615	0.048949921369790844	0.10220694812519923	0.017466339788294066	6.342070135674883	1.030495423817538	0.489684388989053	1.030495423817538	8.689329868127572	0.6161605599954324	4.621470145800345	0.4839684888699199	3.65636388254127	0.27562774691440073	1.7881806749738807	6.483912385495104	26.509561116341562	0.11613803298363652	0.46039427825699736	16	2	-1 2 -1 -1 -1 0 -2 -2 1 1 0 -1 0 -1 0 -1 2 1 1 0 1	-1.23290083668 -1.1405226912 -0.510315611011 -1.98358793134 2.20089576914 -0.521668330002 0.794871568444 -3.12091493483 1.42093164985 0.842343329515 1.29331927398 2.15881580097 0.0326359354151 1.76686546261 -2.18721642286 -0.865585524647 0.0134555583712
2	2	32862	60.20604208678264	58.05855632164279	2.147485765139848	0.03566894103492808	0.01694469719947427	0.2676255074126437	0.30998744705034026	0.3029588387551631	0.3311729780815716	0.04236193963769658	0.035333331342519425	0.06354747066892791	5.227467262815935	1.103448235171852	0.488752321462832	1.103448235171852	6.148773404453467	0.6390554934020573	3.844720753357678	0.41637709746733553	3.2739098318826025	0.34136529224517054	2.2629267434828546	9.659353059776388	22.372198483659023	0.17894252890061305	0.39641451658195415	11	1	-1 0 0 1 1 1 0 0 -1 -1 -1 0 0 0 -1 -1 0 0 1 0 1	-1.11389219662 -0.409154808747 -0.375953528669 -1.29575805077 1.90156757948 -1.51124767854 -0.021357672298 -2.81400822695 1.2740018981 0.836822948055 0.762189009827 0.119412091957 0.62389585508 1.66561799671 -1.9020280837 0.155984786885 0.744900671905
