core_id	saturation_index	logdet	eig_min	eig_max	condition	core_norm_min	core_norm_mean	core_norm_max	hidden_orthogonal_sum	hidden_orthogonal_max	hidden_half_metric_min	hidden_half_metric_mean	hidden_integer_metric_mean	core_vectors
0	1	56.27163533427671	1.8078898071194072	123.2981355418039	68.20002804167606	25.480712631162213	46.97129147552154	56.384935178972455	13.22476646915652	11.212810131078868	3.0886254698839575	3.7099927979805747	8.604995061167056	1 0 -1 1 -1 0 0 -1 1 0 -1 0 -1 0 0 0 1 1 0 0 0 | 0 0 0 0 0 0 -1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 | 1 0 0 0 -1 -1 0 -1 0 1 -1 0 0 0 0 0 1 1 0 0 0 | -1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 | -1 0 0 0 1 0 1 0 -1 0 0 0 0 0 0 0 0 0 -1 0 0 | -1 0 0 0 2 0 0 1 -1 0 0 0 1 0 -1 0 -1 0 0 -1 1 | 0 2 0 0 -1 -1 1 -1 0 1 -1 -1 0 -1 1 -1 1 0 -1 1 -1 | 0 0 0 0 0 0 1 0 -1 1 -1 -1 -1 1 0 -1 0 0 0 0 -1 | 0 -1 1 1 0 0 2 1 -1 0 -1 0 0 1 0 0 -1 0 -1 0 -1 | 0 -1 0 1 2 0 1 1 0 -2 -1 1 1 0 -1 1 -1 0 -1 0 1 | -1 0 0 0 1 0 0 1 -1 -1 0 0 1 0 -1 0 0 0 1 -1 1 | 0 1 -2 0 1 -1 0 0 0 0 -1 0 0 0 0 0 1 1 -1 0 1 | 0 -2 0 1 2 0 1 1 -1 -1 -1 1 0 1 -1 1 -1 0 0 0 1 | 0 1 -1 -1 0 0 -1 -1 1 0 1 0 1 -1 0 0 0 0 0 0 1 | 0 0 -1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 -1 0 | 0 0 0 1 0 0 2 0 0 0 -1 0 -1 0 0 0 0 0 -1 1 -1 | -1 -1 1 1 1 1 0 1 -1 -1 1 0 1 -1 -1 0 -1 -1 0 1 0
1	1	56.320678599647714	1.4452308823809654	133.3735603480606	92.2852964007609	33.63929674455574	48.04353923680502	56.59368066529198	5.4396184328433606	3.8451980614753793	3.379985030001119	4.182066212879716	7.4445140295274665	-1 0 1 0 1 0 0 1 -1 -1 0 0 0 0 0 0 0 0 0 0 0 | -1 -1 1 0 1 0 1 1 -1 0 0 0 0 1 -1 0 -1 0 0 0 0 | 1 1 -2 -1 0 -1 -1 -1 1 1 0 0 0 0 0 0 1 1 0 -1 1 | 1 2 -1 -1 -1 -1 -2 -2 2 1 0 0 0 -1 1 0 1 1 0 0 0 | 1 0 -1 0 1 0 0 0 1 0 0 0 1 0 -1 1 -1 0 -1 0 0 | 0 -1 -1 0 1 0 1 1 0 0 0 1 0 1 0 1 -1 0 0 -1 0 | 1 0 -1 0 1 1 -1 0 1 -1 0 1 1 0 -1 1 -1 0 0 -1 1 | -1 1 0 0 1 0 0 0 0 -1 0 -1 1 -1 -1 -1 0 0 0 0 1 | 0 0 0 1 0 0 0 -1 0 0 0 -1 0 0 -1 0 0 0 0 0 0 | 0 0 0 0 0 0 0 0 0 1 0 1 0 -1 0 0 0 0 0 1 0 | 0 0 -1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 -1 0 0 | 0 0 0 1 -1 0 0 -1 0 0 -1 0 -1 0 0 0 1 1 0 1 0 | 0 1 0 0 0 0 1 -1 0 1 0 -1 0 0 0 -1 0 0 -1 0 -1 | 0 1 0 0 0 0 1 0 -1 0 -1 -1 0 0 0 -1 0 0 0 0 0 | -1 -1 1 1 1 0 1 1 -1 0 -1 0 0 1 -1 0 -1 0 0 0 0 | 0 -1 0 1 2 0 1 1 -1 -1 -1 0 0 1 -1 1 -1 0 -1 0 0 | 0 1 0 0 0 0 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2	2	53.795044362164504	0.709021933602469	146.11096112818473	206.07396499824716	27.717470124314094	48.2871216018892	56.79853186431204	8.926128764497648	2.503005404937035	3.844720753357678	4.427720144994952	8.140868850001969	0 2 0 -1 -1 -1 -1 -2 0 1 -1 -2 -1 0 1 -2 2 1 0 0 0 | 0 1 -1 -1 1 -1 -1 -1 0 0 0 0 0 0 0 0 1 1 0 0 1 | 0 -2 1 2 1 1 2 2 -2 -1 -1 1 0 0 0 1 -1 -1 -1 1 -1 | -1 -2 1 2 2 1 2 2 -2 -2 -1 1 0 0 -1 1 -1 -1 0 0 0 | 0 -1 1 1 1 1 1 0 -1 -1 -1 0 0 1 -1 0 -1 0 0 0 0 | 0 0 0 0 1 0 1 0 0 0 -1 0 0 0 0 0 0 0 -1 0 0 | 1 1 -1 -1 -2 0 -2 -2 2 2 1 0 0 -1 0 0 1 1 1 0 0 | 0 -1 0 0 1 0 0 1 0 0 1 0 1 1 -1 1 -2 0 0 -1 0 | -1 0 1 1 1 0 1 0 -2 0 -1 -1 0 0 -1 -1 0 0 0 0 0 | 1 0 -1 1 0 0 1 1 0 0 0 0 0 1 0 0 -1 0 -1 -1 -1 | -1 0 0 0 1 -1 0 0 0 0 0 -1 0 0 0 0 0 0 0 0 0 | -1 0 0 0 1 0 0 1 -1 -1 0 0 0 0 0 0 0 0 0 0 0 | 0 0 0 0 1 -1 0 0 -1 0 -1 1 0 0 0 0 1 1 0 0 1 | 1 -1 -1 0 0 0 -1 1 1 0 1 1 1 0 0 2 -1 0 0 -1 0 | 1 0 0 1 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 | -1 -1 0 0 1 1 0 1 0 -1 0 0 0 0 0 0 -1 0 0 0 0 | -1 0 1 1 1 1 1 1 -1 -1 0 -1 0 0 -1 -1 -1 -1 0 0 -1
3	1	55.16594759392929	0.9305348536494533	152.7881712804628	164.19392640828522	25.480712631162213	48.27978126761942	56.19806282830325	8.759214331018292	6.909844332598922	3.457164010293159	4.159808209545674	8.835948396419038	0 -1 0 0 1 0 0 1 0 -1 1 1 2 0 -1 1 -1 0 0 -1 1 | -1 -1 0 0 0 1 -1 0 0 -1 1 1 0 -1 0 1 0 0 1 1 1 | 0 0 1 0 0 0 0 -1 0 0 0 -1 0 0 0 0 0 0 0 0 -1 | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 -1 | -1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 | 1 -1 0 1 0 0 1 1 -1 0 -1 1 0 1 0 0 0 0 0 0 -1 | 0 1 -1 -1 -1 -1 -1 -1 1 2 0 0 -1 0 1 0 1 1 0 0 0 | -1 -1 1 2 1 1 1 1 -1 -1 -1 0 0 0 -1 0 -1 0 0 0 0 | -1 0 2 1 0 1 1 1 -2 0 0 0 0 -1 0 -1 0 -1 0 1 -1 | 0 -2 0 1 1 1 0 1 0 -2 0 1 1 0 -1 1 -1 0 0 0 1 | 0 1 0 0 0 1 -1 -1 1 0 0 -1 0 0 0 -1 0 0 0 -1 0 | 1 2 0 0 -2 -1 0 -2 0 2 -1 -1 -1 0 1 -2 2 1 0 0 -1 | 1 0 -1 0 0 0 0 0 0 1 0 0 0 1 0 -1 0 0 0 -1 0 | 0 -1 0 1 2 0 1 2 -1 -1 0 1 1 1 -1 1 -2 0 -1 -1 0 | -1 0 0 0 0 1 -1 0 0 -1 1 0 0 0 0 0 0 0 1 -1 0 | -1 -1 0 0 2 0 0 1 -1 -1 0 0 1 0 -1 0 -1 0 0 0 1 | 1 -1 -1 1 1 0 1 1 0 -1 -1 1 0 1 0 1 -1 0 -1 0 0
4	1	55.994221401227044	0.6783599471856597	146.99854984854568	216.69697696393294	27.873931871699302	48.874988649762486	56.99886333470989	3.8297266288498335	1.123403045808331	3.6831037220290845	4.07552468642898	8.860014188202516	-1 1 0 0 1 -1 1 0 -1 0 -1 0 0 0 0 0 1 0 -1 1 0 | -1 -1 1 1 1 1 1 1 -1 -1 0 0 1 0 -1 0 -1 -1 0 0 0 | 0 0 0 1 0 0 2 1 -1 0 -1 0 -1 0 0 0 0 0 -1 1 -1 | -1 -2 1 1 1 2 1 2 -1 -2 0 1 0 0 0 0 -1 -1 0 0 0 | 0 1 -1 -1 0 -1 0 -1 1 1 0 0 0 0 1 0 1 1 -1 0 0 | 1 -1 -1 0 1 0 0 1 0 0 0 1 1 0 -1 1 -1 0 0 -1 1 | 0 0 0 0 0 0 -1 -1 0 0 0 0 0 -1 -1 0 1 1 1 0 1 | -1 0 0 0 1 0 -1 0 -1 -1 0 0 0 0 -1 0 1 0 1 0 1 | 0 -1 0 1 1 0 1 0 -1 0 -1 0 0 0 0 0 0 0 0 0 0 | 1 0 0 1 0 0 1 1 -1 0 -1 1 0 0 1 0 0 0 -1 0 -1 | 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 | -1 -1 1 1 1 0 0 1 -1 0 0 0 0 0 -1 0 0 0 0 0 0 | 0 0 0 0 -1 0 -1 0 0 0 0 0 -1 0 1 0 1 0 1 0 -1 | -1 -1 1 0 0 1 0 0 -1 0 0 0 -1 0 0 0 0 0 1 0 0 | 1 0 -1 0 -1 0 -1 -1 1 1 0 0 0 0 0 0 1 1 0 0 0 | -1 0 0 0 1 0 0 1 -1 0 0 0 0 0 0 0 0 0 0 -1 0 | 0 1 -1 -1 0 0 -1 -1 1 0 1 0 1 -1 0 0 0 0 0 0 1
5	1	56.10731269103107	1.7847544286276407	119.61021235694896	67.01774229461999	34.462588280284365	48.58534223280891	56.964636016453	13.522066731283111	11.335671308637117	3.1131011534208195	3.467093760659071	8.462009114204935	0 -1 1 1 0 0 1 0 -1 -1 -1 0 0 0 0 0 0 0 0 0 0 | -1 0 0 0 0 0 0 0 0 0 1 0 0 -1 0 0 0 0 0 1 0 | 0 1 0 0 -1 0 0 -1 0 1 -1 -1 0 -1 0 -1 1 0 0 1 0 | 0 2 0 0 1 -1 1 0 -1 0 -2 -1 0 0 0 -1 1 0 -1 0 0 | 0 0 0 0 0 1 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 | -1 0 0 0 2 0 0 1 -1 -1 0 0 1 0 -1 0 0 0 0 -1 1 | 1 0 0 1 1 0 1 0 -1 0 -1 0 0 0 0 0 0 0 -1 0 -1 | 0 0 -1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 | 0 1 -1 -1 0 0 -2 -1 1 -1 0 -1 0 0 0 -1 1 1 1 -1 1 | 0 0 -1 0 1 0 -1 0 0 -1 0 0 0 1 0 0 0 0 0 -1 1 | 0 1 -1 0 -1 -1 0 -1 0 1 0 -1 -1 0 1 -1 1 1 0 0 -1 | -1 0 0 0 1 0 0 1 0 -1 0 0 1 0 0 0 -1 0 0 -1 1 | 0 1 -1 -1 0 0 -1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 | -1 0 1 1 1 0 1 0 -1 0 -1 0 0 -1 -1 0 0 0 0 1 0 | 0 0 0 1 0 0 1 1 -1 -1 -1 0 0 0 0 0 0 0 -1 0 0 | 0 0 -1 0 2 0 1 1 0 -1 -1 1 1 0 -1 1 -1 0 -1 0 1 | -1 -1 1 1 1 1 0 1 -1 0 0 0 0 0 -1 0 -1 0 0 0 0
6	1	56.10877762172197	1.9405510796875312	168.15507885041873	86.65326082397954	27.717470124314094	48.18424264058075	57.351127070976176	5.31926035643302	2.7404195593327074	3.382413668072725	3.8401484960033714	8.111716075696249	1 1 -1 0 0 -1 0 -1 1 1 -1 0 1 0 0 0 0 1 -1 0 0 | 1 0 -1 1 0 0 0 0 0 0 -1 1 0 0 0 1 0 1 -1 0 0 | 0 1 -2 -1 0 -1 -1 0 1 0 0 0 0 0 1 0 1 1 0 -1 1 | 0 0 0 1 1 0 0 0 0 -1 -1 0 0 0 0 0 0 0 0 0 0 | 0 2 -2 -1 0 -1 -1 -1 1 1 0 -1 -1 0 1 -1 1 1 0 -1 0 | 0 1 -1 -1 0 0 -1 -1 0 0 0 -1 0 0 0 -1 1 1 0 -1 1 | 0 0 -1 0 0 0 0 1 0 0 0 0 -1 1 0 0 0 0 0 -1 0 | 0 1 -1 0 1 0 0 -1 0 0 -1 0 0 0 -1 0 0 1 0 0 1 | 0 1 0 -1 -1 -1 -1 -2 1 1 0 -1 0 0 1 -1 1 1 0 0 0 | -1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 | 1 1 -1 0 -1 0 -1 -1 1 1 -1 0 -1 0 1 -1 1 1 0 0 0 | 0 0 -1 0 1 0 1 1 0 -1 0 0 0 0 0 0 0 0 -1 0 0 | 1 2 -2 -1 -1 -1 -1 -2 1 1 0 0 -1 0 1 0 2 1 0 0 0 | 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 -1 | 0 0 0 1 0 0 0 0 0 0 -1 0 0 0 -1 0 0 0 0 1 0 | 0 0 -1 0 1 1 -1 0 1 -1 0 0 1 0 -1 0 -1 1 0 -1 1 | -1 0 0 0 1 0 0 1 -1 -1 0 0 0 0 0 0 0 0 0 0 0
7	1	55.845389676284505	1.3200966854384397	157.50469443148089	119.31299894080813	25.480712631162213	50.00675975918543	56.227568415996515	8.995928346783437	7.5320903512012904	3.505166250474288	4.23834407245197	9.990741396552409	1 1 0 1 -1 0 1 0 0 1 -1 0 0 0 0 -1 0 0 -1 0 -1 | -1 -2 1 1 0 1 0 1 0 -1 1 1 0 0 0 1 -1 0 0 0 0 | 0 -1 1 1 1 0 1 0 -2 0 -1 0 0 0 -1 0 0 0 0 1 0 | -1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 | 0 0 -1 0 0 0 -1 -1 1 -1 0 0 0 0 0 1 0 1 0 0 1 | -1 1 -1 -1 1 0 -2 -1 1 -1 0 -1 1 0 -1 0 0 1 1 -1 2 | 1 1 -2 -1 0 -1 -1 -1 1 1 0 0 0 1 0 0 0 1 0 -1 1 | 0 1 -1 -1 0 0 -1 0 0 0 1 0 0 0 1 0 0 0 0 -1 0 | 0 0 0 0 0 0 0 1 0 0 0 -1 0 1 0 0 -1 0 0 -1 -1 | 0 -1 0 0 1 0 1 1 0 0 -1 1 0 1 0 1 -1 0 -1 0 0 | 0 2 -1 -1 -1 -1 -2 -2 2 1 0 -1 0 -1 0 -1 1 1 1 0 1 | 1 -1 -1 1 1 0 1 1 0 0 -1 1 0 1 0 0 -1 0 -1 0 0 | 0 1 0 0 0 0 0 0 -1 0 0 0 0 0 0 -1 0 0 0 0 0 | 0 0 -1 -1 0 0 -2 -1 2 0 1 0 1 0 0 1 0 1 0 -1 1 | 0 -1 1 1 0 1 0 0 0 0 0 1 0 0 0 0 -1 0 0 0 0 | 1 -1 -1 1 1 0 1 1 0 0 0 1 0 1 0 1 -1 0 -1 -1 -1 | 0 1 -1 -1 0 -1 -2 -2 1 0 0 -1 0 0 0 0 1 1 1 0 1
8	1	53.41003960294851	0.49370900149095126	183.3609476561115	371.3947833691101	27.98512299235485	48.6422697658717	57.20478620206113	8.401699913119977	3.2827349780240382	3.5114216901332105	4.168260436318054	7.8105493317208525	0 0 0 0 0 1 0 0 0 -1 0 0 0 0 0 0 0 0 0 0 0 | -1 0 1 0 0 0 0 -1 -1 0 0 -1 0 0 0 -1 0 0 1 0 0 | -1 -1 0 0 1 0 1 1 -1 -1 0 1 0 0 0 0 0 0 0 0 1 | -1 -1 1 1 0 0 1 1 -1 0 0 0 0 -1 -1 0 0 0 0 1 0 | 0 2 -1 -2 -1 0 -2 -1 1 1 1 -1 0 0 1 -1 1 1 0 -1 0 | 0 0 0 1 0 0 1 -1 -1 0 -1 0 -1 0 0 -1 1 0 0 1 0 | 0 3 -1 -1 -1 -1 -1 -2 1 1 -1 -1 0 -1 1 -1 2 1 0 0 0 | -1 -1 0 0 2 0 0 1 -1 -1 0 1 1 0 -1 1 0 0 0 0 1 | -1 -1 0 0 0 1 -1 0 0 -1 1 0 0 -1 0 0 0 0 1 0 1 | 1 1 -1 0 0 -1 -1 -1 1 0 -1 0 0 0 0 0 1 1 0 0 0 | 1 1 -1 -1 0 0 -1 -1 1 1 0 0 0 1 0 0 0 1 0 -1 0 | 0 1 -1 -1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 -1 0 | 0 0 -1 -1 -1 0 -2 -1 2 0 1 0 0 0 0 1 0 1 1 -1 1 | 1 -1 0 1 0 0 1 0 0 0 -1 1 0 1 0 0 -1 0 0 0 0 | 0 -1 0 0 1 0 0 0 0 -1 0 0 1 1 -1 1 -1 0 0 -1 1 | -1 1 1 -1 0 0 0 0 -1 1 0 -1 0 0 0 -1 0 0 0 0 0 | 0 -2 0 1 1 1 0 1 0 -1 0 1 0 0 -1 1 -1 0 0 0 1
9	1	55.92875166495465	0.8469711106678884	142.24661762113232	167.94742563174577	33.009594606996494	50.327097494619636	57.1384095562959	3.8204081928596025	1.2363096346612963	2.847495838318599	3.945180227555784	8.101481286441409	0 0 1 1 -1 1 0 -1 0 0 0 -1 0 0 0 -1 0 0 0 0 -1 | 0 -1 0 1 0 1 1 0 0 0 0 0 0 0 0 0 -1 0 -1 1 -1 | 0 0 -1 0 2 0 1 1 -1 0 0 0 1 1 -1 0 -1 0 -1 -1 0 | -1 -2 1 2 2 1 1 2 -2 -2 -1 1 0 0 -1 0 -1 0 0 0 1 | -1 0 0 0 1 0 0 0 0 -1 0 0 1 0 -1 0 0 0 0 0 1 | -1 0 0 0 1 0 0 0 0 0 0 0 0 -1 -1 0 0 0 0 1 1 | -1 -2 1 1 1 1 1 2 -1 -1 1 1 1 0 -1 1 -2 -1 0 0 0 | 0 0 1 1 1 0 1 0 -1 0 -2 0 0 0 -1 -1 0 0 0 1 0 | 0 -1 1 0 0 1 0 0 0 0 1 0 0 0 0 0 -1 0 0 0 -1 | 0 -1 1 1 -1 1 0 1 0 0 0 0 0 0 0 0 -1 0 0 0 -1 | -1 -2 1 2 2 1 3 2 -2 -2 -1 1 0 0 -1 1 -1 -1 -1 1 0 | -1 0 -1 0 2 0 0 1 0 -1 0 0 1 0 -1 0 -1 0 0 -1 1 | -1 0 1 0 0 0 0 0 0 0 0 -1 0 0 0 0 0 0 0 0 -1 | 1 2 -2 -1 0 -1 -2 -2 2 0 0 -1 0 0 0 0 1 1 0 -1 1 | -1 0 0 0 0 0 0 0 0 0 0 0 -1 0 1 0 1 0 0 0 0 | 0 0 0 1 0 0 1 0 0 0 -1 1 0 0 0 0 0 0 -1 1 0 | -1 -1 0 0 0 0 0 0 0 0 1 0 0 -1 0 1 0 0 0 1 0
