
RELATION -2
degree values: [0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 79]
number eigenvalues: 1310
spectrum:
  -6.0100815071 x 1
  -5.9968609126 x 1
  -5.9894780309 x 1
  -5.9684522296 x 1
  -5.9381869206 x 1
  -5.9296034449 x 1
  -5.9193166458 x 1
  -5.9052306733 x 1
  -5.8703073379 x 1
  -5.8464015905 x 1
  -5.8439019889 x 1
  -5.8193964382 x 1
  -5.8043936315 x 1
  -5.7750947934 x 1
  -5.7647081820 x 1
  -5.7580382537 x 1
  -5.7419555454 x 1
  -5.7359977019 x 1
  -5.7035676906 x 1
  -5.6876929336 x 1
  -5.6609743745 x 1
  -5.6482141767 x 1
  -5.6457694756 x 1
  -5.6212513249 x 1
  -5.6087877292 x 1
  -5.6000652053 x 1
  -5.5838881469 x 1
  -5.5696828545 x 1
  -5.5320683270 x 1
  -5.5301459694 x 1
  -5.5132421608 x 1
  -5.5002642908 x 1
  -5.4816329066 x 1
  -5.4739815881 x 1
  -5.4484077624 x 1
  -5.4396833577 x 1
  -5.4249092344 x 1
  -5.4164079410 x 1
  -5.4062105035 x 1
  -5.3579231083 x 1
  -5.3510798558 x 1
  -5.3242317815 x 1
  -5.3154549351 x 1
  -5.2994641301 x 1
  -5.2840214893 x 1
  -5.2706750003 x 1
  -5.2579073192 x 1
  -5.2439864358 x 1
  -5.2284099258 x 1
  -5.2218832771 x 1
  -5.2017636879 x 1
  -5.1889155685 x 1
  -5.1712789862 x 1
  -5.1493656881 x 1
  -5.1396027418 x 1
  -5.1290793069 x 1
  -5.0984809224 x 1
  -5.0761212220 x 1
  -5.0709272843 x 1
  -5.0506514482 x 1
  -5.0458135569 x 1
  -5.0054141830 x 1
  -4.9952355035 x 1
  -4.9844582881 x 1
  -4.9528062173 x 1
  -4.9490007346 x 1
  -4.9472502861 x 1
  -4.9260309981 x 1
  -4.9148618317 x 1
  -4.9016493092 x 1
  -4.8715902297 x 1
  -4.8580313711 x 1
  -4.8384678896 x 1
  -4.8158668973 x 1
