trial	row	vector
16	1	1 -1 0 1 0 1 1 1 -1 0 0 1 0 1 0 0 -1 0 -1 0 -1
16	2	0 0 -1 -1 2 0 -1 1 0 -1 0 1 1 0 -1 1 0 0 0 -1 2
16	3	0 1 -1 -1 0 0 -2 -1 1 0 1 0 1 -1 0 0 1 1 0 -1 1
16	4	0 0 0 -1 0 0 -1 -1 0 0 0 0 0 0 0 0 1 1 0 0 1
16	5	-1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
16	6	0 0 -1 0 2 0 0 1 0 -1 0 0 1 0 -1 0 -1 0 0 -1 1
16	7	-1 -2 1 1 2 1 2 2 -2 -1 0 0 1 1 -2 0 -2 -1 0 0 0
16	8	0 1 -2 -1 0 0 -2 0 1 0 1 0 1 0 0 0 0 1 0 -1 1
16	9	0 0 -1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 -1 0
16	10	1 -1 -1 1 2 0 0 2 0 -1 0 1 1 1 -1 1 -2 0 -1 -1 0
16	11	-1 -1 1 0 1 1 0 1 -1 -1 0 0 0 0 -1 0 0 0 1 -1 1
16	12	0 -1 1 1 1 0 1 1 -1 -1 -1 1 1 0 -1 1 -1 0 0 0 0
16	13	-1 -1 0 0 0 1 -1 1 0 -1 1 1 0 0 0 1 0 0 1 -1 1
16	14	-1 -1 1 1 2 1 1 2 -2 -2 -1 0 0 1 -1 0 -1 0 0 -1 0
16	15	-1 0 1 0 0 0 0 0 -1 0 0 0 0 -1 0 0 1 0 0 1 0
16	16	0 1 -1 -1 0 -1 -1 -1 1 0 0 0 0 0 0 0 1 1 0 0 1
17	0	-1 0 0 0 1 0 0 1 -1 -1 0 0 0 0 -1 0 0 0 1 -1 1
17	1	-1 -1 1 1 1 1 0 1 -1 -1 0 0 1 -1 -2 0 -1 0 1 0 1
17	2	-1 0 1 0 1 0 1 1 -1 0 -1 0 0 0 0 0 0 0 -1 0 0
17	3	0 1 0 0 0 -1 1 0 0 1 -1 -1 -1 1 0 -1 0 0 -1 0 -1
17	4	0 -1 -1 -1 1 0 -2 1 1 -1 2 1 1 0 0 2 -1 0 0 -1 1
17	5	0 2 -1 -1 0 -1 -1 -2 1 1 0 -1 0 0 0 0 0 1 0 0 0
17	6	0 -1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1
17	7	0 1 -1 -1 1 0 -1 0 0 0 0 0 1 0 0 0 0 1 -1 -1 1
17	8	-1 0 0 0 1 0 0 1 -1 -1 0 0 0 0 0 0 0 0 0 0 0
17	9	-1 0 1 1 1 0 1 1 -2 -1 -1 -1 0 0 0 -1 0 0 -1 0 0
17	10	0 1 0 0 0 -1 -1 -1 0 0 -1 -1 0 0 0 0 1 1 0 0 0
17	11	-1 0 0 0 1 1 -1 0 0 -1 0 0 0 0 0 0 0 0 1 -1 1
17	12	0 -1 1 1 0 1 1 1 -1 -1 -1 0 -1 0 0 -1 0 0 0 0 0
17	13	0 1 -1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 -1 -1 0
17	14	1 1 -2 0 1 -1 0 0 0 0 -1 0 0 1 0 0 1 1 -1 -1 0
17	15	0 1 0 0 -1 0 -1 0 0 0 1 0 0 -1 1 0 1 0 0 0 -1
17	16	0 -1 0 1 2 1 1 1 -1 -1 -1 0 0 1 -1 0 -1 0 -1 0 0
18	0	1 -2 0 1 0 1 0 1 0 -1 0 1 1 0 0 1 -1 0 0 0 0
18	1	0 0 0 0 0 0 0 -1 0 0 -1 0 0 0 0 0 1 1 0 0 0
18	2	-1 0 1 1 1 0 1 0 -1 0 -1 0 0 0 -1 0 0 0 0 0 0
18	3	-1 1 1 0 0 0 0 0 -1 0 -1 -1 -1 0 0 -1 1 0 0 0 0
18	4	0 -1 1 1 0 0 1 0 -1 0 -1 0 0 0 0 0 0 0 0 1 -1
18	5	0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 -1 0 -1 0 -1
18	6	0 1 -1 0 1 0 -1 -1 1 0 0 0 1 -1 -1 0 0 0 0 0 1
18	7	0 0 -1 0 0 0 -1 -1 1 0 1 0 0 0 0 1 0 0 0 0 0
18	8	0 1 -1 0 0 -1 0 -1 0 1 -1 -1 -1 1 0 -1 1 1 0 -1 0
18	9	0 0 -1 1 1 0 1 0 0 -1 -1 0 0 0 -1 0 0 0 0 0 1
18	10	0 0 -1 -1 0 0 -2 -1 2 0 1 1 0 0 0 1 0 1 1 0 1
18	11	0 0 0 0 0 0 -1 0 0 0 -1 1 0 0 0 0 1 1 0 0 1
18	12	1 1 -1 0 -2 0 -1 -2 2 1 0 -1 -1 0 1 -1 1 1 0 0 -1
18	13	-1 -2 1 1 0 2 -1 1 0 -2 1 1 1 -1 -1 1 -1 0 1 0 1
18	14	-1 0 1 1 0 0 2 0 -1 0 -1 -1 -1 0 0 -1 0 0 0 1 -1
18	15	1 0 -1 0 1 0 0 0 1 0 0 1 1 0 -1 1 -1 0 0 0 0
18	16	-1 1 0 0 0 0 0 0 0 0 1 0 0 -1 0 0 0 0 0 0 0
19	0	0 0 0 1 1 0 0 0 -1 0 -1 0 1 0 -1 0 0 0 0 0 0
19	1	-1 0 0 0 2 1 -1 1 0 -1 0 0 1 0 -1 0 -1 0 0 -1 1
19	2	-1 0 0 -1 1 1 -1 0 0 -1 1 0 0 0 0 0 0 0 1 -1 1
19	3	1 0 -1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0
19	4	-1 -1 0 0 2 1 0 2 -1 -1 1 0 1 1 -1 1 -2 -1 0 -1 0
19	5	-1 -1 1 0 0 2 -1 1 0 -1 1 0 0 0 0 0 -1 0 1 -1 0
19	6	-1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
19	7	0 1 -1 -1 -1 0 -2 -1 1 0 1 -1 0 -1 0 0 1 1 1 -1 1
19	8	-1 -2 1 1 1 0 0 1 -1 -1 0 1 0 0 -1 1 0 0 1 0 1
19	9	-1 -1 1 1 1 1 0 2 -1 -2 0 0 0 0 0 0 -1 -1 0 0 0
19	10	0 0 0 0 0 0 0 1 0 0 0 0 -1 0 1 0 0 0 -1 0 -1
19	11	-1 1 0 0 0 -1 1 0 -1 1 -1 -1 -1 0 0 -1 1 0 0 0 0
19	12	-1 0 1 1 0 0 1 1 -1 -1 -1 0 0 0 0 0 0 0 0 0 0
19	13	0 -1 0 1 1 -1 1 1 -1 0 -1 0 0 1 -1 0 0 0 0 0 0
19	14	0 -1 -1 0 2 -1 0 1 0 -1 0 0 1 1 -1 1 -1 0 0 -1 1
19	15	-1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
19	16	-1 -2 1 1 2 1 1 2 -1 -1 0 1 0 0 -1 1 -1 -1 0 0 0
20	0	0 1 -1 0 1 0 0 1 0 -1 0 0 0 0 0 0 0 0 -1 -1 0
20	1	0 1 0 0 0 0 0 -1 0 1 0 0 0 -1 0 -1 1 0 0 0 0
20	2	-1 0 0 0 0 1 -1 -1 0 0 0 -1 0 0 0 -1 0 0 1 0 0
20	3	0 -2 0 1 1 0 1 1 -1 -1 0 1 1 1 -1 1 -1 0 0 0 0
20	4	0 -2 0 1 0 0 1 1 0 0 0 1 0 1 -1 1 -1 0 0 0 0
20	5	0 -1 0 1 1 1 0 1 0 -1 0 1 0 1 -1 1 -1 0 0 -1 0
20	6	-1 1 0 0 0 0 0 0 -1 0 0 -1 0 0 0 -1 0 0 0 0 0
20	7	0 -1 0 0 1 1 -1 1 0 -2 1 1 1 0 -1 1 -1 0 1 -1 1
20	8	-1 1 -1 0 1 0 -1 -1 0 0 0 0 0 -1 0 0 1 1 0 0 1
20	9	0 0 0 0 -1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
20	10	0 1 -1 0 0 -1 0 -1 0 1 0 -1 0 0 0 -1 1 1 -1 0 0
20	11	0 -1 0 1 1 0 1 1 0 -1 -1 1 0 1 0 1 -1 0 -1 0 0
20	12	0 -1 0 0 1 0 0 0 0 0 0 1 1 -1 -1 1 0 0 0 1 1
20	13	0 0 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 -1 1
20	14	1 -2 0 1 0 1 0 1 0 -1 0 2 0 1 0 1 -1 0 0 0 0
20	15	0 -1 0 0 1 1 -1 1 0 -1 1 1 1 0 0 1 -1 0 0 -1 0
20	16	0 -2 0 1 1 1 1 1 -1 -1 0 1 0 0 0 1 -1 -1 0 0 0
21	0	0 -1 0 1 1 0 2 2 -1 0 0 1 0 1 0 0 -1 -1 -1 0 -1
21	1	0 -2 0 1 0 0 1 1 -1 0 0 2 0 0 0 1 0 0 0 1 0
21	2	0 0 0 0 1 0 0 1 0 0 0 0 1 0 -1 0 -1 0 -1 0 0
21	3	0 1 -1 0 1 0 -1 -1 0 0 -1 0 1 0 -1 0 0 1 0 0 1
21	4	-1 1 -1 -1 2 -1 0 1 0 0 0 0 1 0 0 0 0 0 -1 -1 1
21	5	-1 0 1 1 2 0 2 1 -2 -1 -2 -1 0 0 -1 -1 0 0 -1 0 0
21	6	0 0 0 1 0 0 1 0 0 0 -1 0 -1 1 0 0 0 0 -1 0 -1
21	7	1 2 -1 -1 -2 -1 0 -2 1 2 -1 -1 -1 0 2 -1 2 1 -1 0 -1
21	8	0 -1 1 1 0 1 1 1 -1 0 0 0 0 1 0 0 -1 -1 -1 0 -1
21	9	0 0 0 0 2 0 0 0 -1 0 -1 0 1 1 -1 0 -1 0 0 -1 1
21	10	0 0 0 1 0 0 0 0 0 0 -1 -1 0 0 -1 -1 0 1 0 0 0
21	11	1 2 -2 -1 -1 -1 -1 -2 1 2 0 0 -1 0 1 -1 2 1 0 0 0
21	12	0 -1 1 1 0 0 1 0 -1 0 -1 0 -1 0 0 0 0 0 0 1 -1
21	13	-1 -1 1 0 1 1 -1 0 0 -1 1 0 1 0 -1 0 -1 0 1 -1 1
21	14	0 0 -1 0 0 -1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0
21	15	0 0 0 0 0 0 -1 0 0 0 0 0 1 0 0 0 0 1 0 -1 1
21	16	0 1 -1 -1 -1 0 -2 -1 1 1 1 0 0 -1 1 0 1 1 0 0 0
22	0	1 1 -2 0 0 -1 -1 -1 1 1 -1 0 0 0 0 0 1 1 0 0 0
22	1	0 0 -1 0 1 0 0 0 0 -1 0 0 1 0 -1 0 0 0 0 0 1
22	2	0 -1 1 1 0 0 1 0 -1 1 -1 0 -1 0 0 0 0 0 0 1 -1
22	3	1 1 -1 0 -1 -1 1 -1 1 1 -1 0 -1 0 1 0 1 1 -1 0 -1
22	4	0 -2 0 1 0 0 1 1 0 0 0 1 0 0 0 1 -1 0 0 0 0
22	5	0 0 -1 -1 0 0 -3 -1 2 0 1 0 0 0 0 1 0 1 1 -1 1
22	6	0 1 -1 0 1 -1 0 -1 0 0 -1 -1 1 0 -1 0 0 1 -1 0 1
22	7	-1 1 1 0 -1 0 0 -1 -1 1 0 -2 -1 0 1 -2 1 0 0 0 -1
22	8	-1 1 0 0 0 0 0 -1 1 0 0 -1 0 -1 0 0 0 0 0 0 0
22	9	1 -1 0 1 -1 1 0 1 0 0 1 1 0 0 0 1 -1 0 0 0 -1
22	10	1 -2 0 1 0 0 1 1 0 0 0 1 0 1 0 1 -1 0 -1 0 -1
22	11	0 0 0 0 0 0 -1 -1 1 0 0 0 0 0 -1 0 0 1 1 0 1
22	12	0 0 -1 0 0 -1 0 -1 0 1 -1 0 0 0 0 0 1 1 0 0 1
22	13	0 0 0 0 0 1 -1 0 1 0 1 0 1 0 -1 0 -1 0 0 -1 0
22	14	1 0 -1 1 1 0 1 0 0 1 -1 0 1 0 -1 0 -1 0 -1 0 0
22	15	0 0 0 0 1 1 -1 0 0 -1 1 -1 1 0 -1 0 -1 0 0 -1 0
22	16	0 0 -1 0 0 1 0 -1 1 0 0 0 0 0 0 0 0 0 0 0 0
23	0	0 0 -1 0 0 0 -1 -1 1 0 0 1 0 0 0 0 1 1 0 0 1
23	1	0 -1 0 1 0 1 0 0 1 -1 0 1 0 0 0 1 -1 0 0 0 0
23	2	-1 -1 0 0 1 1 -1 1 0 -1 1 1 1 -1 -1 1 -1 0 1 0 1
23	3	0 0 0 0 0 0 -1 0 0 -1 0 -1 0 0 0 0 0 0 1 -1 0
23	4	-1 -1 1 1 0 1 1 0 0 -1 0 0 -1 0 0 0 0 0 0 1 -1
23	5	0 1 -1 0 0 0 -1 -1 1 0 0 0 0 -1 0 0 0 1 0 0 1
23	6	-1 -2 0 0 1 1 0 1 -1 -1 1 1 1 0 -1 1 -1 0 1 0 1
23	7	0 -1 0 0 0 0 0 0 0 0 1 1 1 -1 0 1 0 0 0 0 0
23	8	0 2 0 -1 -1 0 -1 -2 1 1 0 -1 0 -1 0 -1 1 1 0 0 0
23	9	0 -1 1 1 1 1 0 2 -1 -1 0 0 1 0 -1 0 -2 -1 0 0 0
23	10	0 0 0 0 -1 1 -2 -1 1 0 0 0 0 0 0 0 0 1 1 0 0
23	11	0 1 0 0 0 0 0 -1 0 1 -1 -1 0 0 -1 -1 0 1 0 0 0
23	12	0 0 0 1 1 0 2 1 -2 0 -1 1 0 0 0 0 0 -1 -1 1 0
23	13	0 1 -1 0 0 0 0 0 0 1 0 -1 0 0 0 -1 0 0 -1 0 0
23	14	0 0 -1 0 1 0 0 0 1 0 1 0 1 0 -1 1 -1 0 -1 0 0
23	15	-1 1 0 -1 1 0 -1 0 0 0 0 0 1 0 -1 0 0 0 0 0 1
23	16	0 -1 -1 0 1 0 0 1 0 -1 1 0 1 0 0 1 -1 0 0 -1 0
24	0	0 0 0 1 1 0 1 1 -1 -1 -1 0 0 0 0 0 0 0 -1 0 0
24	1	1 1 -2 -1 0 0 -2 -1 1 1 1 0 1 0 0 0 0 1 0 -1 0
24	2	-1 0 1 1 1 0 1 1 -2 -1 -1 -1 0 0 0 -1 0 0 -1 0 0
24	3	0 1 -1 0 0 -1 -1 -1 1 1 0 0 0 -1 0 0 1 1 0 0 0
24	4	0 -1 0 0 1 0 0 1 -1 -1 0 0 0 1 0 0 0 0 0 -1 0
24	5	-1 -1 1 1 1 0 1 1 -1 -1 -1 0 0 1 0 0 -1 0 0 0 0
24	6	0 -1 0 0 0 0 0 1 -1 0 0 0 0 1 0 0 0 1 0 -1 0
24	7	1 1 0 0 -2 0 -1 -2 1 1 0 -1 -1 0 1 -1 1 1 0 0 -1
24	8	0 -1 -1 0 1 1 -1 1 1 -1 1 1 0 1 0 1 -1 0 0 -1 0
24	9	-1 0 1 0 1 0 1 1 -2 -1 -1 0 0 0 0 -1 0 0 0 0 1
24	10	0 0 0 0 0 0 -1 0 0 0 0 0 0 0 0 0 0 0 1 0 0
24	11	0 1 0 -1 0 -1 -1 -1 0 1 -1 -1 0 0 0 -1 1 1 0 0 1
24	12	-1 2 -1 -1 1 0 -2 -1 1 0 0 -1 0 -1 0 -1 1 1 0 -1 1
24	13	-1 -1 0 1 2 1 0 2 -1 -2 0 1 1 -1 -1 1 -1 -1 0 0 1
24	14	0 0 0 0 -1 1 -1 -1 1 0 1 0 0 0 1 0 0 0 0 0 -1
24	15	0 -1 0 1 1 0 0 0 0 -1 -1 0 0 0 -1 1 0 1 0 0 0
24	16	0 2 0 -1 0 -1 0 -1 0 1 -1 -1 -1 0 0 -1 1 1 0 0 0
25	0	0 -2 0 1 2 0 1 1 -1 -1 0 1 0 1 -1 1 -1 0 0 0 0
25	1	-1 1 -1 -1 1 0 -1 1 0 0 1 0 1 -1 0 0 0 0 0 -1 1
25	2	0 2 -1 -1 -1 -1 -1 -2 1 1 0 0 -1 -1 1 0 2 1 0 1 0
25	3	1 1 -2 -1 0 -1 -2 0 2 0 1 1 1 0 0 1 0 1 0 -1 1
25	4	-1 0 1 0 0 1 0 0 -1 0 0 0 0 0 0 -1 0 0 0 0 0
25	5	0 0 0 0 0 0 -1 0 0 0 0 0 0 0 0 0 0 1 0 0 0
25	6	0 0 0 0 1 0 0 0 0 -1 0 0 0 0 0 1 0 0 0 -1 0
25	7	0 -1 0 0 1 1 -1 1 0 -1 0 1 1 1 -1 0 -1 0 1 -1 1
25	8	-1 1 0 0 0 0 0 -1 0 1 0 -1 0 -1 0 -1 0 0 0 1 0
25	9	0 -2 0 1 1 1 -1 0 0 -1 0 1 1 0 -1 1 -1 0 1 0 1
25	10	1 2 -2 -1 -1 -1 -1 -2 2 2 0 -1 -1 0 1 -1 1 1 0 -1 0
25	11	-1 1 0 0 1 -1 1 0 0 0 -1 0 0 0 0 0 0 0 -1 1 0
25	12	-2 -1 2 1 1 1 1 2 -2 -1 0 0 0 0 -1 0 -1 -1 0 0 0
25	13	0 -1 1 1 0 1 1 0 0 0 -1 0 -1 1 0 0 -1 0 0 0 -1
25	14	0 0 0 0 0 -1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0
25	15	0 0 0 1 0 0 0 0 0 0 0 0 -1 0 0 0 0 0 0 0 0
25	16	0 -1 0 1 1 0 2 2 -1 -1 0 0 0 0 0 0 -1 -1 -1 0 -1
26	0	1 1 -1 0 0 -1 0 0 0 1 0 -1 0 1 0 0 0 0 -1 -1 -1
26	1	0 0 0 1 0 0 0 0 0 0 -1 0 0 -1 0 0 0 0 0 1 0
26	2	-1 1 1 0 1 0 0 -1 0 0 -1 -1 0 0 -1 -1 0 0 0 0 1
26	3	-1 0 0 0 0 0 -1 0 1 -1 0 0 0 -1 0 0 1 1 0 0 1
26	4	-1 0 0 0 1 1 -1 1 0 -1 1 0 0 0 0 0 -1 0 0 -1 0
26	5	-1 -1 0 0 0 0 0 1 0 0 1 1 0 -1 0 1 0 0 0 1 0
26	6	0 2 -1 -1 -1 -1 -2 -1 1 1 1 -1 0 0 0 -1 1 1 1 -1 0
26	7	0 1 0 0 -1 0 0 -1 0 0 0 -1 0 0 0 -1 0 0 0 0 0
26	8	0 -1 0 1 1 0 2 1 -1 -1 -1 1 0 0 0 0 0 0 -1 1 0
26	9	1 2 -2 -1 -1 -1 -1 -2 2 1 0 -1 0 0 1 0 1 1 -1 -1 0
26	10	0 0 0 0 0 0 0 0 -1 0 0 0 0 0 0 -1 0 0 1 0 0
26	11	0 -1 0 1 1 1 1 1 -1 -1 0 0 1 0 -1 0 -1 -1 0 0 0
26	12	0 0 -1 0 0 0 -1 1 0 0 1 0 0 0 0 0 0 1 0 -1 0
26	13	1 -1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 -1 0 0 0 -1
26	14	0 1 -1 -1 0 0 -2 0 1 0 0 0 1 0 0 0 0 1 0 -1 1
26	15	0 -1 1 1 -1 0 1 0 -1 1 0 0 -1 0 1 0 0 0 0 1 -2
26	16	-1 1 1 0 0 0 1 -1 -1 0 -1 -1 -1 -1 0 -1 1 0 0 1 0
27	0	0 0 0 0 1 1 0 0 0 -1 -1 0 0 0 -1 0 0 0 0 0 1
27	1	0 0 0 1 0 0 1 0 -1 0 -1 0 0 0 0 0 0 0 0 0 0
27	2	-1 -1 1 1 2 0 0 1 -1 -1 -1 0 1 0 -1 0 -1 0 0 0 1
27	3	0 0 0 0 1 0 0 0 0 -1 -1 0 0 0 0 0 0 0 0 0 0
27	4	1 -2 1 2 -1 1 1 0 0 0 -1 1 -1 0 0 0 0 0 0 1 -1
27	5	0 1 -2 -1 1 -1 -1 0 1 0 0 0 1 0 0 0 0 1 0 -1 1
27	6	0 -1 1 1 0 0 1 0 -1 0 0 0 0 0 0 0 0 0 -1 1 -1
27	7	-1 -1 0 0 1 1 -1 1 0 -1 1 0 0 0 -1 0 0 0 1 -1 1
27	8	0 -2 1 2 1 1 1 1 -1 -1 0 1 1 -1 -1 1 -1 -1 0 1 0
27	9	-1 0 0 0 1 0 -1 -1 0 -1 0 -1 0 0 -1 0 0 1 1 -1 1
27	10	-1 -2 1 1 1 1 0 1 -1 -2 0 0 0 0 -1 0 -1 0 1 0 1
27	11	-1 -1 0 1 2 0 1 1 -1 -1 0 0 1 0 -1 0 -1 0 -1 0 1
27	12	-1 -2 1 2 1 1 2 2 -2 -1 -1 1 0 0 -1 1 -1 -1 0 1 0
27	13	-1 -1 1 1 0 1 1 0 -1 -1 -1 0 -1 0 0 0 0 0 0 1 0
27	14	0 0 0 0 0 0 -1 -1 1 0 0 0 0 0 0 0 0 1 0 0 0
27	15	-2 0 1 0 1 0 1 1 -1 -1 0 0 0 0 0 0 0 0 0 0 0
27	16	0 2 -1 -1 -1 -1 0 -2 0 1 -1 -1 -1 0 1 -1 2 1 0 0 0
28	0	0 1 0 0 0 -1 0 0 0 1 -1 -1 0 0 0 -1 0 1 -1 0 0
28	1	-1 -2 0 0 2 1 -1 2 -1 -2 1 1 1 0 -1 1 -1 0 1 -1 2
28	2	0 -1 0 1 1 1 0 0 0 -1 -1 1 0 0 -1 0 0 0 1 0 1
28	3	0 0 0 1 -1 1 0 0 0 0 0 0 0 0 0 -1 0 0 0 0 0
28	4	-1 -1 0 0 0 0 0 1 0 -1 1 1 0 0 1 1 0 0 0 0 0
28	5	-1 -1 1 1 1 0 1 1 -1 -1 -1 0 -1 0 0 0 0 0 0 0 0
28	6	0 -2 1 2 1 1 2 2 -1 -1 0 1 0 1 -1 1 -2 -1 -1 0 -1
28	7	0 -1 0 1 1 0 1 1 -1 0 -1 1 -1 1 0 0 0 0 0 0 0
28	8	-1 0 1 0 0 1 -1 0 1 -1 1 0 0 -1 0 0 0 0 0 0 0
28	9	0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 -1 0 -1
28	10	1 1 -1 0 -1 0 -1 -1 1 1 1 -1 0 0 0 0 0 0 0 -1 -1
28	11	-1 0 1 1 0 0 1 0 -1 1 -1 -1 -1 0 0 -1 0 0 0 1 -1
28	12	1 0 1 1 0 0 1 0 -1 0 -1 0 0 0 0 0 0 0 -1 0 -1
28	13	-1 -1 0 1 2 0 1 2 -1 -1 0 1 1 0 -1 1 -1 0 -1 0 1
28	14	-1 0 1 0 1 1 0 1 -1 -1 0 0 1 0 -1 0 -1 0 0 0 0
28	15	-1 -1 0 1 1 0 0 0 0 -1 0 0 0 0 -1 0 0 1 0 0 1
28	16	0 -1 0 0 0 0 -1 0 0 0 1 1 0 0 0 1 0 0 1 0 0
29	0	-1 1 0 0 0 0 -1 0 0 0 0 -1 0 0 0 -1 0 0 0 0 0
29	1	0 -1 0 1 1 1 1 1 -1 -1 0 0 1 0 -1 0 -1 -1 0 0 0
29	2	-1 -1 2 1 1 1 1 2 -2 -1 0 0 1 0 -1 -1 -1 -1 0 0 0
29	3	0 0 -1 -1 1 0 -1 0 1 0 1 0 1 0 0 1 -1 0 0 -1 1
29	4	-1 0 1 0 1 1 -1 0 0 -1 0 -1 1 0 -1 -1 -1 0 1 -1 1
29	5	0 0 -1 1 1 0 1 0 0 -1 -1 0 0 0 0 0 0 0 -1 0 0
29	6	0 0 0 -1 -1 0 -1 -1 1 1 1 0 0 -1 1 0 1 1 0 0 0
29	7	0 2 -1 -1 0 -1 0 -1 0 1 0 -1 0 -1 1 -1 1 0 0 0 0
29	8	0 1 -2 -1 1 -1 -2 -1 1 0 0 0 1 0 -1 0 1 1 1 -1 2
29	9	-1 0 1 0 0 1 0 0 -1 -1 0 -1 0 0 0 -1 0 0 0 0 0
29	10	0 1 -1 0 0 -1 0 -1 0 1 -1 -1 -1 1 0 -1 1 1 0 0 0
29	11	0 0 0 0 1 0 0 0 0 -1 0 0 0 0 0 1 0 0 -1 0 0
29	12	0 -1 0 0 0 1 -1 0 0 -1 1 1 1 -1 -1 1 0 0 1 0 1
29	13	0 0 1 1 2 0 2 1 -2 -1 -1 0 1 0 -1 0 -1 -1 -1 0 0
29	14	-1 2 0 -1 0 0 -1 -1 0 0 0 -1 0 -1 0 -2 1 0 1 0 1
29	15	0 0 1 1 -2 1 0 -1 0 1 0 0 -1 -1 1 -1 1 0 0 1 -1
29	16	0 1 0 0 1 0 0 0 0 0 -1 -1 0 0 -1 -1 0 0 0 0 0
30	0	0 1 -1 -1 1 -1 0 -1 0 1 0 0 0 0 0 0 1 1 -1 0 0
30	1	-1 -1 1 1 1 0 1 0 -1 -1 -1 0 0 0 -1 0 0 0 0 0 1
30	2	0 1 0 0 0 -1 0 0 0 1 0 0 0 0 0 0 0 0 -1 0 0
30	3	-1 -1 0 0 2 0 0 1 0 -1 0 0 1 0 -1 0 -1 0 0 0 1
30	4	1 0 -1 0 0 0 -1 0 0 0 0 0 0 0 0 0 0 1 0 -1 1
30	5	0 1 -1 -1 0 -1 -1 -2 1 1 0 0 0 0 0 0 1 1 0 0 1
30	6	-1 0 1 0 -1 1 -1 -1 0 0 1 0 0 -1 0 0 0 0 1 1 0
30	7	0 0 -1 0 1 0 -1 0 0 0 0 1 1 -1 0 1 0 0 0 0 1
30	8	1 0 0 1 0 0 1 1 -1 0 0 0 1 0 0 0 -1 -1 -1 0 -1
30	9	-1 1 0 -1 0 0 -1 -1 0 0 0 -1 0 0 0 -1 1 1 1 -1 1
30	10	-1 -2 1 2 2 1 2 3 -2 -1 0 1 1 0 -1 0 -2 -1 -1 0 0
30	11	0 0 0 0 0 1 0 0 0 -1 0 0 0 0 0 -1 0 0 0 0 0
30	12	1 1 -1 -1 -1 0 -1 -1 1 1 1 0 0 0 1 0 0 0 0 0 -1
30	13	-1 -1 1 0 0 1 -1 1 0 -1 1 1 0 -1 0 1 0 0 1 0 0
30	14	0 1 -1 0 0 0 -1 -1 1 0 1 0 1 -1 0 0 0 0 0 0 0
30	15	0 0 0 0 0 0 -1 0 0 0 0 0 0 0 0 0 0 0 1 0 0
30	16	1 0 -1 0 0 0 -1 -1 1 0 0 0 0 1 0 0 0 1 0 -1 0
31	0	0 0 0 0 0 0 -1 0 1 0 1 0 1 0 0 0 -1 0 0 0 0
31	1	0 0 0 1 -1 1 0 0 1 0 0 0 -1 0 0 0 0 0 0 0 -1
31	2	0 -1 0 1 1 0 2 2 -1 0 0 1 1 0 0 1 -1 -1 -1 0 -1
31	3	-1 1 0 -1 -1 0 -1 -2 0 1 0 -1 0 -1 0 -1 2 1 1 0 1
31	4	-1 -2 2 2 2 1 2 2 -2 -2 -1 0 1 1 -2 0 -2 -1 0 0 0
31	5	0 0 0 0 0 0 -1 0 0 0 1 0 1 0 -1 0 -1 0 1 -1 1
31	6	0 -1 0 0 0 0 0 1 0 0 1 2 0 0 0 1 0 0 0 0 0
31	7	1 0 -1 0 1 0 0 1 0 0 0 0 1 1 -1 1 -2 0 -1 -1 0
31	8	0 -1 -1 0 0 1 0 0 1 0 1 1 0 0 0 1 -1 0 0 0 0
31	9	-1 1 -1 -1 0 0 -2 -1 1 0 1 -1 0 0 0 0 0 0 1 -1 1
31	10	0 1 0 0 0 -1 1 -1 -1 2 -1 -1 -1 0 0 -1 1 0 0 1 -1
31	11	1 1 -1 0 -1 0 -1 -1 1 1 0 0 -1 1 1 0 0 1 0 -1 -1
31	12	0 -1 1 1 1 1 1 1 -1 -1 -1 1 0 0 0 0 -1 -1 0 0 0
31	13	0 1 -1 -1 1 -1 0 1 0 0 0 0 1 0 0 0 0 0 -1 -1 1
31	14	1 0 -1 0 0 0 0 0 1 0 1 0 0 1 0 0 -1 0 0 -1 -1
31	15	-1 0 0 -1 1 0 -1 0 0 0 1 0 1 -1 0 0 0 0 0 0 1
31	16	0 1 -1 -1 0 0 -1 -1 1 1 1 -1 0 0 0 -1 0 0 1 -1 0
32	0	1 -1 0 1 0 0 1 1 -1 0 0 1 0 1 0 1 -1 0 -1 0 -1
32	1	0 -1 0 0 1 1 -1 1 0 -1 0 0 1 1 -1 0 -1 0 1 -2 1
32	2	0 0 -1 0 1 1 -1 1 0 -1 1 1 1 0 0 1 -1 0 0 -1 0
