trial	row	vector
3	11	0 1 -1 -1 0 -1 -1 -1 1 0 0 0 0 0 0 0 1 1 0 0 1
3	12	0 -1 0 0 0 0 1 1 0 0 1 0 0 0 0 1 -1 0 -1 0 -1
3	13	0 -1 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0
3	14	0 -1 0 0 1 1 -1 0 0 -1 1 0 1 0 -1 0 -1 0 1 -1 1
3	15	0 -1 0 1 1 0 2 1 -1 0 -1 0 0 1 0 0 -1 0 -1 0 -1
3	16	0 2 -1 -1 1 -1 0 -1 0 1 -1 -1 0 0 0 -1 1 1 -1 -1 1
4	0	0 1 0 0 0 -1 0 -1 0 1 -1 -1 0 0 -1 -1 1 1 0 0 0
4	1	0 0 0 0 0 1 -1 -1 1 0 0 0 0 0 0 0 0 0 0 0 0
4	2	0 -2 0 0 1 1 -1 0 0 -1 1 1 1 0 -1 1 -1 0 1 0 1
4	3	1 2 -2 -2 -1 -1 -2 -2 2 1 1 0 0 0 1 0 1 1 0 0 0
4	4	-1 -2 1 1 2 1 1 2 -2 -2 0 1 1 0 -1 1 -1 -1 0 0 1
4	5	1 1 -1 0 0 -1 0 -1 1 1 -1 0 -1 1 0 0 0 1 -1 0 0
4	6	-1 -1 0 0 1 0 0 1 0 -1 0 0 1 0 -1 1 -1 0 0 0 1
4	7	0 0 -1 0 2 0 0 1 -1 -1 -1 1 0 1 0 0 0 0 0 -1 1
4	8	0 -2 1 2 2 1 2 3 -2 -2 -1 1 1 0 -1 1 -2 -1 -1 0 0
4	9	-1 -1 0 0 3 1 0 2 -1 -2 0 1 1 0 -1 1 -1 0 0 -1 1
4	10	1 0 -1 0 0 -1 1 -1 0 1 -1 0 -1 1 1 0 1 1 -1 0 -1
4	11	-1 -2 1 2 1 1 2 2 -2 -1 0 1 0 0 0 1 -1 -1 -1 1 -1
4	12	-1 0 0 0 1 0 0 1 -1 -1 0 0 0 0 0 0 0 0 0 0 0
4	13	0 0 0 0 1 0 0 0 0 0 0 0 1 0 -1 0 -1 0 0 -1 1
4	14	0 0 -1 0 1 0 0 1 0 0 1 0 1 0 0 0 -1 0 -1 -1 0
4	15	-1 -1 2 2 1 1 2 1 -2 -1 -1 0 0 0 -1 0 -1 -1 0 1 -1
4	16	-1 1 0 0 0 -1 0 0 -1 1 -1 -1 -1 0 0 -1 1 1 0 0 0
5	0	0 -2 1 1 0 0 1 1 -1 0 -1 1 0 0 0 0 0 0 0 1 0
5	1	-1 -1 0 -1 2 0 -1 1 0 -1 1 0 1 1 -1 1 -1 0 0 -1 1
5	2	0 1 -1 -1 -1 -1 -1 -1 1 1 1 0 0 0 1 0 1 1 0 0 0
5	3	-1 1 0 -1 0 -1 -1 -1 0 1 0 -1 0 0 -1 -1 1 1 1 0 1
