ambient_rank=29
templates=100
LLL start
LLL done
ambient_reduced_min=46.3601302163|median=57.0258464395|max=75.0100934421
short_candidates=870

TOP SCALE CLUSTERS
 HIT|template=7|tnorm=10.0|anorm=107.654960102|h=10.7654960102|ambient=[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, 0, 0, 1, 0, -1, 0, 0, 0, 0, 0, 0, 0]
SCALE|rank=4|h=13.2525167864|hits=2700|templates=100|candidates=27
 HIT|template=0|tnorm=10.0|anorm=131.255254544|h=13.1255254544|ambient=[-3, 3, -1, -1, -1, -3, 0, -1, 4, 3, 0, -2, 0, 2, 2, -9, -1, 3, -2, 3, 2, -1, 4, 4, -3, -3, 1, 0, -2]
 HIT|template=1|tnorm=10.0|anorm=131.255254544|h=13.1255254544|ambient=[-3, 3, -1, -1, -1, -3, 0, -1, 4, 3, 0, -2, 0, 2, 2, -9, -1, 3, -2, 3, 2, -1, 4, 4, -3, -3, 1, 0, -2]
 HIT|template=2|tnorm=10.0|anorm=131.255254544|h=13.1255254544|ambient=[-3, 3, -1, -1, -1, -3, 0, -1, 4, 3, 0, -2, 0, 2, 2, -9, -1, 3, -2, 3, 2, -1, 4, 4, -3, -3, 1, 0, -2]
 HIT|template=3|tnorm=10.0|anorm=131.255254544|h=13.1255254544|ambient=[-3, 3, -1, -1, -1, -3, 0, -1, 4, 3, 0, -2, 0, 2, 2, -9, -1, 3, -2, 3, 2, -1, 4, 4, -3, -3, 1, 0, -2]
 HIT|template=4|tnorm=10.0|anorm=131.255254544|h=13.1255254544|ambient=[-3, 3, -1, -1, -1, -3, 0, -1, 4, 3, 0, -2, 0, 2, 2, -9, -1, 3, -2, 3, 2, -1, 4, 4, -3, -3, 1, 0, -2]
 HIT|template=5|tnorm=10.0|anorm=131.255254544|h=13.1255254544|ambient=[-3, 3, -1, -1, -1, -3, 0, -1, 4, 3, 0, -2, 0, 2, 2, -9, -1, 3, -2, 3, 2, -1, 4, 4, -3, -3, 1, 0, -2]
 HIT|template=6|tnorm=10.0|anorm=131.255254544|h=13.1255254544|ambient=[-3, 3, -1, -1, -1, -3, 0, -1, 4, 3, 0, -2, 0, 2, 2, -9, -1, 3, -2, 3, 2, -1, 4, 4, -3, -3, 1, 0, -2]
 HIT|template=7|tnorm=10.0|anorm=131.255254544|h=13.1255254544|ambient=[-3, 3, -1, -1, -1, -3, 0, -1, 4, 3, 0, -2, 0, 2, 2, -9, -1, 3, -2, 3, 2, -1, 4, 4, -3, -3, 1, 0, -2]
SCALE|rank=5|h=9.92463900156|hits=2400|templates=100|candidates=24
 HIT|template=0|tnorm=10.0|anorm=97.8938654881|h=9.78938654881|ambient=[1, -1, 1, 0, -1, 3, -1, 1, -3, -1, 1, 2, 0, -2, -2, 4, 2, -1, 2, -2, -2, 1, -2, -2, 2, 2, 0, 0, 1]
 HIT|template=1|tnorm=10.0|anorm=97.8938654881|h=9.78938654881|ambient=[1, -1, 1, 0, -1, 3, -1, 1, -3, -1, 1, 2, 0, -2, -2, 4, 2, -1, 2, -2, -2, 1, -2, -2, 2, 2, 0, 0, 1]
 HIT|template=2|tnorm=10.0|anorm=97.8938654881|h=9.78938654881|ambient=[1, -1, 1, 0, -1, 3, -1, 1, -3, -1, 1, 2, 0, -2, -2, 4, 2, -1, 2, -2, -2, 1, -2, -2, 2, 2, 0, 0, 1]
 HIT|template=3|tnorm=10.0|anorm=97.8938654881|h=9.78938654881|ambient=[1, -1, 1, 0, -1, 3, -1, 1, -3, -1, 1, 2, 0, -2, -2, 4, 2, -1, 2, -2, -2, 1, -2, -2, 2, 2, 0, 0, 1]
 HIT|template=4|tnorm=10.0|anorm=97.8938654881|h=9.78938654881|ambient=[1, -1, 1, 0, -1, 3, -1, 1, -3, -1, 1, 2, 0, -2, -2, 4, 2, -1, 2, -2, -2, 1, -2, -2, 2, 2, 0, 0, 1]
 HIT|template=5|tnorm=10.0|anorm=97.8938654881|h=9.78938654881|ambient=[1, -1, 1, 0, -1, 3, -1, 1, -3, -1, 1, 2, 0, -2, -2, 4, 2, -1, 2, -2, -2, 1, -2, -2, 2, 2, 0, 0, 1]
 HIT|template=6|tnorm=10.0|anorm=97.8938654881|h=9.78938654881|ambient=[1, -1, 1, 0, -1, 3, -1, 1, -3, -1, 1, 2, 0, -2, -2, 4, 2, -1, 2, -2, -2, 1, -2, -2, 2, 2, 0, 0, 1]
 HIT|template=7|tnorm=10.0|anorm=97.8938654881|h=9.78938654881|ambient=[1, -1, 1, 0, -1, 3, -1, 1, -3, -1, 1, 2, 0, -2, -2, 4, 2, -1, 2, -2, -2, 1, -2, -2, 2, 2, 0, 0, 1]
SCALE|rank=6|h=11.5556230187|hits=2300|templates=100|candidates=23
 HIT|template=0|tnorm=10.0|anorm=114.502559626|h=11.4502559626|ambient=[0, 0, 0, 0, -1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, -2, -1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]
 HIT|template=1|tnorm=10.0|anorm=114.502559626|h=11.4502559626|ambient=[0, 0, 0, 0, -1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, -2, -1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]
 HIT|template=2|tnorm=10.0|anorm=114.502559626|h=11.4502559626|ambient=[0, 0, 0, 0, -1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, -2, -1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]
 HIT|template=3|tnorm=10.0|anorm=114.502559626|h=11.4502559626|ambient=[0, 0, 0, 0, -1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, -2, -1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]
