LLL start
LLL done
STEP|n=4700000|unique=91003|accepted=89625|rate=119433.6/s|walker_min=54.712|walker_med=139.560|walker_max=178.795
STEP|n=4800000|unique=91229|accepted=89851|rate=119436.6/s|walker_min=54.712|walker_med=136.574|walker_max=179.122
STEP|n=4900000|unique=91450|accepted=90072|rate=119401.0/s|walker_min=59.319|walker_med=115.193|walker_max=178.392
STEP|n=5000000|unique=91546|accepted=90168|rate=119252.3/s|walker_min=54.712|walker_med=101.544|walker_max=167.047
STEP|n=5100000|unique=91640|accepted=90262|rate=119112.0/s|walker_min=67.888|walker_med=100.237|walker_max=170.406
STEP|n=5200000|unique=91831|accepted=90453|rate=119096.7/s|walker_min=67.888|walker_med=145.574|walker_max=179.449
STEP|n=5300000|unique=92084|accepted=90706|rate=119128.7/s|walker_min=103.744|walker_med=150.565|walker_max=172.686
STEP|n=5400000|unique=92377|accepted=90999|rate=119174.2/s|walker_min=87.163|walker_med=152.874|walker_max=177.135
STEP|n=5500000|unique=92641|accepted=91263|rate=119220.8/s|walker_min=92.417|walker_med=148.239|walker_max=178.374
STEP|n=5600000|unique=92902|accepted=91524|rate=119292.1/s|walker_min=88.177|walker_med=158.292|walker_max=179.820
STEP|n=5700000|unique=93218|accepted=91840|rate=119379.5/s|walker_min=111.831|walker_med=164.601|walker_max=179.599
STEP|n=5800000|unique=93516|accepted=92138|rate=119472.7/s|walker_min=102.629|walker_med=160.309|walker_max=179.893
STEP|n=5900000|unique=93771|accepted=92393|rate=119562.1/s|walker_min=94.267|walker_med=159.046|walker_max=178.817
STEP|n=6000000|unique=94050|accepted=92672|rate=119650.9/s|walker_min=113.811|walker_med=163.679|walker_max=179.006
STEP|n=6100000|unique=94293|accepted=92915|rate=119736.7/s|walker_min=64.147|walker_med=153.854|walker_max=179.433
STEP|n=6200000|unique=94532|accepted=93154|rate=119818.8/s|walker_min=112.899|walker_med=156.201|walker_max=177.336
STEP|n=6300000|unique=94777|accepted=93399|rate=119899.3/s|walker_min=102.869|walker_med=155.447|walker_max=178.045
STEP|n=6400000|unique=95028|accepted=93650|rate=119971.9/s|walker_min=111.618|walker_med=154.060|walker_max=178.591
STEP|n=6500000|unique=95232|accepted=93854|rate=120022.8/s|walker_min=113.535|walker_med=153.034|walker_max=179.510
STEP|n=6600000|unique=95411|accepted=94033|rate=120055.4/s|walker_min=83.409|walker_med=145.508|walker_max=178.663
STEP|n=6700000|unique=95560|accepted=94182|rate=120079.1/s|walker_min=85.239|walker_med=131.910|walker_max=179.206
STEP|n=6800000|unique=95698|accepted=94320|rate=120083.4/s|walker_min=60.379|walker_med=143.738|walker_max=172.779
STEP|n=6900000|unique=95772|accepted=94394|rate=120035.5/s|walker_min=54.712|walker_med=106.862|walker_max=171.796
STEP|n=7000000|unique=95813|accepted=94435|rate=119911.9/s|walker_min=59.319|walker_med=93.527|walker_max=171.636
STEP|n=7100000|unique=95867|accepted=94489|rate=119795.8/s|walker_min=54.712|walker_med=105.345|walker_max=170.568
STEP|n=7200000|unique=95944|accepted=94566|rate=119735.8/s|walker_min=69.004|walker_med=137.547|walker_max=178.352
STEP|n=7300000|unique=96046|accepted=94668|rate=119734.1/s|walker_min=92.635|walker_med=137.852|walker_max=177.678
STEP|n=7400000|unique=96172|accepted=94794|rate=119774.9/s|walker_min=89.290|walker_med=149.027|walker_max=176.915
STEP|n=7500000|unique=96305|accepted=94927|rate=119820.3/s|walker_min=85.239|walker_med=160.117|walker_max=176.446
STEP|n=7600000|unique=96446|accepted=95068|rate=119870.9/s|walker_min=93.436|walker_med=155.534|walker_max=179.812
STEP|n=7700000|unique=96612|accepted=95234|rate=119927.2/s|walker_min=106.894|walker_med=163.664|walker_max=179.855
STEP|n=7800000|unique=96751|accepted=95373|rate=119983.8/s|walker_min=114.610|walker_med=163.141|walker_max=179.621
STEP|n=7900000|unique=96909|accepted=95531|rate=120033.8/s|walker_min=88.166|walker_med=154.411|walker_max=179.312
STEP|n=8000000|unique=97076|accepted=95698|rate=120096.2/s|walker_min=105.763|walker_med=154.522|walker_max=179.711
STEP|n=8100000|unique=97203|accepted=95825|rate=120153.1/s|walker_min=89.154|walker_med=161.385|walker_max=178.110
STEP|n=8200000|unique=97346|accepted=95968|rate=120201.1/s|walker_min=97.743|walker_med=157.042|walker_max=178.087
STEP|n=8300000|unique=97478|accepted=96100|rate=120239.0/s|walker_min=99.542|walker_med=158.993|walker_max=178.072
STEP|n=8400000|unique=97587|accepted=96209|rate=120281.2/s|walker_min=98.286|walker_med=159.487|walker_max=179.258
STEP|n=8500000|unique=97723|accepted=96345|rate=120324.1/s|walker_min=76.500|walker_med=164.811|walker_max=179.472
STEP|n=8600000|unique=97828|accepted=96450|rate=120355.9/s|walker_min=94.865|walker_med=159.480|walker_max=179.462
STEP|n=8700000|unique=97913|accepted=96535|rate=120370.5/s|walker_min=90.969|walker_med=140.405|walker_max=179.014
STEP|n=8800000|unique=97992|accepted=96614|rate=120361.4/s|walker_min=92.609|walker_med=130.277|walker_max=177.403
STEP|n=8900000|unique=98040|accepted=96662|rate=120325.5/s|walker_min=60.379|walker_med=125.528|walker_max=178.514
STEP|n=9000000|unique=98068|accepted=96690|rate=120240.7/s|walker_min=60.379|walker_med=91.980|walker_max=168.707
STEP|n=9100000|unique=98086|accepted=96708|rate=120149.0/s|walker_min=54.712|walker_med=117.403|walker_max=179.899
STEP|n=9200000|unique=98124|accepted=96746|rate=120120.0/s|walker_min=80.133|walker_med=129.025|walker_max=177.359
STEP|n=9300000|unique=98203|accepted=96825|rate=120126.0/s|walker_min=62.312|walker_med=138.844|walker_max=176.396
STEP|n=9400000|unique=98290|accepted=96912|rate=120142.0/s|walker_min=78.463|walker_med=149.332|walker_max=179.932
STEP|n=9500000|unique=98372|accepted=96994|rate=120173.7/s|walker_min=64.147|walker_med=156.376|walker_max=178.475
STEP|n=9600000|unique=98462|accepted=97084|rate=120210.0/s|walker_min=84.211|walker_med=153.578|walker_max=179.124
STEP|n=9700000|unique=98540|accepted=97162|rate=120253.4/s|walker_min=100.704|walker_med=157.018|walker_max=179.378
STEP|n=9800000|unique=98631|accepted=97253|rate=120301.5/s|walker_min=103.039|walker_med=162.594|walker_max=179.700
STEP|n=9900000|unique=98718|accepted=97340|rate=120336.8/s|walker_min=67.888|walker_med=157.840|walker_max=179.680
STEP|n=10000000|unique=98809|accepted=97431|rate=120375.8/s|walker_min=93.217|walker_med=149.540|walker_max=178.698
STEP|n=10100000|unique=98892|accepted=97514|rate=120410.4/s|walker_min=105.128|walker_med=159.700|walker_max=179.500
STEP|n=10200000|unique=98969|accepted=97591|rate=120469.1/s|walker_min=70.283|walker_med=163.859|walker_max=179.843
STEP|n=10300000|unique=99045|accepted=97667|rate=120531.3/s|walker_min=104.935|walker_med=158.411|walker_max=179.946
STEP|n=10400000|unique=99118|accepted=97740|rate=120583.1/s|walker_min=54.712|walker_med=150.387|walker_max=178.749
STEP|n=10500000|unique=99193|accepted=97815|rate=120628.7/s|walker_min=94.865|walker_med=150.337|walker_max=179.484
STEP|n=10600000|unique=99256|accepted=97878|rate=120673.0/s|walker_min=96.561|walker_med=144.377|walker_max=178.142
STEP|n=10700000|unique=99328|accepted=97950|rate=120703.4/s|walker_min=77.444|walker_med=143.881|walker_max=177.655
STEP|n=10800000|unique=99385|accepted=98007|rate=120716.0/s|walker_min=93.920|walker_med=139.130|walker_max=177.699
STEP|n=10900000|unique=99426|accepted=98048|rate=120707.2/s|walker_min=54.712|walker_med=104.145|walker_max=172.564
STEP|n=11000000|unique=99447|accepted=98069|rate=120647.9/s|walker_min=54.712|walker_med=101.568|walker_max=168.502
STEP|n=11100000|unique=99453|accepted=98075|rate=120592.3/s|walker_min=54.712|walker_med=102.808|walker_max=175.574
STEP|n=11200000|unique=99480|accepted=98102|rate=120575.7/s|walker_min=69.004|walker_med=136.557|walker_max=175.923
STEP|n=11300000|unique=99521|accepted=98143|rate=120598.2/s|walker_min=72.892|walker_med=146.324|walker_max=178.991
STEP|n=11400000|unique=99578|accepted=98200|rate=120627.2/s|walker_min=85.239|walker_med=144.514|walker_max=177.432
STEP|n=11500000|unique=99647|accepted=98269|rate=120659.2/s|walker_min=120.061|walker_med=159.719|walker_max=179.689
STEP|n=11600000|unique=99701|accepted=98323|rate=120689.8/s|walker_min=61.697|walker_med=148.806|walker_max=175.791
STEP|n=11700000|unique=99768|accepted=98390|rate=120715.2/s|walker_min=90.405|walker_med=158.803|walker_max=179.790
STEP|n=11800000|unique=99822|accepted=98444|rate=120745.7/s|walker_min=97.798|walker_med=165.808|walker_max=179.629
STEP|n=11900000|unique=99880|accepted=98502|rate=120776.1/s|walker_min=90.630|walker_med=145.961|walker_max=178.014
STEP|n=12000000|unique=99931|accepted=98553|rate=120804.4/s|walker_min=100.312|walker_med=155.121|walker_max=176.920
STEP|n=12100000|unique=99981|accepted=98603|rate=120831.3/s|walker_min=124.591|walker_med=164.276|walker_max=178.116
STEP|n=12200000|unique=100047|accepted=98669|rate=120863.5/s|walker_min=116.693|walker_med=157.429|walker_max=179.373
STEP|n=12300000|unique=100095|accepted=98717|rate=120887.8/s|walker_min=80.133|walker_med=153.875|walker_max=177.015
STEP|n=12400000|unique=100139|accepted=98761|rate=120911.6/s|walker_min=100.232|walker_med=148.448|walker_max=176.838
STEP|n=12500000|unique=100186|accepted=98808|rate=120925.4/s|walker_min=77.099|walker_med=156.178|walker_max=179.534
STEP|n=12600000|unique=100235|accepted=98857|rate=120935.2/s|walker_min=90.405|walker_med=148.711|walker_max=179.608
STEP|n=12700000|unique=100272|accepted=98894|rate=120943.7/s|walker_min=91.906|walker_med=144.775|walker_max=178.336
STEP|n=12800000|unique=100296|accepted=98918|rate=120928.5/s|walker_min=54.712|walker_med=140.666|walker_max=172.778
STEP|n=12900000|unique=100321|accepted=98943|rate=120896.1/s|walker_min=60.379|walker_med=120.450|walker_max=172.279
STEP|n=13000000|unique=100326|accepted=98948|rate=120813.9/s|walker_min=54.712|walker_med=92.469|walker_max=170.052
STEP|n=13100000|unique=100328|accepted=98950|rate=120726.0/s|walker_min=65.691|walker_med=108.021|walker_max=177.955
