priority_rank	orbit_mask	orbit_hex	group_addition_upper_bound	support_count	maximum_absolute_coefficient	coefficient_l1	minimal_unoriented_count	section_basis_w	direct_alternate_w	historical_alternate_w	short_basis_w
1	84270	0x1492e	1	2	1	2	20	0 0 0 -1 0 0 0 0 0 0 0 0 0 0 0 0 -1	-15 -2 1 -3 4 7 12 -8 1 -4 0 1 5 -5 -7 8 -9	-1 35 -1 15 10 -4 -4 10 -3 -7 -9 -1 -7 3 -12 -14 -1	2 1 -1 1 0 -1 0 0 -1 -2 -2 1 2 0 -1 0 1
2	72842	0x11c8a	1	2	1	2	20	0 0 0 0 -1 0 0 0 0 0 0 0 0 0 0 0 1	-10 -4 -2 -2 3 5 7 -4 0 -5 1 -2 3 -1 -3 5 -5	22 -61 -10 -38 -18 16 28 -22 -19 -2 15 -3 5 17 30 3 0	0 3 -2 -3 0 2 -2 -1 2 0 1 -1 -1 0 0 0 -1
3	89283	0x15cc3	1	2	1	2	20	0 0 0 0 0 0 0 -1 0 0 0 0 0 0 0 0 1	-9 -4 -2 -3 4 5 7 -3 0 -5 1 -3 3 -1 -3 5 -5	9 -58 -7 -23 -11 9 24 -21 -13 0 14 -7 11 11 19 4 1	1 3 -2 -2 0 2 -1 -1 2 0 1 -1 -1 0 1 0 -1
4	72673	0x11be1	1	2	1	2	20	0 0 0 0 0 0 0 0 0 0 0 -1 0 0 0 0 1	-10 -4 -3 -3 3 6 7 -4 0 -5 1 -2 4 -1 -4 5 -5	17 -41 -8 -26 -12 12 20 -14 -14 -3 11 -2 2 13 21 0 0	1 2 -2 -2 0 1 -1 -1 1 -1 0 -1 -1 0 0 0 -1
5	126170	0x1ecda	2	3	1	3	22	-1 -1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0	-6 -2 1 -2 2 2 6 -3 1 -3 0 -1 1 -1 -2 3 -4	7 -8 -2 -8 -5 5 8 -6 -6 0 3 -2 1 6 7 -2 0	2 3 -2 -1 1 0 -1 -1 0 -2 -1 1 0 1 -1 1 1
6	50407	0x0c4e7	2	3	1	3	20	-1 0 -1 0 0 0 0 0 0 0 0 1 0 0 0 0 0	-6 -2 -2 0 3 3 8 -4 1 -5 -1 -1 1 -1 -2 3 -4	-3 24 0 15 7 -3 2 3 -4 -5 -7 -6 -1 3 -11 -13 0	1 -1 -1 2 0 -3 1 1 -2 -2 -3 2 2 0 -1 1 2
7	33733	0x083c5	2	3	1	3	22	-1 0 -1 0 0 0 0 1 0 0 0 0 0 0 0 0 0	-7 -2 -3 0 2 4 8 -5 1 -5 -1 0 2 -1 -3 3 -4	5 41 -1 12 6 0 -2 10 -5 -8 -10 -1 -10 5 -9 -17 -1	1 -2 -1 2 0 -4 1 1 -3 -3 -4 2 2 0 -2 1 2
8	50060	0x0c38c	2	3	1	3	19	-1 0 -1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	-6 -2 -3 -1 3 4 8 -4 1 -5 -1 -1 2 -1 -3 3 -4	-8 44 2 27 13 -7 -6 11 1 -6 -11 -5 -4 -1 -20 -16 0	2 -2 -1 3 0 -4 2 1 -3 -3 -4 2 2 0 -1 1 2
9	96561	0x17931	2	3	1	3	22	-1 0 0 -1 0 0 0 0 0 0 0 0 0 0 0 1 0	-11 -2 -2 0 4 4 10 -6 1 -7 0 -1 3 -2 -3 6 -6	9 18 -4 0 1 3 5 3 -9 -7 -5 -1 -7 10 0 -14 -1	1 2 -2 0 1 -1 0 0 -1 -2 -2 1 1 1 -1 0 1
10	102754	0x19162	2	3	1	3	20	-1 0 0 -1 0 0 1 0 0 0 0 0 0 0 0 0 0	-11 -2 -2 -2 4 5 10 -6 2 -6 0 -1 4 -3 -4 6 -6	-11 9 0 19 11 -6 3 0 0 -2 0 -9 5 2 -13 -10 1	2 1 -2 0 0 -1 1 0 -1 -2 -2 0 1 0 0 1 1
11	117964	0x1cccc	2	3	1	3	20	-1 0 0 -1 0 1 0 0 0 0 0 0 0 0 0 0 0	-11 -2 -2 -1 3 5 10 -6 2 -6 0 -1 3 -2 -4 5 -6	-2 22 -3 17 12 -3 4 5 -5 -8 -2 -7 -3 7 -12 -18 0	2 0 -1 1 0 -2 1 1 -2 -2 -3 1 2 0 -1 1 1
12	101510	0x18c86	2	3	1	3	18	-1 0 0 -1 1 0 0 0 0 0 0 0 0 0 0 0 0	-7 -1 -2 -1 4 3 8 -3 2 -6 -1 -2 3 -2 -2 4 -4	-17 30 2 35 20 -11 -2 7 3 -5 -4 -11 3 0 -25 -17 1	2 -1 -1 2 0 -2 2 1 -2 -2 -3 1 2 0 0 1 1
13	104811	0x1996b	2	3	1	3	17	-1 0 0 0 -1 0 0 1 0 0 0 0 0 0 0 0 0	-11 -3 -1 -1 2 5 9 -6 1 -5 0 0 3 -2 -4 5 -6	15 -3 -6 -13 -5 8 12 -4 -13 -6 1 -1 -5 12 10 -9 -1	1 1 -2 -1 0 -1 -1 0 -1 -2 -2 1 1 0 -2 1 1
14	93407	0x16cdf	2	3	1	3	20	-1 0 0 0 0 -1 0 0 0 0 0 0 0 0 0 1 0	-10 -3 -1 -1 4 4 9 -5 0 -6 0 -1 3 -2 -3 6 -6	13 -4 -4 -15 -9 7 9 -5 -11 -3 -3 1 -3 9 11 -4 -1	1 3 -3 -1 1 0 -1 -1 0 -2 -1 1 0 1 -1 0 1
15	99468	0x1848c	2	3	1	3	19	-1 0 0 0 0 -1 1 0 0 0 0 0 0 0 0 0 0	-10 -3 -1 -3 4 5 9 -5 1 -5 0 -1 4 -3 -4 6 -6	-7 -13 0 4 1 -2 7 -8 -2 2 2 -7 9 1 -2 0 1	2 2 -3 -1 0 0 0 -1 0 -2 -1 0 0 0 0 1 1
16	78193	0x13171	2	3	1	3	24	-1 0 0 0 0 0 -1 0 0 0 0 0 0 0 0 1 0	-10 -3 -1 0 3 4 9 -5 0 -6 0 -1 2 -1 -3 5 -6	22 9 -7 -17 -8 10 10 0 -16 -9 -5 3 -11 14 12 -12 -2	1 2 -2 0 1 -1 -1 0 -1 -2 -2 2 1 1 -2 0 1
17	82832	0x14390	2	3	1	3	23	-1 0 0 0 0 0 -1 0 1 0 0 0 0 0 0 0 0	-10 -3 -2 -1 4 5 10 -4 1 -7 -1 -2 3 -2 -3 5 -6	11 14 -5 -2 0 4 8 1 -12 -9 -6 -2 -6 10 1 -14 -1	0 0 0 2 1 -2 0 1 -1 -1 -2 2 2 0 -1 0 1
18	109507	0x1abc3	2	3	1	3	25	-1 0 0 0 0 0 0 0 -1 0 0 0 0 0 0 1 0	-10 -3 0 -1 2 4 8 -6 0 -4 1 0 2 -1 -4 5 -6	13 -5 -5 -13 -6 7 10 -4 -11 -4 1 0 -4 10 10 -6 -1	3 3 -4 -2 0 0 -1 -1 -1 -3 -2 1 0 1 -2 1 1
19	88351	0x1591f	2	3	1	3	20	-1 0 0 0 0 0 0 0 -1 0 0 1 0 0 0 0 0	-6 -2 1 -1 2 2 6 -3 1 -3 0 -1 1 -1 -2 3 -4	-8 -13 -1 10 7 -3 11 -8 -4 -1 6 -11 9 4 -6 -6 1	3 1 -3 -1 -1 0 0 0 -1 -2 -2 1 1 0 -1 2 1
20	17661	0x044fd	2	3	1	3	25	-1 0 0 0 0 0 0 0 -1 1 0 0 0 0 0 0 0	-7 -2 2 -2 1 2 5 -4 1 -1 1 0 1 -1 -3 3 -4	1 -34 -3 -6 -1 4 17 -14 -7 1 14 -9 9 8 7 -1 1	3 2 -3 -3 -1 1 -1 -1 0 -2 -1 0 0 0 -1 2 0
21	80225	0x13961	2	3	1	3	21	-1 0 0 0 0 0 0 0 0 0 -1 0 0 0 0 1 0	-11 -3 -3 1 2 5 9 -7 0 -6 1 0 2 -1 -4 5 -6	18 18 -7 -11 -4 7 5 5 -13 -10 -7 4 -13 11 7 -13 -2	1 2 -2 0 0 -1 -1 0 -1 -2 -2 1 1 1 -2 0 1
22	99469	0x1848d	2	3	1	3	22	-1 0 0 0 0 0 0 0 0 0 -1 0 0 1 0 0 0	-11 -3 -3 0 2 5 9 -6 1 -6 0 -1 2 -1 -4 4 -6	10 13 -6 0 3 4 9 2 -12 -10 -2 -3 -7 11 0 -16 -1	1 0 -1 1 0 -2 0 1 -2 -2 -3 2 2 0 -2 1 1
23	110896	0x1b130	2	3	1	3	21	-1 0 0 0 0 0 0 0 0 0 0 0 0 -1 1 0 0	-14 -4 -3 -4 4 9 12 -7 1 -6 0 -1 5 -3 -7 7 -8	-6 -10 -3 10 6 -2 12 -7 -7 -4 2 -11 8 4 -6 -8 1	2 0 -2 0 -1 -1 0 0 -1 -2 -2 0 1 -1 0 1 1
24	36339	0x08df3	2	3	1	3	20	-1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 -1	-4 0 1 0 0 1 4 -3 1 -1 -1 1 0 -1 -2 1 -3	-2 44 2 16 8 -4 -9 12 1 -4 -11 1 -8 -1 -13 -11 -1	1 -1 0 2 1 -3 1 1 -3 -2 -3 3 2 0 -2 1 2
25	130560	0x1fe00	2	3	1	3	21	-1 0 0 0 0 0 0 0 0 0 0 1 0 0 -1 0 0	-2 -1 2 1 2 -1 4 -1 1 -3 0 -1 0 -1 1 2 -2	-3 7 0 6 4 -3 1 0 -1 -1 -2 -3 1 2 -5 -5 0	2 2 -2 0 0 0 0 0 0 -1 -1 1 1 1 -1 1 1
26	49859	0x0c2c3	2	3	1	3	20	-1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 -1	0 1 2 1 0 -1 2 -1 1 0 -1 1 -1 -1 0 0 -1	-15 41 5 28 14 -11 -12 11 7 -1 -11 -3 -1 -7 -22 -8 0	1 -1 0 2 0 -2 1 1 -2 -1 -2 2 2 0 -1 1 2
27	53340	0x0d05c	2	3	1	3	22	-1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 -1	-3 0 3 -2 1 1 4 -2 1 0 -1 1 1 -2 -2 2 -3	-10 31 5 18 7 -7 -10 7 6 2 -9 -1 0 -6 -14 -3 0	2 0 -1 1 1 -2 1 0 -2 -2 -2 2 1 0 -1 1 2
28	13852	0x0361c	2	3	1	3	23	-1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 -1 0	-7 -2 1 -3 2 3 6 -3 2 -2 0 -1 2 -2 -3 3 -4	-10 -29 -1 9 7 -2 15 -13 -3 1 13 -14 14 4 -4 -3 2	2 0 -1 -1 -1 0 0 0 0 -1 -1 0 1 -1 0 2 0
29	84864	0x14b80	2	3	1	3	21	-1 0 0 0 0 0 0 0 1 0 -1 0 0 0 0 0 0	-11 -3 -4 0 3 6 10 -6 1 -7 0 -1 3 -2 -4 5 -6	7 23 -5 4 4 1 3 6 -9 -10 -8 -1 -8 7 -4 -15 -1	0 0 0 2 0 -2 0 1 -1 -1 -2 1 2 0 -1 0 1
30	101533	0x18c9d	2	3	1	3	22	-1 0 0 0 0 0 1 0 0 0 0 0 0 -1 0 0 0	-10 -3 -1 -3 3 6 9 -6 1 -4 1 0 4 -3 -5 6 -6	-10 -4 0 10 5 -5 2 -3 1 1 0 -6 7 -2 -7 -1 1	3 2 -3 -1 -1 0 0 -1 0 -2 -1 -1 0 0 0 1 1
31	101532	0x18c9c	2	3	1	3	18	-1 0 0 0 0 1 0 0 0 0 -1 0 0 0 0 0 0	-11 -3 -3 0 1 6 9 -7 1 -5 1 0 2 -1 -5 4 -6	7 22 -6 6 7 1 4 7 -9 -11 -4 -2 -9 8 -5 -17 -1	2 0 -1 1 -1 -2 0 1 -2 -2 -3 1 2 0 -2 1 1
32	76949	0x12c95	2	3	1	3	20	-1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 -1 0	-6 -2 -1 -3 3 4 7 -2 2 -4 -1 -2 3 -2 -3 3 -4	-24 12 3 37 21 -13 1 1 5 -2 1 -15 11 -4 -26 -11 2	3 -2 -1 2 -1 -2 2 1 -2 -2 -3 1 2 -1 0 2 1
33	61709	0x0f10d	2	3	1	3	23	0 -1 0 0 0 0 0 0 -1 0 1 0 0 0 0 0 0	-6 -2 3 -3 1 2 4 -3 0 0 1 0 1 -1 -3 3 -4	10 -29 -3 -18 -9 8 12 -11 -7 2 10 -1 3 7 15 4 0	3 4 -3 -3 0 2 -2 -2 1 -2 0 0 -1 1 -1 1 0
34	130672	0x1fe70	2	3	1	3	22	0 -1 0 0 0 0 0 0 -1 1 0 0 0 0 0 0 0	-4 -1 3 -1 -1 0 1 -3 0 2 2 1 -1 0 -2 1 -2	14 -40 -5 -24 -10 11 16 -13 -9 1 16 -1 2 10 20 4 0	2 4 -2 -4 -1 3 -3 -2 2 -1 1 -1 -1 1 -1 1 -1
35	101010	0x18a92	2	3	1	3	21	0 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 -1	-1 1 2 2 -2 -1 0 -3 -1 2 1 3 -2 0 -1 0 -1	19 43 -1 -13 -8 6 -14 16 -2 -4 -14 16 -21 1 7 -3 -3	0 3 0 0 1 0 -2 -1 0 -1 0 1 0 2 -2 -1 1
36	79742	0x1377e	2	3	1	3	19	0 -1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 -1	-1 1 2 1 -2 -1 0 -2 0 2 0 2 -2 0 -1 -1 -1	11 38 0 -2 -1 3 -10 13 -1 -4 -9 9 -15 1 0 -6 -2	0 1 1 1 1 -1 -1 0 -1 -1 -1 2 1 1 -2 0 1
37	81775	0x13f6f	2	3	1	3	23	0 -1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 -1	-1 1 2 1 -3 0 0 -3 0 3 1 3 -2 0 -2 -1 -1	8 47 0 4 3 0 -15 18 2 -5 -11 10 -17 -2 -5 -7 -2	1 1 1 1 0 -1 -1 0 -1 -1 -1 1 1 1 -2 0 1
38	69965	0x1114d	2	3	1	3	21	0 0 -1 -1 0 0 1 0 0 0 0 0 0 0 0 0 0	-11 -2 -3 -2 4 6 10 -7 1 -5 0 0 4 -3 -5 6 -6	-3 25 0 14 7 -3 -2 6 -1 -4 -6 -3 -3 2 -10 -11 0	1 0 -1 1 0 -2 1 0 -1 -2 -2 0 1 0 0 0 1
39	85219	0x14ce3	2	3	1	3	19	0 0 -1 -1 0 1 0 0 0 0 0 0 0 0 0 0 0	-11 -2 -3 -1 3 6 10 -7 1 -5 0 0 3 -2 -5 5 -6	6 38 -3 12 8 0 -1 11 -6 -10 -8 -1 -11 7 -9 -19 -1	1 -1 0 2 0 -3 1 1 -2 -2 -3 1 2 0 -1 0 1
40	68777	0x10ca9	2	3	1	3	19	0 0 -1 -1 1 0 0 0 0 0 0 0 0 0 0 0 0	-7 -1 -3 -1 4 4 8 -4 1 -5 -1 -1 3 -2 -3 4 -4	-9 46 2 30 16 -8 -7 13 2 -7 -10 -5 -5 0 -22 -18 0	1 -2 0 3 0 -3 2 1 -2 -2 -3 1 2 0 0 0 1
41	85241	0x14cf9	2	3	1	3	20	0 0 -1 0 -1 0 0 0 0 0 1 0 0 0 0 0 0	-13 -4 0 -4 4 7 11 -7 0 -4 0 0 4 -3 -6 7 -8	20 -14 -5 -25 -15 12 13 -9 -14 -2 0 2 -3 11 19 -1 -1	1 2 -2 -1 1 -1 -1 -1 0 -2 -1 1 0 0 -1 0 1
42	17284	0x04384	2	3	1	3	20	0 0 -1 0 -1 0 0 0 0 1 0 0 0 0 0 0 0	-11 -3 0 -2 2 5 8 -7 0 -2 1 1 2 -2 -5 5 -6	24 -25 -7 -31 -16 15 17 -11 -16 -3 6 2 -4 14 24 -1 -1	0 2 -1 -2 0 0 -2 -1 1 -1 0 0 0 0 -1 0 0
43	72004	0x11944	2	3	1	3	19	0 0 -1 0 -1 0 0 1 0 0 0 0 0 0 0 0 0	-11 -3 -2 -1 2 6 9 -7 0 -4 0 1 3 -2 -5 5 -6	23 13 -6 -18 -9 11 7 2 -14 -8 -5 5 -13 12 13 -10 -2	0 0 -1 0 0 -2 -1 0 -1 -2 -2 1 1 0 -2 0 1
44	126192	0x1ecf0	2	3	1	3	19	0 0 -1 0 0 -1 0 0 0 0 0 0 0 0 0 1 0	-10 -3 -2 -1 4 5 9 -6 -1 -5 0 0 3 -2 -4 6 -6	21 12 -4 -20 -13 10 4 1 -12 -5 -9 7 -11 9 14 -5 -2	0 2 -2 0 1 -1 -1 -1 0 -2 -1 1 0 1 -1 -1 1
45	68787	0x10cb3	2	3	1	3	18	0 0 -1 0 0 -1 0 0 0 0 1 0 0 0 0 0 0	-9 -3 0 -4 5 5 9 -4 0 -4 -1 -1 4 -3 -4 6 -6	5 -6 0 -7 -7 4 7 -7 -6 1 -2 -2 3 4 6 0 0	1 1 -2 0 1 -1 0 -1 0 -2 -1 1 0 0 0 0 1
46	66723	0x104a3	2	3	1	3	19	0 0 -1 0 0 -1 1 0 0 0 0 0 0 0 0 0 0	-10 -3 -2 -3 4 6 9 -6 0 -4 0 0 4 -3 -5 6 -6	1 3 0 -1 -3 1 2 -2 -3 0 -4 -1 1 1 1 -1 0	1 1 -2 0 0 -1 0 -1 0 -2 -1 0 0 0 0 0 1
47	110942	0x1b15e	2	3	1	3	21	0 0 -1 0 0 0 -1 0 0 0 0 0 0 0 0 1 0	-10 -3 -2 0 3 5 9 -6 -1 -5 0 0 2 -1 -4 5 -6	30 25 -7 -22 -12 13 5 6 -17 -11 -11 9 -19 14 15 -13 -3	0 1 -1 1 1 -2 -1 0 -1 -2 -2 2 1 1 -2 -1 1
48	68786	0x10cb2	2	3	1	3	20	0 0 -1 0 0 0 -1 0 0 0 0 0 0 1 0 0 0	-10 -3 -2 -1 3 5 9 -5 0 -5 -1 -1 2 -1 -4 4 -6	22 20 -6 -11 -5 10 9 3 -16 -11 -6 2 -13 14 8 -16 -2	0 -1 0 2 1 -3 0 1 -2 -2 -3 3 2 0 -2 0 1
49	115647	0x1c3bf	2	3	1	3	23	0 0 -1 0 0 0 -1 0 1 0 0 0 0 0 0 0 0	-10 -3 -3 -1 4 6 10 -5 0 -6 -1 -1 3 -2 -4 5 -6	19 30 -5 -7 -4 7 3 7 -13 -11 -12 4 -14 10 4 -15 -2	-1 -1 1 3 1 -3 0 1 -1 -1 -2 2 2 0 -1 -1 1
50	76780	0x12bec	2	3	1	3	24	0 0 -1 0 0 0 0 0 -1 0 0 0 0 0 0 1 0	-10 -3 -1 -1 2 5 8 -7 -1 -3 1 1 2 -1 -5 5 -6	21 11 -5 -18 -10 10 5 2 -12 -6 -5 6 -12 10 13 -7 -2	2 2 -3 -1 0 -1 -1 -1 -1 -3 -2 1 0 1 -2 0 1
51	117679	0x1cbaf	2	3	1	3	23	0 0 -1 0 0 0 0 0 -1 0 1 0 0 0 0 0 0	-9 -3 1 -4 3 5 8 -5 0 -2 0 0 3 -2 -5 5 -6	5 -7 -1 -5 -4 4 8 -6 -6 0 2 -3 2 5 5 -2 0	3 1 -3 -1 0 -1 0 -1 -1 -3 -2 1 0 0 -1 1 1
52	66722	0x104a2	2	3	1	3	21	0 0 -1 0 0 0 0 0 0 0 -1 0 0 1 0 0 0	-11 -3 -4 0 2 6 9 -7 0 -5 0 0 2 -1 -5 4 -6	18 29 -6 -5 -1 7 4 8 -13 -12 -8 3 -15 11 3 -17 -2	0 -1 0 2 0 -3 0 1 -2 -2 -3 2 2 0 -2 0 1
53	126238	0x1ed1e	2	3	1	3	21	0 0 -1 0 0 0 0 0 0 0 0 0 -1 0 0 1 0	-7 -2 -3 0 2 4 6 -5 -1 -4 1 0 2 -1 -3 4 -4	20 11 -5 -21 -13 9 1 3 -10 -5 -9 9 -12 7 14 -3 -2	0 1 -1 1 1 -2 0 0 -1 -2 -1 1 0 1 -1 -1 1
54	101619	0x18cf3	2	3	1	3	20	0 0 -1 0 0 0 0 0 0 0 0 0 0 0 -1 1 0	-6 -2 0 1 2 2 6 -5 -1 -3 1 1 1 -1 -2 4 -4	26 31 -4 -22 -13 10 -5 10 -9 -6 -13 14 -20 8 14 -6 -3	1 3 -2 0 1 -1 -1 -1 0 -2 -1 1 0 2 -2 -1 1
55	112974	0x1b94e	2	3	1	3	19	0 0 -1 0 0 0 0 0 0 0 1 0 0 0 0 -1 0	-9 -3 0 -5 4 6 9 -4 1 -3 -1 -1 4 -3 -5 5 -6	-6 -2 1 10 4 -2 6 -5 -2 0 1 -8 7 1 -6 -4 1	2 -1 -1 1 0 -2 1 0 -1 -2 -2 1 1 -1 0 1 1
56	109754	0x1acba	2	3	1	3	19	0 0 -1 0 1 0 0 0 0 0 0 0 0 0 0 -1 0	-6 -2 -2 -3 3 5 7 -3 1 -3 -1 -1 3 -2 -4 3 -4	-16 28 3 32 17 -10 -4 7 4 -4 -5 -9 3 -4 -23 -12 1	2 -3 0 3 -1 -3 2 1 -2 -2 -3 1 2 -1 0 1 1
57	4460	0x0116c	2	3	1	3	21	0 0 0 -1 -1 0 0 0 0 0 0 1 0 0 0 0 0	-11 -2 0 -1 4 4 9 -5 1 -5 0 -1 3 -3 -3 6 -6	6 -18 -5 -7 -1 4 15 -9 -11 -4 5 -6 3 11 6 -7 0	0 2 -1 -1 0 1 -1 0 1 0 0 0 1 0 0 0 0
58	1011	0x003f3	2	3	1	3	19	0 0 0 -1 -1 0 0 0 0 0 1 0 0 0 0 0 0	-14 -3 1 -4 5 6 11 -6 1 -5 0 -1 5 -4 -5 8 -8	11 -28 -5 -17 -8 8 17 -13 -12 -1 7 -4 4 12 14 -2 0	1 3 -2 -2 1 1 -1 -1 1 -1 0 0 0 0 0 0 0
59	68750	0x10c8e	2	3	1	3	17	0 0 0 -1 -1 0 0 0 0 1 0 0 0 0 0 0 0	-12 -2 1 -2 3 4 8 -6 1 -3 1 0 3 -3 -4 6 -6	15 -39 -7 -23 -9 11 21 -15 -14 -2 13 -4 3 15 19 -2 0	0 3 -1 -3 0 2 -2 -1 2 0 1 -1 0 0 0 0 -1
60	3043	0x00be3	2	3	1	3	18	0 0 0 -1 -1 0 1 0 0 0 0 0 0 0 0 0 0	-15 -3 -1 -3 4 7 11 -8 1 -5 1 0 5 -4 -6 8 -8	7 -19 -5 -11 -4 5 12 -8 -9 -2 5 -3 2 9 9 -3 0	1 3 -2 -2 0 1 -1 -1 1 -1 0 -1 0 0 0 0 0
61	22093	0x0564d	2	3	1	3	20	0 0 0 -1 -1 1 0 0 0 0 0 0 0 0 0 0 0	-15 -3 -1 -2 3 7 11 -8 1 -5 1 0 4 -3 -6 7 -8	16 -6 -8 -13 -3 8 13 -3 -14 -8 3 -1 -6 14 10 -11 -1	1 2 -1 -1 0 0 -1 0 0 -1 -1 0 1 0 -1 0 0
62	41978	0x0a3fa	2	3	1	3	21	0 0 0 -1 0 -1 0 0 0 0 0 0 0 0 0 1 0	-11 -2 -1 -1 5 4 9 -5 0 -6 0 -1 4 -3 -3 7 -6	12 -2 -4 -12 -6 6 8 -3 -10 -4 -2 1 -4 10 9 -6 -1	0 3 -2 -1 1 1 -1 -1 1 -1 0 0 0 1 0 -1 0
63	7702	0x01e16	2	3	1	3	24	0 0 0 -1 0 -1 0 0 0 0 0 0 0 1 0 0 0	-11 -2 -1 -2 5 4 9 -4 1 -6 -1 -2 4 -3 -3 6 -6	4 -7 -3 -1 1 3 12 -6 -9 -4 3 -6 2 10 2 -9 0	0 1 -1 0 1 0 0 0 0 -1 -1 1 1 0 0 0 0
64	19369	0x04ba9	2	3	1	3	21	0 0 0 -1 0 -1 1 0 0 0 0 0 0 0 0 0 0	-11 -2 -1 -3 5 5 9 -5 1 -5 0 -1 5 -4 -4 7 -6	-8 -11 0 7 4 -3 6 -6 -1 1 3 -7 8 2 -4 -2 1	1 2 -2 -1 0 1 0 -1 1 -1 0 -1 0 0 1 0 0
65	65108	0x0fe54	2	3	1	3	25	0 0 0 -1 0 0 -1 0 0 0 0 0 0 0 0 1 0	-11 -2 -1 0 4 4 9 -5 0 -6 0 -1 3 -2 -3 6 -6	21 11 -7 -14 -5 9 9 2 -15 -10 -4 3 -12 15 10 -14 -2	0 2 -1 0 1 0 -1 0 0 -1 -1 1 1 1 -1 -1 0
66	7703	0x01e17	2	3	1	3	23	0 0 0 -1 0 0 -1 0 0 0 1 0 0 0 0 0 0	-10 -2 1 -3 5 4 9 -3 1 -5 -1 -2 4 -3 -3 6 -6	5 -7 -3 -1 1 3 12 -6 -9 -4 3 -6 2 10 2 -9 0	1 1 -1 0 1 0 0 0 0 -1 -1 1 1 0 0 0 0
67	45336	0x0b118	2	3	1	3	19	0 0 0 -1 0 0 0 0 -1 0 0 0 0 0 1 0 0	-15 -3 -2 -4 4 8 11 -7 1 -5 0 -1 5 -3 -7 7 -8	-4 -18 -4 9 8 0 17 -9 -9 -5 9 -13 8 9 -4 -11 1	2 0 -2 -1 -1 0 0 0 -1 -2 -2 0 1 -1 0 1 0
68	33957	0x084a5	2	3	1	3	21	0 0 0 -1 0 0 0 0 -1 0 1 0 0 0 0 0 0	-10 -2 2 -4 4 4 8 -4 1 -3 0 -1 4 -3 -4 6 -6	-4 -21 -1 3 3 0 12 -10 -4 1 9 -9 9 6 0 -3 1	3 2 -3 -2 0 1 0 -1 0 -2 -1 0 0 0 0 1 0
69	1176	0x00498	2	3	1	3	20	0 0 0 -1 0 0 0 0 0 0 -1 1 0 0 0 0 0	-8 -1 -2 1 3 3 7 -4 1 -5 0 -1 2 -2 -2 4 -4	-4 12 -3 15 12 -4 5 3 -5 -8 -1 -7 -1 6 -11 -15 0	0 0 0 1 -1 0 0 1 0 0 -1 0 2 0 0 0 0
70	22839	0x05937	2	3	1	3	22	0 0 0 -1 0 0 0 0 0 0 0 -1 0 1 0 0 0	-15 -3 -2 -3 4 7 11 -7 1 -6 0 -1 5 -3 -6 7 -8	14 5 -6 -7 -1 7 10 0 -12 -8 1 -1 -7 13 6 -13 -1	1 1 -1 0 1 -1 0 0 -1 -2 -2 1 1 0 -1 0 0
71	12581	0x03125	2	3	1	3	22	0 0 0 -1 0 0 0 0 0 0 0 1 0 0 -1 0 0	-3 0 2 1 3 -1 4 -1 1 -3 0 -1 1 -2 1 3 -2	-4 9 0 9 7 -4 0 2 0 -2 -1 -3 0 3 -7 -7 0	1 2 -1 0 0 1 0 0 1 0 0 0 1 1 0 0 0
72	22435	0x057a3	2	3	1	3	19	0 0 0 -1 1 0 0 0 0 0 0 0 -1 0 0 0 0	-4 0 -2 -1 3 2 4 -1 1 -4 0 -2 3 -2 -1 3 -2	-15 9 1 22 13 -9 -2 3 4 -2 -1 -7 5 -2 -16 -7 1	1 -1 0 2 0 -1 2 1 -1 -1 -1 0 1 0 1 0 0
73	13902	0x0364e	2	3	1	3	20	0 0 0 -1 1 0 0 0 0 0 0 0 0 0 -1 0 0	-3 0 1 0 3 0 4 -1 1 -3 0 -1 2 -2 0 3 -2	-9 29 2 21 13 -8 -8 10 5 -3 -5 -2 -3 -1 -16 -10 0	2 1 -1 1 0 0 1 0 0 -1 -1 0 1 1 0 0 0
74	7694	0x01e0e	2	3	1	3	19	0 0 0 0 -1 0 -1 1 0 0 0 0 0 0 0 0 0	-11 -3 0 -1 2 5 8 -5 0 -4 0 0 3 -2 -4 5 -6	27 -10 -9 -27 -11 14 16 -5 -19 -9 2 3 -10 17 20 -9 -2	0 1 -1 -1 0 0 -2 0 0 -1 -1 1 1 0 -2 0 0
75	50078	0x0c39e	2	3	1	3	18	0 0 0 0 -1 0 0 0 -1 0 0 1 0 0 0 0 0	-10 -3 2 -2 2 4 7 -5 0 -2 1 0 2 -2 -4 5 -6	10 -41 -6 -20 -8 8 20 -16 -13 -1 11 -5 6 11 16 1 0	2 3 -3 -3 -1 2 -2 -1 1 -1 0 0 0 0 -1 1 0
