priority_rank	orbit_mask	orbit_hex	group_addition_upper_bound	support_count	maximum_absolute_coefficient	coefficient_l1	minimal_unoriented_count	section_basis_w	direct_alternate_w	historical_alternate_w	short_basis_w
19181	109912	0x1ad58	8	9	1	9	23	-1 -1 1 0 1 1 -1 0 0 1 0 0 -1 -1 0 0 0	3 1 2 1 -2 -3 -3 2 1 1 2 -1 -2 1 2 -2 2	-4 -26 -3 0 4 -1 7 -6 0 0 12 -5 6 2 1 1 1	2 2 0 -1 -1 2 -1 0 1 0 1 -1 0 1 0 1 -1
19182	30916	0x078c4	8	9	1	9	23	-1 -1 1 1 -1 0 0 1 1 0 0 0 -1 -1 0 0 0	-4 -2 0 0 -1 2 2 -2 0 -2 2 0 1 -1 -1 2 -2	20 -38 -8 -38 -19 12 11 -11 -11 0 5 7 -2 7 27 10 -1	0 4 -1 -2 0 2 -3 -1 2 0 2 -1 -1 1 -1 0 0
19183	81422	0x13e0e	8	9	1	9	22	-1 -1 1 1 0 -1 -1 0 1 1 0 0 0 -1 0 0 0	-3 -2 3 -1 1 0 2 0 0 -1 1 -1 0 -1 0 2 -2	16 -54 -6 -34 -17 12 19 -19 -12 2 12 0 6 9 26 10 0	0 5 -1 -3 0 4 -4 -2 4 1 3 -1 -1 1 0 0 -1
19184	68188	0x10a5c	8	9	1	9	22	-1 -1 1 1 0 -1 0 0 1 -1 0 0 1 0 1 0 0	4 0 -2 1 -1 -1 -2 3 0 -1 -2 -1 -2 2 2 -3 2	-2 12 2 5 0 -1 -3 2 1 0 -6 0 0 -4 -4 0 0	-2 0 1 1 1 0 -1 0 0 1 0 1 0 0 0 0 1
19185	27955	0x06d33	8	9	1	9	19	-1 -1 1 1 0 -1 0 0 1 0 -1 0 1 -1 0 0 0	-10 -4 0 -1 2 5 8 -5 0 -4 1 0 2 -2 -4 5 -6	14 -11 -6 -17 -7 7 9 -4 -11 -5 0 2 -4 7 12 -2 -1	1 5 -2 -2 -1 3 -4 -2 3 0 1 -1 0 1 -1 0 0
19186	11260	0x02bfc	8	9	1	9	20	-1 -1 1 1 0 -1 0 0 1 0 -1 1 0 -1 0 0 0	-3 -2 0 1 1 1 3 -1 0 -3 1 -1 0 -1 0 2 -2	3 -24 -4 -12 -5 2 8 -8 -6 -1 2 -1 4 2 8 4 0	0 4 -1 -1 -1 3 -3 -1 3 1 2 -1 0 1 0 0 0
19187	76669	0x12b7d	8	9	1	9	21	-1 -1 1 1 0 -1 0 0 1 0 0 -1 1 0 0 0 1	1 -2 -1 0 0 -1 -1 2 0 -2 0 -2 -1 2 2 -1 1	19 -43 -5 -33 -18 14 16 -15 -10 2 11 2 2 9 26 8 0	-1 4 -1 -3 1 3 -3 -2 3 1 2 -1 -2 1 0 0 -1
19188	6078	0x017be	8	9	1	9	20	-1 -1 1 1 0 -1 0 0 1 0 0 -1 1 0 1 0 0	3 0 -1 0 -2 -1 -3 2 0 1 -1 0 -2 2 1 -3 2	7 -9 0 -11 -8 6 3 -4 -2 2 2 2 0 0 9 5 0	-2 1 1 -1 1 1 -2 -1 1 1 1 0 -1 0 0 0 0
19189	60573	0x0ec9d	8	9	1	9	21	-1 -1 1 1 0 -1 0 0 1 0 0 0 0 -1 1 1 0	10 2 -1 3 -3 -5 -8 5 -1 2 0 0 -4 3 5 -5 6	4 -17 1 -17 -13 4 -2 -5 2 6 -1 6 2 -5 12 14 0	-3 2 1 -1 1 2 -2 -1 2 2 3 -1 -2 1 1 -1 0
19190	36208	0x08d70	8	9	1	9	20	-1 -1 1 1 0 -1 0 0 1 0 0 0 1 -1 0 1 0	11 2 2 4 -3 -7 -8 5 -1 3 0 1 -5 3 6 -5 6	10 3 2 -18 -13 5 -8 2 3 5 -5 11 -6 -4 12 11 -1	-2 4 0 -2 1 3 -3 -2 3 2 3 -1 -2 2 0 -1 0
19191	89612	0x15e0c	8	9	1	9	20	-1 -1 1 1 0 -1 0 0 1 1 -1 0 0 0 -1 0 0	0 -1 3 2 -1 -3 -1 0 0 0 2 0 -2 0 2 0 0	20 -35 -6 -36 -17 12 10 -10 -9 1 8 7 -3 8 26 9 -1	0 6 -1 -3 0 4 -4 -2 4 1 3 -1 -1 2 -1 0 -1
