priority_rank	orbit_mask	orbit_hex	group_addition_upper_bound	support_count	maximum_absolute_coefficient	coefficient_l1	minimal_unoriented_count	section_basis_w	direct_alternate_w	historical_alternate_w	short_basis_w
51785	65312	0x0ff20	14	12	2	15	2	-2 1 1 1 1 0 -1 -1 1 2 -1 -2 0 0 0 0 -1	-8 -2 2 -3 0 4 5 -4 1 0 1 1 2 -2 -5 3 -5	0 -2 -2 1 2 0 3 -1 -3 -2 1 -2 1 1 -1 -2 0	2 0 0 0 0 -1 0 0 -1 -1 -1 1 1 -1 -1 1 0
51786	71197	0x1161d	14	12	2	15	3	-2 1 1 1 1 0 -1 -1 1 2 -1 -2 0 0 0 1 0	6 1 0 2 -3 -4 -6 3 0 2 1 0 -3 3 3 -4 4	8 -19 -2 -16 -9 6 4 -5 -2 2 5 3 0 2 12 6 0	-1 0 1 -1 1 0 0 0 0 1 1 0 -1 0 0 0 -1
51787	84914	0x14bb2	14	12	2	15	3	-2 1 1 1 1 0 -1 -1 1 2 0 -2 0 -1 0 1 0	7 1 2 0 -2 -4 -6 4 0 3 1 0 -2 2 3 -3 4	0 -32 1 -14 -10 3 3 -10 3 8 7 1 8 -3 11 14 1	0 1 0 -2 1 1 0 -1 1 1 2 -1 -2 0 1 0 -1
51788	53635	0x0d183	14	12	2	15	3	-2 1 1 1 1 0 -1 0 0 2 -2 0 -1 -1 0 1 -1	5 2 2 4 -4 -4 -5 1 0 3 2 2 -3 1 2 -3 3	-10 4 0 10 8 -7 -5 4 4 -1 -1 -1 1 -5 -9 0 0	1 -1 0 0 -2 0 0 1 -1 0 0 0 1 0 -1 1 0
51789	34259	0x085d3	14	12	2	15	3	-2 1 1 1 1 0 -1 0 0 2 -1 -2 0 -1 0 1 -1	-5 -1 3 -1 -2 2 2 -4 0 2 2 3 1 -1 -4 2 -3	6 7 -2 -5 -1 2 -2 4 -2 -2 -1 4 -6 1 3 -1 -1	3 1 -2 -2 -1 0 -1 -1 -1 -2 -1 0 0 0 -2 1 0
51790	31072	0x07960	14	12	2	15	2	-2 1 1 1 1 0 -1 0 1 1 0 -2 0 -2 1 1 0	3 0 -2 -1 -1 1 -2 2 0 0 0 0 1 1 0 -1 2	-9 -4 2 7 1 -4 -3 -1 5 3 -2 -2 6 -7 -5 5 1	0 -2 0 0 0 -1 1 0 -1 0 0 -1 -1 -1 1 0 0
51791	60498	0x0ec52	14	12	2	15	3	-2 1 1 1 1 0 -1 0 1 2 -2 -1 -1 0 0 0 -1	1 1 0 2 -3 -1 -2 0 1 1 1 1 -1 0 0 -2 1	-8 12 -1 13 10 -6 -4 6 2 -4 -2 -2 -1 -3 -11 -5 0	0 -3 2 2 -1 -2 1 2 -2 0 -1 1 2 -1 -1 1 0
51792	36287	0x08dbf	14	12	2	15	7	-2 1 1 1 1 0 -1 0 1 2 -2 -1 0 0 -1 0 -1	2 1 3 3 -3 -3 -2 0 1 2 1 2 -2 0 1 -2 1	-2 32 0 12 10 -5 -10 13 3 -5 -6 3 -9 -2 -11 -8 -1	1 -1 1 1 -1 -1 0 1 -1 0 -1 1 2 0 -2 1 0
51793	73231	0x11e0f	14	12	2	15	4	-2 1 1 1 1 0 -1 0 1 2 -1 -2 0 -1 0 1 0	9 2 0 3 -4 -5 -8 4 0 3 1 1 -3 3 4 -5 6	3 -5 0 -7 -4 2 -3 1 3 2 2 4 -2 -2 5 5 0	-1 -1 1 -1 0 0 0 0 0 1 1 -1 -1 0 0 0 -1
51794	47106	0x0b802	14	12	2	15	4	-2 1 1 1 1 0 -1 0 1 2 -1 -1 -2 0 0 0 -1	5 2 1 1 -3 -3 -5 3 1 2 1 0 -1 0 2 -3 3	-14 -11 1 8 5 -7 -3 -2 6 3 2 -3 8 -7 -7 6 1	0 -3 2 2 0 -2 2 2 -2 0 0 1 1 -1 0 1 0
