priority_rank	orbit_mask	orbit_hex	short_orbit_mask	coefficient_l1	support_count	maximum_absolute_coefficient	minimal_unoriented_count	section_basis_w	short_basis_w
1	9	0x00009	119	2	2	1	3	-1 0 0 -1 0 0 0 0 0 0 0 0 0 0 0 0 0	-1 -1 -1 0 -1 -1 -1 0 0 0 0 0 0 0 0 0 0
2	33	0x00021	248	2	2	1	5	-1 0 0 0 0 -1 0 0 0 0 0 0 0 0 0 0 0	0 0 0 -1 -1 -1 -1 -1 0 0 0 0 0 0 0 0 0
3	257	0x00101	11980	2	2	1	6	-1 0 0 0 0 0 0 0 -1 0 0 0 0 0 0 0 0	-2 0 -1 1 0 0 -1 1 0 -1 1 1 0 -1 0 0 0
4	513	0x00201	11589	2	2	1	3	-1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0	-1 0 -1 2 0 0 -1 2 -1 -2 1 1 0 -1 0 0 0
5	18	0x00012	87	2	2	1	3	0 -1 0 0 -1 0 0 0 0 0 0 0 0 0 0 0 0	-1 -1 -1 0 -1 0 -1 0 0 0 0 0 0 0 0 0 0
6	34	0x00022	251	2	2	1	4	0 -1 0 0 0 -1 0 0 0 0 0 0 0 0 0 0 0	1 -1 0 -1 -1 -1 -1 -1 0 0 0 0 0 0 0 0 0
7	66	0x00042	71	2	2	1	4	0 -1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0	-1 1 -1 0 0 0 -1 0 0 0 0 0 0 0 0 0 0
8	16388	0x04004	16259	2	2	1	5	0 0 -1 0 0 0 0 0 0 0 0 0 0 0 1 0 0	-1 -1 -2 2 0 0 0 1 -1 -1 1 1 -1 -1 0 0 0
9	32776	0x08008	60933	2	2	1	2	0 0 0 -1 0 0 0 0 0 0 0 0 0 0 0 -1 0	3 2 3 -2 0 0 2 -2 0 1 -1 -1 0 1 1 -1 0
10	1032	0x00408	74252	2	2	1	3	0 0 0 -1 0 0 0 0 0 0 1 0 0 0 0 0 0	0 2 1 -1 0 0 0 0 0 -1 0 0 0 -1 0 0 -1
11	32784	0x08010	60966	2	2	1	3	0 0 0 0 -1 0 0 0 0 0 0 0 0 0 0 -1 0	4 1 3 -2 0 -1 2 -2 0 1 -1 -1 0 1 1 -1 0
12	8208	0x02010	26248	2	2	1	5	0 0 0 0 -1 0 0 0 0 0 0 0 0 1 0 0 0	0 0 0 1 2 0 0 1 0 -1 1 0 0 -1 -1 0 0
13	32800	0x08020	61066	2	2	1	3	0 0 0 0 0 -1 0 0 0 0 0 0 0 0 0 -1 0	2 1 2 -1 0 0 2 -1 0 1 -1 -1 0 1 1 -1 0
14	65600	0x10040	43306	2	2	1	4	0 0 0 0 0 0 -1 0 0 0 0 0 0 0 0 0 1	0 1 0 1 2 1 0 0 -1 0 0 -1 0 1 0 -1 0
15	2112	0x00840	14616	2	2	1	4	0 0 0 0 0 0 -1 0 0 0 0 1 0 0 0 0 0	0 0 0 3 1 0 0 2 -1 -2 2 1 -1 -1 0 0 0
16	576	0x00240	11521	2	2	1	4	0 0 0 0 0 0 -1 0 0 1 0 0 0 0 0 0 0	-1 0 0 2 0 0 0 2 -1 -2 1 1 0 -1 0 0 0
17	2176	0x00880	14677	2	2	1	5	0 0 0 0 0 0 0 -1 0 0 0 -1 0 0 0 0 0	-1 0 -1 2 1 0 -1 2 -1 -2 2 1 -1 -1 0 0 0
18	4352	0x01100	12237	2	2	1	6	0 0 0 0 0 0 0 0 -1 0 0 0 -1 0 0 0 0	-1 0 -1 1 0 0 -1 1 -1 -1 1 1 0 -1 0 0 0
19	33280	0x08200	49975	2	2	1	3	0 0 0 0 0 0 0 0 0 -1 0 0 0 0 0 1 0	1 1 1 0 -1 -1 0 0 -1 -1 0 0 0 0 1 -1 0
20	8704	0x02200	19353	2	2	1	4	0 0 0 0 0 0 0 0 0 -1 0 0 0 1 0 0 0	1 0 0 -1 1 0 0 -1 1 1 0 -1 0 0 -1 0 0
21	33792	0x08400	117769	2	2	1	5	0 0 0 0 0 0 0 0 0 0 -1 0 0 0 0 1 0	3 2 2 -3 -2 -2 0 -2 0 0 -1 -1 0 0 1 -1 -1
22	17408	0x04400	73145	2	2	1	4	0 0 0 0 0 0 0 0 0 0 -1 0 0 0 1 0 0	1 2 2 -3 -1 -1 0 -1 1 0 -1 -1 1 0 0 0 -1
23	3072	0x00c00	72487	2	2	1	2	0 0 0 0 0 0 0 0 0 0 -1 1 0 0 0 0 0	1 1 1 -4 -2 -1 0 -2 1 1 -2 -1 1 0 0 0 -1
24	12288	0x03000	26589	2	2	1	4	0 0 0 0 0 0 0 0 0 0 0 0 -1 1 0 0 0	-1 0 -1 1 1 0 -1 1 1 -1 1 0 0 -1 -1 0 0
25	73728	0x12000	53170	2	2	1	5	0 0 0 0 0 0 0 0 0 0 0 0 0 -1 0 0 1	0 1 0 2 3 1 0 1 -1 -1 1 -1 0 0 -1 -1 0
26	32771	0x08003	61040	3	3	1	5	-1 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0	2 0 2 -2 -1 -1 1 -2 0 1 -1 -1 0 1 1 -1 0
27	1027	0x00403	74361	3	3	1	3	-1 -1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0	1 2 0 -1 -1 -1 -1 0 0 -1 0 0 0 -1 0 0 -1
28	131	0x00083	11	3	3	1	5	-1 -1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0	1 1 0 -1 0 0 0 0 0 0 0 0 0 0 0 0 0
29	32773	0x08005	60978	3	3	1	5	-1 0 -1 0 0 0 0 0 0 0 0 0 0 0 0 1 0	2 1 2 -2 -1 -1 0 -2 0 1 -1 -1 0 1 1 -1 0
30	8197	0x02005	26268	3	3	1	4	-1 0 -1 0 0 0 0 0 0 0 0 0 0 1 0 0 0	0 0 -1 1 1 0 0 1 0 -1 1 0 0 -1 -1 0 0
31	4101	0x01005	321	3	3	1	6	-1 0 -1 0 0 0 0 0 0 0 0 0 1 0 0 0 0	1 0 0 0 0 0 1 0 -1 0 0 0 0 0 0 0 0
32	133	0x00085	73	3	3	1	5	-1 0 -1 0 0 0 0 1 0 0 0 0 0 0 0 0 0	-1 0 0 1 0 0 -1 0 0 0 0 0 0 0 0 0 0
33	21	0x00015	20	3	3	1	6	-1 0 -1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	0 0 -1 0 -1 0 0 0 0 0 0 0 0 0 0 0 0
34	65545	0x10009	43288	3	3	1	2	-1 0 0 -1 0 0 0 0 0 0 0 0 0 0 0 0 1	0 0 0 1 1 0 0 0 -1 0 0 -1 0 1 0 -1 0
35	32777	0x08009	60932	3	3	1	5	-1 0 0 -1 0 0 0 0 0 0 0 0 0 0 0 1 0	2 0 1 -2 -2 -2 0 -2 0 1 -1 -1 0 1 1 -1 0
36	265	0x00109	11962	3	3	1	4	-1 0 0 -1 0 0 0 0 1 0 0 0 0 0 0 0 0	0 1 0 1 1 1 0 1 0 -1 1 1 0 -1 0 0 0
37	41	0x00029	142	3	3	1	4	-1 0 0 -1 0 1 0 0 0 0 0 0 0 0 0 0 0	2 1 1 -1 0 0 0 -1 0 0 0 0 0 0 0 0 0
38	16401	0x04011	16279	3	3	1	3	-1 0 0 0 -1 0 0 0 0 0 0 0 0 0 1 0 0	1 -1 -1 2 1 0 0 1 -1 -1 1 1 -1 -1 0 0 0
39	4113	0x01011	340	3	3	1	4	-1 0 0 0 -1 0 0 0 0 0 0 0 1 0 0 0 0	2 0 1 0 1 0 1 0 -1 0 0 0 0 0 0 0 0
40	145	0x00091	92	3	3	1	3	-1 0 0 0 -1 0 0 1 0 0 0 0 0 0 0 0 0	-2 0 -1 1 -1 0 -1 0 0 0 0 0 0 0 0 0 0
41	32801	0x08021	61067	3	3	1	6	-1 0 0 0 0 -1 0 0 0 0 0 0 0 0 0 1 0	3 1 2 -3 -2 -2 0 -3 0 1 -1 -1 0 1 1 -1 0
42	2081	0x00821	14757	3	3	1	3	-1 0 0 0 0 -1 0 0 0 0 0 1 0 0 0 0 0	-1 0 -1 4 2 1 0 3 -1 -2 2 1 -1 -1 0 0 0
43	545	0x00221	11708	3	3	1	3	-1 0 0 0 0 -1 0 0 0 1 0 0 0 0 0 0 0	-2 0 -1 3 1 1 0 3 -1 -2 1 1 0 -1 0 0 0
44	289	0x00121	11829	3	3	1	5	-1 0 0 0 0 -1 0 0 1 0 0 0 0 0 0 0 0	-1 0 -1 2 1 1 0 2 0 -1 1 1 0 -1 0 0 0
45	1089	0x00441	74302	3	3	1	4	-1 0 0 0 0 0 -1 0 0 0 1 0 0 0 0 0 0	2 1 1 -1 -1 -1 0 0 0 -1 0 0 0 -1 0 0 -1
46	4225	0x01081	265	3	3	1	4	-1 0 0 0 0 0 0 -1 0 0 0 0 1 0 0 0 0	1 0 0 1 0 0 0 0 -1 0 0 0 0 0 0 0 0
47	4353	0x01101	12236	3	3	1	6	-1 0 0 0 0 0 0 0 -1 0 0 0 1 0 0 0 0	-2 0 -1 1 0 0 -1 1 1 -1 1 1 0 -1 0 0 0
48	16897	0x04201	4742	3	3	1	4	-1 0 0 0 0 0 0 0 0 -1 0 0 0 0 1 0 0	2 -1 -1 0 0 0 0 -1 0 1 0 0 -1 0 0 0 0
49	4609	0x01201	11333	3	3	1	3	-1 0 0 0 0 0 0 0 0 -1 0 0 1 0 0 0 0	-3 0 -1 2 0 0 -1 2 0 -2 1 1 0 -1 0 0 0
50	2561	0x00a01	5144	3	3	1	4	-1 0 0 0 0 0 0 0 0 -1 0 1 0 0 0 0 0	2 0 0 1 1 0 0 0 0 0 1 0 -1 0 0 0 0
51	34817	0x08801	55087	3	3	1	3	-1 0 0 0 0 0 0 0 0 0 0 -1 0 0 0 1 0	1 1 1 1 0 -1 0 0 -1 -1 1 0 -1 0 1 -1 0
52	10241	0x02801	24449	3	3	1	3	-1 0 0 0 0 0 0 0 0 0 0 -1 0 1 0 0 0	1 0 0 -2 0 0 0 -1 1 1 -1 -1 1 0 -1 0 0
53	6145	0x01801	14428	3	3	1	3	-1 0 0 0 0 0 0 0 0 0 0 -1 1 0 0 0 0	-2 0 -1 3 1 0 -1 2 0 -2 2 1 -1 -1 0 0 0
54	20481	0x05001	16066	3	3	1	4	-1 0 0 0 0 0 0 0 0 0 0 0 -1 0 1 0 0	0 -1 -2 2 0 0 -1 1 0 -1 1 1 -1 -1 0 0 0
55	40961	0x0a001	34991	3	3	1	4	-1 0 0 0 0 0 0 0 0 0 0 0 0 -1 0 1 0	1 1 1 -1 0 -1 0 -1 0 0 0 -1 0 0 0 -1 0
56	98305	0x18001	18205	3	3	1	6	-1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 -1	-1 0 -1 3 3 2 0 2 -1 -1 1 0 0 0 -1 0 0
57	81921	0x14001	38573	3	3	1	4	-1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 -1	1 0 -1 3 2 1 0 1 -2 -1 1 0 -1 0 0 -1 0
58	69633	0x11001	43118	3	3	1	4	-1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 -1	2 1 1 1 2 1 1 0 -2 0 0 -1 0 1 0 -1 0
59	12289	0x03001	26588	3	3	1	4	-1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0	0 0 -1 1 1 0 -1 1 -1 -1 1 0 0 -1 -1 0 0
60	3073	0x00c01	72486	3	3	1	5	-1 0 0 0 0 0 0 0 0 0 1 -1 0 0 0 0 0	2 1 1 -4 -2 -1 0 -2 1 1 -2 -1 1 0 0 0 -1
61	5121	0x01401	74619	3	3	1	6	-1 0 0 0 0 0 0 0 0 0 1 0 -1 0 0 0 0	1 1 0 -1 -1 -1 -1 0 1 -1 0 0 0 -1 0 0 -1
62	9217	0x02401	83110	3	3	1	5	-1 0 0 0 0 0 0 0 0 0 1 0 0 -1 0 0 0	2 1 1 -2 -2 -1 0 -1 0 0 -1 0 0 0 1 0 -1
63	641	0x00281	11597	3	3	1	4	-1 0 0 0 0 0 0 1 0 -1 0 0 0 0 0 0 0	-3 0 -1 3 0 0 -1 2 -1 -2 1 1 0 -1 0 0 0
64	65665	0x10081	43366	3	3	1	4	-1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 -1	2 1 1 0 2 1 1 0 -1 0 0 -1 0 1 0 -1 0
65	577	0x00241	11520	3	3	1	6	-1 0 0 0 0 0 1 0 0 -1 0 0 0 0 0 0 0	-2 0 0 2 0 0 0 2 -1 -2 1 1 0 -1 0 0 0
66	2113	0x00841	14617	3	3	1	5	-1 0 0 0 0 0 1 0 0 0 0 -1 0 0 0 0 0	-1 0 0 3 1 0 0 2 -1 -2 2 1 -1 -1 0 0 0
67	4161	0x01041	324	3	3	1	4	-1 0 0 0 0 0 1 0 0 0 0 0 -1 0 0 0 0	0 0 1 0 0 0 1 0 -1 0 0 0 0 0 0 0 0
68	16449	0x04041	16263	3	3	1	3	-1 0 0 0 0 0 1 0 0 0 0 0 0 0 -1 0 0	-1 -1 -1 2 0 0 0 1 -1 -1 1 1 -1 -1 0 0 0
69	32833	0x08041	60983	3	3	1	3	-1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 -1 0	3 1 1 -2 -1 -1 0 -2 0 1 -1 -1 0 1 1 -1 0
70	65601	0x10041	43307	3	3	1	5	-1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 -1	1 1 0 1 2 1 0 0 -1 0 0 -1 0 1 0 -1 0
71	273	0x00111	11929	3	3	1	5	-1 0 0 0 1 0 0 0 -1 0 0 0 0 0 0 0 0	-1 0 0 1 1 0 0 1 0 -1 1 1 0 -1 0 0 0
72	13	0x0000d	55	3	3	1	4	-1 0 1 -1 0 0 0 0 0 0 0 0 0 0 0 0 0	-1 -1 -1 0 -1 -1 0 0 0 0 0 0 0 0 0 0 0
73	7	0x00007	67	3	3	1	3	-1 1 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	-1 1 0 0 0 0 -1 0 0 0 0 0 0 0 0 0 0
74	35	0x00023	250	3	3	1	4	-1 1 0 0 0 -1 0 0 0 0 0 0 0 0 0 0 0	0 1 0 -1 -1 -1 -1 -1 0 0 0 0 0 0 0 0 0
75	515	0x00203	11591	3	3	1	5	-1 1 0 0 0 0 0 0 0 -1 0 0 0 0 0 0 0	-3 1 -1 2 0 0 -1 2 -1 -2 1 1 0 -1 0 0 0
76	2051	0x00803	14686	3	3	1	3	-1 1 0 0 0 0 0 0 0 0 0 -1 0 0 0 0 0	-2 1 -1 3 1 0 -1 2 -1 -2 2 1 -1 -1 0 0 0
77	65539	0x10003	43372	3	3	1	5	-1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1	2 0 1 1 2 1 1 0 -1 0 0 -1 0 1 0 -1 0
78	32774	0x08006	60977	3	3	1	5	0 -1 -1 0 0 0 0 0 0 0 0 0 0 0 0 1 0	3 0 2 -2 -1 -1 0 -2 0 1 -1 -1 0 1 1 -1 0
79	8198	0x02006	26271	3	3	1	4	0 -1 -1 0 0 0 0 0 0 0 0 0 0 1 0 0 0	-1 1 -1 1 1 0 0 1 0 -1 1 0 0 -1 -1 0 0
80	518	0x00206	11526	3	3	1	4	0 -1 -1 0 0 0 0 0 0 1 0 0 0 0 0 0 0	-2 1 -1 2 0 0 0 2 -1 -2 1 1 0 -1 0 0 0
81	262	0x00106	11919	3	3	1	4	0 -1 -1 0 0 0 0 0 1 0 0 0 0 0 0 0 0	-1 1 -1 1 0 0 0 1 0 -1 1 1 0 -1 0 0 0
82	134	0x00086	74	3	3	1	3	0 -1 -1 0 0 0 0 1 0 0 0 0 0 0 0 0 0	0 -1 0 1 0 0 -1 0 0 0 0 0 0 0 0 0 0
83	70	0x00046	7	3	3	1	4	0 -1 -1 0 0 0 1 0 0 0 0 0 0 0 0 0 0	-1 1 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
84	8202	0x0200a	26281	3	3	1	4	0 -1 0 -1 0 0 0 0 0 0 0 0 0 1 0 0 0	-1 2 0 1 2 1 0 1 0 -1 1 0 0 -1 -1 0 0
85	2058	0x0080a	14633	3	3	1	4	0 -1 0 -1 0 0 0 0 0 0 0 1 0 0 0 0 0	-1 2 0 3 2 1 0 2 -1 -2 2 1 -1 -1 0 0 0
86	266	0x0010a	11961	3	3	1	4	0 -1 0 -1 0 0 0 0 1 0 0 0 0 0 0 0 0	-1 2 0 1 1 1 0 1 0 -1 1 1 0 -1 0 0 0
87	138	0x0008a	124	3	3	1	3	0 -1 0 -1 0 0 0 1 0 0 0 0 0 0 0 0 0	0 -2 -1 1 -1 -1 -1 0 0 0 0 0 0 0 0 0 0
88	65554	0x10012	43320	3	3	1	4	0 -1 0 0 -1 0 0 0 0 0 0 0 0 0 0 0 1	0 0 0 1 1 1 0 0 -1 0 0 -1 0 1 0 -1 0
89	32786	0x08012	60964	3	3	1	4	0 -1 0 0 -1 0 0 0 0 0 0 0 0 0 0 1 0	2 0 1 -2 -2 -1 0 -2 0 1 -1 -1 0 1 1 -1 0
90	8210	0x02012	26250	3	3	1	4	0 -1 0 0 -1 0 0 0 0 0 0 0 0 1 0 0 0	0 1 0 1 2 0 0 1 0 -1 1 0 0 -1 -1 0 0
91	4114	0x01012	343	3	3	1	3	0 -1 0 0 -1 0 0 0 0 0 0 0 1 0 0 0 0	1 1 1 0 1 0 1 0 -1 0 0 0 0 0 0 0 0
92	2066	0x00812	14602	3	3	1	4	0 -1 0 0 -1 0 0 0 0 0 0 1 0 0 0 0 0	0 1 0 3 2 0 0 2 -1 -2 2 1 -1 -1 0 0 0
93	274	0x00112	11930	3	3	1	3	0 -1 0 0 -1 0 0 0 1 0 0 0 0 0 0 0 0	0 1 0 1 1 0 0 1 0 -1 1 1 0 -1 0 0 0
94	50	0x00032	174	3	3	1	3	0 -1 0 0 -1 1 0 0 0 0 0 0 0 0 0 0 0	2 1 1 -1 0 -1 0 -1 0 0 0 0 0 0 0 0 0
95	32802	0x08022	61064	3	3	1	3	0 -1 0 0 0 -1 0 0 0 0 0 0 0 0 0 1 0	4 0 2 -3 -2 -2 0 -3 0 1 -1 -1 0 1 1 -1 0
96	2082	0x00822	14758	3	3	1	4	0 -1 0 0 0 -1 0 0 0 0 0 1 0 0 0 0 0	-2 1 -1 4 2 1 0 3 -1 -2 2 1 -1 -1 0 0 0
97	98	0x00062	190	3	3	1	4	0 -1 0 0 0 -1 1 0 0 0 0 0 0 0 0 0 0	2 -1 1 -1 -1 -1 0 -1 0 0 0 0 0 0 0 0 0
98	32834	0x08042	60980	3	3	1	5	0 -1 0 0 0 0 -1 0 0 0 0 0 0 0 0 1 0	2 0 1 -2 -1 -1 0 -2 0 1 -1 -1 0 1 1 -1 0
99	16450	0x04042	16260	3	3	1	4	0 -1 0 0 0 0 -1 0 0 0 0 0 0 0 1 0 0	0 0 -1 2 0 0 0 1 -1 -1 1 1 -1 -1 0 0 0
100	1154	0x00482	74352	3	3	1	6	0 -1 0 0 0 0 0 -1 0 0 1 0 0 0 0 0 0	0 2 0 0 -1 -1 -1 0 0 -1 0 0 0 -1 0 0 -1
101	65794	0x10102	34720	3	3	1	4	0 -1 0 0 0 0 0 0 -1 0 0 0 0 0 0 0 1	0 0 0 2 2 1 0 1 -1 -1 1 0 0 0 0 -1 0
102	33026	0x08102	49340	3	3	1	4	0 -1 0 0 0 0 0 0 -1 0 0 0 0 0 0 1 0	2 0 1 -1 -1 -1 0 -1 0 0 0 0 0 0 1 -1 0
103	16642	0x04102	4364	3	3	1	3	0 -1 0 0 0 0 0 0 -1 0 0 0 0 0 1 0 0	0 0 -1 1 0 0 0 0 -1 0 0 0 -1 0 0 0 0
104	2306	0x00902	6034	3	3	1	5	0 -1 0 0 0 0 0 0 -1 0 0 1 0 0 0 0 0	0 1 0 2 1 0 0 1 -1 -1 1 0 -1 0 0 0 0
105	1282	0x00502	68789	3	3	1	2	0 -1 0 0 0 0 0 0 -1 0 1 0 0 0 0 0 0	1 2 1 -2 -1 -1 0 -1 0 0 -1 -1 0 0 0 0 -1
106	34818	0x08802	55084	3	3	1	4	0 -1 0 0 0 0 0 0 0 0 0 -1 0 0 0 1 0	2 0 1 1 0 -1 0 0 -1 -1 1 0 -1 0 1 -1 0
107	10242	0x02802	24450	3	3	1	4	0 -1 0 0 0 0 0 0 0 0 0 -1 0 1 0 0 0	0 1 0 -2 0 0 0 -1 1 1 -1 -1 1 0 -1 0 0
108	36866	0x09002	61297	3	3	1	3	0 -1 0 0 0 0 0 0 0 0 0 0 -1 0 0 1 0	3 0 2 -2 -1 -1 1 -2 -1 1 -1 -1 0 1 1 -1 0
109	40962	0x0a002	34988	3	3	1	4	0 -1 0 0 0 0 0 0 0 0 0 0 0 -1 0 1 0	2 0 1 -1 0 -1 0 -1 0 0 0 -1 0 0 0 -1 0
110	98306	0x18002	18206	3	3	1	5	0 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 -1	-2 1 -1 3 3 2 0 2 -1 -1 1 0 0 0 -1 0 0
111	81922	0x14002	38574	3	3	1	4	0 -1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 -1	0 1 -1 3 2 1 0 1 -2 -1 1 0 -1 0 0 -1 0
112	5122	0x01402	74616	3	3	1	6	0 -1 0 0 0 0 0 0 0 0 1 0 -1 0 0 0 0	0 2 0 -1 -1 -1 -1 0 1 -1 0 0 0 -1 0 0 -1
113	66562	0x10402	101143	3	3	1	3	0 -1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 -1	1 3 1 0 1 0 0 0 -1 -1 0 -1 0 0 0 -1 -1
114	33794	0x08402	117771	3	3	1	3	0 -1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0	-3 1 -2 1 0 0 -2 2 0 -2 1 1 0 -2 -1 1 -1
115	4610	0x01202	11334	3	3	1	3	0 -1 0 0 0 0 0 0 0 1 0 0 -1 0 0 0 0	-2 1 -1 2 0 0 -1 2 0 -2 1 1 0 -1 0 0 0
116	66050	0x10202	33833	3	3	1	5	0 -1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 -1	-1 2 0 3 2 1 0 2 -2 -2 1 0 0 0 0 -1 0
117	33282	0x08202	49973	3	3	1	3	0 -1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0	5 0 3 -4 -1 -1 2 -4 1 3 -2 -2 0 2 1 -1 0
118	4354	0x01102	12239	3	3	1	3	0 -1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0	-1 1 -1 1 0 0 -1 1 -1 -1 1 1 0 -1 0 0 0
119	386	0x00182	11975	3	3	1	3	0 -1 0 0 0 0 0 1 -1 0 0 0 0 0 0 0 0	-1 -1 -1 2 0 0 -1 1 0 -1 1 1 0 -1 0 0 0
120	65666	0x10082	43365	3	3	1	5	0 -1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 -1	1 2 1 0 2 1 1 0 -1 0 0 -1 0 1 0 -1 0
121	16396	0x0400c	16373	3	3	1	5	0 0 -1 -1 0 0 0 0 0 0 0 0 0 0 1 0 0	-1 0 -1 2 1 1 1 1 -1 -1 1 1 -1 -1 0 0 0
122	8204	0x0200c	26347	3	3	1	5	0 0 -1 -1 0 0 0 0 0 0 0 0 0 1 0 0 0	-1 1 0 1 2 1 1 1 0 -1 1 0 0 -1 -1 0 0
123	2060	0x0080c	14699	3	3	1	4	0 0 -1 -1 0 0 0 0 0 0 0 1 0 0 0 0 0	-1 1 0 3 2 1 1 2 -1 -2 2 1 -1 -1 0 0 0
124	1036	0x0040c	74316	3	3	1	5	0 0 -1 -1 0 0 0 0 0 0 1 0 0 0 0 0 0	0 2 1 -1 0 0 1 0 0 -1 0 0 0 -1 0 0 -1
125	1044	0x00414	74351	3	3	1	5	0 0 -1 0 -1 0 0 0 0 0 1 0 0 0 0 0 0	1 1 1 -1 0 -1 1 0 0 -1 0 0 0 -1 0 0 -1
126	52	0x00034	236	3	3	1	4	0 0 -1 0 -1 1 0 0 0 0 0 0 0 0 0 0 0	2 0 1 -1 0 -1 1 -1 0 0 0 0 0 0 0 0 0
127	1060	0x00424	74435	3	3	1	5	0 0 -1 0 0 -1 0 0 0 0 1 0 0 0 0 0 0	-1 1 0 0 0 0 1 1 0 -1 0 0 0 -1 0 0 -1
128	292	0x00124	11892	3	3	1	5	0 0 -1 0 0 -1 0 0 1 0 0 0 0 0 0 0 0	-2 0 -1 2 1 1 1 2 0 -1 1 1 0 -1 0 0 0
129	100	0x00064	252	3	3	1	4	0 0 -1 0 0 -1 1 0 0 0 0 0 0 0 0 0 0	2 0 1 -1 -1 -1 -1 -1 0 0 0 0 0 0 0 0 0
130	1092	0x00444	74367	3	3	1	5	0 0 -1 0 0 0 -1 0 0 0 1 0 0 0 0 0 0	1 1 1 -1 -1 -1 1 0 0 -1 0 0 0 -1 0 0 -1
131	8324	0x02084	26261	3	3	1	3	0 0 -1 0 0 0 0 -1 0 0 0 0 0 1 0 0 0	-1 0 -1 2 1 0 0 1 0 -1 1 0 0 -1 -1 0 0
132	4228	0x01084	328	3	3	1	4	0 0 -1 0 0 0 0 -1 0 0 0 0 1 0 0 0 0	0 0 0 1 0 0 1 0 -1 0 0 0 0 0 0 0 0
133	644	0x00284	11532	3	3	1	5	0 0 -1 0 0 0 0 -1 0 1 0 0 0 0 0 0 0	-2 0 -1 3 0 0 0 2 -1 -2 1 1 0 -1 0 0 0
134	388	0x00184	11909	3	3	1	4	0 0 -1 0 0 0 0 -1 1 0 0 0 0 0 0 0 0	-1 0 -1 2 0 0 0 1 0 -1 1 1 0 -1 0 0 0
135	8452	0x02104	18512	3	3	1	4	0 0 -1 0 0 0 0 0 -1 0 0 0 0 1 0 0 0	0 0 0 0 1 0 1 0 0 0 0 -1 0 0 -1 0 0
136	1284	0x00504	68855	3	3	1	5	0 0 -1 0 0 0 0 0 -1 0 1 0 0 0 0 0 0	1 1 1 -2 -1 -1 1 -1 0 0 -1 -1 0 0 0 0 -1
137	772	0x00304	969	3	3	1	2	0 0 -1 0 0 0 0 0 -1 1 0 0 0 0 0 0 0	-1 0 0 1 0 0 1 1 -1 -1 0 0 0 0 0 0 0
138	1540	0x00604	69502	3	3	1	3	0 0 -1 0 0 0 0 0 0 -1 1 0 0 0 0 0 0	2 1 1 -3 -1 -1 1 -2 1 1 -1 -1 0 0 0 0 -1
139	18436	0x04804	1758	3	3	1	4	0 0 -1 0 0 0 0 0 0 0 0 -1 0 0 1 0 0	0 -1 -1 -1 -1 0 1 -1 0 1 -1 0 0 0 0 0 0
140	10244	0x02804	24512	3	3	1	4	0 0 -1 0 0 0 0 0 0 0 0 -1 0 1 0 0 0	0 0 0 -2 0 0 1 -1 1 1 -1 -1 1 0 -1 0 0
141	20484	0x05004	16003	3	3	1	4	0 0 -1 0 0 0 0 0 0 0 0 0 -1 0 1 0 0	-1 -1 -2 2 0 0 0 1 0 -1 1 1 -1 -1 0 0 0
142	24580	0x06004	22878	3	3	1	5	0 0 -1 0 0 0 0 0 0 0 0 0 0 1 -1 0 0	0 1 1 -1 1 0 1 0 1 0 0 -1 1 0 -1 0 0
143	3076	0x00c04	72551	3	3	1	3	0 0 -1 0 0 0 0 0 0 0 1 -1 0 0 0 0 0	1 1 1 -4 -2 -1 1 -2 1 1 -2 -1 1 0 0 0 -1
144	9220	0x02404	83175	3	3	1	3	0 0 -1 0 0 0 0 0 0 0 1 0 0 -1 0 0 0	1 1 1 -2 -2 -1 1 -1 0 0 -1 0 0 0 1 0 -1
145	17412	0x04404	73209	3	3	1	5	0 0 -1 0 0 0 0 0 0 0 1 0 0 0 -1 0 0	1 2 2 -3 -1 -1 1 -1 1 0 -1 -1 1 0 0 0 -1
146	33796	0x08404	117833	3	3	1	3	0 0 -1 0 0 0 0 0 0 0 1 0 0 0 0 -1 0	3 2 2 -3 -2 -2 1 -2 0 0 -1 -1 0 0 1 -1 -1
