priority_rank	orbit_mask	orbit_hex	short_orbit_mask	coefficient_l1	support_count	maximum_absolute_coefficient	minimal_unoriented_count	section_basis_w	short_basis_w
19519	121441	0x1da61	28027	9	9	1	5	-1 0 0 0 0 -1 1 0 0 -1 0 1 1 0 -1 -1 1	-3 -1 -2 3 1 1 -1 2 -1 -2 1 1 0 -1 -1 0 0
19520	96865	0x17a61	58837	9	9	1	4	-1 0 0 0 0 -1 1 0 0 -1 0 1 1 1 -1 0 1	1 0 1 0 -1 0 1 -1 -1 0 -1 0 0 1 1 -1 0
19521	89697	0x15e61	106866	9	9	1	4	-1 0 0 0 0 -1 1 0 0 -1 1 1 1 0 -1 0 1	0 1 0 -2 -1 -1 -1 0 1 0 0 0 0 -1 0 1 -1
19522	113761	0x1bc61	80731	9	9	1	4	-1 0 0 0 0 -1 1 0 0 0 -1 -1 1 1 0 -1 1	-1 1 0 3 1 0 -1 2 -1 -3 2 1 -1 -1 0 0 -1
19523	97377	0x17c61	125675	9	9	1	5	-1 0 0 0 0 -1 1 0 0 0 -1 1 1 1 -1 0 1	3 1 2 -3 -2 -1 1 -3 0 1 -2 -1 0 1 1 -1 -1
19524	129121	0x1f861	9954	9	9	1	5	-1 0 0 0 0 -1 1 0 0 0 0 1 1 -1 -1 1 1	4 1 2 -2 0 -1 1 -3 0 1 -1 -2 0 1 0 -2 0
19525	80737	0x13b61	62683	9	9	1	5	-1 0 0 0 0 -1 1 0 1 -1 0 1 1 -1 0 0 1	1 1 2 -1 1 0 1 -1 0 0 -1 -2 1 1 -1 -1 0
19526	47969	0x0bb61	46023	9	9	1	1	-1 0 0 0 0 -1 1 0 1 -1 0 1 1 -1 0 1 0	3 1 3 -4 -2 -2 1 -3 1 1 -2 -2 1 1 0 -1 0
19527	16225	0x03f61	98254	9	9	1	2	-1 0 0 0 0 -1 1 0 1 -1 1 1 1 -1 0 0 0	0 1 -1 1 0 0 -1 1 -1 -1 1 1 -1 -1 1 0 -1
19528	23521	0x05be1	1186	9	9	1	4	-1 0 0 0 0 -1 1 1 1 -1 0 1 1 0 -1 0 0	0 -1 0 0 -2 -1 0 -1 0 0 -1 0 0 0 0 0 0
19529	57025	0x0dec1	124575	9	9	1	4	-1 0 0 0 0 0 -1 1 0 -1 1 1 1 0 -1 1 0	1 1 1 -1 1 0 0 1 0 -1 1 0 0 -1 -1 1 -1
19530	44993	0x0afc1	102476	9	9	1	4	-1 0 0 0 0 0 -1 1 1 -1 1 1 0 -1 0 1 0	0 0 -1 1 0 0 -1 2 0 -2 2 2 -1 -2 0 1 -1
