root	fingerprint_index	identity	score	curve_max	line_max	anchor_count	v_pairings	anchors
root-000029	1124	0	2.4397536867682964e-09	5.221199437691991e-11	2.4397536867682964e-09	9	1 2 1 0 1 0 2 2 1	V1:+2 V6:+2 V7:+2 D13:+2 D15:+2 D36:-2 D37:-2 D56:-2 D57:-2
root-000029	1893	0	2.4578716723337947e-09	8.335220295686333e-14	2.4578716723337947e-09	9	-1 0 -1 -1 0 -2 -2 -2 -1	V5:-2 V6:-2 V7:-2 D15:+2 D16:+2 D17:+2 D45:+2 D46:+2 D47:+2
root-000029	2231	0	2.4684031611010066e-09	3.2578343828454024e-13	2.4684031611010066e-09	9	0 -1 -2 -1 -2 0 -1 -2 -1	V2:-2 V4:-2 V7:-2 D02:+2 D04:+2 D07:+2 D25:-2 D45:-2 D57:+2
root-000029	1577	0	2.4714977540424136e-09	2.9901035165403002e-12	2.4714977540424136e-09	9	-1 -1 0 -2 -2 -1 0 -1 -2	V3:-2 V4:-2 V8:-2 D23:+2 D24:+2 D28:+2 D36:-2 D46:-2 D68:+2
root-000029	596	0	2.4943804729745465e-09	6.245779609650567e-14	2.4943804729745465e-09	9	2 1 0 1 1 0 2 1 2	V0:+2 V6:+2 V8:+2 D02:+2 D05:+2 D26:-2 D28:-2 D56:-2 D58:-2
root-000029	1123	0	2.5015779056755584e-09	5.7448252751429705e-11	2.5015779056755584e-09	9	-1 -2 -1 0 -1 0 -2 -2 -1	V1:-2 V6:-2 V7:-2 D13:-2 D15:-2 D36:+2 D37:+2 D56:+2 D57:+2
root-000029	1457	0	2.5037878968823735e-09	9.44291667200505e-10	2.5037878968823735e-09	9	-1 -1 -1 -2 -2 0 -1 -2 0	V3:-2 V4:-2 V7:-2 D35:-2 D38:-2 D45:-2 D48:-2 D57:+2 D78:-2
root-000029	537	0	2.516520010691157e-09	3.307901903127628e-16	2.516520010691157e-09	9	-2 -1 0 -2 -1 0 -2 -1 -1	V0:-2 V3:-2 V6:-2 D02:-2 D05:-2 D23:+2 D26:+2 D35:-2 D56:+2
root-000029	873	0	2.538754812051441e-09	1.3688718540067278e-13	2.538754812051441e-09	9	-1 -2 -2 -1 -1 -2 -1 0 0	V1:-2 V2:-2 V5:-2 D17:-2 D18:-2 D27:-2 D28:-2 D57:-2 D58:-2
root-000029	1157	0	2.5571215999919532e-09	2.1367505807787057e-15	2.5571215999919532e-09	9	-1 -2 0 -2 -1 -1 -2 0 -1	V1:-2 V3:-2 V6:-2 D12:-2 D17:-2 D23:+2 D26:+2 D37:-2 D67:-2
root-000029	4	0	2.5585246782637083e-09	2.5585246782637083e-09	1.0892913733086891e-09	9	2 2 2 1 1 1 0 1 0	V0:+2 V1:+2 V2:+2 D06:+2 D08:+2 D16:+2 D18:+2 D26:+2 D28:+2
root-000029	903	0	2.5606266952681206e-09	3.0353325830918645e-15	2.5606266952681206e-09	9	-1 -2 -2 -1 0 -1 -2 -1 0	V1:-2 V2:-2 V6:-2 D14:-2 D18:-2 D24:-2 D28:-2 D46:+2 D68:-2
root-000029	1058	0	2.5725705162926917e-09	2.6531301605541557e-13	2.5725705162926917e-09	9	1 2 1 1 0 2 2 1 0	V1:+2 V5:+2 V6:+2 D14:+2 D18:+2 D45:-2 D46:-2 D58:+2 D68:+2
root-000029	1165	0	2.5737396832430547e-09	1.788061427068569e-15	2.5737396832430547e-09	9	-1 -2 0 -2 -1 -1 0 -1 -2	V1:-2 V3:-2 V8:-2 D12:-2 D16:-2 D23:+2 D28:+2 D36:-2 D68:+2
root-000029	1166	0	2.5826982818033654e-09	1.7965692238872905e-15	2.5826982818033654e-09	9	1 2 0 2 1 1 0 1 2	V1:+2 V3:+2 V8:+2 D12:+2 D16:+2 D23:-2 D28:-2 D36:+2 D68:-2
root-000029	144	0	2.590665491205949e-09	2.8434253579745804e-12	2.590665491205949e-09	9	2 2 1 0 0 2 1 1 1	V0:+2 V1:+2 V5:+2 D03:+2 D04:+2 D13:+2 D14:+2 D35:-2 D45:-2
root-000029	1813	0	2.5928846626743253e-09	4.220470346883058e-10	2.5928846626743253e-09	9	-1 0 -1 -2 -2 -1 -1 0 -2	V3:-2 V4:-2 V8:-2 D13:+2 D14:+2 D18:+2 D37:-2 D47:-2 D78:+2
root-000029	120	0	2.6184544466593293e-09	3.51462186457053e-12	2.6184544466593293e-09	9	2 2 1 0 1 2 1 1 0	V0:+2 V1:+2 V5:+2 D03:+2 D08:+2 D13:+2 D18:+2 D35:-2 D58:+2
root-000029	911	0	2.6269552463820683e-09	1.1466966439549867e-14	2.6269552463820683e-09	9	-1 -2 -2 -1 0 -1 0 -2 -1	V1:-2 V2:-2 V7:-2 D14:-2 D16:-2 D24:-2 D26:-2 D47:+2 D67:+2
root-000029	119	0	2.640243301747504e-09	3.5860883853455156e-12	2.640243301747504e-09	9	-2 -2 -1 0 -1 -2 -1 -1 0	V0:-2 V1:-2 V5:-2 D03:-2 D08:-2 D13:-2 D18:-2 D35:+2 D58:-2
root-000029	1840	0	2.6508558219736017e-09	1.1627874568781856e-09	2.6508558219736017e-09	9	1 0 1 2 1 1 2 0 2	V3:+2 V6:+2 V8:+2 D13:-2 D16:-2 D18:-2 D37:+2 D67:+2 D78:-2
root-000029	1713	0	2.6515291336055855e-09	1.926501634227548e-15	2.6515291336055855e-09	9	-1 0 -2 -2 0 -2 -1 -1 -1	V2:-2 V3:-2 V5:-2 D12:+2 D13:+2 D15:+2 D24:-2 D34:-2 D45:+2
root-000029	1032	0	2.6964285013566878e-09	1.082595351010579e-14	2.6964285013566878e-09	9	1 2 1 1 2 1 0 0 2	V1:+2 V4:+2 V8:+2 D16:+2 D17:+2 D46:+2 D47:+2 D68:-2 D78:-2
root-000029	1862	0	2.7025782770761856e-09	1.6995124852583564e-12	2.7025782770761856e-09	9	1 0 1 1 2 2 2 1 0	V4:+2 V5:+2 V6:+2 D14:-2 D15:-2 D16:-2 D48:+2 D58:+2 D68:+2
root-000029	1061	0	2.7119021966899507e-09	3.407878057995243e-13	2.7119021966899507e-09	9	-1 -2 -1 -1 0 -2 -1 -2 0	V1:-2 V5:-2 V7:-2 D14:-2 D18:-2 D45:+2 D47:+2 D58:-2 D78:-2
