index,shell_norm,branch_ascending,constant_representative,monic_branch_ascending,extension_representative_index,value_at_control,homogeneous_value_at_3_17,small_witness
210,14,"[""145068610912820203303414046605247106344180169847047871653786475422736/4194647241398958417577926951098516158578025"",""-828867286055001650783798117508950906943236828259720381982548497139232/4194647241398958417577926951098516158578025"",""104637264866631934320190314440467990709964611639927975058991083534032/838929448279791683515585390219703231715605""]",104637264866631934320190314440467990709964611639927975058991083534032/838929448279791683515585390219703231715605,"[""2348884349322172847929/8471192777492505987865"",""-327332648211331013378/206614457987622097265"",""1""]",210,15090913093420040169970656144570854883430444181134443960169262291008/4194647241398958417577926951098516158578025,4361273883998391609121519625780977061311398368347854304488916802101312/4194647241398958417577926951098516158578025,"{""place"":""5"",""prime"":5,""valuation"":-2,""unit_modulus"":5,""unit_residue"":3,""unit_is_square"":false,""is_square"":false}"
211,14,"[""4830008282524820726083778372173885631136192534636552149759918025/5151204204622568215982552246068842496"",""1058565599527484412134877594073275414626822010814879697646240675/2575602102311284107991276123034421248"",""-559551127105975256868388728106994864704803521986753237802507775/5151204204622568215982552246068842496""]",-559551127105975256868388728106994864704803521986753237802507775/5151204204622568215982552246068842496,"[""-25867793748848770009/2996755347249003119"",""-11338596125093785766/2996755347249003119"",""1""]",211,1296548550741801749622970558478169624487847972244983149913763225/1287801051155642053995638061517210624,374702531164380705641038491400191021476988063978800130325077572025/1287801051155642053995638061517210624,"{""place"":""11"",""prime"":11,""valuation"":2,""unit_modulus"":11,""unit_residue"":2,""unit_is_square"":false,""is_square"":false}"
212,14,"[""15318041580943399479163811503960741919980422726230998099191235830729/242159792203894569686601516926320992100"",""-330328579507495729462043393114369372436519613053340212940215280689/12107989610194728484330075846316049605"",""21910388461456190584228144652474639465279792490598153692171114009/2421597922038945696866015169263209921""]",21910388461456190584228144652474639465279792490598153692171114009/2421597922038945696866015169263209921,"[""6828686950146482407/976751388020264700"",""-343602958588965203/113954328602364215"",""1""]",212,4109698215410307376952862593855224830507843975807889771790201571386001/69984179946925530639427838391706766716900,4109698215410307376952862593855224830507843975807889771790201571386001/242159792203894569686601516926320992100,"{""place"":""7"",""prime"":7,""valuation"":2,""unit_modulus"":7,""unit_residue"":5,""unit_is_square"":false,""is_square"":false}"
213,14,"[""5190338525462850647757788495141134284147505781204496/517895713458217266798025"",""2591814260351179725648524471271387348074922811553088/103579142691643453359605"",""489978679112285553178641067103969730732190779773760/20715828538328690671921""]",489978679112285553178641067103969730732190779773760/20715828538328690671921,"[""206959222412089/488434453408500"",""8612152838191/8140574223475"",""1""]",213,2271165673048578916707568855368384771292477413163232784/149671861189424790104629225,2271165673048578916707568855368384771292477413163232784/517895713458217266798025,"{""place"":""31"",""prime"":31,""valuation"":1,""unit_modulus"":31,""unit_residue"":11,""unit_is_square"":false,""is_square"":false}"
214,14,"[""101297859944706480520166526355076172318550867828939527737845824/13622076069735603233255248709100625"",""57990668311407181707166952389428618854640364902434252274267264/13622076069735603233255248709100625"",""31578945835489519550888952987338608591445559478625472860429376/13622076069735603233255248709100625""]",31578945835489519550888952987338608591445559478625472860429376/13622076069735603233255248709100625,"[""743970575529/231927964921"",""425905847394/231927964921"",""1""]",214,112514934672738217347237513028940902556992627847388580062176256/13622076069735603233255248709100625,32516816120421344813351641265363920838970869447895299637968937984/13622076069735603233255248709100625,"{""place"":""3"",""prime"":3,""valuation"":9,""unit_modulus"":3,""unit_residue"":1,""unit_is_square"":true,""is_square"":false}"
215,14,"[""1467252806746162988136670938722141322600920664876464642183424/601785821686152954650953949250625"",""-1198274701233055495700526034009396957423768901195942858942976/601785821686152954650953949250625"",""1803780390858224549097549643193019570536489937133397904435456/601785821686152954650953949250625""]",1803780390858224549097549643193019570536489937133397904435456/601785821686152954650953949250625,"[""152666609154361/187682064512209"",""-124679628917114/187682064512209"",""1""]",215,1311965657108924893538577925069054579715855597309708570674176/601785821686152954650953949250625,379158074904479294232649020344956773537882267622505776924836864/601785821686152954650953949250625,"{""place"":""13"",""prime"":13,""valuation"":4,""unit_modulus"":13,""unit_residue"":8,""unit_is_square"":false,""is_square"":false}"
216,14,"[""5246569104574493335689954288700071900865776842782280039212964123475/18027450363231270254719091134032268096324"",""-1091638688716685649565376102832759865199137233658730262517947235725/18027450363231270254719091134032268096324"",""-521148554813589073103639264448736336301647220057877721798419113775/72109801452925081018876364536129072385296""]",-521148554813589073103639264448736336301647220057877721798419113775/72109801452925081018876364536129072385296,"[""-51717095113837233872236/1284281634365277500631"",""512410888761580577476/61156268303108452411"",""1""]",216,5837649255396588121888317679379361477873499209609413852280339518625225/20839732619895348414455269350941301919350544,5837649255396588121888317679379361477873499209609413852280339518625225/72109801452925081018876364536129072385296,"{""place"":""19"",""prime"":19,""valuation"":1,""unit_modulus"":19,""unit_residue"":4,""unit_is_square"":true,""is_square"":false}"
217,14,"[""1017716668001111927737993774050267592124787737595329825658408697225/2798881999687930783917555270184264667136"",""-591476369377355495055705316853433321469796355546589218451841568925/1399440999843965391958777635092132333568"",""1287618278232677393093914996279368685256492754544188931106403513025/2798881999687930783917555270184264667136""]",1287618278232677393093914996279368685256492754544188931106403513025/2798881999687930783917555270184264667136,"[""13191225115399969/16689578843423641"",""-326232917952502/355097422200503"",""1""]",217,61344522969981295789610873336997863375363215672548979928287476271225/202219224477452999138043368270813122200576,61344522969981295789610873336997863375363215672548979928287476271225/699720499921982695979388817546066166784,"{""place"":""23"",""prime"":23,""valuation"":0,""unit_modulus"":23,""unit_residue"":20,""unit_is_square"":false,""is_square"":false}"
218,14,"[""178261549292846841559214098862642470680229348029796022303040099051200806912/57260372952375754465379496419929507658026171875"",""-180846646128292530560138028350943009830142141480794598025349041468389376/4259036004722163555276160890738558420844921875"",""-43134126487053986601403216240352641726602445840045875797149500288644812544/114993972127498415992456344049941077362812890625""]",-43134126487053986601403216240352641726602445840045875797149500288644812544/114993972127498415992456344049941077362812890625,"[""-2915003521238476581174985344/351221837956218800211367991"",""328586227720752352036968/2902659817819990084391471"",""1""]",218,4783417390544558106192103767962821872414966384998681178774821856598233846016/1546030069714145370565246403338096706766706640625,1382407625867377292689517988941255521127925285264618860665923516556889581498624/1546030069714145370565246403338096706766706640625,"{""place"":""7"",""prime"":7,""valuation"":2,""unit_modulus"":7,""unit_residue"":5,""unit_is_square"":false,""is_square"":false}"
219,14,"[""18946822498897079778235951160194284699118076851396745747128159684367928201/9469899909632324163081987486883467880960000"",""-3939125014462190866188146516529011134274813930054003227852415101118780301/4734949954816162081540993743441733940480000"",""1143093044789840557329490528537338107827581805910787343515153885330855201/9469899909632324163081987486883467880960000""]",1143093044789840557329490528537338107827581805910787343515153885330855201/9469899909632324163081987486883467880960000,"[""830942968188897347481/50132159501100834481"",""-9338193441641896626/1354923229759482013"",""1""]",219,1271032197027305288143741088841756296329885356360337069442682048359048339049/684200268470935420782673595927330554399360000,1271032197027305288143741088841756296329885356360337069442682048359048339049/2367474977408081040770496871720866970240000,"{""place"":""7"",""prime"":7,""valuation"":0,""unit_modulus"":7,""unit_residue"":6,""unit_is_square"":false,""is_square"":false}"
220,14,"[""114032166086816938905910140946975967487232941806841935352985322496/113945113750395553588156943355930750625"",""54503355753423705008543501537956226037020729884949298826206609408/113945113750395553588156943355930750625"",""20897350096019616398570282304061714024446055926129690925456490496/113945113750395553588156943355930750625""]",20897350096019616398570282304061714024446055926129690925456490496/113945113750395553588156943355930750625,"[""2614648366825336249/479156225603362624"",""39053429779271011/14973632050105082"",""1""]",220,124301187866362909504605127518506496740202048130259172233489286144/113945113750395553588156943355930750625,35923043293378880846830881852848377557918391909644900775478403695616/113945113750395553588156943355930750625,"{""place"":""7"",""prime"":7,""valuation"":3,""unit_modulus"":7,""unit_residue"":4,""unit_is_square"":true,""is_square"":false}"
221,14,"[""6560832894498955506707385397883016310615796482909326812751249884025/131584992982359548409744479885952188747776"",""846903182872063174731576712199386400706981899928672590938453927875/65792496491179774204872239942976094373888"",""-1121552119095930653292360774995731955420823948335817585251555787375/131584992982359548409744479885952188747776""]",-1121552119095930653292360774995731955420823948335817585251555787375/131584992982359548409744479885952188747776,"[""-11768677986321/2011815564695"",""-607662533406/402363112939"",""1""]",221,493092715522821302345355989414391884760322480454624423723392378760025/9507015742975477372604038671760045637026816,493092715522821302345355989414391884760322480454624423723392378760025/32896248245589887102436119971488047186944,"{""place"":""3"",""prime"":3,""valuation"":10,""unit_modulus"":3,""unit_residue"":2,""unit_is_square"":false,""is_square"":false}"
222,14,"[""943665914252649792379834487598946918042553573241598950433093468411225/56164689738510861998084610208141190084694016"",""-520072154959916517300310589524229510716665352474679456914699960024925/28082344869255430999042305104070595042347008"",""1436684221075268253411388748390749615466334583266335268625980198615025/56164689738510861998084610208141190084694016""]",1436684221075268253411388748390749615466334583266335268625980198615025/56164689738510861998084610208141190084694016,"[""58789101232336289208962881/89503470281200727419484569"",""-64799573883670059629654986/89503470281200727419484569"",""1""]",222,58150561850695429878460746380035248940098781990950452371874609558959225/4057898833607409779361613087538200983619142656,58150561850695429878460746380035248940098781990950452371874609558959225/14041172434627715499521152552035297521173504,"{""place"":""7"",""prime"":7,""valuation"":5,""unit_modulus"":7,""unit_residue"":1,""unit_is_square"":true,""is_square"":false}"
224,14,"[""270863126809786108175266560925847672367666518569101038967485911502025/9777419748516452505846883128629689992069376"",""-725348381818841594414158903207090015885301874640342305334428209945475/4888709874258226252923441564314844996034688"",""1976549040636391491927795983914491756004376498924008583116640523017025/9777419748516452505846883128629689992069376""]",1976549040636391491927795983914491756004376498924008583116640523017025/9777419748516452505846883128629689992069376,"[""126325512982987780093129/921825626231393816478529"",""-29416431610555615198954/40079375053538861586023"",""1""]",224,86261133079038539295929655608114146476539926341685009240396545768750/11037790262973651461678707906929610967609569,86261133079038539295929655608114146476539926341685009240396545768750/38193045892642392600964387221209726531521,"{""place"":""2"",""prime"":2,""valuation"":1,""unit_modulus"":8,""unit_residue"":7,""unit_is_square"":false,""is_square"":false}"
225,14,"[""109977313004189905017899557889603929600146788653472226680246925642733126656/37415554598047602530086467793210239324899574025"",""3932692842853199952207737661938255896277486777466510193000308014071535616/7483110919609520506017293558642047864979914805"",""-791505824890693117598155627074753695149370034242915469538908553174883328/1496622183921904101203458711728409572995982961""]",-791505824890693117598155627074753695149370034242915469538908553174883328/1496622183921904101203458711728409572995982961,"[""-23422748680231001501449/4214333281321240807175"",""-837577074566136437414/842866656264248161435"",""1""]",225,112831111842692188880714049542553534002022743222846981415779189030705074176/37415554598047602530086467793210239324899574025,32608191322538042586526360317797971326584572791402777629160185629873766436864/37415554598047602530086467793210239324899574025,"{""place"":""17"",""prime"":17,""valuation"":0,""unit_modulus"":17,""unit_residue"":14,""unit_is_square"":false,""is_square"":false}"
226,14,"[""-1722150667602344675190815579613604867784742944433587107366556775/4030378609726895562346337425369993216"",""1694344745496987391443279353634081216212297830130161885063971075/2015189304863447781173168712684996608"",""6995218301082094573838788198359911050653805874975268843838295025/4030378609726895562346337425369993216""]",6995218301082094573838788198359911050653805874975268843838295025/4030378609726895562346337425369993216,"[""-18204091817999/73943353874569"",""35820335466134/73943353874569"",""1""]",226,-65480353546661511509595528663104080820063019848313185539466300775/291194854552768204379522878982982009856,-65480353546661511509595528663104080820063019848313185539466300775/1007594652431723890586584356342498304,"{""place"":""real"",""sign"":-1}"
228,14,"[""5247405943148251077390549210460050096064108444287621707172445496601/1509907355411530900567001637201227259314176"",""-10103895290178698435390145722712736051924684750779264491854482561429/754953677705765450283500818600613629657088"",""7970658309708089997421815378996832859600349822675224540740382812641/1509907355411530900567001637201227259314176""]",7970658309708089997421815378996832859600349822675224540740382812641/1509907355411530900567001637201227259314176,"[""15218869561/23117024001"",""-19535984846/7705674667"",""1""]",228,482386611383209455824282176918016346196031699155462557154275927825/377476838852882725141750409300306814828544,139409730689747532733217549129306724050653161055928679017585743141425/377476838852882725141750409300306814828544,"{""place"":""5"",""prime"":5,""valuation"":2,""unit_modulus"":5,""unit_residue"":2,""unit_is_square"":false,""is_square"":false}"
229,14,"[""-4548732016680337378322296868190687474098440058463191468267606975/6278918156835191073771250554433075456"",""378298700917396662682226388777878418080396782824089181990256775/285405370765235957898693207019685248"",""80043059248712207473545963294493585455067554579051586505943025/51891885593679265072489674003579136""]",80043059248712207473545963294493585455067554579051586505943025/51891885593679265072489674003579136,"[""-7017309451059431/14941332355006849"",""68658798812414/79900173021427"",""1""]",229,-43412928139568060816770881956673095824376914988681179413456875/98108096200549860527675789913016804,-12546336232335169576046784885478524693244928431728860850489036875/98108096200549860527675789913016804,"{""place"":""real"",""sign"":-1}"
230,14,"[""38056290866926648530344902584431558906200581225269752141397965146317376/27171822562854427910662687763510068049634025"",""-3403480315980453836542961994626969561083053712946027237300011394818176/5434364512570885582132537552702013609926805"",""116742663282234071134727510901903570355703037014248456674806120353344/1086872902514177116426507510540402721985361""]",116742663282234071134727510901903570355703037014248456674806120353344/1086872902514177116426507510540402721985361,"[""3743028262778973563206895161/287055752270675891460300225"",""-12398128340086164751653318/2126338905708710307113335"",""1""]",230,35144109616627295373552025011154918993584160763425354069565191690957056/27171822562854427910662687763510068049634025,10156647679205288362956535228223771589145822460629927326104340398686589184/27171822562854427910662687763510068049634025,"{""place"":""59"",""prime"":59,""valuation"":2,""unit_modulus"":59,""unit_residue"":2,""unit_is_square"":false,""is_square"":false}"
231,14,"[""14866530212226737716388679275042049151796922301473090060006501998404/5277976660473599183102093921896409405625"",""10149291464885795632875410763789639899368088953193007218633621815424/15833929981420797549306281765689228216875"",""-25756753247360289789421716439463793855909233977269917384742618040064/47501789944262392647918845297067684650625""]",-25756753247360289789421716439463793855909233977269917384742618040064/47501789944262392647918845297067684650625,"[""-3624533520180714094839472161/697735967104755727077961664"",""-1516205518411101747542763/1282602880707271557128606"",""1""]",231,68330771749161483060450420254242403526376913853944394197215040836/23457674046549329702675972986206264025,19747593035507668604470171453476054619122928103789929922995146801604/23457674046549329702675972986206264025,"{""place"":""11"",""prime"":11,""valuation"":2,""unit_modulus"":11,""unit_residue"":10,""unit_is_square"":false,""is_square"":false}"
232,14,"[""-5962660582366544537205240476137751844439349107288853700749170821813258100464/137596136543429165141073522157599957052509750390625"",""17006359422797826808428824542325684739681634846279456216627409209126179461088/137596136543429165141073522157599957052509750390625"",""31504858294505013812633181211689013684044922087013595627823119992726608828176/137596136543429165141073522157599957052509750390625""]",31504858294505013812633181211689013684044922087013595627823119992726608828176/137596136543429165141073522157599957052509750390625,"[""-1080673690091609248199991/5709946256143114935312169"",""83303667016871008460406/154322871787651755008437"",""1""]",232,-1980418176784418960929916315017298401947419432744304815979600061951754183616/137596136543429165141073522157599957052509750390625,-572340853090697079708745815039999238162804216063104091818104417904056959065024/137596136543429165141073522157599957052509750390625,"{""place"":""real"",""sign"":-1}"
233,14,"[""486255911865688117112130730025392260672758104781969761755466221113822784/56918231404714157019487051761629508573867025"",""124825129313519481174983416877236119746972905797613036934829855802951296/5174384673155832456317004705602682597624275"",""276809436675309770021171608314543063298722320656301778289673265511096896/11759965166263255582538647058187914994600625""]",276809436675309770021171608314543063298722320656301778289673265511096896/11759965166263255582538647058187914994600625,"[""3412599312921865225/9402571782736038841"",""876036959419758650/854779252976003531"",""1""]",233,19257151828342974772205338503775892936831421861785352969729018551298775296/1422955785117853925487176294040737714346675625,5565316878391119709167342827591233058744280918055967008251686361325346060544/1422955785117853925487176294040737714346675625,"{""place"":""7"",""prime"":7,""valuation"":3,""unit_modulus"":7,""unit_residue"":2,""unit_is_square"":true,""is_square"":false}"
234,14,"[""39607874710462551067013059904194511378101650917129682281595456/11976404721792318887793568969140625"",""66990434230116616474656816808120225183773524444615490237683328/11976404721792318887793568969140625"",""162405651503760128290341018139608830647021815311704559671703616/11976404721792318887793568969140625""]",162405651503760128290341018139608830647021815311704559671703616/11976404721792318887793568969140625,"[""2467806263354343079249/10118838410667186534889"",""4173902649066886097962/10118838410667186534889"",""1""]",234,56487331489942788419333360321047836499885893423983422901551104/11976404721792318887793568969140625,16324838800593465853187341132782824748467023199531209218548269056/11976404721792318887793568969140625,"{""place"":""2"",""prime"":2,""valuation"":15,""unit_modulus"":8,""unit_residue"":7,""unit_is_square"":false,""is_square"":false}"
235,14,"[""35058482584836375205058762445429107553758550752858194125652257907953/15798220410063518089172622813115769962801250"",""-18670664397945043971128680658582484807388268061118247609355872419767/15798220410063518089172622813115769962801250"",""895080721039174871221409631886282112735036017188799014063134154389601/126385763280508144713380982504926159702410000""]",895080721039174871221409631886282112735036017188799014063134154389601/126385763280508144713380982504926159702410000,"[""7088586211133064/22622402587076161"",""-3775081077274296/22622402587076161"",""1""]",235,81493307151132695374868043752106981877490680126371090920459031725428809/36525485588066853822167103943923660153996490000,81493307151132695374868043752106981877490680126371090920459031725428809/126385763280508144713380982504926159702410000,"{""place"":""29"",""prime"":29,""valuation"":0,""unit_modulus"":29,""unit_residue"":3,""unit_is_square"":false,""is_square"":false}"
236,14,"[""23304350954999147136720610349860604566962924782214317755419962841/10479163625615785936620679759936946176"",""-4993090807734245490713418857502680572670660155016452427499729573/5239581812807892968310339879968473088"",""536536552253075262527757838530735941251411580787160429245603009/10479163625615785936620679759936946176""]",536536552253075262527757838530735941251411580787160429245603009/10479163625615785936620679759936946176,"[""92998880670609/2141115146041"",""-39851086786554/2141115146041"",""1""]",236,1557622748144034539955559372047804481227785157618836031893651817921/757119571950740533920844112655444361216,1557622748144034539955559372047804481227785157618836031893651817921/2619790906403946484155169939984236544,"{""place"":""7"",""prime"":7,""valuation"":3,""unit_modulus"":7,""unit_residue"":3,""unit_is_square"":false,""is_square"":false}"
237,14,"[""72205949237550712620621547580604767334510355529721871223430772817961/75130407635479669788746522410653143846560000"",""-230746205043874852241029083852645317071260194986548933286049913595371/37565203817739834894373261205326571923280000"",""296640341667562291973020464457518551894020272804955626528528896574481/75130407635479669788746522410653143846560000""]",296640341667562291973020464457518551894020272804955626528528896574481/75130407635479669788746522410653143846560000,"[""165828643929/681266102209"",""-13764498894/8847611717"",""1""]",237,18273284140338227060076217853474772673989292284847299236909794269/339260746978962883889808515260605602682122500,18273284140338227060076217853474772673989292284847299236909794269/1173912619304369840449164412666455372602500,"{""place"":""2"",""prime"":2,""valuation"":-2,""unit_modulus"":8,""unit_residue"":5,""unit_is_square"":false,""is_square"":false}"
238,14,"[""450071477623414012797835338727533793066112111204455219467369/627192898841124348346179742928896"",""-40764127757095344172594955003090508738691224615745090882989/313596449420562174173089871464448"",""-30986883687011923979796692104783664299667193950241470353791/627192898841124348346179742928896""]",-30986883687011923979796692104783664299667193950241470353791/627192898841124348346179742928896,"[""-178459887372459001/12286750100246639"",""32327139177011962/12286750100246639"",""1""]",238,31408458512189954319287889313249745331515722620432346480705161/45314686941271234168011486426612736,31408458512189954319287889313249745331515722620432346480705161/156798224710281087086544935732224,"{""place"":""29"",""prime"":29,""valuation"":2,""unit_modulus"":29,""unit_residue"":3,""unit_is_square"":false,""is_square"":false}"
239,14,"[""-18077298949451644486062336015208587476614671967965872880854054775/6143145109199057908909202176437784576"",""-2939695895786885111612890100199297664073557993144298858137007685/3071572554599528954454601088218892288"",""7937163818577129152323308554517419985862120707933172898906415249/6143145109199057908909202176437784576""]",7937163818577129152323308554517419985862120707933172898906415249/6143145109199057908909202176437784576,"[""-3614325315292775/1586934652202529"",""-402709621830/543656955191"",""1""]",239,-1363188475848648343871405030406238340651096006917864297501659719151/443842234139631933918689857247629935616,-1363188475848648343871405030406238340651096006917864297501659719151/1535786277299764477227300544109446144,"{""place"":""real"",""sign"":-1}"
240,14,"[""4890383822081142630126972856081166342067828024050534507544155625/77289804010247749001204389093052416"",""1974308436493408300683150010296861848389908680794387455301513875/38644902005123874500602194546526208"",""696108428688750124293742888356459095932808131964208322390097025/77289804010247749001204389093052416""]",696108428688750124293742888356459095932808131964208322390097025/77289804010247749001204389093052416,"[""19237399038025/2738295418849"",""15532751865190/2738295418849"",""1""]",240,405241340240494154473755035613236278314192064394827467005631566025/5584188339740399865337017111973037056,405241340240494154473755035613236278314192064394827467005631566025/19322451002561937250301097273263104,"{""place"":""11"",""prime"":11,""valuation"":1,""unit_modulus"":11,""unit_residue"":10,""unit_is_square"":false,""is_square"":false}"
242,14,"[""170632848048448925038309743060173561107210198801563637097864285625/458104479520253895040677628684862276571136"",""14659097101467594896291202341339511009843328678937135301764080755/229052239760126947520338814342431138285568"",""490650727283304894028609100241688296052040883709750779471500578161/458104479520253895040677628684862276571136""]",490650727283304894028609100241688296052040883709750779471500578161/458104479520253895040677628684862276571136,"[""67244333264763345625/193359493200682017169"",""11553944297662138790/193359493200682017169"",""1""]",242,13805994383975294515437675071345495986864033733072808984326554996521/33098048645338343916688958672481299482264576,13805994383975294515437675071345495986864033733072808984326554996521/114526119880063473760169407171215569142784,"{""place"":""47"",""prime"":47,""valuation"":0,""unit_modulus"":47,""unit_residue"":41,""unit_is_square"":false,""is_square"":false}"
243,14,"[""3186914498167878877144053601523453367561551464645755998649/15627465997996967004768822562816"",""-2335823126156506318727997757880622265351531237241924534253/7813732998998483502384411281408"",""2204343625259500632802719990481169771485606963584738113841/15627465997996967004768822562816""]",2204343625259500632802719990481169771485606963584738113841/15627465997996967004768822562816,"[""1107993718881/766383563929"",""-1624190014314/766383563929"",""1""]",243,175650855932472214169900049862696270025700662439052456035081/1129084418355280866094547430163456,175650855932472214169900049862696270025700662439052456035081/3906866499499241751192205640704,"{""place"":""23"",""prime"":23,""valuation"":0,""unit_modulus"":23,""unit_residue"":22,""unit_is_square"":false,""is_square"":false}"
244,14,"[""164352295685983087258877030186161525220756677466964874398635721/76477446181596204457388763389956096"",""16320508530141042713057168278905442519800741465190208925100275/38238723090798102228694381694978048"",""18793262284376827440743950529734441803133763096859093671846625/76477446181596204457388763389956096""]",18793262284376827440743950529734441803133763096859093671846625/76477446181596204457388763389956096,"[""2973828876957377209/340049683153164625"",""23624567871589238/13601987326126585"",""1""]",244,12332911170970722505378497110754161475511639821318495463653142761/5525495486620325772046338154924327936,12332911170970722505378497110754161475511639821318495463653142761/19119361545399051114347190847489024,"{""place"":""31"",""prime"":31,""valuation"":1,""unit_modulus"":31,""unit_residue"":15,""unit_is_square"":false,""is_square"":false}"
245,14,"[""-1723841397456799907482973491554381994891532283390230243806617024/4411728838846491517896536262561127681"",""5436394211844853898347783006164909639021234944105787969702365184/4411728838846491517896536262561127681"",""9028026450521320839758579540458532885022767680073281725631156224/4411728838846491517896536262561127681""]",9028026450521320839758579540458532885022767680073281725631156224/4411728838846491517896536262561127681,"[""-23034088679/120633117504"",""756682059/1256594974"",""1""]",245,-483328100367597705498322456334530134838633005639175842472703424/4411728838846491517896536262561127681,-139681821006235736889015189880679208968364938629721818474611289536/4411728838846491517896536262561127681,"{""place"":""real"",""sign"":-1}"
246,14,"[""171671332514586344652907570020265981095261386918763780048724414778340441/2024900309984967273230745302999493031419252736"",""1589350462950057734040861630178838145375217385487242885514543384868319475/1012450154992483636615372651499746515709626368"",""481478077772300903037027481668067295462241882509071146875508340647087825/2024900309984967273230745302999493031419252736""]",481478077772300903037027481668067295462241882509071146875508340647087825/2024900309984967273230745302999493031419252736,"[""303346593949580631529/850781157309470867425"",""224673062166450965302/34031246292378834697"",""1""]",246,54015016254393012651047855337277741255990722770450786769611089048333191081/146299047396413885490921348141713371520041010176,54015016254393012651047855337277741255990722770450786769611089048333191081/506225077496241818307686325749873257854813184,"{""place"":""7"",""prime"":7,""valuation"":0,""unit_modulus"":7,""unit_residue"":6,""unit_is_square"":false,""is_square"":false}"
248,14,"[""1619240941401113106545685621749809143999219013237907349769301030625/12810844769080673001467208977920164682936576"",""-1133937403427771427066836498898611996570454843408791571330804270375/6405422384540336500733604488960082341468288"",""5656733797451119308401779568721405813601740859736326119564555966225/12810844769080673001467208977920164682936576""]",5656733797451119308401779568721405813601740859736326119564555966225/12810844769080673001467208977920164682936576,"[""522826882050093408225/1826468450921000333329"",""-732260334970447153230/1826468450921000333329"",""1""]",248,25200601318271817250406364869783066955500223033480338680229185373025/231395883641519656089001462163682974585541904,25200601318271817250406364869783066955500223033480338680229185373025/800677798067542062591700561120010292683536,"{""place"":""3"",""prime"":3,""valuation"":7,""unit_modulus"":3,""unit_residue"":1,""unit_is_square"":true,""is_square"":false}"
249,14,"[""152963777397085734284648691543778524738161242008768559521849/4121679572103043446021789634816"",""-21382868094578376765163737899302286764859770796874485458971/2060839786051521723010894817408"",""2888350339531307557877719955238596905914010336065009864609/4121679572103043446021789634816""]",2888350339531307557877719955238596905914010336065009864609/4121679572103043446021789634816,"[""1583314844149666003944681/29897064818247454599121"",""-63237777205911139317114/4271009259749636371303"",""1""]",249,657054285549477571034963594844067308929158256441835957402825/18611959317777805560942143819716,657054285549477571034963594844067308929158256441835957402825/64401243314110053844090463044,"{""place"":""5"",""prime"":5,""valuation"":2,""unit_modulus"":5,""unit_residue"":3,""unit_is_square"":false,""is_square"":false}"
251,14,"[""760360678617198243154825290778884980748773668393926576453025/689652775008377141756843876659456"",""86272853287860579631446479781736850028515602206661626170425/344826387504188570878421938329728"",""-138547679085544439030092634333349000481122393856131255937775/689652775008377141756843876659456""]",-138547679085544439030092634333349000481122393856131255937775/689652775008377141756843876659456,"[""-17476580229382632961/3184461923434487951"",""-3965892725660338994/3184461923434487951"",""1""]",251,14206071127747635715180076016489673570935880002888692822554225/12456853248588812122982992522161424,14206071127747635715180076016489673570935880002888692822554225/43103298438023571359802742291216,"{""place"":""13"",""prime"":13,""valuation"":0,""unit_modulus"":13,""unit_residue"":8,""unit_is_square"":false,""is_square"":false}"
253,14,"[""-531843644438996748572051942603745694463477985058150944375/2255639553766600984318202033971456"",""358235219538348743578408132241721599753432555227183003125/1127819776883300492159101016985728"",""1402388191286354569173428461260431001689143012499332640625/2255639553766600984318202033971456""]",1402388191286354569173428461260431001689143012499332640625/2255639553766600984318202033971456,"[""-3497080328799089726151/9221251787752014616225"",""22980847985089569522/44981716037814705445"",""1""]",253,-1633458236380957771402570715195047242342073905252171294375/10185622359977307569811881059652356,-1633458236380957771402570715195047242342073905252171294375/35244368027603140379971906780804,"{""place"":""real"",""sign"":-1}"
254,14,"[""1100938679896760449146204700358050559458638422926752225/597319961280470607876653056"",""224497832323584031482432055566976353603403799738518575/298659980640235303938326528"",""162316066230483122850662041665936317585968153257209025/597319961280470607876653056""]",162316066230483122850662041665936317585968153257209025/597319961280470607876653056,"[""96464534227085672041/14222176050681256009"",""3576465202009697194/1292925095516477819"",""1""]",254,85632725495810922280029296611575406652341851294618792225/43156367202514001419088183296,85632725495810922280029296611575406652341851294618792225/149329990320117651969163264,"{""place"":""37"",""prime"":37,""valuation"":0,""unit_modulus"":37,""unit_residue"":17,""unit_is_square"":false,""is_square"":false}"
255,14,"[""1408953456383560392111059554510730661883747591643443076613/53835627839649023159042368000000"",""31811862013468366923093756080492982460710485760358492011/5383562783964902315904236800000"",""-106306809616996160830418551050051635246738336623668374559/27994526476617492042702031360000""]",-106306809616996160830418551050051635246738336623668374559/27994526476617492042702031360000,"[""-122566271578935561/17784107279131775"",""-5534691442515534/3556821455826355"",""1""]",255,1370107937154626882418629543781055488120308524163816764148049/50565113448390345002130544144000000,1370107937154626882418629543781055488120308524163816764148049/174965790478859325266887696000000,"{""place"":""3"",""prime"":3,""valuation"":8,""unit_modulus"":3,""unit_residue"":2,""unit_is_square"":false,""is_square"":false}"
