index,shell_norm,branch_ascending,constant_representative,monic_branch_ascending,extension_representative_index,value_at_control,homogeneous_value_at_3_17,small_witness
184,14,"[""251931014909802843148860975037539058390594058757181921097625/900983818624293958686390300097908736"",""-797042000736191684129858416760730987699617710699757576795805/450491909312146979343195150048954368"",""3662379443093305555089179882857696219121646403978932982077489/900983818624293958686390300097908736""]",3662379443093305555089179882857696219121646403978932982077489/900983818624293958686390300097908736,"[""6229920691063188625/90565798257194492521"",""-39419588364779693290/90565798257194492521"",""1""]",184,6117798555420304971144470555493373275403873531315174800684729/65096080895605238515091699182073906176,6117798555420304971144470555493373275403873531315174800684729/225245954656073489671597575024477184,"{""place"":""17"",""prime"":17,""valuation"":-2,""unit_modulus"":17,""unit_residue"":7,""unit_is_square"":false,""is_square"":false}"
185,14,"[""7857478568600641990060597266219646345873461679121823632896/15619233260514083056802153184025"",""-8898443001392869920833676925742861444271311272868745728/6113202841688486519296341755"",""103848267920114654028975561725574033096031113825737728/174662938333956757694181193""]",103848267920114654028975561725574033096031113825737728/174662938333956757694181193,"[""29159173849424903/34462772745903950"",""-33022202249929/13488365066890"",""1""]",185,4134530703314511752671801365378336867294707443044444583936/15619233260514083056802153184025,1194879373257893896522150594594339354648170451039844484757504/15619233260514083056802153184025,"{""place"":""2"",""prime"":2,""valuation"":11,""unit_modulus"":8,""unit_residue"":7,""unit_is_square"":false,""is_square"":false}"
187,14,"[""23026722880171618579512104759987868325065611777596255931289/19713802368455648896958377824256"",""-6019680887041527318868468041150521204629325666433307667829/9856901184227824448479188912128"",""1306506170128556571937326491904703098884897473717371711969/19713802368455648896958377824256""]",1306506170128556571937326491904703098884897473717371711969/19713802368455648896958377824256,"[""3282496714647039289/186244574767779969"",""-81725264692157698/8868789274656189"",""1""]",187,1513118504355629748025462618466570777740433665753144231857921/1424322221120920632805242797802496,1513118504355629748025462618466570777740433665753144231857921/4928450592113912224239594456064,"{""place"":""17"",""prime"":17,""valuation"":-2,""unit_modulus"":17,""unit_residue"":3,""unit_is_square"":false,""is_square"":false}"
190,14,"[""27159164954128119811759517560915969669361425100903093382943198717946169/28443964659232514065893700230096822737637376"",""-19577288210385313462352437610755717320859099530073938406536035406796029/14221982329616257032946850115048411368818688"",""13736439056174974936338970066212646431901217559195669662897096486270289/28443964659232514065893700230096822737637376""]",13736439056174974936338970066212646431901217559195669662897096486270289/28443964659232514065893700230096822737637376,"[""12941728310504761/6545608545737041"",""-54714699272722/19195332978701"",""1""]",190,1493935806447324856716400667350886471401233665031553324292495671592420121/2055076446629549141260819841624495442794300416,1493935806447324856716400667350886471401233665031553324292495671592420121/7110991164808128516473425057524205684409344,"{""place"":""7"",""prime"":7,""valuation"":5,""unit_modulus"":7,""unit_residue"":2,""unit_is_square"":true,""is_square"":false}"
191,14,"[""31214148263108394876457303790881132214486300620357281682225893525/30729991236227418241538396771624939520256"",""-36481553430767061191151051650541114315368565308789258477118583725/15364995618113709120769198385812469760128"",""36730045744631756569809252318822988199234204751921987500339601525/30729991236227418241538396771624939520256""]",36730045744631756569809252318822988199234204751921987500339601525/30729991236227418241538396771624939520256,"[""2347699758713691589/2762565193365544869"",""-1829250280246334014/920855064455181623"",""1""]",191,4870537032700494538864218683459221837034649706361633156574605625/7682497809056854560384599192906234880064,1407585202450442921731759199519715110903013765138511982250061025625/7682497809056854560384599192906234880064,"{""place"":""29"",""prime"":29,""valuation"":2,""unit_modulus"":29,""unit_residue"":19,""unit_is_square"":false,""is_square"":false}"
193,14,"[""50628480437716751164269883314887752504179606455211072964206998671785497363/28441243179311283856029629507477211528300000000"",""-5528785951326553550967391843730431689932319123624323684219485307699302759/42661864768966925784044444261215817292450000000"",""-145967569767948149204756636550043669967145369203356997018954028659413170239/767913565841404664112799996701884711264100000000""]",-145967569767948149204756636550043669967145369203356997018954028659413170239/767913565841404664112799996701884711264100000000,"[""-2120413813399744632441/226421855671408192199"",""5323119937458242598/7807650195565799731"",""1""]",193,2699061800168572915501159889337320857423967304803435140447382894899580260129/1541159864778930193948605548936421399689756250000,2699061800168572915501159889337320857423967304803435140447382894899580260129/5332733096120865723005555532651977161556250000,"{""place"":""19"",""prime"":19,""valuation"":0,""unit_modulus"":19,""unit_residue"":12,""unit_is_square"":false,""is_square"":false}"
194,14,"[""1509158400476469074756464774196874158776641250333109791377/766878535881950099697303654400"",""72115982324860136106975649488698477067087248800347593967/76687853588195009969730365440"",""-1227056627662581206740197323641343809569526678118294644479/19171963397048752492432591360000""]",-1227056627662581206740197323641343809569526678118294644479/19171963397048752492432591360000,"[""-144764951503825/4708181543831"",""-69176745665750/4708181543831"",""1""]",194,2953026177108873142404683937160137321370117428939521353494441/1385174355436772367578254725760000,2953026177108873142404683937160137321370117428939521353494441/4792990849262188123108147840000,"{""place"":""23"",""prime"":23,""valuation"":1,""unit_modulus"":23,""unit_residue"":8,""unit_is_square"":true,""is_square"":false}"
195,14,"[""2641410071869656976790041865813440930821520505355350831402025/2568553382635569503338262437951246336"",""-6884998827575665316104918980802027473820941253931607655356525/1284276691317784751669131218975623168"",""31100353172716959091396690170547202710254218170816233089321025/2568553382635569503338262437951246336""]",31100353172716959091396690170547202710254218170816233089321025/2568553382635569503338262437951246336,"[""20998404628924002721/247238324324590853881"",""-9951571135210716382/22476211302235532171"",""1""]",195,85250202228016408968047643678300612767492845421004626808177225/185577981895419896616189461141977547776,85250202228016408968047643678300612767492845421004626808177225/642138345658892375834565609487811584,"{""place"":""23"",""prime"":23,""valuation"":0,""unit_modulus"":23,""unit_residue"":5,""unit_is_square"":false,""is_square"":false}"
196,14,"[""96866801334277352354105233670321053450348286060657256107763225/27347247737106211690909839595933696"",""46298176030756500963122408955515475049577677773395725382387475/13673623868553105845454919797966848"",""8590332425202515454133515498337818712932486095671315713334225/27347247737106211690909839595933696""]",8590332425202515454133515498337818712932486095671315713334225/27347247737106211690909839595933696,"[""53632450957475642841/4756227893942605201"",""1653807164255779482/153426706256213071"",""1""]",196,8198558133142535141915524970917600817655992544819338211391775625/1975838649005923794668235910806209536,8198558133142535141915524970917600817655992544819338211391775625/6836811934276552922727459898983424,"{""place"":""11"",""prime"":11,""valuation"":4,""unit_modulus"":11,""unit_residue"":8,""unit_is_square"":false,""is_square"":false}"
197,14,"[""8785844597947823011901840391442600133167514236726617896630001370660416/986963105174069956768109786396171766015625"",""-228863104166497724947443108541555515544511059902529345883111888038272/89723918652188177888009980581470160546875"",""-1525029898409736338434256524484111144405109118862945993367554679744/8156719877471652535273634598315469140625""]",-1525029898409736338434256524484111144405109118862945993367554679744/8156719877471652535273634598315469140625,"[""-416303659308583809/8743603183780751"",""834178789468206/61144078208257"",""1""]",197,8335834359204662366337582643183168156500635799232636196881893978841344/986963105174069956768109786396171766015625,2409056129810147423871561383879935597228683745978231860898867359885148416/986963105174069956768109786396171766015625,"{""place"":""31"",""prime"":31,""valuation"":0,""unit_modulus"":31,""unit_residue"":30,""unit_is_square"":false,""is_square"":false}"
