mask	hex	bit_vector	representative_norm	half_representative_norm
14	0x0000e	01110000000000000	18	9/2
53	0x00035	10101100000000000	14	7/2
54	0x00036	01101100000000000	14	7/2
62	0x0003e	01111100000000000	22	11/2
69	0x00045	10100010000000000	18	9/2
93	0x0005d	10111010000000000	50	25/2
94	0x0005e	01111010000000000	50	25/2
117	0x00075	10101110000000000	22	11/2
121	0x00079	10011110000000000	26	13/2
122	0x0007a	01011110000000000	26	13/2
133	0x00085	10100001000000000	18	9/2
134	0x00086	01100001000000000	18	9/2
142	0x0008e	01110001000000000	30	15/2
143	0x0008f	11110001000000000	46	23/2
151	0x00097	11101001000000000	46	23/2
154	0x0009a	01011001000000000	34	17/2
155	0x0009b	11011001000000000	50	25/2
157	0x0009d	10111001000000000	50	25/2
159	0x0009f	11111001000000000	66	33/2
161	0x000a1	10000101000000000	10	5/2
162	0x000a2	01000101000000000	10	5/2
165	0x000a5	10100101000000000	14	7/2
169	0x000a9	10010101000000000	18	9/2
174	0x000ae	01110101000000000	22	11/2
179	0x000b3	11001101000000000	26	13/2
186	0x000ba	01011101000000000	26	13/2
193	0x000c1	10000011000000000	18	9/2
196	0x000c4	00100011000000000	18	9/2
201	0x000c9	10010011000000000	34	17/2
205	0x000cd	10110011000000000	46	23/2
206	0x000ce	01110011000000000	46	23/2
212	0x000d4	00101011000000000	34	17/2
213	0x000d5	10101011000000000	46	23/2
233	0x000e9	10010111000000000	26	13/2
234	0x000ea	01010111000000000	26	13/2
236	0x000ec	00110111000000000	22	11/2
242	0x000f2	01001111000000000	26	13/2
245	0x000f5	10101111000000000	34	17/2
247	0x000f7	11101111000000000	50	25/2
252	0x000fc	00111111000000000	38	19/2
255	0x000ff	11111111000000000	70	35/2
301	0x0012d	10110100100000000	26	13/2
309	0x00135	10101100100000000	26	13/2
310	0x00136	01101100100000000	22	11/2
342	0x00156	01101010100000000	46	23/2
350	0x0015e	01111010100000000	66	33/2
366	0x0016e	01110110100000000	30	15/2
378	0x0017a	01011110100000000	34	17/2
389	0x00185	10100001100000000	34	17/2
410	0x0019a	01011001100000000	50	25/2
413	0x0019d	10111001100000000	74	37/2
415	0x0019f	11111001100000000	90	45/2
417	0x001a1	10000101100000000	18	9/2
421	0x001a5	10100101100000000	26	13/2
422	0x001a6	01100101100000000	22	11/2
457	0x001c9	10010011100000000	50	25/2
458	0x001ca	01010011100000000	46	23/2
461	0x001cd	10110011100000000	66	33/2
466	0x001d2	01001011100000000	46	23/2
468	0x001d4	00101011100000000	50	25/2
469	0x001d5	10101011100000000	66	33/2
475	0x001db	11011011100000000	90	45/2
486	0x001e6	01100111100000000	30	15/2
487	0x001e7	11100111100000000	46	23/2
493	0x001ed	10110111100000000	50	25/2
495	0x001ef	11110111100000000	66	33/2
498	0x001f2	01001111100000000	34	17/2
499	0x001f3	11001111100000000	50	25/2
501	0x001f5	10101111100000000	50	25/2
503	0x001f7	11101111100000000	66	33/2
508	0x001fc	00111111100000000	54	27/2
511	0x001ff	11111111100000000	90	45/2
517	0x00205	10100000010000000	10	5/2
518	0x00206	01100000010000000	10	5/2
526	0x0020e	01110000010000000	14	7/2
527	0x0020f	11110000010000000	26	13/2
529	0x00211	10001000010000000	10	5/2
533	0x00215	10101000010000000	18	9/2
534	0x00216	01101000010000000	18	9/2
537	0x00219	10011000010000000	18	9/2
542	0x0021e	01111000010000000	26	13/2
554	0x0022a	01010100010000000	10	5/2
555	0x0022b	11010100010000000	18	9/2
557	0x0022d	10110100010000000	14	7/2
559	0x0022f	11110100010000000	22	11/2
563	0x00233	11001100010000000	18	9/2
580	0x00244	00100010010000000	10	5/2
582	0x00246	01100010010000000	18	9/2
585	0x00249	10010010010000000	18	9/2
589	0x0024d	10110010010000000	26	13/2
590	0x0024e	01110010010000000	26	13/2
598	0x00256	01101010010000000	30	15/2
601	0x00259	10011010010000000	30	15/2
602	0x0025a	01011010010000000	30	15/2
604	0x0025c	00111010010000000	30	15/2
605	0x0025d	10111010010000000	42	21/2
606	0x0025e	01111010010000000	42	21/2
607	0x0025f	11111010010000000	58	29/2
612	0x00264	00100110010000000	10	5/2
629	0x00275	10101110010000000	22	11/2
631	0x00277	11101110010000000	34	17/2
636	0x0027c	00111110010000000	22	11/2
639	0x0027f	11111110010000000	46	23/2
646	0x00286	01100001010000000	14	7/2
650	0x0028a	01010001010000000	14	7/2
651	0x0028b	11010001010000000	26	13/2
654	0x0028e	01110001010000000	22	11/2
659	0x00293	11001001010000000	26	13/2
663	0x00297	11101001010000000	38	19/2
666	0x0029a	01011001010000000	26	13/2
670	0x0029e	01111001010000000	38	19/2
671	0x0029f	11111001010000000	54	27/2
675	0x002a3	11000101010000000	18	9/2
677	0x002a5	10100101010000000	14	7/2
679	0x002a7	11100101010000000	22	11/2
682	0x002aa	01010101010000000	14	7/2
686	0x002ae	01110101010000000	18	9/2
687	0x002af	11110101010000000	30	15/2
698	0x002ba	01011101010000000	22	11/2
699	0x002bb	11011101010000000	34	17/2
705	0x002c1	10000011010000000	14	7/2
707	0x002c3	11000011010000000	26	13/2
709	0x002c5	10100011010000000	22	11/2
713	0x002c9	10010011010000000	26	13/2
714	0x002ca	01010011010000000	26	13/2
721	0x002d1	10001011010000000	26	13/2
725	0x002d5	10101011010000000	38	19/2
727	0x002d7	11101011010000000	54	27/2
728	0x002d8	00011011010000000	30	15/2
729	0x002d9	10011011010000000	42	21/2
730	0x002da	01011011010000000	42	21/2
731	0x002db	11011011010000000	58	29/2
732	0x002dc	00111011010000000	42	21/2
735	0x002df	11111011010000000	74	37/2
737	0x002e1	10000111010000000	14	7/2
741	0x002e5	10100111010000000	18	9/2
743	0x002e7	11100111010000000	30	15/2
744	0x002e8	00010111010000000	14	7/2
745	0x002e9	10010111010000000	22	11/2
746	0x002ea	01010111010000000	22	11/2
747	0x002eb	11010111010000000	34	17/2
748	0x002ec	00110111010000000	18	9/2
751	0x002ef	11110111010000000	42	21/2
753	0x002f1	10001111010000000	22	11/2
755	0x002f3	11001111010000000	34	17/2
756	0x002f4	00101111010000000	22	11/2
757	0x002f5	10101111010000000	30	15/2
761	0x002f9	10011111010000000	34	17/2
762	0x002fa	01011111010000000	34	17/2
773	0x00305	10100000110000000	18	9/2
785	0x00311	10001000110000000	18	9/2
789	0x00315	10101000110000000	30	15/2
790	0x00316	01101000110000000	26	13/2
810	0x0032a	01010100110000000	10	5/2
813	0x0032d	10110100110000000	22	11/2
815	0x0032f	11110100110000000	30	15/2
841	0x00349	10010010110000000	26	13/2
842	0x0034a	01010010110000000	22	11/2
845	0x0034d	10110010110000000	38	19/2
846	0x0034e	01110010110000000	34	17/2
854	0x00356	01101010110000000	38	19/2
855	0x00357	11101010110000000	54	27/2
858	0x0035a	01011010110000000	38	19/2
861	0x0035d	10111010110000000	58	29/2
862	0x0035e	01111010110000000	54	27/2
863	0x0035f	11111010110000000	74	37/2
868	0x00364	00100110110000000	10	5/2
869	0x00365	10100110110000000	18	9/2
885	0x00375	10101110110000000	30	15/2
887	0x00377	11101110110000000	42	21/2
892	0x0037c	00111110110000000	30	15/2
895	0x0037f	11111110110000000	58	29/2
901	0x00385	10100001110000000	26	13/2
902	0x00386	01100001110000000	22	11/2
906	0x0038a	01010001110000000	22	11/2
908	0x0038c	00110001110000000	26	13/2
910	0x0038e	01110001110000000	34	17/2
916	0x00394	00101001110000000	30	15/2
917	0x00395	10101001110000000	42	21/2
918	0x00396	01101001110000000	38	19/2
919	0x00397	11101001110000000	54	27/2
920	0x00398	00011001110000000	30	15/2
922	0x0039a	01011001110000000	38	19/2
926	0x0039e	01111001110000000	54	27/2
927	0x0039f	11111001110000000	74	37/2
932	0x003a4	00100101110000000	14	7/2
933	0x003a5	10100101110000000	22	11/2
934	0x003a6	01100101110000000	18	9/2
935	0x003a7	11100101110000000	30	15/2
936	0x003a8	00010101110000000	14	7/2
938	0x003aa	01010101110000000	18	9/2
942	0x003ae	01110101110000000	26	13/2
943	0x003af	11110101110000000	42	21/2
954	0x003ba	01011101110000000	30	15/2
955	0x003bb	11011101110000000	46	23/2
956	0x003bc	00111101110000000	34	17/2
958	0x003be	01111101110000000	42	21/2
961	0x003c1	10000011110000000	22	11/2
963	0x003c3	11000011110000000	34	17/2
964	0x003c4	00100011110000000	22	11/2
965	0x003c5	10100011110000000	34	17/2
969	0x003c9	10010011110000000	38	19/2
970	0x003ca	01010011110000000	34	17/2
981	0x003d5	10101011110000000	54	27/2
983	0x003d7	11101011110000000	70	35/2
986	0x003da	01011011110000000	54	27/2
988	0x003dc	00111011110000000	58	29/2
991	0x003df	11111011110000000	94	47/2
997	0x003e5	10100111110000000	26	13/2
999	0x003e7	11100111110000000	38	19/2
1001	0x003e9	10010111110000000	30	15/2
1002	0x003ea	01010111110000000	26	13/2
1003	0x003eb	11010111110000000	42	21/2
1004	0x003ec	00110111110000000	26	13/2
1007	0x003ef	11110111110000000	54	27/2
1009	0x003f1	10001111110000000	30	15/2
1012	0x003f4	00101111110000000	30	15/2
1013	0x003f5	10101111110000000	42	21/2
1017	0x003f9	10011111110000000	46	23/2
1042	0x00412	01001000001000000	18	9/2
1047	0x00417	11101000001000000	46	23/2
1049	0x00419	10011000001000000	34	17/2
1066	0x0042a	01010100001000000	14	7/2
1067	0x0042b	11010100001000000	26	13/2
1070	0x0042e	01110100001000000	22	11/2
1075	0x00433	11001100001000000	22	11/2
1078	0x00436	01101100001000000	22	11/2
1079	0x00437	11101100001000000	34	17/2
1082	0x0043a	01011100001000000	22	11/2
1086	0x0043e	01111100001000000	34	17/2
1087	0x0043f	11111100001000000	50	25/2
1089	0x00441	10000010001000000	18	9/2
1093	0x00445	10100010001000000	30	15/2
1095	0x00447	11100010001000000	46	23/2
1097	0x00449	10010010001000000	34	17/2
1109	0x00455	10101010001000000	46	23/2
1113	0x00459	10011010001000000	50	25/2
1114	0x0045a	01011010001000000	50	25/2
1127	0x00467	11100110001000000	34	17/2
1132	0x0046c	00110110001000000	22	11/2
1140	0x00474	00101110001000000	22	11/2
1149	0x0047d	10111110001000000	50	25/2
1150	0x0047e	01111110001000000	50	25/2
1159	0x00487	11100001001000000	46	23/2
1162	0x0048a	01010001001000000	34	17/2
1163	0x0048b	11010001001000000	50	25/2
1165	0x0048d	10110001001000000	50	25/2
1167	0x0048f	11110001001000000	66	33/2
1171	0x00493	11001001001000000	46	23/2
1178	0x0049a	01011001001000000	50	25/2
1187	0x004a3	11000101001000000	26	13/2
1194	0x004aa	01010101001000000	26	13/2
1196	0x004ac	00110101001000000	26	13/2
1197	0x004ad	10110101001000000	38	19/2
1207	0x004b7	11101101001000000	50	25/2
1210	0x004ba	01011101001000000	38	19/2
1211	0x004bb	11011101001000000	54	27/2
1213	0x004bd	10111101001000000	54	27/2
1215	0x004bf	11111101001000000	70	35/2
1217	0x004c1	10000011001000000	30	15/2
1219	0x004c3	11000011001000000	46	23/2
1223	0x004c7	11100011001000000	62	31/2
1225	0x004c9	10010011001000000	50	25/2
1226	0x004ca	01010011001000000	50	25/2
1228	0x004cc	00110011001000000	50	25/2
1229	0x004cd	10110011001000000	66	33/2
1230	0x004ce	01110011001000000	66	33/2
1231	0x004cf	11110011001000000	86	43/2
1233	0x004d1	10001011001000000	46	23/2
1240	0x004d8	00011011001000000	54	27/2
1241	0x004d9	10011011001000000	70	35/2
1242	0x004da	01011011001000000	70	35/2
1243	0x004db	11011011001000000	90	45/2
1245	0x004dd	10111011001000000	90	45/2
1246	0x004de	01111011001000000	90	45/2
1249	0x004e1	10000111001000000	22	11/2
1252	0x004e4	00100111001000000	22	11/2
1256	0x004e8	00010111001000000	26	13/2
1257	0x004e9	10010111001000000	38	19/2
1258	0x004ea	01010111001000000	38	19/2
1259	0x004eb	11010111001000000	54	27/2
1261	0x004ed	10110111001000000	50	25/2
1262	0x004ee	01110111001000000	50	25/2
1265	0x004f1	10001111001000000	34	17/2
1267	0x004f3	11001111001000000	50	25/2
1270	0x004f6	01101111001000000	50	25/2
1271	0x004f7	11101111001000000	66	33/2
1273	0x004f9	10011111001000000	54	27/2
1274	0x004fa	01011111001000000	54	27/2
1276	0x004fc	00111111001000000	54	27/2
1277	0x004fd	10111111001000000	70	35/2
1278	0x004fe	01111111001000000	70	35/2
1279	0x004ff	11111111001000000	90	45/2
1293	0x0050d	10110000101000000	54	27/2
1297	0x00511	10001000101000000	34	17/2
1322	0x0052a	01010100101000000	22	11/2
1324	0x0052c	00110100101000000	26	13/2
1326	0x0052e	01110100101000000	34	17/2
1332	0x00534	00101100101000000	26	13/2
1333	0x00535	10101100101000000	38	19/2
1334	0x00536	01101100101000000	34	17/2
1335	0x00537	11101100101000000	50	25/2
1351	0x00547	11100010101000000	62	31/2
1353	0x00549	10010010101000000	50	25/2
1354	0x0054a	01010010101000000	46	23/2
1359	0x0054f	11110010101000000	86	43/2
1370	0x0055a	01011010101000000	66	33/2
1378	0x00562	01000110101000000	18	9/2
1382	0x00566	01100110101000000	30	15/2
1383	0x00567	11100110101000000	46	23/2
1387	0x0056b	11010110101000000	50	25/2
1391	0x0056f	11110110101000000	66	33/2
1394	0x00572	01001110101000000	30	15/2
1395	0x00573	11001110101000000	46	23/2
1418	0x0058a	01010001101000000	50	25/2
1421	0x0058d	10110001101000000	74	37/2
1423	0x0058f	11110001101000000	90	45/2
1432	0x00598	00011001101000000	58	29/2
1434	0x0059a	01011001101000000	70	35/2
1437	0x0059d	10111001101000000	98	49/2
1448	0x005a8	00010101101000000	30	15/2
1450	0x005aa	01010101101000000	38	19/2
1452	0x005ac	00110101101000000	42	21/2
1453	0x005ad	10110101101000000	58	29/2
1466	0x005ba	01011101101000000	54	27/2
1467	0x005bb	11011101101000000	74	37/2
1469	0x005bd	10111101101000000	78	39/2
1471	0x005bf	11111101101000000	94	47/2
1473	0x005c1	10000011101000000	46	23/2
1475	0x005c3	11000011101000000	62	31/2
1479	0x005c7	11100011101000000	82	41/2
1481	0x005c9	10010011101000000	70	35/2
1482	0x005ca	01010011101000000	66	33/2
1485	0x005cd	10110011101000000	90	45/2
1486	0x005ce	01110011101000000	86	43/2
1492	0x005d4	00101011101000000	70	35/2
1494	0x005d6	01101011101000000	86	43/2
1497	0x005d9	10011011101000000	94	47/2
1498	0x005da	01011011101000000	90	45/2
1501	0x005dd	10111011101000000	118	59/2
1502	0x005de	01111011101000000	114	57/2
1513	0x005e9	10010111101000000	54	27/2
1514	0x005ea	01010111101000000	50	25/2
1515	0x005eb	11010111101000000	70	35/2
1517	0x005ed	10110111101000000	70	35/2
1521	0x005f1	10001111101000000	50	25/2
1527	0x005f7	11101111101000000	86	43/2
1529	0x005f9	10011111101000000	74	37/2
1533	0x005fd	10111111101000000	94	47/2
1534	0x005fe	01111111101000000	90	45/2
1543	0x00607	11100000011000000	26	13/2
1546	0x0060a	01010000011000000	14	7/2
1547	0x0060b	11010000011000000	26	13/2
1549	0x0060d	10110000011000000	26	13/2
1551	0x0060f	11110000011000000	38	19/2
1553	0x00611	10001000011000000	14	7/2
1558	0x00616	01101000011000000	26	13/2
1559	0x00617	11101000011000000	38	19/2
1561	0x00619	10011000011000000	26	13/2
1566	0x0061e	01111000011000000	38	19/2
1567	0x0061f	11111000011000000	54	27/2
1575	0x00627	11100100011000000	22	11/2
1577	0x00629	10010100011000000	14	7/2
1582	0x0062e	01110100011000000	18	9/2
1583	0x0062f	11110100011000000	30	15/2
1588	0x00634	00101100011000000	14	7/2
1591	0x00637	11101100011000000	30	15/2
1594	0x0063a	01011100011000000	18	9/2
1595	0x0063b	11011100011000000	30	15/2
1599	0x0063f	11111100011000000	42	21/2
1601	0x00641	10000010011000000	14	7/2
1603	0x00643	11000010011000000	26	13/2
1606	0x00646	01100010011000000	26	13/2
1607	0x00647	11100010011000000	38	19/2
1609	0x00649	10010010011000000	26	13/2
1610	0x0064a	01010010011000000	26	13/2
1612	0x0064c	00110010011000000	26	13/2
1613	0x0064d	10110010011000000	38	19/2
1614	0x0064e	01110010011000000	38	19/2
1615	0x0064f	11110010011000000	54	27/2
1618	0x00652	01001010011000000	26	13/2
1621	0x00655	10101010011000000	38	19/2
1623	0x00657	11101010011000000	54	27/2
1628	0x0065c	00111010011000000	42	21/2
1631	0x0065f	11111010011000000	74	37/2
1634	0x00662	01000110011000000	14	7/2
1637	0x00665	10100110011000000	18	9/2
1639	0x00667	11100110011000000	30	15/2
1644	0x0066c	00110110011000000	18	9/2
1647	0x0066f	11110110011000000	42	21/2
1649	0x00671	10001110011000000	18	9/2
1651	0x00673	11001110011000000	30	15/2
1654	0x00676	01101110011000000	30	15/2
1655	0x00677	11101110011000000	42	21/2
1657	0x00679	10011110011000000	30	15/2
1658	0x0067a	01011110011000000	30	15/2
1660	0x0067c	00111110011000000	30	15/2
1661	0x0067d	10111110011000000	42	21/2
1662	0x0067e	01111110011000000	42	21/2
1663	0x0067f	11111110011000000	58	29/2
1665	0x00681	10000001011000000	14	7/2
1666	0x00682	01000001011000000	14	7/2
1673	0x00689	10010001011000000	26	13/2
1686	0x00696	01101001011000000	38	19/2
1690	0x0069a	01011001011000000	38	19/2
1691	0x0069b	11011001011000000	54	27/2
1694	0x0069e	01111001011000000	54	27/2
1697	0x006a1	10000101011000000	14	7/2
1700	0x006a4	00100101011000000	14	7/2
1703	0x006a7	11100101011000000	30	15/2
1704	0x006a8	00010101011000000	14	7/2
1705	0x006a9	10010101011000000	22	11/2
1709	0x006ad	10110101011000000	30	15/2
1715	0x006b3	11001101011000000	30	15/2
1719	0x006b7	11101101011000000	42	21/2
1722	0x006ba	01011101011000000	30	15/2
1726	0x006be	01111101011000000	42	21/2
1727	0x006bf	11111101011000000	58	29/2
1729	0x006c1	10000011011000000	22	11/2
1733	0x006c5	10100011011000000	34	17/2
1735	0x006c7	11100011011000000	50	25/2
1738	0x006ca	01010011011000000	38	19/2
1744	0x006d0	00001011011000000	26	13/2
1746	0x006d2	01001011011000000	38	19/2
1750	0x006d6	01101011011000000	54	27/2
1751	0x006d7	11101011011000000	70	35/2
1756	0x006dc	00111011011000000	58	29/2
1757	0x006dd	10111011011000000	74	37/2
1758	0x006de	01111011011000000	74	37/2
1759	0x006df	11111011011000000	94	47/2
1765	0x006e5	10100111011000000	26	13/2
1769	0x006e9	10010111011000000	30	15/2
1770	0x006ea	01010111011000000	30	15/2
1778	0x006f2	01001111011000000	30	15/2
1780	0x006f4	00101111011000000	30	15/2
1782	0x006f6	01101111011000000	42	21/2
1789	0x006fd	10111111011000000	58	29/2
1790	0x006fe	01111111011000000	58	29/2
1802	0x0070a	01010000111000000	22	11/2
1805	0x0070d	10110000111000000	42	21/2
1807	0x0070f	11110000111000000	54	27/2
1809	0x00711	10001000111000000	26	13/2
1810	0x00712	01001000111000000	22	11/2
1812	0x00714	00101000111000000	30	15/2
1813	0x00715	10101000111000000	42	21/2
1814	0x00716	01101000111000000	38	19/2
1815	0x00717	11101000111000000	54	27/2
1817	0x00719	10011000111000000	42	21/2
1822	0x0071e	01111000111000000	54	27/2
1828	0x00724	00100100111000000	14	7/2
1829	0x00725	10100100111000000	22	11/2
1830	0x00726	01100100111000000	18	9/2
1831	0x00727	11100100111000000	30	15/2
1833	0x00729	10010100111000000	22	11/2
1835	0x0072b	11010100111000000	30	15/2
1838	0x0072e	01110100111000000	26	13/2
1839	0x0072f	11110100111000000	42	21/2
1844	0x00734	00101100111000000	22	11/2
1847	0x00737	11101100111000000	42	21/2
1850	0x0073a	01011100111000000	26	13/2
1853	0x0073d	10111100111000000	46	23/2
1855	0x0073f	11111100111000000	58	29/2
1857	0x00741	10000010111000000	22	11/2
1862	0x00746	01100010111000000	34	17/2
1863	0x00747	11100010111000000	50	25/2
1865	0x00749	10010010111000000	38	19/2
1870	0x0074e	01110010111000000	50	25/2
1874	0x00752	01001010111000000	34	17/2
1875	0x00753	11001010111000000	50	25/2
1877	0x00755	10101010111000000	54	27/2
1887	0x0075f	11111010111000000	94	47/2
1893	0x00765	10100110111000000	26	13/2
1900	0x0076c	00110110111000000	26	13/2
1905	0x00771	10001110111000000	26	13/2
1911	0x00777	11101110111000000	54	27/2
1913	0x00779	10011110111000000	42	21/2
1916	0x0077c	00111110111000000	42	21/2
1917	0x0077d	10111110111000000	58	29/2
1918	0x0077e	01111110111000000	54	27/2
1919	0x0077f	11111110111000000	74	37/2
1921	0x00781	10000001111000000	26	13/2
1922	0x00782	01000001111000000	22	11/2
1929	0x00789	10010001111000000	42	21/2
1931	0x0078b	11010001111000000	54	27/2
1933	0x0078d	10110001111000000	58	29/2
1946	0x0079a	01011001111000000	54	27/2
1952	0x007a0	00000101111000000	14	7/2
1953	0x007a1	10000101111000000	22	11/2
1954	0x007a2	01000101111000000	18	9/2
1955	0x007a3	11000101111000000	30	15/2
1956	0x007a4	00100101111000000	22	11/2
1959	0x007a7	11100101111000000	42	21/2
1961	0x007a9	10010101111000000	34	17/2
1965	0x007ad	10110101111000000	46	23/2
1967	0x007af	11110101111000000	58	29/2
1972	0x007b4	00101101111000000	34	17/2
1973	0x007b5	10101101111000000	46	23/2
1974	0x007b6	01101101111000000	42	21/2
1975	0x007b7	11101101111000000	58	29/2
1976	0x007b8	00011101111000000	34	17/2
1978	0x007ba	01011101111000000	42	21/2
1982	0x007be	01111101111000000	58	29/2
1983	0x007bf	11111101111000000	78	39/2
1984	0x007c0	00000011111000000	22	11/2
1985	0x007c1	10000011111000000	34	17/2
1993	0x007c9	10010011111000000	54	27/2
1994	0x007ca	01010011111000000	50	25/2
1995	0x007cb	11010011111000000	70	35/2
1996	0x007cc	00110011111000000	54	27/2
2002	0x007d2	01001011111000000	50	25/2
2006	0x007d6	01101011111000000	70	35/2
2007	0x007d7	11101011111000000	90	45/2
2008	0x007d8	00011011111000000	58	29/2
2014	0x007de	01111011111000000	94	47/2
2017	0x007e1	10000111111000000	26	13/2
2019	0x007e3	11000111111000000	38	19/2
2020	0x007e4	00100111111000000	26	13/2
2021	0x007e5	10100111111000000	38	19/2
2025	0x007e9	10010111111000000	42	21/2
2026	0x007ea	01010111111000000	38	19/2
2036	0x007f4	00101111111000000	42	21/2
2038	0x007f6	01101111111000000	54	27/2
2045	0x007fd	10111111111000000	78	39/2
2046	0x007fe	01111111111000000	74	37/2
2069	0x00815	10101000000100000	34	17/2
2085	0x00825	10100100000100000	14	7/2
2094	0x0082e	01110100000100000	22	11/2
2097	0x00831	10001100000100000	14	7/2
2133	0x00855	10101010000100000	46	23/2
2173	0x0087d	10111110000100000	50	25/2
2174	0x0087e	01111110000100000	50	25/2
2183	0x00887	11100001000100000	46	23/2
2186	0x0088a	01010001000100000	34	17/2
2187	0x0088b	11010001000100000	50	25/2
2191	0x0088f	11110001000100000	66	33/2
2194	0x00892	01001001000100000	34	17/2
2197	0x00895	10101001000100000	50	25/2
2199	0x00897	11101001000100000	66	33/2
2201	0x00899	10011001000100000	54	27/2
2203	0x0089b	11011001000100000	70	35/2
2206	0x0089e	01111001000100000	70	35/2
2207	0x0089f	11111001000100000	90	45/2
2211	0x008a3	11000101000100000	26	13/2
2218	0x008aa	01010101000100000	26	13/2
2226	0x008b2	01001101000100000	26	13/2
2227	0x008b3	11001101000100000	38	19/2
2238	0x008be	01111101000100000	54	27/2
2245	0x008c5	10100011000100000	42	21/2
2257	0x008d1	10001011000100000	46	23/2
2260	0x008d4	00101011000100000	50	25/2
2262	0x008d6	01101011000100000	66	33/2
2265	0x008d9	10011011000100000	70	35/2
2269	0x008dd	10111011000100000	90	45/2
2270	0x008de	01111011000100000	90	45/2
2294	0x008f6	01101111000100000	50	25/2
2297	0x008f9	10011111000100000	54	27/2
2298	0x008fa	01011111000100000	54	27/2
2300	0x008fc	00111111000100000	54	27/2
2301	0x008fd	10111111000100000	70	35/2
2302	0x008fe	01111111000100000	70	35/2
2303	0x008ff	11111111000100000	90	45/2
2341	0x00925	10100100100100000	26	13/2
2342	0x00926	01100100100100000	22	11/2
2429	0x0097d	10111110100100000	70	35/2
2430	0x0097e	01111110100100000	66	33/2
2445	0x0098d	10110001100100000	74	37/2
2447	0x0098f	11110001100100000	90	45/2
2449	0x00991	10001001100100000	54	27/2
2450	0x00992	01001001100100000	50	25/2
2452	0x00994	00101001100100000	58	29/2
2453	0x00995	10101001100100000	74	37/2
2454	0x00996	01101001100100000	70	35/2
2455	0x00997	11101001100100000	90	45/2
2457	0x00999	10011001100100000	78	39/2
2459	0x0099b	11011001100100000	94	47/2
2463	0x0099f	11111001100100000	118	59/2
2477	0x009ad	10110101100100000	58	29/2
2483	0x009b3	11001101100100000	54	27/2
2485	0x009b5	10101101100100000	58	29/2
2486	0x009b6	01101101100100000	54	27/2
2489	0x009b9	10011101100100000	62	31/2
2492	0x009bc	00111101100100000	62	31/2
2494	0x009be	01111101100100000	74	37/2
2498	0x009c2	01000011100100000	42	21/2
2518	0x009d6	01101011100100000	86	43/2
2522	0x009da	01011011100100000	90	45/2
2526	0x009de	01111011100100000	114	57/2
2543	0x009ef	11110111100100000	86	43/2
2550	0x009f6	01101111100100000	66	33/2
2551	0x009f7	11101111100100000	86	43/2
2554	0x009fa	01011111100100000	70	35/2
2557	0x009fd	10111111100100000	94	47/2
2558	0x009fe	01111111100100000	90	45/2
2559	0x009ff	11111111100100000	114	57/2
2567	0x00a07	11100000010100000	26	13/2
2570	0x00a0a	01010000010100000	14	7/2
2571	0x00a0b	11010000010100000	26	13/2
2575	0x00a0f	11110000010100000	38	19/2
2579	0x00a13	11001000010100000	26	13/2
2594	0x00a22	01000100010100000	10	5/2
2597	0x00a25	10100100010100000	14	7/2
2598	0x00a26	01100100010100000	14	7/2
2599	0x00a27	11100100010100000	22	11/2
2601	0x00a29	10010100010100000	14	7/2
2606	0x00a2e	01110100010100000	18	9/2
2607	0x00a2f	11110100010100000	30	15/2
2610	0x00a32	01001100010100000	14	7/2
2614	0x00a36	01101100010100000	22	11/2
2657	0x00a61	10000110010100000	10	5/2
2660	0x00a64	00100110010100000	10	5/2
2662	0x00a66	01100110010100000	18	9/2
2665	0x00a69	10010110010100000	18	9/2
2670	0x00a6e	01110110010100000	26	13/2
2678	0x00a76	01101110010100000	30	15/2
2681	0x00a79	10011110010100000	30	15/2
2682	0x00a7a	01011110010100000	30	15/2
2684	0x00a7c	00111110010100000	30	15/2
2685	0x00a7d	10111110010100000	42	21/2
2686	0x00a7e	01111110010100000	42	21/2
2687	0x00a7f	11111110010100000	58	29/2
2689	0x00a81	10000001010100000	14	7/2
2690	0x00a82	01000001010100000	14	7/2
2697	0x00a89	10010001010100000	26	13/2
2705	0x00a91	10001001010100000	26	13/2
2707	0x00a93	11001001010100000	38	19/2
2708	0x00a94	00101001010100000	30	15/2
2711	0x00a97	11101001010100000	54	27/2
2712	0x00a98	00011001010100000	30	15/2
2713	0x00a99	10011001010100000	42	21/2
2717	0x00a9d	10111001010100000	58	29/2
2721	0x00aa1	10000101010100000	14	7/2
2722	0x00aa2	01000101010100000	14	7/2
2724	0x00aa4	00100101010100000	14	7/2
2727	0x00aa7	11100101010100000	30	15/2
2728	0x00aa8	00010101010100000	14	7/2
2729	0x00aa9	10010101010100000	22	11/2
2733	0x00aad	10110101010100000	30	15/2
2738	0x00ab2	01001101010100000	22	11/2
2745	0x00ab9	10011101010100000	34	17/2
2747	0x00abb	11011101010100000	46	23/2
2748	0x00abc	00111101010100000	34	17/2
2749	0x00abd	10111101010100000	46	23/2
2754	0x00ac2	01000011010100000	22	11/2
2755	0x00ac3	11000011010100000	34	17/2
2774	0x00ad6	01101011010100000	54	27/2
2783	0x00adf	11111011010100000	94	47/2
2790	0x00ae6	01100111010100000	26	13/2
2799	0x00aef	11110111010100000	54	27/2
2802	0x00af2	01001111010100000	30	15/2
2804	0x00af4	00101111010100000	30	15/2
2806	0x00af6	01101111010100000	42	21/2
