mask	hex	bit_vector	representative_norm	half_representative_norm
41424	0x0a1d0	00001011100001010	66	33/2
41428	0x0a1d4	00101011100001010	86	43/2
41433	0x0a1d9	10011011100001010	118	59/2
41436	0x0a1dc	00111011100001010	114	57/2
41437	0x0a1dd	10111011100001010	142	71/2
41438	0x0a1de	01111011100001010	134	67/2
41439	0x0a1df	11111011100001010	166	83/2
41442	0x0a1e2	01000111100001010	46	23/2
41444	0x0a1e4	00100111100001010	46	23/2
41450	0x0a1ea	01010111100001010	66	33/2
41452	0x0a1ec	00110111100001010	66	33/2
41453	0x0a1ed	10110111100001010	90	45/2
41454	0x0a1ee	01110111100001010	82	41/2
41455	0x0a1ef	11110111100001010	110	55/2
41456	0x0a1f0	00001111100001010	50	25/2
41457	0x0a1f1	10001111100001010	70	35/2
41460	0x0a1f4	00101111100001010	66	33/2
41462	0x0a1f6	01101111100001010	82	41/2
41471	0x0a1ff	11111111100001010	138	69/2
41476	0x0a204	00100000010001010	14	7/2
41477	0x0a205	10100000010001010	26	13/2
41485	0x0a20d	10110000010001010	38	19/2
41488	0x0a210	00001000010001010	14	7/2
41489	0x0a211	10001000010001010	26	13/2
41493	0x0a215	10101000010001010	38	19/2
41494	0x0a216	01101000010001010	34	17/2
41498	0x0a21a	01011000010001010	34	17/2
41499	0x0a21b	11011000010001010	54	27/2
41501	0x0a21d	10111000010001010	54	27/2
41503	0x0a21f	11111000010001010	70	35/2
41505	0x0a221	10000100010001010	18	9/2
41507	0x0a223	11000100010001010	26	13/2
41509	0x0a225	10100100010001010	22	11/2
41510	0x0a226	01100100010001010	18	9/2
41514	0x0a22a	01010100010001010	18	9/2
41515	0x0a22b	11010100010001010	34	17/2
41517	0x0a22d	10110100010001010	30	15/2
41521	0x0a231	10001100010001010	22	11/2
41524	0x0a234	00101100010001010	18	9/2
41525	0x0a235	10101100010001010	30	15/2
41526	0x0a236	01101100010001010	26	13/2
41528	0x0a238	00011100010001010	18	9/2
41532	0x0a23c	00111100010001010	26	13/2
41533	0x0a23d	10111100010001010	42	21/2
41541	0x0a245	10100010010001010	38	19/2
41544	0x0a248	00010010010001010	26	13/2
41549	0x0a24d	10110010010001010	54	27/2
41552	0x0a250	00001010010001010	26	13/2
41554	0x0a252	01001010010001010	38	19/2
41556	0x0a254	00101010010001010	38	19/2
41557	0x0a255	10101010010001010	54	27/2
41561	0x0a259	10011010010001010	58	29/2
41565	0x0a25d	10111010010001010	74	37/2
41572	0x0a264	00100110010001010	18	9/2
41573	0x0a265	10100110010001010	30	15/2
41577	0x0a269	10010110010001010	34	17/2
41581	0x0a26d	10110110010001010	42	21/2
41587	0x0a273	11001110010001010	46	23/2
41589	0x0a275	10101110010001010	42	21/2
41591	0x0a277	11101110010001010	58	29/2
41593	0x0a279	10011110010001010	46	23/2
41597	0x0a27d	10111110010001010	58	29/2
41598	0x0a27e	01111110010001010	54	27/2
41605	0x0a285	10100001010001010	34	17/2
41606	0x0a286	01100001010001010	30	15/2
41608	0x0a288	00010001010001010	22	11/2
41609	0x0a289	10010001010001010	38	19/2
41615	0x0a28f	11110001010001010	66	33/2
41616	0x0a290	00001001010001010	22	11/2
41619	0x0a293	11001001010001010	50	25/2
41620	0x0a294	00101001010001010	34	17/2
41622	0x0a296	01101001010001010	46	23/2
41623	0x0a297	11101001010001010	66	33/2
41625	0x0a299	10011001010001010	54	27/2
41627	0x0a29b	11011001010001010	70	35/2
41628	0x0a29c	00111001010001010	50	25/2
41629	0x0a29d	10111001010001010	70	35/2
41633	0x0a2a1	10000101010001010	22	11/2
41634	0x0a2a2	01000101010001010	18	9/2
41642	0x0a2aa	01010101010001010	26	13/2
41646	0x0a2ae	01110101010001010	34	17/2
41647	0x0a2af	11110101010001010	54	27/2
41649	0x0a2b1	10001101010001010	30	15/2
41650	0x0a2b2	01001101010001010	26	13/2
41652	0x0a2b4	00101101010001010	26	13/2
41655	0x0a2b7	11101101010001010	54	27/2
41658	0x0a2ba	01011101010001010	38	19/2
41659	0x0a2bb	11011101010001010	58	29/2
41660	0x0a2bc	00111101010001010	38	19/2
41664	0x0a2c0	00000011010001010	22	11/2
41666	0x0a2c2	01000011010001010	34	17/2
41671	0x0a2c7	11100011010001010	66	33/2
41673	0x0a2c9	10010011010001010	54	27/2
41674	0x0a2ca	01010011010001010	50	25/2
41682	0x0a2d2	01001011010001010	50	25/2
41683	0x0a2d3	11001011010001010	70	35/2
41684	0x0a2d4	00101011010001010	50	25/2
41686	0x0a2d6	01101011010001010	66	33/2
41688	0x0a2d8	00011011010001010	54	27/2
41689	0x0a2d9	10011011010001010	74	37/2
41690	0x0a2da	01011011010001010	70	35/2
41691	0x0a2db	11011011010001010	94	47/2
41692	0x0a2dc	00111011010001010	70	35/2
41695	0x0a2df	11111011010001010	114	57/2
41697	0x0a2e1	10000111010001010	30	15/2
41701	0x0a2e5	10100111010001010	38	19/2
41703	0x0a2e7	11100111010001010	54	27/2
41709	0x0a2ed	10110111010001010	54	27/2
41710	0x0a2ee	01110111010001010	50	25/2
41713	0x0a2f1	10001111010001010	42	21/2
41715	0x0a2f3	11001111010001010	58	29/2
41716	0x0a2f4	00101111010001010	38	19/2
41720	0x0a2f8	00011111010001010	42	21/2
41723	0x0a2fb	11011111010001010	78	39/2
41724	0x0a2fc	00111111010001010	54	27/2
41725	0x0a2fd	10111111010001010	74	37/2
