rank	mask	hex	multiplicity	witness
27593	112988	0x1b95c	20	0 0 1 1 -1 -2 -1 2 -1 0 -2 -1 1 1 0 -1 -1
27594	113004	0x1b96c	20	0 0 1 1 0 -1 -1 2 -1 0 -2 -1 1 1 0 -1 -1
27595	113013	0x1b975	20	1 0 1 0 1 -1 -3 0 -1 0 0 -1 -1 1 -2 -1 -1
27596	113018	0x1b97a	20	0 1 0 1 3 -3 -5 2 -1 2 0 -3 -1 3 -2 -1 -3
27597	113019	0x1b97b	20	1 1 0 1 3 -3 -5 2 -1 2 0 -3 -1 3 -2 -1 -3
27598	113028	0x1b984	20	0 0 1 0 0 0 0 1 -1 0 0 -1 -1 -1 0 1 1
27599	113039	0x1b98f	20	1 -1 1 1 2 0 -2 -1 -3 0 2 -1 -1 -1 -2 1 -1
27600	113070	0x1b9ae	20	2 -1 1 1 2 1 -2 -1 -3 0 2 -1 -1 -1 -2 1 -1
27601	113086	0x1b9be	20	2 -1 1 1 3 1 -2 -1 -3 0 2 -1 -1 -1 -2 1 -1
27602	113102	0x1b9ce	20	2 -1 1 1 2 -2 -3 1 -1 0 0 -3 -1 1 -2 -1 -3
27603	113106	0x1b9d2	20	2 -1 0 0 1 0 -1 -1 -1 0 2 -1 -1 -1 -2 1 -1
27604	113111	0x1b9d7	20	1 -1 1 0 1 0 -1 -1 -1 0 2 -1 -1 -1 -2 1 -1
27605	113166	0x1ba0e	20	0 1 1 1 2 -2 -4 0 0 1 0 -3 -1 1 -2 -1 -1
27606	113170	0x1ba12	20	0 1 0 0 1 -2 -2 0 0 1 0 -1 -1 1 -2 -1 -1
27607	113174	0x1ba16	20	2 -1 1 0 3 -2 -4 0 -2 -1 0 -3 1 1 -2 -1 -3
27608	113177	0x1ba19	20	1 0 0 -1 1 -2 -2 0 0 1 0 -1 -1 1 -2 -1 -1
27609	113178	0x1ba1a	20	0 1 2 3 3 -4 -8 2 -2 3 0 -5 -3 3 -4 1 -3
27610	113199	0x1ba2f	20	1 1 3 3 4 -5 -10 2 -4 1 0 -7 -1 3 -4 -1 -3
27611	113234	0x1ba52	20	0 1 0 0 1 -2 -3 0 0 1 0 -1 -1 1 -2 -1 -1
27612	113236	0x1ba54	20	0 0 1 0 1 0 -1 0 -2 -1 0 -1 1 -1 0 1 1
27613	113244	0x1ba5c	20	0 0 1 1 -1 -2 -1 2 0 1 -2 -1 1 1 0 -1 -1
27614	113246	0x1ba5e	20	0 1 1 1 1 -2 -3 0 0 1 0 -3 -1 1 -2 -1 -1
27615	113311	0x1ba9f	20	1 -1 -1 -1 -1 0 2 1 0 -1 0 1 1 -1 2 -1 1
27616	113333	0x1bab5	20	1 0 1 2 3 -3 -6 1 -2 1 0 -3 -1 3 -2 -1 -3
27617	113353	0x1bac9	20	1 0 0 -1 0 0 1 -1 0 -1 0 1 1 -1 0 -1 -1
27618	113364	0x1bad4	20	0 0 1 0 -1 -2 -1 3 0 1 -2 -1 -1 3 0 -1 -1
27619	113365	0x1bad5	20	1 0 1 2 3 -2 -5 1 -2 1 0 -3 -1 3 -2 -1 -3
27620	113367	0x1bad7	20	1 1 1 2 3 -4 -7 1 -2 1 0 -5 -1 3 -2 -1 -3
27621	113370	0x1bada	20	0 1 0 1 3 -2 -5 1 0 1 0 -3 -1 3 -2 -1 -3
27622	113386	0x1baea	20	0 1 0 1 2 -3 -5 1 0 1 0 -3 -1 3 -2 -1 -3
27623	113414	0x1bb06	20	2 -1 1 0 4 -2 -4 0 -3 -1 0 -3 1 1 -2 -1 -3
27624	113420	0x1bb0c	20	2 0 1 1 4 -4 -8 2 -3 1 0 -5 -1 3 -4 -1 -3
27625	113425	0x1bb11	20	1 0 0 0 1 -2 -2 0 -1 1 0 -1 -1 1 -2 -1 -1
27626	113427	0x1bb13	20	1 1 2 2 3 -4 -8 2 -3 1 0 -5 -1 3 -4 -1 -3
27627	113432	0x1bb18	20	2 0 2 1 3 -4 -8 2 -3 1 0 -5 -1 3 -4 -1 -3
27628	113450	0x1bb2a	20	0 1 0 1 0 -1 -2 0 1 1 0 -1 -1 1 -2 -1 -1
27629	113474	0x1bb42	20	2 -1 0 0 2 0 -1 0 -1 1 2 -1 -1 -1 -2 1 -1
27630	113511	0x1bb67	20	1 -1 -1 0 0 3 3 -2 1 -1 2 1 -1 -3 0 1 1
27631	113524	0x1bb74	20	2 -2 -1 -2 -1 3 5 -2 1 -1 2 3 -1 -3 0 1 1
27632	113527	0x1bb77	20	1 -1 -1 -2 -1 3 5 -2 1 -1 2 3 -1 -3 0 1 1
27633	113533	0x1bb7d	20	1 0 1 1 1 -1 -3 0 -1 1 0 -1 -1 1 -2 -1 -1
27634	113537	0x1bb81	20	1 0 2 2 4 -4 -8 1 -3 1 0 -5 -1 3 -4 -1 -3
27635	113560	0x1bb98	20	2 -2 0 -1 1 0 2 -1 -1 -1 0 1 1 -1 0 -1 -1
27636	113561	0x1bb99	20	1 0 0 1 3 -2 -4 1 -1 1 0 -3 -1 3 -2 -1 -3
27637	113563	0x1bb9b	20	1 -1 0 -1 -1 0 2 1 -1 -1 0 1 1 -1 2 -1 1
27638	113595	0x1bbbb	20	1 1 0 1 3 -3 -6 1 -1 1 0 -3 -1 3 -2 -1 -3
27639	113630	0x1bbde	20	0 1 1 1 3 -2 -5 1 -1 1 0 -3 -1 3 -2 -1 -3
27640	113646	0x1bbee	20	0 1 1 1 2 -3 -5 1 -1 1 0 -3 -1 3 -2 -1 -3
27641	113650	0x1bbf2	20	2 -1 0 0 1 1 1 -1 -1 -1 0 1 1 -1 0 -1 -1
27642	113651	0x1bbf3	20	1 1 0 0 3 -3 -5 1 -1 1 0 -3 -1 3 -2 -1 -3
27643	113653	0x1bbf5	20	1 0 1 0 3 -3 -5 1 -1 1 0 -3 -1 3 -2 -1 -3
27644	113658	0x1bbfa	20	0 1 0 1 3 -3 -5 1 -1 1 0 -3 -1 3 -2 -1 -3
27645	113665	0x1bc01	20	1 0 0 0 2 -4 -4 2 0 2 -1 -3 -1 3 -2 -1 -3
27646	113685	0x1bc15	20	1 0 1 0 3 -2 -4 0 -2 0 1 -3 -1 1 -2 -1 -1
27647	113690	0x1bc1a	20	0 1 2 3 3 -4 -8 2 -2 2 -1 -5 -1 3 -4 -1 -3
27648	113742	0x1bc4e	20	2 -1 1 -1 0 -2 -1 2 -2 0 -1 -1 1 1 0 -1 -1
27649	113743	0x1bc4f	20	1 1 1 1 2 -2 -5 0 -2 0 1 -3 -1 1 -2 -1 -1
27650	113749	0x1bc55	20	1 0 1 0 1 -2 -3 2 -2 0 -1 -1 1 1 0 -1 -1
27651	113757	0x1bc5d	20	1 0 1 1 3 -2 -5 0 -2 0 1 -3 -1 1 -2 -1 -1
27652	113767	0x1bc67	20	1 -1 1 0 0 -1 -1 2 -2 0 -1 -1 1 1 0 -1 -1
27653	113786	0x1bc7a	20	0 1 0 1 3 -3 -5 2 0 2 -1 -3 -1 3 -2 -1 -3
27654	113788	0x1bc7c	20	0 0 1 1 1 -3 -3 2 -2 0 -1 -3 1 1 0 -1 -1
27655	113798	0x1bc86	20	0 1 1 2 2 -2 -4 1 0 2 -1 -3 -1 3 -2 -1 -3
27656	113821	0x1bc9d	20	1 0 1 1 1 0 -2 -1 -2 0 1 -1 -1 -1 -2 1 -1
27657	113838	0x1bcae	20	0 1 1 1 2 -3 -4 1 0 2 -1 -3 -1 3 -2 -1 -3
27658	113847	0x1bcb7	20	1 -1 1 0 1 1 0 -1 0 0 1 -1 -1 -1 -2 1 -1
27659	113871	0x1bccf	20	1 -1 1 1 2 0 -1 -1 -2 0 1 -1 -1 -1 -2 1 -1
27660	113887	0x1bcdf	20	1 -1 1 1 1 0 -1 -1 -2 0 1 -1 -1 -1 -2 1 -1
27661	113925	0x1bd05	20	1 0 1 0 2 -2 -4 0 -1 0 1 -3 -1 1 -2 -1 -1
