priority	mask	hex	multiplicity	witness_index	representative
62	30558	0x0775e	28	4	0 1 1 1 -1 -2 -3 2 -1 1 -1 -2 -1 1 -1 0 0
63	32606	0x07f5e	28	1	2 -1 1 1 3 -2 -5 0 -3 1 1 -3 -1 1 -3 0 -2
63	32606	0x07f5e	28	2	0 1 1 1 3 -2 -5 0 -1 1 1 -3 -1 1 -3 0 -2
63	32606	0x07f5e	28	3	2 -1 1 -1 1 -2 -1 0 -1 -1 -1 -1 1 1 -1 -2 -2
63	32606	0x07f5e	28	4	0 1 1 1 -1 -2 -3 2 -1 1 -1 -1 -1 1 -1 0 0
64	40848	0x09f90	28	1	2 0 0 0 3 -2 -4 1 -1 1 1 -3 -1 2 -2 -1 -2
64	40848	0x09f90	28	2	0 0 0 0 1 -2 -2 1 1 1 -1 -1 -1 2 -2 -1 -2
64	40848	0x09f90	28	3	0 0 0 2 1 0 -2 -1 -1 1 1 -1 -1 0 -2 1 0
64	40848	0x09f90	28	4	2 0 2 2 5 -6 -10 3 -5 1 -1 -7 -1 4 -4 -1 -4
65	46752	0x0b6a0	28	1	2 0 0 0 2 -3 -4 1 -2 1 1 -2 -1 1 -2 -1 -2
65	46752	0x0b6a0	28	2	0 2 0 2 2 -3 -6 1 0 1 -1 -4 -1 3 -2 -1 -2
65	46752	0x0b6a0	28	3	0 0 0 0 2 -3 -4 1 0 1 -1 -2 -1 3 -2 -1 -2
65	46752	0x0b6a0	28	4	0 0 0 0 0 1 0 -1 0 1 1 0 -1 -1 -2 1 0
66	49565	0x0c19d	28	1	1 -2 -1 -3 -3 2 6 -1 1 -2 0 4 2 -2 3 -1 2
66	49565	0x0c19d	28	2	1 0 1 1 1 -2 -4 1 -1 2 0 -2 -2 2 -3 1 -2
66	49565	0x0c19d	28	3	1 0 -1 -1 1 0 0 -1 1 0 0 0 0 0 -1 -1 0
66	49565	0x0c19d	28	4	1 0 1 1 3 -4 -6 1 -3 0 0 -4 0 2 -3 -1 -2
67	57276	0x0dfbc	28	1	2 0 1 1 3 -3 -6 1 -3 1 1 -3 -1 2 -3 -1 -2
67	57276	0x0dfbc	28	2	0 0 1 1 -1 -1 0 1 -1 -1 -1 -1 1 0 1 -1 0
67	57276	0x0dfbc	28	3	2 0 1 1 3 -5 -8 3 -3 1 -1 -5 -1 4 -3 -1 -4
67	57276	0x0dfbc	28	4	2 0 1 1 3 -1 -4 1 -3 1 1 -3 -1 0 -3 1 -2
68	59874	0x0e9e2	28	1	0 1 2 2 2 -5 -7 3 -1 2 -2 -5 -2 5 -3 -1 -4
68	59874	0x0e9e2	28	2	0 1 2 2 2 -1 -5 1 -1 2 0 -3 -2 1 -3 1 -2
68	59874	0x0e9e2	28	3	0 1 0 0 0 -1 -1 -1 1 0 0 -1 0 1 -1 -1 0
68	59874	0x0e9e2	28	4	0 1 0 0 2 -1 -3 -1 -1 0 0 -1 0 1 -1 -1 0
69	60643	0x0ece3	28	1	1 -1 0 0 0 1 1 -1 0 0 1 1 -2 -1 -1 1 0
69	60643	0x0ece3	28	2	1 1 2 2 4 -5 -9 3 -2 2 -1 -7 -2 5 -3 -1 -4
69	60643	0x0ece3	28	3	1 1 2 2 2 -1 -5 1 -2 2 1 -3 -2 1 -3 1 -2
69	60643	0x0ece3	28	4	1 -1 0 0 0 1 1 -1 0 0 1 1 0 -1 -1 -1 0
70	62429	0x0f3dd	28	1	1 0 1 1 1 -2 -3 1 -1 1 0 -2 -1 1 -3 -1 -2
70	62429	0x0f3dd	28	2	1 0 1 1 3 -4 -7 1 -3 1 0 -4 -1 3 -3 -1 -2
70	62429	0x0f3dd	28	3	1 0 -1 1 1 0 -1 -1 -1 1 2 0 -1 -1 -1 1 0
70	62429	0x0f3dd	28	4	1 0 1 1 3 -2 -5 1 -3 1 2 -4 -1 1 -3 1 -2
71	62807	0x0f557	28	1	1 1 1 2 3 -4 -7 2 -1 2 -1 -4 -1 3 -3 -1 -4
71	62807	0x0f557	28	2	1 -1 -1 -2 1 2 3 -2 1 -2 1 2 1 -1 1 -1 0
71	62807	0x0f557	28	3	1 -1 1 0 1 0 -1 0 -1 0 -1 0 1 1 -1 -1 -2
71	62807	0x0f557	28	4	1 -1 1 0 1 2 1 -2 -1 -2 1 0 1 -3 -1 1 0
72	63219	0x0f6f3	28	1	1 1 2 2 3 -3 -7 1 -2 1 -1 -4 -1 3 -3 -1 -2
72	63219	0x0f6f3	28	2	1 1 0 0 1 -3 -3 1 0 1 -1 -2 -1 3 -1 -1 -2
72	63219	0x0f6f3	28	3	1 -1 0 0 1 -1 -1 1 -2 -1 -1 0 1 1 1 -1 0
72	63219	0x0f6f3	28	4	1 -1 0 -2 -1 -1 1 1 0 -1 -1 0 1 1 1 -1 0
73	63443	0x0f7d3	28	1	1 1 2 2 3 -4 -7 1 -3 1 -1 -4 -1 3 -3 -1 -2
73	63443	0x0f7d3	28	2	1 -1 0 0 1 2 1 -1 -1 -1 3 0 -1 -3 -1 1 0
73	63443	0x0f7d3	28	3	1 -1 0 0 -1 2 3 -1 -1 -1 1 2 1 -3 1 1 2
73	63443	0x0f7d3	28	4	1 1 0 0 1 -2 -3 1 1 1 -1 -2 -1 3 -1 -1 -2
74	65027	0x0fe03	28	1	1 1 2 2 4 -4 -8 2 -2 1 -1 -5 -1 3 -3 -1 -4
74	65027	0x0fe03	28	2	1 -1 -2 -2 0 2 4 -2 2 -1 1 3 1 -1 1 -1 0
74	65027	0x0fe03	28	3	1 -1 0 0 2 -2 -2 0 -2 -1 -1 -1 1 1 -1 -1 -2
74	65027	0x0fe03	28	4	1 -1 0 0 0 2 2 -2 0 -1 1 1 1 -3 -1 1 0
75	66632	0x10448	28	1	2 0 2 3 4 -4 -9 2 -4 2 1 -6 -2 2 -4 0 -3
75	66632	0x10448	28	2	0 2 2 3 4 -4 -9 2 -2 2 -1 -6 -2 4 -4 0 -3
75	66632	0x10448	28	3	0 0 0 1 0 0 -1 0 0 2 1 0 -2 0 -2 2 -1
75	66632	0x10448	28	4	0 0 2 1 0 -2 -3 2 -2 0 -1 -2 0 2 0 0 -1
76	67710	0x1087e	28	1	0 1 1 1 1 -1 -3 0 0 2 0 -1 -2 2 -2 0 -1
76	67710	0x1087e	28	2	2 -1 1 1 1 1 -1 0 -2 0 2 -1 -2 -2 -2 2 -1
76	67710	0x1087e	28	3	0 1 1 3 3 -3 -7 2 -2 2 0 -5 -2 4 -2 0 -3
76	67710	0x1087e	28	4	0 1 -1 -1 1 -1 -1 0 2 0 0 -1 0 2 0 -2 -1
77	68808	0x10cc8	28	1	0 0 0 1 -2 0 1 1 0 0 -1 1 0 0 2 0 1
77	68808	0x10cc8	28	2	2 -2 0 -1 0 2 3 -1 0 -2 1 1 0 -2 0 0 -1
77	68808	0x10cc8	28	3	0 0 0 1 2 0 -1 -1 0 0 1 -1 0 0 0 0 -1
77	68808	0x10cc8	28	4	2 -2 0 -1 2 2 1 -1 -2 -2 1 1 2 -2 0 0 -1
78	71488	0x11740	28	1	2 0 0 0 2 -2 -3 0 -1 1 1 -2 -1 0 -2 0 -1
78	71488	0x11740	28	2	0 0 0 0 0 0 1 0 -1 -1 -1 0 1 0 2 0 1
78	71488	0x11740	28	3	0 0 0 0 2 -2 -3 0 -1 1 1 -2 -1 2 -2 0 -1
78	71488	0x11740	28	4	2 0 2 2 4 -4 -9 2 -5 1 1 -6 -1 2 -4 0 -3
79	74937	0x124b9	28	1	1 0 0 -1 1 1 0 -1 0 0 1 0 0 -1 -2 0 -1
79	74937	0x124b9	28	2	1 0 0 1 3 -1 -4 -1 -2 0 1 -2 0 1 -2 0 -1
79	74937	0x124b9	28	3	1 0 2 1 3 -3 -6 1 -2 0 -1 -4 0 3 -2 -2 -3
79	74937	0x124b9	28	4	1 0 0 1 1 1 0 -1 0 0 1 0 0 -1 0 0 -1
80	84932	0x14bc4	28	1	0 0 1 0 0 0 -1 1 -1 -1 0 -1 0 0 1 0 1
80	84932	0x14bc4	28	2	0 0 1 0 2 0 -1 -1 -1 -1 0 -1 0 0 -1 0 -1
80	84932	0x14bc4	28	3	2 -2 -1 -2 0 4 5 -3 -1 -3 2 3 2 -4 1 0 1
80	84932	0x14bc4	28	4	0 2 1 2 2 -6 -9 3 -1 3 -2 -5 -2 6 -3 -2 -3
81	98264	0x17fd8	28	1	0 0 0 1 1 0 -1 -1 1 1 1 -1 -1 1 -1 0 -1
81	98264	0x17fd8	28	2	2 0 2 1 3 -2 -5 1 -3 1 1 -3 -1 1 -3 0 -3
81	98264	0x17fd8	28	3	0 0 0 1 1 0 -1 -1 -1 -1 1 -1 1 -1 -1 0 -1
81	98264	0x17fd8	28	4	2 -2 0 -1 1 2 1 -1 -1 -1 1 1 1 -1 -1 0 -1
82	100175	0x1874f	28	1	1 1 1 1 2 0 -3 0 -1 1 1 -2 -2 0 -2 1 -1
82	100175	0x1874f	28	2	1 -1 1 1 0 0 -1 0 -1 1 1 0 -2 0 -2 1 -1
82	100175	0x1874f	28	3	1 1 3 3 4 -6 -11 4 -3 3 -1 -8 -2 6 -4 -1 -5
82	100175	0x1874f	28	4	1 -1 -1 -1 0 2 3 -2 1 -1 1 2 0 -2 0 -1 1
83	112434	0x1b732	28	1	0 1 0 0 1 -1 -2 0 1 1 1 -2 -1 1 -2 -1 -1
83	112434	0x1b732	28	2	0 1 0 2 3 -3 -6 2 -1 1 -1 -4 -1 3 -2 -1 -3
83	112434	0x1b732	28	3	2 -1 0 0 1 1 0 0 -1 1 1 0 -1 -1 -2 1 -1
83	112434	0x1b732	28	4	0 1 0 2 1 -1 -4 0 -1 1 1 -2 -1 1 -2 1 -1
84	119453	0x1d29d	28	1	1 0 1 1 3 -4 -6 1 -2 1 0 -4 -1 2 -3 -1 -3
84	119453	0x1d29d	28	2	1 0 1 1 3 0 -4 -1 -2 1 2 -2 -1 0 -3 1 -1
84	119453	0x1d29d	28	3	1 0 -1 -1 1 0 0 -1 0 -1 0 0 1 0 -1 -1 -1
84	119453	0x1d29d	28	4	1 -2 -1 -1 1 4 4 -3 0 -3 2 2 1 -4 1 1 1
85	120966	0x1d886	28	1	2 -1 1 0 2 0 -2 -1 -2 0 2 -1 -1 -2 -3 1 -1
85	120966	0x1d886	28	2	0 1 1 2 4 -4 -8 1 -2 2 0 -5 -1 4 -3 -1 -3
85	120966	0x1d886	28	3	2 -1 1 0 2 0 -2 -1 -2 -2 0 -1 1 0 -1 -1 -1
85	120966	0x1d886	28	4	0 1 1 0 0 -4 -4 3 0 2 -2 -3 -1 4 -1 -1 -1
86	126317	0x1ed6d	28	1	1 0 1 1 2 -3 -5 2 -1 2 -1 -3 -2 3 -3 -1 -3
86	126317	0x1ed6d	28	2	1 -2 -1 -3 -2 1 5 0 1 -2 -1 3 2 -1 3 -1 1
86	126317	0x1ed6d	28	3	1 0 -1 -1 2 -1 -1 0 -1 0 1 -1 0 1 -1 -1 -1
86	126317	0x1ed6d	28	4	1 0 1 1 0 -1 -1 2 -1 0 -1 -1 0 1 1 -1 -1
87	13902	0x0364e	27	1	2 -1 1 1 2 -2 -3 0 -2 1 1 -2 -1 1 -2 0 -2
87	13902	0x0364e	27	2	0 1 1 1 2 0 -3 0 0 1 1 -2 -1 1 -2 0 -2
87	13902	0x0364e	27	3	2 -1 -1 -1 0 2 3 -2 0 -1 1 2 1 -3 0 0 0
87	13902	0x0364e	27	4	0 1 1 1 0 -2 -3 2 0 1 -1 -2 -1 1 0 0 0
88	8526	0x0214e	27	1	0 1 1 1 0 -2 -3 2 -1 0 -2 -2 0 1 0 0 0
88	8526	0x0214e	27	2	2 -1 1 1 2 -2 -3 0 -3 0 0 -2 0 1 -2 0 -2
88	8526	0x0214e	27	3	0 1 1 1 2 0 -3 0 -1 0 0 -2 0 1 -2 0 -2
88	8526	0x0214e	27	4	0 1 1 1 0 -2 -3 2 -1 2 0 -2 -2 1 -2 0 0
89	91569	0x165b1	26	1	1 0 0 0 3 -3 -4 1 -1 0 -1 -2 0 3 -1 -2 -3
89	91569	0x165b1	26	2	1 0 0 0 1 1 0 -1 -1 0 1 0 0 -1 -1 0 -1
89	91569	0x165b1	26	3	1 0 0 0 1 1 0 -1 1 0 1 0 0 -1 -1 0 -1
89	91569	0x165b1	26	4	1 0 2 2 3 -3 -6 1 -3 0 -1 -4 0 1 -3 0 -3
90	71491	0x11743	27	1	1 1 0 0 2 -2 -3 0 -1 1 1 -2 -1 0 -2 0 -1
90	71491	0x11743	27	2	1 -1 0 0 2 0 -1 0 -1 1 1 0 -1 0 -2 0 -1
90	71491	0x11743	27	3	1 -1 0 -2 -2 0 3 0 1 -1 -1 2 1 0 2 -2 1
90	71491	0x11743	27	4	1 -1 -2 -2 0 2 3 -2 1 -1 1 2 1 -2 0 0 1
91	83635	0x146b3	26	1	1 -1 0 0 1 1 0 -1 0 -1 1 0 0 -2 -1 0 -1
91	83635	0x146b3	26	2	1 -1 0 0 3 -1 -2 -1 -2 -1 1 -2 0 0 -1 0 -1
91	83635	0x146b3	26	3	1 -1 0 0 1 1 0 -1 0 -1 1 0 0 0 -1 0 -1
91	83635	0x146b3	26	4	1 -1 0 0 1 1 0 -1 0 1 1 0 0 0 -1 0 -1
92	128480	0x1f5e0	27	1	0 0 0 0 0 1 1 -1 1 0 1 0 -1 -1 -1 1 -1
92	128480	0x1f5e0	27	2	2 0 2 2 4 -5 -9 3 -3 2 -1 -6 -1 5 -3 -1 -5
92	128480	0x1f5e0	27	3	2 -2 0 -2 2 1 1 -1 -1 -2 1 0 1 -1 -1 -1 -1
92	128480	0x1f5e0	27	4	0 0 0 0 0 1 1 1 -1 0 1 0 -1 -1 1 1 1
93	63372	0x0f78c	26	1	0 2 1 1 2 -4 -6 1 -1 1 -1 -4 -1 3 -3 -1 -2
93	63372	0x0f78c	26	2	0 0 1 -1 0 0 0 1 -1 -1 -1 0 1 1 1 -1 0
93	63372	0x0f78c	26	3	0 0 1 1 0 -2 -2 1 -1 -1 -1 -2 1 1 1 -1 0
93	63372	0x0f78c	26	4	0 2 1 3 4 -6 -10 3 -3 3 -1 -6 -1 5 -3 -1 -4
94	35357	0x08a1d	26	1	1 0 1 1 3 -2 -4 0 -2 -1 0 -3 0 0 -2 -1 -2
94	35357	0x08a1d	26	2	1 0 1 1 3 -2 -4 0 -2 1 0 -3 0 2 -2 -1 -2
94	35357	0x08a1d	26	3	1 -2 -1 -1 1 2 2 -2 0 -1 2 1 0 -2 0 1 0
94	35357	0x08a1d	26	4	1 0 -1 -1 1 2 2 -2 0 -1 2 1 0 -2 0 1 0
95	38173	0x0951d	26	1	1 0 1 1 3 -4 -6 2 -1 2 -1 -4 -1 4 -2 -1 -4
95	38173	0x0951d	26	2	1 0 1 1 1 0 -2 0 -1 0 1 -2 -1 0 -2 1 -2
95	38173	0x0951d	26	3	1 -2 -1 -1 1 2 2 -2 -1 -2 1 2 1 -2 0 1 0
95	38173	0x0951d	26	4	1 0 -1 -1 1 0 0 0 1 0 1 0 -1 0 0 -1 0
96	16782	0x0418e	27	1	0 1 1 3 2 -2 -6 1 -1 2 0 -4 -2 2 -3 0 -2
96	16782	0x0418e	27	2	0 1 1 1 2 -2 -4 1 -1 2 0 -2 -2 2 -3 0 -2
96	16782	0x0418e	27	3	2 -1 -1 -1 2 0 0 -1 -1 0 2 0 0 -2 -1 0 0
96	16782	0x0418e	27	4	0 1 -1 -1 0 0 0 -1 1 0 0 0 0 0 -1 0 0
97	94144	0x16fc0	26	1	2 -2 0 0 2 0 -1 -1 -1 -1 1 -1 0 -1 -1 0 -1
97	94144	0x16fc0	26	2	0 0 0 0 2 0 -1 -1 -1 -1 1 -1 0 -1 -1 0 -1
97	94144	0x16fc0	26	3	2 0 0 0 2 0 -1 -1 -1 -1 1 -1 0 -1 -1 0 -1
97	94144	0x16fc0	26	4	0 0 0 0 0 0 1 -1 -1 -1 -1 1 2 -1 1 0 1
98	1097	0x00449	26	1	1 0 0 1 2 -2 -3 0 -2 0 1 -2 0 0 -2 0 -2
98	1097	0x00449	26	2	3 -2 0 -1 2 0 -1 0 -2 0 1 0 0 0 -2 0 -2
98	1097	0x00449	26	3	1 -2 0 -1 0 2 3 -2 0 -2 1 2 0 -2 0 0 0
98	1097	0x00449	26	4	1 0 2 1 2 0 -3 0 -2 0 1 -2 0 0 -2 0 -2
99	93271	0x16c57	27	1	1 1 1 2 3 -4 -7 2 -2 2 1 -5 -2 3 -3 0 -3
99	93271	0x16c57	27	2	1 1 1 2 3 -4 -7 2 -2 2 -1 -5 -2 3 -3 0 -3
99	93271	0x16c57	27	3	1 -1 -1 -2 1 0 1 0 0 0 1 1 0 -1 -1 0 -1
99	93271	0x16c57	27	4	1 -1 -1 0 1 2 1 -2 -2 0 3 1 0 -3 -1 2 1
100	80392	0x13a08	26	1	0 2 0 1 2 -2 -4 0 0 1 0 -3 -1 1 -2 0 -1
100	80392	0x13a08	26	2	0 0 0 1 0 -2 -2 0 0 1 0 -1 -1 1 -2 0 -1
100	80392	0x13a08	26	3	0 0 0 1 2 0 -2 0 0 1 0 -1 -1 1 -2 0 -1
100	80392	0x13a08	26	4	2 0 2 1 4 -4 -8 2 -4 1 0 -5 -1 3 -4 0 -3
101	54685	0x0d59d	26	1	1 0 -1 -1 1 0 0 -1 1 0 1 0 -1 0 -1 -1 0
101	54685	0x0d59d	26	2	1 0 1 1 3 -4 -6 3 -1 2 -1 -4 -1 4 -3 -1 -4
101	54685	0x0d59d	26	3	1 0 1 1 1 -2 -4 1 -1 0 -1 -2 -1 2 -1 -1 -2
101	54685	0x0d59d	26	4	1 0 1 1 1 -2 -2 1 -1 0 -1 -2 -1 2 -1 -1 -2
102	100187	0x1875b	27	1	1 -1 0 1 1 0 -1 0 -1 1 1 0 -2 0 -2 1 -1
102	100187	0x1875b	27	2	1 1 2 3 5 -6 -11 4 -3 3 -1 -8 -2 6 -4 -1 -5
102	100187	0x1875b	27	3	3 -1 0 -1 3 -2 -3 0 -3 -1 1 -2 0 0 -2 -1 -1
102	100187	0x1875b	27	4	1 -1 0 -1 -1 2 3 0 -1 -1 1 2 0 -2 2 1 1
103	28328	0x06ea8	27	1	2 0 2 1 2 -1 -4 1 -2 1 1 -3 -2 1 -3 0 -2
103	28328	0x06ea8	27	2	0 0 0 1 0 1 0 -1 0 1 1 1 -2 -1 -1 2 0
103	28328	0x06ea8	27	3	0 2 2 3 4 -5 -10 3 -2 3 -1 -7 -2 5 -3 0 -4
103	28328	0x06ea8	27	4	2 -2 0 -1 0 1 2 -1 0 -1 1 1 0 -3 -1 0 0
104	93188	0x16c04	26	1	2 0 1 2 4 -4 -8 2 -4 2 1 -5 -2 3 -3 0 -3
104	93188	0x16c04	26	2	0 0 1 0 0 0 0 2 0 0 -1 -1 0 1 1 0 -1
104	93188	0x16c04	26	3	2 -2 -1 -2 0 0 2 0 0 0 1 1 0 -1 -1 0 -1
104	93188	0x16c04	26	4	0 0 1 0 -2 0 2 0 0 0 -1 1 0 -1 1 0 1
105	100111	0x1870f	26	1	1 1 1 1 2 -4 -6 2 -1 1 -1 -4 -2 4 -2 -1 -3
105	100111	0x1870f	26	2	1 -1 1 1 2 0 -2 0 -1 1 1 -2 -2 0 -2 1 -1
105	100111	0x1870f	26	3	1 1 1 1 2 -4 -6 2 -1 1 -1 -4 0 4 -2 -3 -3
105	100111	0x1870f	26	4	1 -1 -1 -1 -2 2 4 0 1 -1 1 2 0 -2 2 1 1
106	100525	0x188ad	26	1	1 0 -1 -1 0 1 2 -1 2 0 0 1 0 0 0 -1 -1
106	100525	0x188ad	26	2	1 -2 -1 -1 0 3 4 -3 0 -2 2 3 0 -4 0 1 1
106	100525	0x188ad	26	3	1 0 1 1 4 -3 -6 1 -2 0 0 -5 0 2 -2 -1 -3
106	100525	0x188ad	26	4	1 0 1 1 2 -3 -4 1 -2 0 0 -3 0 2 -2 -1 -3
107	113208	0x1ba38	26	1	0 2 2 3 3 -3 -8 2 -2 3 0 -5 -3 3 -4 1 -3
107	113208	0x1ba38	26	2	0 0 0 1 1 -1 -2 0 0 1 0 -1 -1 1 -2 -1 -1
107	113208	0x1ba38	26	3	2 0 2 1 3 -5 -8 2 -4 1 0 -5 -1 3 -4 -1 -3
107	113208	0x1ba38	26	4	2 0 0 1 3 -3 -6 2 -2 1 0 -3 -1 3 -2 -1 -3
108	91078	0x163c6	26	1	0 1 1 2 2 -2 -5 1 -1 1 0 -4 -2 1 -3 0 -1
108	91078	0x163c6	26	2	0 1 1 2 2 -4 -7 3 -1 3 0 -4 -2 3 -3 0 -3
108	91078	0x163c6	26	3	0 1 1 2 2 -4 -7 3 -1 3 -2 -4 -2 5 -3 0 -3
108	91078	0x163c6	26	4	0 1 -1 0 2 -2 -3 1 -1 1 0 -2 0 1 -1 0 -1
109	6560	0x019a0	27	1	2 0 0 0 2 -3 -4 1 -1 0 0 -3 -1 2 -2 -2 -2
109	6560	0x019a0	27	2	0 2 0 2 2 -3 -6 1 -1 2 0 -3 -1 2 -2 0 -2
109	6560	0x019a0	27	3	0 0 0 2 2 -3 -4 1 -1 2 0 -3 -1 2 -2 0 -2
109	6560	0x019a0	27	4	0 0 0 0 0 1 2 -1 -1 -2 0 1 1 -2 2 0 2
110	82313	0x14189	26	1	3 -2 0 -1 2 0 0 -1 -3 -2 2 0 0 -2 -1 0 -1
110	82313	0x14189	26	2	1 0 0 1 2 0 -2 -1 -1 0 2 -2 0 0 -1 0 -1
110	82313	0x14189	26	3	1 0 0 -1 0 0 0 -1 1 0 0 0 0 0 -1 0 -1
110	82313	0x14189	26	4	1 0 0 -1 0 0 0 1 -1 0 0 0 0 0 1 0 1
111	7765	0x01e55	26	1	1 0 1 0 1 0 -1 0 0 1 1 -1 -1 0 -2 0 -2
111	7765	0x01e55	26	2	1 0 1 2 3 -2 -5 0 -2 1 1 -3 -1 2 -2 0 -2
111	7765	0x01e55	26	3	1 0 -1 0 1 2 1 -2 0 -1 1 1 1 -2 0 0 0
111	7765	0x01e55	26	4	1 -2 -1 -2 1 2 3 -2 0 -1 1 3 1 -2 0 0 0
112	38429	0x0961d	27	1	1 0 1 1 3 -4 -6 2 -2 1 -1 -4 -1 4 -2 -1 -4
112	38429	0x0961d	27	2	1 0 1 1 1 0 -2 0 0 1 1 -2 -1 0 -2 1 -2
112	38429	0x0961d	27	3	1 0 -1 -1 1 0 0 -2 0 -1 1 0 1 0 0 -1 0
112	38429	0x0961d	27	4	1 -2 -1 -1 1 2 2 -2 0 -1 1 2 1 -2 0 1 0
113	7502	0x01d4e	27	1	2 -1 1 -1 2 0 -1 0 -1 0 1 -1 -1 0 -2 0 -2
113	7502	0x01d4e	27	2	0 1 1 1 0 -2 -3 2 -1 2 -1 -1 -1 2 0 0 0
113	7502	0x01d4e	27	3	2 -1 -1 -1 2 2 1 -2 -1 -2 1 1 1 -2 0 0 0
113	7502	0x01d4e	27	4	0 1 1 1 0 -2 -3 2 -1 0 -1 -3 -1 2 0 0 0
114	60630	0x0ecd6	27	1	0 1 1 2 3 -2 -5 1 -2 2 1 -3 -2 1 -3 1 -2
114	60630	0x0ecd6	27	2	2 -1 -1 -2 1 0 1 -1 0 0 1 1 0 -1 -1 -1 0
114	60630	0x0ecd6	27	3	0 1 -1 0 1 0 -1 -1 0 0 1 -1 0 -1 -1 1 0
114	60630	0x0ecd6	27	4	0 1 1 0 -1 -2 -1 1 0 0 -1 -1 0 1 1 -1 0
115	39458	0x09a22	26	1	2 -1 0 0 2 -1 -2 0 -2 1 2 -1 -1 0 -2 1 -2
115	39458	0x09a22	26	2	2 -1 0 0 2 -1 -2 0 -2 -1 0 -1 1 0 -2 -1 -2
115	39458	0x09a22	26	3	2 -1 0 0 2 -1 -2 0 -2 -1 0 -1 1 0 0 -1 -2
115	39458	0x09a22	26	4	0 1 0 0 0 -3 -2 2 0 1 -2 -1 -1 2 0 -1 0
116	101262	0x18b8e	26	1	0 1 1 1 0 -4 -4 3 -1 1 -2 -3 0 2 0 -1 -1
116	101262	0x18b8e	26	2	2 -1 1 1 2 -2 -4 1 -1 1 0 -3 0 2 -2 -1 -3
116	101262	0x18b8e	26	3	0 1 1 1 2 -2 -4 1 -1 1 0 -3 0 2 -2 -1 -3
116	101262	0x18b8e	26	4	2 -1 1 1 2 0 -2 -1 -3 -1 2 -1 0 -2 -2 1 -1
117	64338	0x0fb52	26	1	2 -1 0 0 1 2 1 -2 -1 -1 2 1 -1 -3 -1 1 0
117	64338	0x0fb52	26	2	2 -1 2 2 3 -4 -7 2 -3 1 0 -5 -1 3 -3 -1 -4
117	64338	0x0fb52	26	3	0 1 2 2 1 -2 -5 2 -3 1 0 -3 -1 1 -1 1 0
117	64338	0x0fb52	26	4	2 -1 0 0 3 -2 -3 0 -3 -1 0 -1 1 1 -1 -1 -2
118	8153	0x01fd9	26	1	1 0 0 1 3 -2 -5 1 -3 1 1 -3 -1 2 -2 0 -2
118	8153	0x01fd9	26	2	1 0 0 1 3 -2 -5 1 -1 1 1 -3 -1 2 -2 0 -2
118	8153	0x01fd9	26	3	1 0 0 1 1 -2 -3 1 -1 1 -1 -1 -1 2 -2 0 -2
118	8153	0x01fd9	26	4	1 0 0 1 1 0 -1 -1 -1 -1 1 -1 -1 0 0 0 0
119	38428	0x0961c	26	1	2 0 1 1 3 -4 -6 2 -2 1 -1 -4 -1 4 -2 -1 -4
119	38428	0x0961c	26	2	0 0 1 1 1 0 -2 0 0 1 1 -2 -1 0 -2 1 -2
119	38428	0x0961c	26	3	0 0 1 1 -1 0 0 2 0 1 -1 0 -1 0 0 1 0
119	38428	0x0961c	26	4	0 0 1 1 -1 -2 -2 2 0 1 -1 -2 -1 2 0 -1 0
120	69608	0x10fe8	26	1	2 0 2 1 4 -3 -7 1 -3 1 1 -5 -2 2 -4 0 -3
120	69608	0x10fe8	26	2	0 0 0 1 2 -1 -3 -1 -1 1 1 -1 0 0 -2 0 -1
120	69608	0x10fe8	26	3	0 0 0 1 2 1 -1 -1 -1 -1 1 -1 0 0 0 0 -1
120	69608	0x10fe8	26	4	0 2 2 3 2 -5 -9 3 -3 3 -1 -5 -2 4 -4 0 -3
121	46906	0x0b73a	27	1	0 1 0 1 3 -1 -4 0 -1 1 1 -2 -1 1 -2 1 -2
121	46906	0x0b73a	27	2	2 -1 0 -1 1 -1 0 0 -1 -1 -1 0 1 1 0 -1 -2
121	46906	0x0b73a	27	3	0 1 0 1 1 -3 -4 2 -1 1 -1 -2 -1 3 0 -1 0
121	46906	0x0b73a	27	4	0 1 0 -1 -1 -1 0 2 1 1 -1 0 -1 1 0 -1 0
122	99558	0x184e6	27	1	2 -1 1 0 2 -3 -3 1 -2 0 -1 -2 0 2 -2 -1 -3
122	99558	0x184e6	27	2	2 -1 1 0 2 1 -1 -1 -2 0 1 0 0 -2 -2 1 -1
122	99558	0x184e6	27	3	0 1 1 2 2 -5 -7 3 -2 2 -1 -4 -2 4 -2 -1 -3
122	99558	0x184e6	27	4	0 1 1 2 2 -3 -5 3 0 2 -1 -4 -2 4 -2 -1 -3
123	28013	0x06d6d	27	1	1 0 -1 -1 0 1 1 -2 1 0 1 1 0 -1 -1 0 0
123	28013	0x06d6d	27	2	1 0 1 1 4 -1 -5 0 -3 0 1 -3 0 1 -3 0 -2
123	28013	0x06d6d	27	3	1 0 1 1 2 -1 -3 0 -1 0 1 -3 0 1 -1 0 -2
123	28013	0x06d6d	27	4	1 0 1 1 2 -1 -3 0 -1 0 -1 -1 0 1 -1 0 -2
124	74715	0x123db	27	1	1 -1 0 -1 -1 2 3 -1 1 -1 0 2 0 -1 0 0 -1
124	74715	0x123db	27	2	1 -1 0 -1 -1 0 1 1 -1 -1 0 0 0 -1 0 0 1
