priority	mask	hex	multiplicity	witness_index	representative
15	52904	0x0cea8	31	2	2 0 2 1 2 -1 -4 1 -2 1 1 -3 -2 0 -3 1 -2
15	52904	0x0cea8	31	3	0 2 2 3 4 -5 -10 3 -2 3 -1 -7 -2 6 -3 -1 -4
15	52904	0x0cea8	31	4	2 -2 0 -1 0 1 2 -1 0 -1 1 1 0 -2 -1 -1 0
16	61948	0x0f1fc	31	1	2 0 1 1 3 -3 -5 1 -3 0 0 -4 -1 1 -3 -1 -2
16	61948	0x0f1fc	31	2	0 2 1 1 3 -3 -7 1 -1 2 0 -4 -1 3 -3 -1 -2
16	61948	0x0f1fc	31	3	0 0 1 -1 -1 -1 1 1 1 0 -2 0 1 1 1 -1 0
16	61948	0x0f1fc	31	4	0 0 1 1 -1 -1 -1 1 -1 0 -2 0 1 1 1 -1 0
17	65196	0x0feac	31	1	0 0 1 -1 0 -1 0 1 0 -1 -1 -1 1 1 1 -1 0
17	65196	0x0feac	31	2	0 0 1 1 0 -1 -2 1 -2 -1 -1 -1 1 1 1 -1 0
17	65196	0x0feac	31	3	0 0 1 1 2 -1 -4 1 -2 1 1 -3 -1 1 -3 1 -2
17	65196	0x0feac	31	4	0 0 1 1 2 -3 -4 1 0 1 -1 -3 -1 3 -1 -1 -2
18	100944	0x18a50	31	1	0 0 0 0 1 0 -1 0 0 1 2 -1 -2 0 -2 1 -1
18	100944	0x18a50	31	2	0 2 2 4 3 -6 -11 4 -2 3 -2 -7 -2 6 -4 -1 -5
18	100944	0x18a50	31	3	0 0 0 0 1 -2 -3 0 0 1 0 -1 0 2 -2 -1 -1
18	100944	0x18a50	31	4	0 0 2 0 -1 -2 -1 2 0 1 -2 -1 0 2 0 -1 -1
19	123312	0x1e1b0	31	1	0 0 0 0 1 1 0 -1 1 0 0 0 0 1 -1 -1 -1
19	123312	0x1e1b0	31	2	2 0 2 2 3 -3 -6 1 -3 0 0 -4 0 1 -3 -1 -3
19	123312	0x1e1b0	31	3	2 -2 0 0 1 1 0 -1 -1 0 2 0 0 -1 -1 1 -1
19	123312	0x1e1b0	31	4	0 0 0 0 1 1 0 -1 -1 0 2 0 0 -1 -1 1 -1
20	1575	0x00627	30	1	1 -1 -1 0 0 1 2 -2 0 -1 1 2 0 -2 0 0 0
20	1575	0x00627	30	2	1 -1 -1 -2 0 3 4 -2 2 -1 1 2 0 -2 0 0 0
20	1575	0x00627	30	3	1 1 1 2 4 -5 -8 2 -2 1 -1 -6 0 4 -2 -2 -4
20	1575	0x00627	30	4	1 -1 1 0 2 -1 -2 0 -2 -1 1 -2 0 0 -2 0 -2
21	3903	0x00f3f	30	1	1 -1 -1 -1 1 1 2 -2 1 -1 1 1 0 -2 0 0 0
21	3903	0x00f3f	30	2	1 -1 -1 -1 -1 3 4 -2 1 -1 1 3 0 -2 0 0 0
21	3903	0x00f3f	30	3	1 -1 1 1 3 -1 -4 0 -3 -1 1 -3 0 0 -2 0 -2
21	3903	0x00f3f	30	4	3 -1 1 1 3 -1 -4 0 -3 -1 1 -3 0 0 -2 0 -2
22	7127	0x01bd7	30	1	1 -1 1 0 1 0 -1 1 -3 -1 0 -1 1 0 0 0 0
22	7127	0x01bd7	30	2	1 1 1 2 3 -4 -7 3 -1 1 -2 -5 -1 4 -2 -2 -4
22	7127	0x01bd7	30	3	1 1 1 2 3 -4 -7 1 -3 1 0 -5 -1 2 -2 0 -2
22	7127	0x01bd7	30	4	1 -1 -1 -2 -1 2 5 -1 1 -1 0 3 1 -2 2 0 2
23	7454	0x01d1e	30	1	2 -1 1 1 3 -2 -4 0 -3 0 1 -3 -1 0 -2 0 -2
23	7454	0x01d1e	30	2	2 -1 1 1 1 0 -2 0 -1 0 1 -1 -1 0 -2 0 -2
23	7454	0x01d1e	30	3	2 -1 -1 -1 1 2 2 -2 -1 -2 1 1 1 -2 0 0 0
23	7454	0x01d1e	30	4	0 1 1 1 -1 -2 -2 2 -1 2 -1 -1 -1 2 0 0 0
24	29691	0x073fb	30	1	1 -1 0 -1 1 1 1 -1 -1 -1 2 0 -1 -1 -1 0 0
24	29691	0x073fb	30	2	1 -1 0 -1 1 1 1 1 -1 -1 0 0 1 -1 1 0 0
24	29691	0x073fb	30	3	1 -1 0 -1 -1 -1 1 1 -1 -1 0 0 1 -1 1 0 0
24	29691	0x073fb	30	4	1 1 2 3 3 -5 -9 3 -3 1 -2 -6 -1 5 -3 -2 -4
25	34989	0x088ad	30	1	1 0 -1 -1 0 -1 0 -1 0 0 0 1 0 0 0 -1 0
25	34989	0x088ad	30	2	1 0 1 1 0 -1 -2 1 -2 0 0 -1 0 0 0 1 0
25	34989	0x088ad	30	3	1 0 -1 -1 0 1 2 -1 2 0 0 1 0 0 0 -1 0
25	34989	0x088ad	30	4	1 -2 -1 -1 0 3 4 -3 0 -2 2 3 0 -4 0 1 2
26	37067	0x090cb	30	1	1 1 2 1 2 -2 -5 1 -2 0 0 -4 -1 2 -2 -1 -2
26	37067	0x090cb	30	2	1 -1 0 1 0 2 1 -1 0 0 2 0 -1 -2 0 1 0
26	37067	0x090cb	30	3	1 -1 0 -1 0 2 3 -1 0 0 2 2 -1 -2 0 1 0
26	37067	0x090cb	30	4	1 -1 0 -1 0 0 1 1 0 0 0 0 1 0 0 -1 0
27	39395	0x099e3	30	1	1 1 0 0 2 -3 -5 1 -1 0 0 -3 -1 2 -2 -1 -2
27	39395	0x099e3	30	2	1 1 0 2 2 -3 -5 1 -1 2 0 -3 -1 2 -2 -1 -2
27	39395	0x099e3	30	3	1 -1 0 0 2 1 -1 -1 -1 0 2 -1 -1 -2 -2 1 0
27	39395	0x099e3	30	4	1 -1 0 0 0 1 1 -1 -1 0 2 1 -1 -2 -2 1 0
28	42459	0x0a5db	30	1	1 1 2 3 5 -6 -11 3 -3 2 -1 -8 -2 5 -4 -1 -4
28	42459	0x0a5db	30	2	1 1 2 3 3 -2 -7 1 -3 2 1 -4 -2 1 -4 1 -2
28	42459	0x0a5db	30	3	3 -1 0 -1 3 -2 -3 1 -3 0 1 -2 0 1 -2 -1 -2
28	42459	0x0a5db	30	4	1 -1 0 -1 -1 2 3 -1 -1 -2 1 2 0 -3 2 1 2
29	52676	0x0cdc4	30	1	0 0 1 2 2 -2 -5 1 -1 2 1 -3 -2 2 -3 1 -2
29	52676	0x0cdc4	30	2	0 0 1 2 0 0 -1 1 -1 0 -1 -1 0 0 1 1 0
29	52676	0x0cdc4	30	3	0 0 1 0 0 -2 -1 1 -1 0 -1 -1 0 2 1 -1 0
29	52676	0x0cdc4	30	4	0 0 1 0 -2 0 1 1 1 0 -1 1 0 0 1 -1 0
30	52907	0x0ceab	30	1	1 -1 0 -1 0 -1 0 1 -2 -1 -1 1 2 0 1 -1 0
30	52907	0x0ceab	30	2	1 1 2 3 2 -5 -8 3 -2 3 -1 -5 -2 4 -3 -1 -4
30	52907	0x0ceab	30	3	1 1 2 3 4 -3 -8 1 -4 1 1 -5 -2 2 -3 1 -2
30	52907	0x0ceab	30	4	1 -1 0 -1 0 1 2 -1 0 -1 1 1 0 -2 -1 -1 0
31	57522	0x0e0b2	30	1	0 1 0 0 1 -1 -2 -1 0 0 0 -2 0 1 -1 -1 0
31	57522	0x0e0b2	30	2	0 1 0 0 1 -1 -2 -1 0 0 0 0 0 1 -1 -1 0
31	57522	0x0e0b2	30	3	2 -1 2 2 3 -3 -6 1 -4 0 0 -4 0 1 -3 -1 -2
31	57522	0x0e0b2	30	4	0 1 2 2 1 -5 -6 3 -2 2 -2 -4 0 3 -1 -1 -2
32	63375	0x0f78f	30	1	1 1 1 1 2 -4 -6 1 -1 1 -1 -4 -1 3 -3 -1 -2
32	63375	0x0f78f	30	2	1 -1 1 -1 0 0 0 1 -1 -1 -1 0 1 1 1 -1 0
32	63375	0x0f78f	30	3	1 -1 -1 -1 0 2 2 -1 1 1 1 2 -1 -1 -1 1 0
32	63375	0x0f78f	30	4	1 1 1 3 4 -6 -10 3 -3 3 -1 -6 -1 5 -3 -1 -4
33	108819	0x1a913	30	1	1 1 2 2 3 -4 -8 2 -3 2 0 -5 -2 3 -4 -1 -3
33	108819	0x1a913	30	2	1 -1 0 -2 -1 0 2 0 -1 -2 0 1 2 -1 2 -1 1
33	108819	0x1a913	30	3	1 1 2 2 3 -4 -8 2 -3 2 0 -5 -2 3 -4 1 -3
33	108819	0x1a913	30	4	1 1 0 0 3 -2 -4 0 -1 0 0 -3 0 1 -2 -1 -1
34	7140	0x01be4	29	1	0 0 1 0 0 -1 -1 1 -1 -1 -2 -1 1 0 0 0 0
34	7140	0x01be4	29	2	0 0 1 0 0 -1 -1 1 -1 1 0 -1 1 0 0 0 0
34	7140	0x01be4	29	3	0 0 1 2 2 -3 -5 1 -3 1 0 -3 -1 2 -2 0 -2
34	7140	0x01be4	29	4	2 0 1 2 2 -3 -5 1 -3 1 0 -3 -1 2 -2 0 -2
35	8297	0x02069	29	1	1 0 0 1 2 -1 -3 0 -2 0 0 -2 0 1 -2 0 -2
35	8297	0x02069	29	2	1 0 2 1 2 -1 -3 0 -2 0 0 -2 0 1 -2 0 -2
35	8297	0x02069	29	3	1 -2 -2 -3 -2 5 9 -4 2 -2 2 6 2 -5 2 0 2
35	8297	0x02069	29	4	1 -2 0 -1 -2 3 5 -2 0 -2 0 4 2 -3 2 0 2
36	12498	0x030d2	29	1	2 -1 0 0 1 0 -1 -1 -2 0 2 0 -1 -1 -2 0 0
36	12498	0x030d2	29	2	0 1 2 2 3 -6 -9 3 -2 2 -2 -6 -1 5 -4 -2 -4
36	12498	0x030d2	29	3	2 -1 0 0 3 -2 -3 1 -2 0 0 -2 -1 1 -2 0 -2
36	12498	0x030d2	29	4	0 1 0 2 1 -2 -3 1 0 2 0 -2 -1 1 -2 0 -2
37	15326	0x03bde	29	1	2 -1 1 1 3 -2 -5 1 -3 1 2 -3 -1 1 -2 0 -2
37	15326	0x03bde	29	2	0 1 1 1 1 -4 -5 3 -1 1 -2 -3 1 3 0 -2 -2
37	15326	0x03bde	29	3	2 -1 1 1 3 -2 -5 1 -3 -1 0 -3 -1 1 -2 0 -2
37	15326	0x03bde	29	4	0 1 1 1 1 -4 -5 3 1 3 -2 -3 -1 5 -2 -2 -4
38	15358	0x03bfe	29	1	0 1 1 1 1 -1 -3 -1 -1 1 0 -1 -1 1 -2 0 0
38	15358	0x03bfe	29	2	2 -1 -1 -1 1 1 1 -1 -1 -1 2 1 -1 -1 0 0 0
38	15358	0x03bfe	29	3	2 -1 1 -1 1 -1 -1 1 -3 -1 0 -1 1 -1 0 0 0
38	15358	0x03bfe	29	4	0 1 1 1 3 -5 -7 3 -1 1 -2 -5 -1 5 -2 -2 -4
39	21578	0x0544a	29	1	2 -1 2 1 2 0 -3 0 -2 0 1 -2 -1 0 -3 0 -2
39	21578	0x0544a	29	2	0 1 2 3 4 -4 -9 2 -2 2 -1 -6 -1 4 -3 0 -4
39	21578	0x0544a	29	3	0 1 0 1 2 -2 -3 0 0 0 -1 -2 1 2 -1 -2 -2
39	21578	0x0544a	29	4	2 -1 0 -1 2 0 -1 -2 -2 -2 1 0 1 -2 -1 0 0
40	22733	0x058cd	29	1	1 0 -1 -1 2 0 -1 -1 0 0 2 -1 -1 0 -1 0 0
40	22733	0x058cd	29	2	1 0 1 1 2 -2 -5 1 -2 0 0 -3 -1 2 -3 0 -2
40	22733	0x058cd	29	3	1 0 1 1 2 -4 -5 1 -2 2 0 -3 -1 2 -3 0 -2
40	22733	0x058cd	29	4	1 0 1 1 2 -2 -5 1 -2 2 0 -3 -1 2 -3 0 -2
41	26400	0x06720	29	1	0 0 0 0 0 1 0 -2 1 -1 1 0 0 -1 -1 0 0
41	26400	0x06720	29	2	0 0 0 0 2 1 0 -2 -1 -1 1 0 0 -1 -1 0 0
41	26400	0x06720	29	3	2 0 2 2 4 -5 -8 2 -3 1 -1 -6 0 3 -3 -2 -4
41	26400	0x06720	29	4	2 -2 0 0 2 1 0 0 -1 -1 1 0 0 -1 -1 0 -2
42	28216	0x06e38	29	1	0 0 0 1 1 1 0 -2 0 -1 1 -1 0 -1 -1 0 0
42	28216	0x06e38	29	2	0 0 0 1 -1 -1 0 2 0 1 -1 -1 0 1 1 0 0
42	28216	0x06e38	29	3	0 0 0 1 1 -1 -2 0 0 1 1 -1 0 1 -1 0 -2
42	28216	0x06e38	29	4	2 -2 0 -1 1 3 2 -2 -2 -1 3 1 0 -3 -1 2 0
43	32909	0x0808d	29	1	1 -2 -1 -3 -2 2 6 -1 0 -2 0 4 2 -2 2 -1 2
43	32909	0x0808d	29	2	1 0 1 1 2 -2 -4 1 -2 2 0 -2 -2 2 -2 1 -2
43	32909	0x0808d	29	3	1 0 1 1 2 -2 -4 1 -2 0 0 -2 0 0 -2 -1 -2
