i	j	c0	c1	c2
0	1	1	0	1
0	2	-2.0793587637928592	1	-2.2018945239451226
0	3	-0.029818665315364583	0.1895219562984635	0.061814858727853063
0	4	0.088422054291163843	0.29602849672054532	0.05214797741878005
0	5	0.070105802478206844	0.3019765700754008	0.033102873915844537
0	6	0.088422054291163815	0.29602849672054526	0.05214797741878005
0	7	0.088422054291163885	0.29602849672054532	0.052147977418780037
0	8	0.088422054291163857	0.29602849672054532	0.05214797741878005
1	2	-0.67779605547069921	0.087632870870625754	-0.68853421591715658
1	3	-0.029818665315364579	0.1895219562984635	0.061814858727853049
1	4	0.088422054291163843	0.29602849672054526	0.052147977418780044
1	5	0.066983257836359972	0.29019758337126877	0.031423676363611867
1	6	0.088422054291163815	0.29602849672054526	0.052147977418780037
1	7	0.088422054291163885	0.29602849672054532	0.052147977418780044
1	8	0.088422054291163857	0.29602849672054532	0.052147977418780044
2	3	-0.02981866531536459	0.1895219562984635	0.061814858727853056
2	4	0.088422054291163843	0.29602849672054532	0.052147977418780044
2	5	0.071456667335213289	0.30707235604960764	0.033829322764928296
2	6	0.088422054291163815	0.29602849672054526	0.05214797741878005
2	7	0.088422054291163871	0.29602849672054538	0.05214797741878005
2	8	0.088422054291163843	0.29602849672054526	0.052147977418780044
3	4	0.0298186653153646	-0.18952195629846347	-0.061814858727853042
3	5	0.029818665315364576	-0.1895219562984635	-0.061814858727853014
3	6	0.029818665315364517	-0.18952195629846372	-0.061814858727853125
3	7	0.029818665315364631	-0.18952195629846338	-0.061814858727852952
3	8	0.029818665315364541	-0.1895219562984635	-0.061814858727852993
4	5	-0.088422054291163815	-0.29602849672054532	-0.052147977418779988
4	6	0.0071661167932409852	0.3291087260266175	0.074471244135493705
4	7	0.26296842444771878	0.18672955522836115	0.033480239766738612
4	8	-0.030247236254619309	0.084429082586778906	0.024912291548438825
5	6	0.088422054291163829	0.29602849672054532	0.052147977418780002
5	7	0.088422054291163871	0.29602849672054532	0.05214797741878003
5	8	0.088422054291163871	0.29602849672054532	0.052147977418780023
6	7	0.023197590736976085	-0.1259940924735771	-0.0055157574928384433
6	8	-0.21476863895262199	-0.24459134490936829	-0.017437055423502469
7	8	-0.053791559799585192	-0.10331598148824571	-0.22004592075640414
