i	j	c0	c1	c2
0	1	1	0	1
0	2	-0.033201338070559437	1	-0.16703429913393533
0	3	0.020457962938178753	-0.059502364956689854	0.028431898501091405
0	4	0.020457964499839044	-0.05950237062588877	0.028431902529279983
0	5	0.020457967904051872	-0.059502366160422225	0.028431895019831965
0	6	0.02045795614516378	-0.059502381530859523	0.028431920883863607
0	7	0.020463981607636302	-0.05949179322444062	0.02841604439289918
0	8	0.020466854738657718	-0.059476154685395168	0.02843732347443809
1	2	-0.032979338293532542	0.99944457515761742	-0.16673786243892863
1	3	0.020420114783881997	-0.054927095606329024	0.027781779975135291
1	4	0.020420116408751902	-0.054927101506871578	0.027781784167542629
1	5	0.020420119951871419	-0.054927096858568669	0.027781776351686421
1	6	0.020420107713833069	-0.054927112855767332	0.027781803270058431
1	7	0.02042637872247385	-0.054916093031619102	0.027765279761281791
1	8	0.020429368965479075	-0.054899817034469389	0.027787426239842414
2	3	0.028235856076515044	-0.99973271787309481	0.16203299445306085
2	4	0.028235856249063187	-0.99973271850044898	0.16203299489770479
2	5	0.028235856625807215	-0.99973271800679242	0.16203299406871943
2	6	0.028235855325630735	-0.99973271970535937	0.16203299692769144
2	7	0.02823652137158816	-0.99973154935693787	0.16203124202870722
2	8	0.028236838898867196	-0.99972982107888908	0.16203359362152123
3	4	0.0010763606338615548	0.02738020270767326	0.038618068202191963
3	5	-0.013048073575682337	-0.052688659841604632	-0.070332215462186723
3	6	-0.02419794221480491	-0.048178652725061215	-0.0027240087363136086
3	7	-0.019486044955538677	-0.057352374191933113	-0.011842061867341476
3	8	-0.019487833309078259	-0.057346045762273347	-0.011806538429500449
4	5	-0.027891505469052551	-0.029516966709447718	-0.026216431001871703
4	6	-0.016061887233057123	-0.068724601255720233	-0.0059355916207885825
4	7	-0.019496119947525141	-0.057327700054396344	-0.011836031532660324
4	8	-0.019494653101961985	-0.057321220906453821	-0.011824168657089535
5	6	-0.0057552931612387167	-0.032156638976120443	-0.00076014386190350941
5	7	-0.01951822424270365	-0.057382795518287094	-0.011847266431176139
5	8	-0.019509611573588437	-0.057340686661006175	-0.01179135068450546
6	7	-0.019442080091613266	-0.057193073678549387	-0.011808722923771362
6	8	-0.019458060030432631	-0.05727360127484038	-0.011904451943146238
7	8	-0.10116050759888627	0.0034310306408483976	0.0058074656845373404
