family,slots,seeded,complete_binary_outcomes,unresolved,seed_fraction,CPU_seconds,CPU_per_seed,lower_all_slot_fraction,upper_all_slot_fraction,allocated_setup_CPU_seconds,cold_CPU_per_seed
x948-11952-a1-01191,62,45,56,6,0.8035714285714286,1639.3197951129994,36.42932878028888,0.7258064516129032,0.8225806451612904,11.604145206444576,36.68719867376542
x948-11952-a1-01510,62,45,61,1,0.7377049180327869,1904.244898436004,42.316553298577865,0.7258064516129032,0.7419354838709677,11.604145206444576,42.57442319205441
x948-11952-a1-01792,62,49,56,6,0.875,1550.79902498401,31.648959693551223,0.7903225806451613,0.8870967741935484,11.604145206444576,31.885778983478666
x948-11952-a1-01615,62,47,57,5,0.8245614035087719,1637.844443987999,34.84775412740424,0.7580645161290323,0.8387096774193549,11.604145206444576,35.094650833924334
x948-11952-a1-01956,62,40,52,10,0.7692307692307693,1552.8646881859993,38.82161720464998,0.6451612903225806,0.8064516129032258,11.604145206444576,39.111720834811095
x948-11952-a1-04380,61,46,57,4,0.8070175438596491,1736.2612560960083,37.74480991513062,0.7540983606557377,0.819672131147541,11.604145206444576,37.99707394135767
x948-11952-a1-02021,61,49,54,7,0.9074074074074074,1453.5574228119885,29.664437200244663,0.8032786885245902,0.9180327868852459,11.604145206444576,29.901256490172106
x948-11952-a1-02330,61,50,56,5,0.8928571428571429,1494.150130355997,29.883002607119938,0.819672131147541,0.9016393442622951,11.604145206444576,30.115085511248832
a1-fibration-01,61,49,56,5,0.875,1512.7658926320064,30.87277331902054,0.8032786885245902,0.8852459016393442,11.604145206444576,31.10959260894798
