family,slots,seeds,resolved,unresolved,CPU_seconds,CPU_per_seed,maximum_certified_rank,CPU_seed_enrichment_over_baseline
x948-11952-a1-01191,61,44,55,6,1613.7461965190005,36.67604992088638,20,0.8417693122791565
x948-11952-a1-01510,61,44,60,1,1878.7348293150042,42.698518848068275,21,0.723040849001657
x948-11952-a1-01792,61,49,55,6,1506.1853957310084,30.738477463898132,20,1.0043689820122073
x948-11952-a1-01615,61,46,56,5,1614.6541527970007,35.101177234717404,19,0.8795366922476123
x948-11952-a1-01956,61,39,51,10,1530.2060007100004,39.23605130025642,20,0.7868471035162189
x948-11952-a1-04380,61,46,57,4,1736.2612560960083,37.74480991513062,20,0.8179342640336013
x948-11952-a1-02021,61,49,54,7,1453.5574228119885,29.664437200244663,19,1.0407334921144538
x948-11952-a1-02330,61,50,56,5,1494.150130355997,29.883002607119938,20,1.0331215281447246
a1-fibration-01,61,49,56,5,1512.7658926320064,30.87277331902054,20,1.0
