case,arm,family,stratum,success,cpu_seconds,calls,initial_rank,rank_lower_bound,literal_hit,independent_replay_cpu,search_phase_cpu,status
4165b52a65df90d28e3e,adaptive_local,07ca9,shallow,True,3.4689400000000035,6,18,19,True,1.8805006169999998,1.4326817570000001,CERTIFIED_NEXT_DIRECTION
4165b52a65df90d28e3e,adaptive_uniform,07ca9,shallow,True,3.645253999999994,11,18,19,True,1.9373414620000002,1.55274734,CERTIFIED_NEXT_DIRECTION
4165b52a65df90d28e3e,factor_free,07ca9,shallow,True,5.127106999999995,3,18,19,True,1.852811216,3.1187314190000004,CERTIFIED_NEXT_DIRECTION
db094cfcf620e2af18c1,factor_free,07ca9,shallow,True,5.093906000000004,3,18,19,True,1.8672012939999996,3.0618337409999996,CERTIFIED_NEXT_DIRECTION
db094cfcf620e2af18c1,adaptive_uniform,07ca9,shallow,True,3.4093090000000075,5,18,19,True,1.9177711320000002,1.327865413,CERTIFIED_NEXT_DIRECTION
db094cfcf620e2af18c1,adaptive_local,07ca9,shallow,True,3.413531000000006,5,18,19,True,1.9190297690000004,1.3307120579999998,CERTIFIED_NEXT_DIRECTION
27033eba3f9935f053e1,factor_free,07ca9,shallow,True,3.893256999999977,1,19,20,True,1.814519184,1.915614502,CERTIFIED_NEXT_DIRECTION
27033eba3f9935f053e1,adaptive_local,07ca9,shallow,True,4.408501999999999,23,19,20,True,2.084861828,2.1667742920000004,CERTIFIED_NEXT_DIRECTION
27033eba3f9935f053e1,adaptive_uniform,07ca9,shallow,True,4.475343000000009,29,19,20,False,2.239001895000001,2.075417005,CERTIFIED_NEXT_DIRECTION
a72c599dd5ebc846f058,adaptive_uniform,07ca9,shallow,True,3.3269269999999835,4,19,20,False,1.8986851200000001,1.2690438549999998,CERTIFIED_NEXT_DIRECTION
a72c599dd5ebc846f058,factor_free,07ca9,shallow,True,4.606179000000026,3,19,20,False,1.8768062550000004,2.578003827,CERTIFIED_NEXT_DIRECTION
