trial	slot	rank_before	candidate_norm	orthogonal_height	orthogonal_ratio	new_block_dim	new_block_norm	new_block_projection_share	previous_coefficient	previous_abs_coefficient	previous_coeff_num	previous_coeff_den	previous_coeff_rational	previous_coeff_rational_error	previous_residual_corr	previous_energy_share	last_increment_corr	new_block_max_energy_share	new_block_last_energy_share	alpha_l2	alpha_max_abs	alpha_coefficients	alpha_rationals
0	1	17	60.074110485070086	0.2513833084447583	0.004184553153013116	0	0.0	0.0	nan	nan					nan	nan	nan	nan	nan	0.0	0.0		
0	2	18	60.40498784920367	0.433987521808362	0.007184630562161156	1	8.730574591934714	0.1455799393752401	5.893227337198372	5.893227337198372	53	9	5.888888888888889	0.004338448309482601	1.0	1.0	1.0	1.0	1.0	5.893227337198372	5.893227337198372	5.89322733719837	53/9:0.00433845
0	3	19	66.00037134880651	0.7436130234685123	0.011266800599326615	2	42.18080081946963	0.6463821051174037	-9.723586101663683	9.723586101663683	-107	11	-9.727272727272727	0.003686625609043759	0.05360371168028202	0.972781606574307	0.986296916032037	0.972781606574307	0.972781606574307	60.23045000057289	59.44038173325473	59.4403817332547 -9.72358610166368	535/9:0.00406271 -107/11:0.00368663
0	4	20	60.62276618353112	1.2970679270668768	0.021395723236054518	3	45.853929004672594	0.7729184881473563	-6.890032363669293	6.890032363669293	-62	9	-6.888888888888889	0.0011434747804033307	0.25878941693583185	0.7698621297650842	0.877417876365124	0.7698621297650842	0.7698621297650842	437.8638656375546	431.96061497226157	431.960614972262 -71.3254470569634 -6.89003236366929	432/1:0.039385 -214/3:0.00788628 -62/9:0.00114347
1	1	17	65.36596077331005	0.18683674487252233	0.0028583186518205466	0	0.0	0.0	nan	nan					nan	nan	nan	nan	nan	0.0	0.0		
1	2	18	58.283107725905765	0.3311371490044266	0.0056815286954446705	1	0.006559829410732685	0.0001131942424982408	0.187376501797772	0.187376501797772	2	11	0.18181818181818182	0.005558319979590165	1.0	1.0	1.0	1.0	1.0	0.187376501797772	0.187376501797772	0.187376501797772	2/11:0.00555832
1	3	19	61.87001692814431	0.4386198882361114	0.0070893772139342314	2	7.111245516145676	0.11575913716443624	-4.24791646227666	4.24791646227666	-17	4	-4.25	0.0020835377233403563	0.8520064455864369	0.8402609241276426	0.9166574737204964	0.8402609241276426	0.8402609241276426	5.355695953115847	4.24791646227666	3.2616996906123 -4.24791646227666	36/11:0.0110276 -17/4:0.00208354
1	4	20	64.22283202548175	2.1050426089205914	0.03277716884371234	3	7.752081598019437	0.12479648214835963	3.572032710729057	3.572032710729057	25	7	3.5714285714285716	0.0006041393004854179	0.5491777817416565	0.7219395576329669	0.8496702640630464	0.7219395576329669	0.7219395576329669	18.347663281749256	12.845606296229645	-12.6042742391697 12.8456062962296 3.57203271072906	-63/5:0.00427424 90/7:0.0115366 25/7:0.000604139
2	1	17	66.32605345499827	0.3904576032091711	0.005886941599413775	0	0.0	0.0	nan	nan					nan	nan	nan	nan	nan	0.0	0.0		
2	2	18	65.74510835359263	0.4810314127672797	0.007316611453131689	1	0.4921800977953978	0.007541363041748914	-1.1227293657913442	1.1227293657913442	-9	8	-1.125	0.0022706342086558085	1.0	1.0	1.0	1.0	1.0	1.1227293657913442	1.1227293657913442	-1.12272936579134	-9/8:0.00227063
