any_second_direction_given_seed,arm,censored_or_stopped,certified_endpoints,classes,cohort,cpu_seconds,deep,family,gain_after_seed_phase,known_equations,later_acquiring_call_given_seed_and_exposure,previous_equations,ranks,rows,seed,trajectories_unknown
"[70, 105]",,153,138,"{""UNKNOWN"": 15, ""amplifier"": 47, ""deep amplifier"": 13, ""no seed"": 33, ""seed only"": 45}",high-rank-foundry-v1-v3,,"[13, 138]",103b2,0,0,"[60, 105]",0,"{""17"": 33, ""18"": 35, ""19"": 12, ""20"": 9, ""21"": 16, ""22"": 13, ""23"": 5, ""24"": 7, ""25"": 4, ""26"": 3, ""27"": 1}",153,"[105, 138]",15
"[78, 105]",,153,136,"{""UNKNOWN"": 17, ""amplifier"": 55, ""deep amplifier"": 9, ""no seed"": 31, ""seed only"": 41}",high-rank-foundry-v1-v3,,"[9, 136]",11952,0,0,"[64, 105]",0,"{""17"": 31, ""18"": 27, ""19"": 16, ""20"": 12, ""21"": 13, ""22"": 15, ""23"": 13, ""24"": 2, ""25"": 6, ""26"": 1}",153,"[105, 136]",17
"[8, 11]",,0,24,"{""amplifier"": 7, ""deep amplifier"": 1, ""no seed"": 13, ""seed only"": 3}",higher24_r17,,"[1, 24]",ALL,0,0,"[8, 11]",0,"{""17"": 13, ""18"": 3, ""19"": 2, ""20"": 2, ""21"": 2, ""22"": 1, ""25"": 1}",24,"[11, 24]",0
"[1, 1]",,0,4,"{""amplifier"": 1, ""no seed"": 3}",higher24_r17,,"[0, 4]",074d9,0,0,"[1, 1]",0,"{""17"": 3, ""21"": 1}",4,"[1, 4]",0
"[2, 2]",,0,4,"{""amplifier"": 2, ""no seed"": 2}",higher24_r17,,"[0, 4]",07ca9,0,0,"[2, 2]",0,"{""17"": 2, ""20"": 2}",4,"[2, 4]",0
"[0, 1]",,0,4,"{""no seed"": 3, ""seed only"": 1}",higher24_r17,,"[0, 4]",08234,0,0,"[0, 1]",0,"{""17"": 3, ""18"": 1}",4,"[1, 4]",0
"[2, 3]",,0,4,"{""amplifier"": 2, ""no seed"": 1, ""seed only"": 1}",higher24_r17,,"[0, 4]",08f72,0,0,"[2, 3]",0,"{""17"": 1, ""18"": 1, ""19"": 1, ""21"": 1}",4,"[3, 4]",0
"[1, 2]",,0,4,"{""amplifier"": 1, ""no seed"": 2, ""seed only"": 1}",higher24_r17,,"[0, 4]",103b2,0,0,"[1, 2]",0,"{""17"": 2, ""18"": 1, ""22"": 1}",4,"[2, 4]",0
"[2, 2]",,0,4,"{""amplifier"": 1, ""deep amplifier"": 1, ""no seed"": 2}",higher24_r17,,"[1, 4]",11952,0,0,"[2, 2]",0,"{""17"": 2, ""19"": 1, ""25"": 1}",4,"[2, 4]",0
"[1, 3]",,0,60,"{""amplifier"": 1, ""no seed"": 57, ""seed only"": 2}",higher60_mw16,,"[0, 60]",ALL,0,0,"[1, 3]",0,"{""16"": 57, ""17"": 2, ""19"": 1}",60,"[3, 60]",0
"[0, 0]",,0,12,"{""no seed"": 12}",higher60_mw16,,"[0, 12]",a1-fibration-01,0,0,"[0, 0]",0,"{""16"": 12}",12,"[0, 12]",0
"[0, 0]",,0,12,"{""no seed"": 12}",higher60_mw16,,"[0, 12]",a1-fibration-02,0,0,"[0, 0]",0,"{""16"": 12}",12,"[0, 12]",0
"[0, 1]",,0,12,"{""no seed"": 11, ""seed only"": 1}",higher60_mw16,,"[0, 12]",a1-fibration-03,0,0,"[0, 1]",0,"{""16"": 11, ""17"": 1}",12,"[1, 12]",0
"[0, 1]",,0,12,"{""no seed"": 11, ""seed only"": 1}",higher60_mw16,,"[0, 12]",a1-fibration-04,0,0,"[0, 1]",0,"{""16"": 11, ""17"": 1}",12,"[1, 12]",0
"[1, 1]",,0,12,"{""amplifier"": 1, ""no seed"": 11}",higher60_mw16,,"[0, 12]",a1-fibration-05,0,0,"[1, 1]",0,"{""16"": 11, ""19"": 1}",12,"[1, 12]",0
"[0, 2]",,0,64,"{""no seed"": 62, ""seed only"": 2}",joint64_r17,,"[0, 64]",ALL,0,0,"[0, 2]",0,"{""17"": 62, ""18"": 2}",64,"[2, 64]",0
"[0, 2]",,0,64,"{""no seed"": 62, ""seed only"": 2}",joint64_r17,,"[0, 64]",11952,0,0,"[0, 2]",0,"{""17"": 62, ""18"": 2}",64,"[2, 64]",0
"[2, 9]",,0,60,"{""amplifier"": 2, ""no seed"": 51, ""seed only"": 7}",nearcut60v2_mw16,,"[0, 60]",ALL,0,0,"[2, 9]",0,"{""16"": 51, ""17"": 7, ""18"": 1, ""23"": 1}",60,"[9, 60]",0
"[2, 5]",,0,12,"{""amplifier"": 2, ""no seed"": 7, ""seed only"": 3}",nearcut60v2_mw16,,"[0, 12]",a1-fibration-01,0,0,"[2, 5]",0,"{""16"": 7, ""17"": 3, ""18"": 1, ""23"": 1}",12,"[5, 12]",0
"[0, 0]",,0,12,"{""no seed"": 12}",nearcut60v2_mw16,,"[0, 12]",a1-fibration-02,0,0,"[0, 0]",0,"{""16"": 12}",12,"[0, 12]",0
"[0, 0]",,0,12,"{""no seed"": 12}",nearcut60v2_mw16,,"[0, 12]",a1-fibration-03,0,0,"[0, 0]",0,"{""16"": 12}",12,"[0, 12]",0
"[0, 1]",,0,12,"{""no seed"": 11, ""seed only"": 1}",nearcut60v2_mw16,,"[0, 12]",a1-fibration-04,0,0,"[0, 1]",0,"{""16"": 11, ""17"": 1}",12,"[1, 12]",0
"[0, 3]",,0,12,"{""no seed"": 9, ""seed only"": 3}",nearcut60v2_mw16,,"[0, 12]",a1-fibration-05,0,0,"[0, 3]",0,"{""16"": 9, ""17"": 3}",12,"[3, 12]",0
"[22, 22]",,0,24,"{""amplifier"": 11, ""deep amplifier"": 9, ""no seed"": 2, ""seed only"": 2}",next24_r17,,"[9, 24]",ALL,0,0,"[20, 22]",3,"{""17"": 2, ""20"": 1, ""21"": 3, ""22"": 2, ""23"": 4, ""24"": 4, ""25"": 5, ""26"": 2, ""27"": 1}",24,"[22, 24]",0
"[4, 4]",,0,4,"{""amplifier"": 3, ""deep amplifier"": 1}",next24_r17,,"[1, 4]",074d9,0,0,"[4, 4]",0,"{""21"": 2, ""24"": 1, ""25"": 1}",4,"[4, 4]",0
"[4, 4]",,0,4,"{""amplifier"": 3, ""deep amplifier"": 1}",next24_r17,,"[1, 4]",07ca9,0,0,"[4, 4]",1,"{""21"": 1, ""22"": 2, ""25"": 1}",4,"[4, 4]",0
"[3, 3]",,0,4,"{""amplifier"": 2, ""no seed"": 1, ""seed only"": 1}",next24_r17,,"[0, 4]",08234,0,0,"[2, 3]",1,"{""17"": 1, ""23"": 2, ""24"": 1}",4,"[3, 4]",0
"[3, 3]",,0,4,"{""deep amplifier"": 3, ""no seed"": 1}",next24_r17,,"[3, 4]",08f72,0,0,"[3, 3]",1,"{""17"": 1, ""24"": 1, ""25"": 2}",4,"[3, 4]",0
"[4, 4]",,0,4,"{""amplifier"": 1, ""deep amplifier"": 2, ""seed only"": 1}",next24_r17,,"[2, 4]",103b2,0,0,"[3, 4]",0,"{""23"": 1, ""24"": 1, ""25"": 1, ""26"": 1}",4,"[4, 4]",0
"[4, 4]",,0,4,"{""amplifier"": 2, ""deep amplifier"": 2}",next24_r17,,"[2, 4]",11952,0,0,"[4, 4]",0,"{""20"": 1, ""23"": 1, ""26"": 1, ""27"": 1}",4,"[4, 4]",0
"[0, 0]",,0,48,"{""no seed"": 48}",outer48_r17,,"[0, 48]",ALL,0,0,"[0, 0]",0,"{""17"": 48}",48,"[0, 48]",0
"[0, 0]",,0,8,"{""no seed"": 8}",outer48_r17,,"[0, 8]",074d9,0,0,"[0, 0]",0,"{""17"": 8}",8,"[0, 8]",0
"[0, 0]",,0,8,"{""no seed"": 8}",outer48_r17,,"[0, 8]",07ca9,0,0,"[0, 0]",0,"{""17"": 8}",8,"[0, 8]",0
"[0, 0]",,0,8,"{""no seed"": 8}",outer48_r17,,"[0, 8]",08234,0,0,"[0, 0]",0,"{""17"": 8}",8,"[0, 8]",0
"[0, 0]",,0,8,"{""no seed"": 8}",outer48_r17,,"[0, 8]",08f72,0,0,"[0, 0]",0,"{""17"": 8}",8,"[0, 8]",0
"[0, 0]",,0,8,"{""no seed"": 8}",outer48_r17,,"[0, 8]",103b2,0,0,"[0, 0]",0,"{""17"": 8}",8,"[0, 8]",0
"[0, 0]",,0,8,"{""no seed"": 8}",outer48_r17,,"[0, 8]",11952,0,0,"[0, 0]",0,"{""17"": 8}",8,"[0, 8]",0
"[5, 13]",,0,60,"{""amplifier"": 4, ""no seed"": 47, ""seed only"": 9}",outer60_mw16,,"[0, 60]",ALL,0,0,"[4, 12]",0,"{""16"": 47, ""17"": 8, ""18"": 2, ""20"": 1, ""23"": 2}",60,"[13, 60]",0
"[1, 3]",,0,12,"{""amplifier"": 1, ""no seed"": 9, ""seed only"": 2}",outer60_mw16,,"[0, 12]",a1-fibration-01,0,0,"[1, 3]",0,"{""16"": 9, ""17"": 2, ""20"": 1}",12,"[3, 12]",0
"[2, 3]",,0,12,"{""amplifier"": 2, ""no seed"": 9, ""seed only"": 1}",outer60_mw16,,"[0, 12]",a1-fibration-02,0,0,"[2, 3]",0,"{""16"": 9, ""17"": 1, ""18"": 1, ""23"": 1}",12,"[3, 12]",0
"[1, 1]",,0,12,"{""amplifier"": 1, ""no seed"": 11}",outer60_mw16,,"[0, 12]",a1-fibration-03,0,0,"[1, 1]",0,"{""16"": 11, ""23"": 1}",12,"[1, 12]",0
"[1, 2]",,0,12,"{""no seed"": 10, ""seed only"": 2}",outer60_mw16,,"[0, 12]",a1-fibration-04,0,0,"[0, 2]",0,"{""16"": 10, ""17"": 1, ""18"": 1}",12,"[2, 12]",0
"[0, 4]",,0,12,"{""no seed"": 8, ""seed only"": 4}",outer60_mw16,,"[0, 12]",a1-fibration-05,0,0,"[0, 3]",0,"{""16"": 8, ""17"": 4}",12,"[4, 12]",0
"[53, 86]",,151,123,"{""UNKNOWN"": 28, ""amplifier"": 19, ""no seed"": 37, ""seed only"": 67}",parent-foundry-v1-v4,,"[0, 123]",ALL,0,0,"[19, 86]",0,"{""16"": 33, ""17"": 32, ""18"": 33, ""19"": 22, ""20"": 3}",151,"[86, 123]",28
"[1, 1]",,3,2,"{""UNKNOWN"": 1, ""amplifier"": 1, ""no seed"": 1}",parent-foundry-v1-v4,,"[0, 2]",074d9,0,0,"[1, 1]",0,"{""17"": 1, ""19"": 1}",3,"[1, 2]",1
"[0, 0]",,3,0,"{""UNKNOWN"": 3}",parent-foundry-v1-v4,,"[0, 0]",07ca9,0,0,"[0, 0]",0,{},3,"[0, 0]",3
"[0, 2]",,3,3,"{""no seed"": 1, ""seed only"": 2}",parent-foundry-v1-v4,,"[0, 3]",08234,0,0,"[0, 2]",0,"{""17"": 1, ""18"": 2}",3,"[2, 3]",0
"[0, 0]",,3,1,"{""UNKNOWN"": 2, ""no seed"": 1}",parent-foundry-v1-v4,,"[0, 1]",08f72,0,0,"[0, 0]",0,"{""17"": 1}",3,"[0, 1]",2
"[1, 1]",,3,2,"{""UNKNOWN"": 1, ""no seed"": 1, ""seed only"": 1}",parent-foundry-v1-v4,,"[0, 2]",103b2,0,0,"[0, 1]",0,"{""17"": 1, ""20"": 1}",3,"[1, 2]",1
"[1, 3]",,3,3,"{""seed only"": 3}",parent-foundry-v1-v4,,"[0, 3]",11952,0,0,"[0, 3]",0,"{""18"": 2, ""19"": 1}",3,"[3, 3]",0
"[2, 2]",,3,2,"{""UNKNOWN"": 1, ""seed only"": 2}",parent-foundry-v1-v4,,"[0, 2]",a1-fibration-01,0,0,"[0, 2]",0,"{""18"": 1, ""19"": 1}",3,"[2, 2]",1
"[2, 2]",,3,3,"{""no seed"": 1, ""seed only"": 2}",parent-foundry-v1-v4,,"[0, 3]",a1-fibration-02,0,0,"[0, 2]",0,"{""16"": 1, ""18"": 2}",3,"[2, 3]",0
"[2, 2]",,3,3,"{""amplifier"": 1, ""no seed"": 1, ""seed only"": 1}",parent-foundry-v1-v4,,"[0, 3]",a1-fibration-03,0,0,"[1, 2]",0,"{""16"": 1, ""18"": 1, ""19"": 1}",3,"[2, 3]",0
"[0, 1]",,3,1,"{""UNKNOWN"": 2, ""seed only"": 1}",parent-foundry-v1-v4,,"[0, 1]",a1-fibration-04,0,0,"[0, 1]",0,"{""17"": 1}",3,"[1, 1]",2
"[1, 3]",,3,3,"{""seed only"": 3}",parent-foundry-v1-v4,,"[0, 3]",a1-fibration-05,0,0,"[0, 3]",0,"{""17"": 2, ""20"": 1}",3,"[3, 3]",0
"[0, 1]",,2,1,"{""UNKNOWN"": 1, ""seed only"": 1}",parent-foundry-v1-v4,,"[0, 1]",det1092,0,0,"[0, 1]",0,"{""18"": 1}",2,"[1, 1]",1
"[7, 9]",,20,14,"{""UNKNOWN"": 6, ""amplifier"": 2, ""no seed"": 5, ""seed only"": 7}",parent-foundry-v1-v4,,"[0, 14]",x1092-det1092-a1-121385,0,0,"[2, 9]",0,"{""16"": 5, ""17"": 2, ""18"": 3, ""19"": 4}",20,"[9, 14]",6
"[5, 10]",,20,15,"{""UNKNOWN"": 5, ""no seed"": 5, ""seed only"": 10}",parent-foundry-v1-v4,,"[0, 15]",x1092-det1092-a1-14089,0,0,"[0, 10]",0,"{""16"": 5, ""17"": 5, ""18"": 4, ""19"": 1}",20,"[10, 15]",5
"[4, 10]",,19,15,"{""UNKNOWN"": 4, ""amplifier"": 1, ""no seed"": 5, ""seed only"": 9}",parent-foundry-v1-v4,,"[0, 15]",x1092-det1092-a1-27978,0,0,"[1, 10]",0,"{""16"": 5, ""17"": 6, ""18"": 1, ""19"": 3}",19,"[10, 15]",4
"[13, 15]",,19,19,"{""amplifier"": 8, ""no seed"": 4, ""seed only"": 7}",parent-foundry-v1-v4,,"[0, 19]",x948-11952-a1-00414,0,0,"[8, 15]",0,"{""16"": 4, ""17"": 2, ""18"": 8, ""19"": 5}",19,"[15, 19]",0
"[9, 12]",,19,18,"{""UNKNOWN"": 1, ""amplifier"": 6, ""no seed"": 6, ""seed only"": 6}",parent-foundry-v1-v4,,"[0, 18]",x948-11952-a1-00488,0,0,"[6, 12]",0,"{""16"": 6, ""17"": 3, ""18"": 5, ""19"": 3, ""20"": 1}",19,"[12, 18]",1
"[5, 12]",,19,18,"{""UNKNOWN"": 1, ""no seed"": 6, ""seed only"": 12}",parent-foundry-v1-v4,,"[0, 18]",x948-11952-a1-01070,0,0,"[0, 12]",0,"{""16"": 6, ""17"": 7, ""18"": 3, ""19"": 2}",19,"[12, 18]",1
"[0, 1]",,0,22,"{""no seed"": 21, ""seed only"": 1}",product22_r17,,"[0, 22]",ALL,0,0,"[0, 1]",0,"{""17"": 21, ""18"": 1}",22,"[1, 22]",0
"[0, 0]",,0,4,"{""no seed"": 4}",product22_r17,,"[0, 4]",074d9,0,0,"[0, 0]",0,"{""17"": 4}",4,"[0, 4]",0
"[0, 0]",,0,4,"{""no seed"": 4}",product22_r17,,"[0, 4]",07ca9,0,0,"[0, 0]",0,"{""17"": 4}",4,"[0, 4]",0
"[0, 0]",,0,4,"{""no seed"": 4}",product22_r17,,"[0, 4]",08234,0,0,"[0, 0]",0,"{""17"": 4}",4,"[0, 4]",0
"[0, 0]",,0,4,"{""no seed"": 4}",product22_r17,,"[0, 4]",08f72,0,0,"[0, 0]",0,"{""17"": 4}",4,"[0, 4]",0
"[0, 0]",,0,3,"{""no seed"": 3}",product22_r17,,"[0, 3]",103b2,0,0,"[0, 0]",0,"{""17"": 3}",3,"[0, 3]",0
"[0, 1]",,0,3,"{""no seed"": 2, ""seed only"": 1}",product22_r17,,"[0, 3]",11952,0,0,"[0, 1]",0,"{""17"": 2, ""18"": 1}",3,"[1, 3]",0
"[0, 1]",,0,24,"{""no seed"": 23, ""seed only"": 1}",productfirst24_r17,,"[0, 24]",ALL,0,0,"[0, 1]",0,"{""17"": 23, ""18"": 1}",24,"[1, 24]",0
"[0, 0]",,0,4,"{""no seed"": 4}",productfirst24_r17,,"[0, 4]",074d9,0,0,"[0, 0]",0,"{""17"": 4}",4,"[0, 4]",0
"[0, 0]",,0,4,"{""no seed"": 4}",productfirst24_r17,,"[0, 4]",07ca9,0,0,"[0, 0]",0,"{""17"": 4}",4,"[0, 4]",0
"[0, 0]",,0,4,"{""no seed"": 4}",productfirst24_r17,,"[0, 4]",08234,0,0,"[0, 0]",0,"{""17"": 4}",4,"[0, 4]",0
"[0, 0]",,0,4,"{""no seed"": 4}",productfirst24_r17,,"[0, 4]",08f72,0,0,"[0, 0]",0,"{""17"": 4}",4,"[0, 4]",0
"[0, 1]",,0,4,"{""no seed"": 3, ""seed only"": 1}",productfirst24_r17,,"[0, 4]",103b2,0,0,"[0, 1]",0,"{""17"": 3, ""18"": 1}",4,"[1, 4]",0
"[0, 0]",,0,4,"{""no seed"": 4}",productfirst24_r17,,"[0, 4]",11952,0,0,"[0, 0]",0,"{""17"": 4}",4,"[0, 4]",0
"[17, 17]",,20,20,"{""amplifier"": 10, ""deep amplifier"": 4, ""no seed"": 3, ""seed only"": 3}",prospective_mw16,,"[4, 20]",ALL,0,1,"[14, 17]",0,"{""16"": 3, ""20"": 3, ""21"": 3, ""22"": 5, ""23"": 1, ""24"": 4, ""25"": 1}",20,"[17, 20]",0
"[4, 4]",,4,4,"{""amplifier"": 3, ""deep amplifier"": 1}",prospective_mw16,,"[1, 4]",a1-fibration-01,0,0,"[4, 4]",0,"{""20"": 1, ""22"": 2, ""24"": 1}",4,"[4, 4]",0
"[4, 4]",,4,4,"{""amplifier"": 3, ""seed only"": 1}",prospective_mw16,,"[0, 4]",a1-fibration-02,0,0,"[3, 4]",0,"{""20"": 1, ""21"": 3}",4,"[4, 4]",0
"[1, 1]",,4,4,"{""amplifier"": 1, ""no seed"": 3}",prospective_mw16,,"[0, 4]",a1-fibration-03,0,0,"[1, 1]",0,"{""16"": 3, ""23"": 1}",4,"[1, 4]",0
"[4, 4]",,4,4,"{""amplifier"": 3, ""seed only"": 1}",prospective_mw16,,"[0, 4]",a1-fibration-04,0,0,"[3, 4]",0,"{""20"": 1, ""22"": 3}",4,"[4, 4]",0
"[4, 4]",,4,4,"{""deep amplifier"": 3, ""seed only"": 1}",prospective_mw16,,"[3, 4]",a1-fibration-05,0,1,"[3, 4]",0,"{""24"": 3, ""25"": 1}",4,"[4, 4]",0
"[8, 10]",,12,12,"{""amplifier"": 7, ""no seed"": 2, ""seed only"": 3}",prospective_mw16_next12,,"[0, 12]",ALL,0,0,"[7, 9]",0,"{""16"": 2, ""17"": 2, ""18"": 2, ""19"": 1, ""20"": 1, ""22"": 2, ""23"": 1, ""24"": 1}",12,"[10, 12]",0
"[8, 10]",,12,12,"{""amplifier"": 7, ""no seed"": 2, ""seed only"": 3}",prospective_mw16_next12,,"[0, 12]",a1-fibration-05,0,0,"[7, 9]",0,"{""16"": 2, ""17"": 2, ""18"": 2, ""19"": 1, ""20"": 1, ""22"": 2, ""23"": 1, ""24"": 1}",12,"[10, 12]",0
"[6, 10]",,20,20,"{""amplifier"": 2, ""deep amplifier"": 3, ""no seed"": 10, ""seed only"": 5}",prospective_mw16_wide,,"[3, 20]",ALL,0,2,"[5, 10]",2,"{""16"": 10, ""17"": 4, ""18"": 1, ""20"": 1, ""24"": 2, ""25"": 2}",20,"[10, 20]",0
"[3, 4]",,4,4,"{""amplifier"": 2, ""deep amplifier"": 1, ""seed only"": 1}",prospective_mw16_wide,,"[1, 4]",a1-fibration-01,0,0,"[3, 4]",1,"{""17"": 1, ""18"": 1, ""20"": 1, ""24"": 1}",4,"[4, 4]",0
"[0, 1]",,4,4,"{""no seed"": 3, ""seed only"": 1}",prospective_mw16_wide,,"[0, 4]",a1-fibration-02,0,0,"[0, 1]",0,"{""16"": 3, ""17"": 1}",4,"[1, 4]",0
"[0, 0]",,4,4,"{""no seed"": 4}",prospective_mw16_wide,,"[0, 4]",a1-fibration-03,0,0,"[0, 0]",0,"{""16"": 4}",4,"[0, 4]",0
"[2, 2]",,4,4,"{""deep amplifier"": 2, ""no seed"": 2}",prospective_mw16_wide,,"[2, 4]",a1-fibration-04,0,1,"[2, 2]",0,"{""16"": 2, ""25"": 2}",4,"[2, 4]",0
"[1, 3]",,4,4,"{""no seed"": 1, ""seed only"": 3}",prospective_mw16_wide,,"[0, 4]",a1-fibration-05,0,1,"[0, 3]",1,"{""16"": 1, ""17"": 2, ""24"": 1}",4,"[3, 4]",0
"[41, 48]",,0,60,"{""amplifier"": 22, ""deep amplifier"": 16, ""no seed"": 12, ""seed only"": 10}",r17-60-panel-v1,,"[16, 60]",ALL,38,0,"[38, 48]",0,"{""17"": 12, ""18"": 7, ""19"": 4, ""20"": 5, ""21"": 5, ""22"": 4, ""23"": 6, ""24"": 9, ""25"": 4, ""26"": 3, ""27"": 1}",60,"[48, 60]",0
"[8, 9]",,0,10,"{""amplifier"": 6, ""deep amplifier"": 2, ""no seed"": 1, ""seed only"": 1}",r17-60-panel-v1,,"[2, 10]",074d9,8,0,"[8, 9]",0,"{""17"": 1, ""18"": 1, ""19"": 1, ""20"": 2, ""21"": 2, ""23"": 1, ""24"": 1, ""26"": 1}",10,"[9, 10]",0
"[10, 10]",,0,10,"{""amplifier"": 7, ""deep amplifier"": 3}",r17-60-panel-v1,,"[3, 10]",07ca9,10,0,"[10, 10]",0,"{""19"": 1, ""20"": 2, ""21"": 1, ""22"": 2, ""23"": 1, ""24"": 1, ""25"": 2}",10,"[10, 10]",0
"[3, 5]",,0,10,"{""deep amplifier"": 1, ""no seed"": 5, ""seed only"": 4}",r17-60-panel-v1,,"[1, 10]",08234,1,0,"[1, 5]",0,"{""17"": 5, ""18"": 2, ""23"": 1, ""24"": 2}",10,"[5, 10]",0
"[7, 9]",,0,10,"{""amplifier"": 5, ""deep amplifier"": 2, ""no seed"": 1, ""seed only"": 2}",r17-60-panel-v1,,"[2, 10]",08f72,7,0,"[7, 9]",0,"{""17"": 1, ""18"": 2, ""20"": 1, ""21"": 1, ""22"": 1, ""23"": 2, ""24"": 1, ""25"": 1}",10,"[9, 10]",0
"[4, 5]",,0,10,"{""amplifier"": 1, ""deep amplifier"": 3, ""no seed"": 5, ""seed only"": 1}",r17-60-panel-v1,,"[3, 10]",103b2,4,0,"[4, 5]",0,"{""17"": 5, ""18"": 1, ""23"": 1, ""25"": 1, ""26"": 1, ""27"": 1}",10,"[5, 10]",0
"[9, 10]",,0,10,"{""amplifier"": 3, ""deep amplifier"": 5, ""seed only"": 2}",r17-60-panel-v1,,"[5, 10]",11952,8,0,"[8, 10]",0,"{""18"": 1, ""19"": 2, ""21"": 1, ""22"": 1, ""24"": 4, ""26"": 1}",10,"[10, 10]",0
"[24, 24]",,0,24,"{""amplifier"": 7, ""deep amplifier"": 16, ""seed only"": 1}",retention24_r17,,"[16, 24]",ALL,0,2,"[23, 24]",1,"{""19"": 1, ""21"": 3, ""23"": 2, ""24"": 5, ""25"": 7, ""26"": 3, ""27"": 3}",24,"[24, 24]",0
"[4, 4]",,0,4,"{""amplifier"": 2, ""deep amplifier"": 2}",retention24_r17,,"[2, 4]",074d9,0,0,"[4, 4]",0,"{""21"": 1, ""23"": 1, ""25"": 1, ""26"": 1}",4,"[4, 4]",0
"[4, 4]",,0,4,"{""amplifier"": 1, ""deep amplifier"": 3}",retention24_r17,,"[3, 4]",07ca9,0,0,"[4, 4]",0,"{""21"": 1, ""25"": 2, ""26"": 1}",4,"[4, 4]",0
"[4, 4]",,0,4,"{""amplifier"": 1, ""deep amplifier"": 2, ""seed only"": 1}",retention24_r17,,"[2, 4]",08234,0,1,"[3, 4]",1,"{""21"": 1, ""25"": 3}",4,"[4, 4]",0
"[4, 4]",,0,4,"{""amplifier"": 1, ""deep amplifier"": 3}",retention24_r17,,"[3, 4]",08f72,0,1,"[4, 4]",0,"{""23"": 1, ""24"": 2, ""27"": 1}",4,"[4, 4]",0
"[4, 4]",,0,4,"{""amplifier"": 1, ""deep amplifier"": 3}",retention24_r17,,"[3, 4]",103b2,0,0,"[4, 4]",0,"{""24"": 2, ""25"": 1, ""27"": 1}",4,"[4, 4]",0
"[4, 4]",,0,4,"{""amplifier"": 1, ""deep amplifier"": 3}",retention24_r17,,"[3, 4]",11952,0,0,"[4, 4]",0,"{""19"": 1, ""24"": 1, ""26"": 1, ""27"": 1}",4,"[4, 4]",0
"[7, 11]",,0,24,"{""amplifier"": 6, ""deep amplifier"": 1, ""no seed"": 13, ""seed only"": 4}",scaled13_24_r17,,"[1, 24]",ALL,0,0,"[7, 11]",0,"{""17"": 13, ""18"": 4, ""19"": 4, ""20"": 2, ""25"": 1}",24,"[11, 24]",0
"[1, 2]",,0,4,"{""amplifier"": 1, ""no seed"": 2, ""seed only"": 1}",scaled13_24_r17,,"[0, 4]",074d9,0,0,"[1, 2]",0,"{""17"": 2, ""18"": 1, ""19"": 1}",4,"[2, 4]",0
"[2, 3]",,0,4,"{""amplifier"": 2, ""no seed"": 1, ""seed only"": 1}",scaled13_24_r17,,"[0, 4]",07ca9,0,0,"[2, 3]",0,"{""17"": 1, ""18"": 1, ""19"": 1, ""20"": 1}",4,"[3, 4]",0
"[0, 0]",,0,4,"{""no seed"": 4}",scaled13_24_r17,,"[0, 4]",08234,0,0,"[0, 0]",0,"{""17"": 4}",4,"[0, 4]",0
"[1, 3]",,0,4,"{""amplifier"": 1, ""no seed"": 1, ""seed only"": 2}",scaled13_24_r17,,"[0, 4]",08f72,0,0,"[1, 3]",0,"{""17"": 1, ""18"": 2, ""19"": 1}",4,"[3, 4]",0
"[1, 1]",,0,4,"{""amplifier"": 1, ""no seed"": 3}",scaled13_24_r17,,"[0, 4]",103b2,0,0,"[1, 1]",0,"{""17"": 3, ""20"": 1}",4,"[1, 4]",0
"[2, 2]",,0,4,"{""amplifier"": 1, ""deep amplifier"": 1, ""no seed"": 2}",scaled13_24_r17,,"[1, 4]",11952,0,0,"[2, 2]",0,"{""17"": 2, ""19"": 1, ""25"": 1}",4,"[2, 4]",0
"[0, 2]",,0,8,"{""no seed"": 6, ""seed only"": 2}",skew8_r17,,"[0, 8]",ALL,0,0,"[0, 2]",0,"{""17"": 6, ""18"": 2}",8,"[2, 8]",0
"[0, 0]",,0,4,"{""no seed"": 4}",skew8_r17,,"[0, 4]",08234,0,0,"[0, 0]",0,"{""17"": 4}",4,"[0, 4]",0
"[0, 2]",,0,4,"{""no seed"": 2, ""seed only"": 2}",skew8_r17,,"[0, 4]",08f72,0,0,"[0, 2]",0,"{""17"": 2, ""18"": 2}",4,"[2, 4]",0
"[0, 1]",,0,24,"{""no seed"": 23, ""seed only"": 1}",splitnode24_r17,,"[0, 24]",ALL,0,0,"[0, 1]",0,"{""17"": 23, ""18"": 1}",24,"[1, 24]",0
"[0, 0]",,0,4,"{""no seed"": 4}",splitnode24_r17,,"[0, 4]",074d9,0,0,"[0, 0]",0,"{""17"": 4}",4,"[0, 4]",0
"[0, 0]",,0,4,"{""no seed"": 4}",splitnode24_r17,,"[0, 4]",07ca9,0,0,"[0, 0]",0,"{""17"": 4}",4,"[0, 4]",0
"[0, 0]",,0,4,"{""no seed"": 4}",splitnode24_r17,,"[0, 4]",08234,0,0,"[0, 0]",0,"{""17"": 4}",4,"[0, 4]",0
"[0, 1]",,0,4,"{""no seed"": 3, ""seed only"": 1}",splitnode24_r17,,"[0, 4]",08f72,0,0,"[0, 1]",0,"{""17"": 3, ""18"": 1}",4,"[1, 4]",0
"[0, 0]",,0,4,"{""no seed"": 4}",splitnode24_r17,,"[0, 4]",103b2,0,0,"[0, 0]",0,"{""17"": 4}",4,"[0, 4]",0
"[0, 0]",,0,4,"{""no seed"": 4}",splitnode24_r17,,"[0, 4]",11952,0,0,"[0, 0]",0,"{""17"": 4}",4,"[0, 4]",0
