any_second_direction_given_seed,arm,censored_or_stopped,certified_endpoints,classes,cohort,cpu_seconds,deep,family,gain_after_seed_phase,known_equations,later_acquiring_call_given_seed_and_exposure,previous_equations,ranks,rows,seed,trajectories_unknown
"[66, 115]",ranked,0,256,"{""amplifier"": 61, ""deep amplifier"": 3, ""no seed"": 141, ""seed only"": 51}",broad-rank-v1,65624.763521947,"[3, 256]",11952,64,0,"[64, 115]",0,"{""17"": 141, ""18"": 49, ""19"": 25, ""20"": 18, ""21"": 14, ""22"": 3, ""23"": 3, ""24"": 2, ""25"": 1}",256,"[115, 256]",0
"[12, 20]",control,0,64,"{""amplifier"": 10, ""no seed"": 44, ""seed only"": 10}",broad-rank-v1,12108.861430799,"[0, 64]",11952,10,0,"[10, 20]",0,"{""17"": 44, ""18"": 8, ""19"": 4, ""20"": 3, ""21"": 4, ""22"": 1}",64,"[20, 64]",0
"[0, 0]",,0,80,"{""no seed"": 80}",broad-rank-v1,23522.529037124,"[0, 80]",x1092-class1,0,0,"[0, 0]",0,"{""17"": 80}",80,"[0, 80]",0
"[0, 0]",ranked,0,64,"{""no seed"": 64}",broad-rank-v1,19330.630271304,"[0, 64]",x1092-class1,0,0,"[0, 0]",0,"{""17"": 64}",64,"[0, 64]",0
"[0, 0]",control,0,16,"{""no seed"": 16}",broad-rank-v1,4191.89876582,"[0, 16]",x1092-class1,0,0,"[0, 0]",0,"{""17"": 16}",16,"[0, 16]",0
"[27, 48]",,0,80,"{""amplifier"": 27, ""no seed"": 32, ""seed only"": 21}",broad-rank-v1,28485.847527235,"[0, 80]",x1092-original,48,0,"[27, 48]",0,"{""17"": 32, ""18"": 21, ""19"": 8, ""20"": 8, ""21"": 7, ""22"": 3, ""23"": 1}",80,"[48, 80]",0
"[24, 40]",ranked,0,64,"{""amplifier"": 24, ""no seed"": 24, ""seed only"": 16}",broad-rank-v1,23727.553525699,"[0, 64]",x1092-original,40,0,"[24, 40]",0,"{""17"": 24, ""18"": 16, ""19"": 7, ""20"": 7, ""21"": 6, ""22"": 3, ""23"": 1}",64,"[40, 64]",0
"[3, 8]",control,0,16,"{""amplifier"": 3, ""no seed"": 8, ""seed only"": 5}",broad-rank-v1,4758.294001536,"[0, 16]",x1092-original,8,0,"[3, 8]",0,"{""17"": 8, ""18"": 5, ""19"": 1, ""20"": 1, ""21"": 1}",16,"[8, 16]",0
"[7, 10]",,0,60,"{""amplifier"": 5, ""deep amplifier"": 2, ""no seed"": 50, ""seed only"": 3}",broad60_mw16,,"[2, 60]",ALL,0,0,"[7, 10]",0,"{""16"": 50, ""17"": 3, ""18"": 3, ""21"": 1, ""22"": 1, ""24"": 2}",60,"[10, 60]",0
"[0, 1]",,0,12,"{""no seed"": 11, ""seed only"": 1}",broad60_mw16,,"[0, 12]",a1-fibration-01,0,0,"[0, 1]",0,"{""16"": 11, ""17"": 1}",12,"[1, 12]",0
"[1, 2]",,0,12,"{""deep amplifier"": 1, ""no seed"": 10, ""seed only"": 1}",broad60_mw16,,"[1, 12]",a1-fibration-02,0,0,"[1, 2]",0,"{""16"": 10, ""17"": 1, ""24"": 1}",12,"[2, 12]",0
"[2, 2]",,0,12,"{""amplifier"": 1, ""deep amplifier"": 1, ""no seed"": 10}",broad60_mw16,,"[1, 12]",a1-fibration-03,0,0,"[2, 2]",0,"{""16"": 10, ""21"": 1, ""24"": 1}",12,"[2, 12]",0
"[1, 1]",,0,12,"{""amplifier"": 1, ""no seed"": 11}",broad60_mw16,,"[0, 12]",a1-fibration-04,0,0,"[1, 1]",0,"{""16"": 11, ""18"": 1}",12,"[1, 12]",0
"[3, 4]",,0,12,"{""amplifier"": 3, ""no seed"": 8, ""seed only"": 1}",broad60_mw16,,"[0, 12]",a1-fibration-05,0,0,"[3, 4]",0,"{""16"": 8, ""17"": 1, ""18"": 2, ""22"": 1}",12,"[4, 12]",0
"[126, 156]",,0,192,"{""amplifier"": 82, ""deep amplifier"": 36, ""no seed"": 36, ""seed only"": 38}",compact192_r17,,"[36, 192]",ALL,0,1,"[118, 156]",0,"{""17"": 36, ""18"": 30, ""19"": 13, ""20"": 18, ""21"": 10, ""22"": 21, ""23"": 21, ""24"": 23, ""25"": 15, ""26"": 5}",192,"[156, 192]",0
"[22, 26]",,0,32,"{""amplifier"": 18, ""deep amplifier"": 4, ""no seed"": 6, ""seed only"": 4}",compact192_r17,,"[4, 32]",074d9,0,0,"[22, 26]",0,"{""17"": 6, ""18"": 4, ""19"": 2, ""20"": 1, ""21"": 5, ""22"": 4, ""23"": 4, ""24"": 5, ""25"": 1}",32,"[26, 32]",0
"[22, 30]",,0,32,"{""amplifier"": 10, ""deep amplifier"": 8, ""no seed"": 2, ""seed only"": 12}",compact192_r17,,"[8, 32]",07ca9,0,0,"[18, 30]",0,"{""17"": 2, ""18"": 8, ""19"": 2, ""20"": 2, ""22"": 4, ""23"": 4, ""24"": 4, ""25"": 3, ""26"": 3}",32,"[30, 32]",0
"[9, 14]",,0,32,"{""amplifier"": 7, ""deep amplifier"": 1, ""no seed"": 18, ""seed only"": 6}",compact192_r17,,"[1, 32]",08234,0,1,"[8, 14]",0,"{""17"": 18, ""18"": 5, ""19"": 2, ""20"": 2, ""22"": 2, ""23"": 1, ""24"": 1, ""25"": 1}",32,"[14, 32]",0
"[25, 29]",,0,32,"{""amplifier"": 16, ""deep amplifier"": 9, ""no seed"": 3, ""seed only"": 4}",compact192_r17,,"[9, 32]",08f72,0,0,"[25, 29]",0,"{""17"": 3, ""18"": 4, ""19"": 5, ""20"": 1, ""21"": 3, ""22"": 2, ""23"": 5, ""24"": 5, ""25"": 4}",32,"[29, 32]",0
"[24, 27]",,0,32,"{""amplifier"": 15, ""deep amplifier"": 7, ""no seed"": 5, ""seed only"": 5}",compact192_r17,,"[7, 32]",103b2,0,0,"[22, 27]",0,"{""17"": 5, ""18"": 3, ""19"": 1, ""20"": 4, ""21"": 2, ""22"": 4, ""23"": 5, ""24"": 3, ""25"": 4, ""26"": 1}",32,"[27, 32]",0
"[24, 30]",,0,32,"{""amplifier"": 16, ""deep amplifier"": 7, ""no seed"": 2, ""seed only"": 7}",compact192_r17,,"[7, 32]",11952,0,0,"[23, 30]",0,"{""17"": 2, ""18"": 6, ""19"": 1, ""20"": 8, ""22"": 5, ""23"": 2, ""24"": 5, ""25"": 2, ""26"": 1}",32,"[30, 32]",0
