attribution,batch_cpu_lower,batch_cpu_upper,batch_elapsed_lower,batch_elapsed_upper,call,deep_event,directions,id,point_search_cpu_sum,point_search_elapsed_sum,rank_after_call_attribution,rank_from_earlier_calls,timing_scope
ORIGINATING_CALL; may be certified by later reconciliation,0.0,237.893197516,0.0,256.8308742969966,1,False,1,broad-rank-v1:b-257c2359a7a9a2be8b28,,,18,17,Enclosing batch sums; includes preparation and verification. Not exact discovery CPU.
ORIGINATING_CALL; may be certified by later reconciliation,0.0,237.893197516,0.0,256.8308742969966,14,False,1,broad-rank-v1:b-257c2359a7a9a2be8b28,,,19,18,Enclosing batch sums; includes preparation and verification. Not exact discovery CPU.
ORIGINATING_CALL; may be certified by later reconciliation,0.0,237.893197516,0.0,256.8308742969966,18,False,1,broad-rank-v1:b-257c2359a7a9a2be8b28,,,20,19,Enclosing batch sums; includes preparation and verification. Not exact discovery CPU.
ORIGINATING_CALL; may be certified by later reconciliation,0.0,237.893197516,0.0,256.8308742969966,35,False,2,broad-rank-v1:b-257c2359a7a9a2be8b28,,,22,20,Enclosing batch sums; includes preparation and verification. Not exact discovery CPU.
ORIGINATING_CALL; may be certified by later reconciliation,0.0,189.930858607,0.0,207.7735662030027,2,False,1,broad-rank-v1:b-ee948b44bca14fde4c59,,,18,17,Enclosing batch sums; includes preparation and verification. Not exact discovery CPU.
ORIGINATING_CALL; may be certified by later reconciliation,0.0,189.930858607,0.0,207.7735662030027,5,False,1,broad-rank-v1:b-ee948b44bca14fde4c59,,,19,18,Enclosing batch sums; includes preparation and verification. Not exact discovery CPU.
ORIGINATING_CALL; may be certified by later reconciliation,0.0,189.930858607,0.0,207.7735662030027,6,False,1,broad-rank-v1:b-ee948b44bca14fde4c59,,,20,19,Enclosing batch sums; includes preparation and verification. Not exact discovery CPU.
ORIGINATING_CALL; may be certified by later reconciliation,0.0,189.930858607,0.0,207.7735662030027,11,False,1,broad-rank-v1:b-ee948b44bca14fde4c59,,,21,20,Enclosing batch sums; includes preparation and verification. Not exact discovery CPU.
ORIGINATING_CALL; may be certified by later reconciliation,0.0,158.936357036,0.0,177.55300075399282,9,False,1,broad-rank-v1:b-692a919f10607585cf10,,,18,17,Enclosing batch sums; includes preparation and verification. Not exact discovery CPU.
ORIGINATING_CALL; may be certified by later reconciliation,0.0,158.936357036,0.0,177.55300075399282,68,False,1,broad-rank-v1:b-692a919f10607585cf10,,,19,18,Enclosing batch sums; includes preparation and verification. Not exact discovery CPU.
ORIGINATING_CALL; may be certified by later reconciliation,0.0,260.964315335,0.0,355.70519686699845,54,False,1,broad-rank-v1:b-4bd42b9edad0a5b9df76,,,18,17,Enclosing batch sums; includes preparation and verification. Not exact discovery CPU.
ORIGINATING_CALL; may be certified by later reconciliation,0.0,269.133183572,0.0,358.4104599410057,191,False,1,broad-rank-v1:b-2a7ec94c29d7bd699cea,,,18,17,Enclosing batch sums; includes preparation and verification. Not exact discovery CPU.
ORIGINATING_CALL; may be certified by later reconciliation,0.0,135.13999581899998,0.0,146.14947138199932,9,False,1,broad-rank-v1:b-b08192c085b65404f623,,,18,17,Enclosing batch sums; includes preparation and verification. Not exact discovery CPU.
ORIGINATING_CALL; may be certified by later reconciliation,0.0,176.208441922,0.0,195.03300453200063,23,False,1,broad-rank-v1:b-d0dbed9624b7f5ba284a,,,18,17,Enclosing batch sums; includes preparation and verification. Not exact discovery CPU.
ORIGINATING_CALL; may be certified by later reconciliation,0.0,176.208441922,0.0,195.03300453200063,24,False,1,broad-rank-v1:b-d0dbed9624b7f5ba284a,,,19,18,Enclosing batch sums; includes preparation and verification. Not exact discovery CPU.
ORIGINATING_CALL; may be certified by later reconciliation,0.0,190.560697228,0.0,210.46771248399455,83,False,1,broad-rank-v1:b-dcd4862f4c254e89fff0,,,18,17,Enclosing batch sums; includes preparation and verification. Not exact discovery CPU.
ORIGINATING_CALL; may be certified by later reconciliation,190.560697228,301.363467618,210.46771248399455,331.62953505701444,260,False,1,broad-rank-v1:b-dcd4862f4c254e89fff0,,,19,18,Enclosing batch sums; includes preparation and verification. Not exact discovery CPU.
ORIGINATING_CALL; may be certified by later reconciliation,0.0,326.42140459700005,0.0,358.6334004310047,1,False,1,broad-rank-v1:b-516ff5b73983bcd0accd,,,18,17,Enclosing batch sums; includes preparation and verification. Not exact discovery CPU.
ORIGINATING_CALL; may be certified by later reconciliation,0.0,326.42140459700005,0.0,358.6334004310047,5,False,1,broad-rank-v1:b-516ff5b73983bcd0accd,,,19,18,Enclosing batch sums; includes preparation and verification. Not exact discovery CPU.
ORIGINATING_CALL; may be certified by later reconciliation,0.0,326.42140459700005,0.0,358.6334004310047,36,False,1,broad-rank-v1:b-516ff5b73983bcd0accd,,,20,19,Enclosing batch sums; includes preparation and verification. Not exact discovery CPU.
ORIGINATING_CALL; may be certified by later reconciliation,0.0,326.42140459700005,0.0,358.6334004310047,37,False,1,broad-rank-v1:b-516ff5b73983bcd0accd,,,21,20,Enclosing batch sums; includes preparation and verification. Not exact discovery CPU.
ORIGINATING_CALL; may be certified by later reconciliation,0.0,326.42140459700005,0.0,358.6334004310047,40,False,1,broad-rank-v1:b-516ff5b73983bcd0accd,,,22,21,Enclosing batch sums; includes preparation and verification. Not exact discovery CPU.
ORIGINATING_CALL; may be certified by later reconciliation,0.0,326.42140459700005,0.0,358.6334004310047,43,False,1,broad-rank-v1:b-516ff5b73983bcd0accd,,,23,22,Enclosing batch sums; includes preparation and verification. Not exact discovery CPU.
ORIGINATING_CALL; may be certified by later reconciliation,0.0,270.458621847,0.0,285.6728410950018,1,False,3,broad-rank-v1:b-8115824ac0e6b26f7e6f,,,20,17,Enclosing batch sums; includes preparation and verification. Not exact discovery CPU.
ORIGINATING_CALL; may be certified by later reconciliation,0.0,270.458621847,0.0,285.6728410950018,2,False,3,broad-rank-v1:b-8115824ac0e6b26f7e6f,,,23,20,Enclosing batch sums; includes preparation and verification. Not exact discovery CPU.
ORIGINATING_CALL; may be certified by later reconciliation,0.0,161.088312173,0.0,175.57364604300528,43,False,1,broad-rank-v1:b-b15fc63404b82f6307c3,,,18,17,Enclosing batch sums; includes preparation and verification. Not exact discovery CPU.
ORIGINATING_CALL; may be certified by later reconciliation,161.088312173,278.168976667,175.57364604300528,301.51665846102696,140,False,1,broad-rank-v1:b-b15fc63404b82f6307c3,,,19,18,Enclosing batch sums; includes preparation and verification. Not exact discovery CPU.
ORIGINATING_CALL; may be certified by later reconciliation,0.0,139.194935505,0.0,150.76992396199785,9,False,1,broad-rank-v1:b-6dacabd3a04dd046d7b2,,,18,17,Enclosing batch sums; includes preparation and verification. Not exact discovery CPU.
