marked_U	frame_class	PGL2_family	deep_equation_rank	equation_support_count	equation_coordinate_input_bits	exact_quotient_target_count	exact_quotient_curve_ids	rigid_transfer_status	rigid_transfer_rank_vector	norm8_off_diagonal_status	norm8_off_diagonal_tests	norm8_off_diagonal_hits	rigid_branch_graph_edges	fitted_norm8_branch_graph_edges	native_branch_character_status	inherited_branch_character_count	complete_smooth_norm10_character_count	full_smooth_marking_saturation_index	low_genus_base_rank_status	maximum_certified_base_Jacobian_rank_lower_bound	marked_minimum_class_status	marked_norm8_class_count	Tate_quotient_status	matched_exact_curve_parameter_count	marked_quotient_transport_count	matched_parameter_height_bits_range	selected_initial_transport_count
norm12-orbit-091e4	alternate-Q80	norm12-orbit-11952	18	10	4070	2	12,395	EXACT_COMPLETE_FIXED_NATIVE_INVENTORY_ON_LABELLED_TARGETS	12:0,395:2	UNKNOWN			2	0	EXACT_COMPLETE_SMOOTH_LAYER	155	39147		UNKNOWN		EXACT_MARKED_NORM_TEN_COUNT_ONLY		UNKNOWN	2	2	119-121	0
norm12-orbit-1f222	published-R17	norm12-orbit-0e80b	19	13	4392	0		UNKNOWN		UNKNOWN			0	0	UNKNOWN				UNKNOWN		FRAME_REFERENCE_ONLY_MARKED_MINIMUM_TRANSPORT_UNKNOWN		UNKNOWN	2	0	89-93	0
norm12-orbit-05592	published-R17	norm12-orbit-07ca9	20	12	4369	0		UNKNOWN		UNKNOWN			0	0	UNKNOWN				UNKNOWN		FRAME_REFERENCE_ONLY_MARKED_MINIMUM_TRANSPORT_UNKNOWN		UNKNOWN	1	0	134-134	0
norm12-orbit-05de2	published-R17	norm12-orbit-074d9	21	13	4690	0		UNKNOWN		UNKNOWN			0	0	UNKNOWN				UNKNOWN		FRAME_REFERENCE_ONLY_MARKED_MINIMUM_TRANSPORT_UNKNOWN		UNKNOWN	5	0	87-102	0
norm12-orbit-10f74	published-R17	norm12-orbit-074d9	22	12	4086	0		UNKNOWN		UNKNOWN			0	0	UNKNOWN				UNKNOWN		FRAME_REFERENCE_ONLY_MARKED_MINIMUM_TRANSPORT_UNKNOWN		UNKNOWN	5	0	98-116	0
norm12-orbit-00678	published-R17	norm12-orbit-08234	23	13	4401	0		UNKNOWN		UNKNOWN			0	0	UNKNOWN				UNKNOWN		FRAME_REFERENCE_ONLY_MARKED_MINIMUM_TRANSPORT_UNKNOWN		UNKNOWN	2	0	110-111	0
norm12-orbit-10e1c	published-R17	norm12-orbit-074d9	24	15	4992	0		UNKNOWN		UNKNOWN			0	0	UNKNOWN				UNKNOWN		FRAME_REFERENCE_ONLY_MARKED_MINIMUM_TRANSPORT_UNKNOWN		UNKNOWN	5	0	84-98	0
norm12-orbit-0a2f9	published-R17	norm12-orbit-074d9	25	12	4063	0		UNKNOWN		UNKNOWN			0	0	UNKNOWN				UNKNOWN		FRAME_REFERENCE_ONLY_MARKED_MINIMUM_TRANSPORT_UNKNOWN		UNKNOWN	5	0	95-105	0
norm12-orbit-0bf17	published-R17	norm12-orbit-0e80b	26	13	4361	0		UNKNOWN		UNKNOWN			0	0	UNKNOWN				UNKNOWN		FRAME_REFERENCE_ONLY_MARKED_MINIMUM_TRANSPORT_UNKNOWN		UNKNOWN	2	0	86-90	0
norm12-orbit-183a6	published-R17	norm12-orbit-0e80b	27	11	3758	0		UNKNOWN		UNKNOWN			0	0	UNKNOWN				UNKNOWN		FRAME_REFERENCE_ONLY_MARKED_MINIMUM_TRANSPORT_UNKNOWN		UNKNOWN	2	0	125-125	0
