i	j	c0	c1	c2
0	1	-1	0	1
0	2	1.4313439514035877	1	-1.8134527762492194
0	3	-0.22628610885876457	0.10147374884797018	-0.09515529230527757
0	4	-0.27289003494306779	0.12237282713372097	-0.11475278146981935
0	5	-0.25683697494190216	0.11517404649654872	-0.1080022872942861
0	6	-0.09815155303669508	0.044013342212882112	-0.041273414253934534
0	7	-0.25482281103311416	0.11427080983387844	-0.10715530869245342
0	8	-0.25891416825360636	0.11610554758346102	-0.10887577228619079
1	2	0.61581620852563224	0.13369769698448372	-0.64870779710351489
1	3	-0.22628610885876443	0.10147374884796986	-0.095155292305277306
1	4	-0.27289003494306835	0.12237282713372108	-0.11475278146981877
1	5	-0.25683697494190116	0.11517404649654901	-0.10800228729428611
1	6	-0.098151553036694913	0.044013342212882167	-0.041273414253934146
1	7	-0.25482281103311449	0.11427080983387881	-0.10715530869245327
1	8	-0.25891416825360541	0.11610554758346114	-0.10887577228619032
2	3	-0.22628610885876455	0.10147374884796997	-0.095155292305277403
2	4	-0.27289003494306829	0.12237282713372181	-0.11475278146981885
2	5	-0.25683697494190255	0.11517404649654905	-0.10800228729428607
2	6	-0.098151553036695052	0.044013342212882112	-0.041273414253934534
2	7	-0.25482281103311427	0.1142708098338787	-0.10715530869245346
2	8	-0.25891416825360641	0.11610554758346153	-0.10887577228619053
3	4	0.042784212811181971	-0.019186152461253915	0.017991102740644478
3	5	0.22470941621495152	-0.10076667773341452	0.094492290986504593
3	6	-0.21296569676750809	0.095500137555806247	-0.089553966576246841
3	7	0.26071185794052282	-0.11691134985554283	0.10963163130318224
3	8	0.19197563585709154	-0.086087788306403859	0.08072742206941344
4	5	0.27589066696040976	-0.12371848346239633	0.11601455200075969
4	6	-0.049210365575179063	0.022066606336460289	-0.020693155792442727
4	7	0.21851547504548974	-0.097989279890533826	0.091887769604453398
4	8	0.35299126772094241	-0.15829340099726427	0.14843612252872296
5	6	-0.097848000730270362	0.04387721252132714	-0.041145769739166511
5	7	-0.23090751516033683	0.10354595207685492	-0.097098886249516014
5	8	-0.28210378933714414	0.12650498228554677	-0.11862702697139335
6	7	0.10442199064751223	-0.046825227244939018	0.04391019795123504
6	8	0.091187967942908066	-0.040890615187734361	0.038345153901772761
7	8	-0.018798897029027168	0.008430256325002633	-0.0079051351663514263
