i	j	c0	c1	c2
0	1	1	0	1
0	2	-2.432346568094184	1	-2.3910273161795215
0	3	-0.0033045324202662985	-0.2484486344265564	-0.13558775798404987
0	4	-0.095033990079082739	0.057469975556583897	-0.044212875256653586
0	5	0.0008965942985274068	0.29108241131368012	0.012924748424213997
0	6	0.0022116726002344746	0.29070152172104669	0.014223237271987908
0	7	-0.071836016037110137	0.31227499728480451	-0.058933046669036294
0	8	-0.00078314560562603604	0.074796705363752394	-0.046605851819191364
1	2	-0.70865436831052231	0.084728887376170126	-0.70515342020206817
1	3	-0.0033045324270064317	-0.24844863444016543	-0.1355877579819556
1	4	-0.095033990079378253	0.057469975518767175	-0.044212875251213327
1	5	0.00089658110350426942	0.29107814825913336	0.01292455883516282
1	6	0.0022157521554471865	0.29146353745089409	0.014258850703369306
1	7	-0.06702222719080099	0.2713277976138922	-0.055811121092300388
1	8	-0.00078314562245361335	0.07479670532983046	-0.046605851813969444
2	3	-0.0033045324174980914	-0.24844863442096998	-0.13558775798490913
2	4	-0.095033990078961308	0.057469975572110803	-0.044212875258887022
2	5	0.00089659971646239059	0.29108416174585877	0.012924826270649243
2	6	0.0022100006202650639	0.29038921438208742	0.014208641332031044
2	7	-0.074021811078193625	0.33086787471042389	-0.060350618079090375
2	8	-0.00078314559871648661	0.07479670537768035	-0.046605851821335184
3	4	-0.095144085575475768	0.044944363925690824	0.15515095143916499
3	5	0.0033036112075227509	0.2484467777317429	0.13558804372054831
3	6	0.003304537577608502	0.24844864482101511	0.13558775638439455
3	7	0.0033045323276236402	0.24844863423978933	0.13558775801279724
3	8	0.003222196469995837	0.0036371088435426381	0.15811943526198899
4	5	0.095033949668725096	-0.05747513925553973	0.044213617887018192
4	6	0.095033990305427987	-0.057469946648416634	0.044212871099142334
4	7	0.095033990075019142	-0.057469976075968557	0.044212875331322038
4	8	0.095031787369589504	-0.06430111936929693	-0.79361881159196934
5	6	-0.00088655316223446175	-0.28784151036918887	-0.012780810806175826
5	7	-0.00089677554838424041	-0.29114097071551093	-0.012927352779687713
5	8	-0.00078084760002314596	0.074801336970167706	-0.046606564601370852
6	7	-0.0021567008237329717	-0.28043340304814834	-0.013743348373497681
6	8	-0.00078315847068376415	0.074796679434389154	-0.046605847828778947
7	8	-0.00078314537449140247	0.074796705829631882	-0.046605851890862839
