q_sign	numeric_to_lattice
-1	3 1 7 6 5 8 2 4 0
-1	3 1 5 6 7 8 4 0 2
-1	3 1 5 7 6 8 4 0 2
-1	3 1 6 5 7 8 4 0 2
-1	3 1 6 7 5 8 4 0 2
-1	3 1 7 5 6 8 4 0 2
-1	3 1 7 6 5 8 4 0 2
-1	3 1 5 6 7 8 4 2 0
-1	3 1 5 7 6 8 4 2 0
-1	3 1 6 5 7 8 4 2 0
-1	3 1 6 7 5 8 4 2 0
-1	3 1 7 5 6 8 4 2 0
-1	3 1 7 6 5 8 4 2 0
