id,ainvs,rank_lower_bound,conductor,conductor_status,log_conductor,naive_height,faltings_height,discriminant,log_abs_discriminant,bad_primes,conductor_upper_bound
new-20260906-188,"[""1"", ""0"", ""0"", ""-138217506563605889872043263854781697377016668744941773513580"", ""20242130248207841544219808693189001887421294913221456339098328387159912218373571988160400""]",28,3389128510548161319756016765334023590717644951355796487807190277570543774230467803189406795413101608614781556190293416559648058753190270430,EXACT,318.97731564498633,420.1884838951687,32.91773477613295,-8016173977599554153084600438157612362508330895282880069000108443445706401713332279338193539308317679859440802108986091182605797989242654639201392845727839789311853979504640000000,409.6390227078454,"[""2"", ""3"", ""5"", ""7"", ""11"", ""13"", ""17"", ""19"", ""37"", ""41"", ""107"", ""139"", ""241"", ""2309"", ""146750759902520012671"", ""174361184822160214729"", ""1087614221970164994197309267684770841847552381021820065017808837975906824362877""]",3389128510548161319756016765334023590717644951355796487807190277570543774230467803189406795413101608614781556190293416559648058753190270430
new-20260906-40,"[""0"", ""1"", ""0"", ""-478084759064998390933143695734260558414948830620"", ""119142731212438304178867546335237459944511190723779503318854859356288944""]",27,625847273392133749141084531784604199332000011136824937628804232804540038348472590036929315025313329802578398367238396088,EXACT,275.84156224942035,340.97195469789506,26.36560692735078,861265623558584942823941824946868543987257828061527080055139637101120161140597943176655121328773583392980179877870893149948554653730382857870592,331.42290107488526,"[""2"", ""3"", ""7"", ""11"", ""13"", ""23"", ""37"", ""1223"", ""24437972051"", ""561063059024179810500844410439"", ""1825535106347063733958801675489652807861250517266415081493807015950621""]",625847273392133749141084531784604199332000011136824937628804232804540038348472590036929315025313329802578398367238396088
new-20260906-41,"[""1"", ""0"", ""0"", ""-1534141051320185336576223734099764498891473676600"", ""724098778739678960943055805127196924900556657734889009686013364096928832""]",27,385607805404546669757702543986640850533250291865584023383775058428481038963318413094656176510273957729702535113365122962530,EXACT,282.2650319640487,344.4697683700595,26.570828284219914,4581351269119989193109740717227218560246109563132072397347773484492579536714504472461539434605399712280221359308904281002454805043142469120000000,333.0942473826796,"[""2"", ""3"", ""5"", ""13"", ""17"", ""19"", ""29"", ""67"", ""229"", ""11483"", ""1015067"", ""1185749"", ""11359109"", ""28592101"", ""2613768493918386139"", ""8789417427421464766489779706511"", ""66712930379907104512639308779323""]",385607805404546669757702543986640850533250291865584023383775058428481038963318413094656176510273957729702535113365122962530
new-20260906-186,"[""1"", ""-1"", ""1"", ""-12863021937989197442572245103869706866325173191505"", ""17802205930101377427150906610708284800466302835899765794079393280105836097""]",27,626331835852237837959942160026415058213286411653252011129135977016421858574282246171665388209084791081551835278559332642950,EXACT,282.75009147915875,350.8540436853045,27.04668843302755,-698803764333922225881452682703627988473575385055139144321696385420459618811963213599318605839675657668786479665115883391213066301636816763473920000,338.1216233562425,"[""2"", ""5"", ""7"", ""13"", ""37"", ""61"", ""89"", ""149"", ""179"", ""4919"", ""526689608973452707"", ""1297327695885285412767490764778583"", ""7644533052528481157308027511138991115839138041559182477""]",626331835852237837959942160026415058213286411653252011129135977016421858574282246171665388209084791081551835278559332642950
new-20260906-71,"[""1"", ""0"", ""0"", ""-206146472796129715074018059573733454563478276563335"", ""1105311419338647732650534549181813400819706534279793673221000968292289116297""]",27,1501492496847230651915535798135038791367857964464751861873735344250891303798770296273960611057947540201444218392271650661570,EXACT,283.62442604959165,359.17161727121515,27.84558457943541,32890330752280708732651287188959919374134379111932748195500602422159240389543744044056588696059474384051705456392854745943699010222081672024268544000000,348.8809426655747,"[""2"", ""3"", ""5"", ""7"", ""11"", ""13"", ""17"", ""41"", ""43"", ""59"", ""20615041675346507"", ""1371609143868959976154145640664687027995574838295626697379856471001437756163360865284294725678053""]",1501492496847230651915535798135038791367857964464751861873735344250891303798770296273960611057947540201444218392271650661570
new-20260906-72,"[""1"", ""0"", ""0"", ""-63732593342850967458504535648490033346020923285"", ""7968611834872631407039058304455964638234186241293355884337746122912097""]",27,137497606639610244443719225239613648919132604312593493309131090496777344779292491713441692332291557691615053985981366408718310,EXACT,288.14157294896535,335.43090897846537,25.96386773270754,-10863674322637137846445544651693256944481282560960892285281862063428728947974938098910621879159341471070348304525089881189071500256450112000000,327.0499227048615,"[""2"", ""3"", ""5"", ""13"", ""17"", ""19"", ""37"", ""109"", ""245400994841354481225983"", ""377383744166505628241813"", ""2922404172882571093913938896375308797232967677675434898999886684375889""]",137497606639610244443719225239613648919132604312593493309131090496777344779292491713441692332291557691615053985981366408718310
r17-panel-103b2-low-02,"[""0"", ""0"", ""0"", ""-376362194644662691475623742790757756308643465894500"", ""2869545634279270196988462166559713701686964640487429237644966207395897680100""]",27,277381620390410218245942534536512005669171519187199792818529590968773776639717845818054857352552455956407733220880597259130200,EXACT,288.84336068724963,,,,,"[""2"", ""3"", ""5"", ""7"", ""11"", ""13"", ""71"", ""283"", ""499"", ""5641"", ""456349"", ""232382326340221101753689897691322315496452720090139822409746791313667475051596638459529837926667468767""]",277381620390410218245942534536512005669171519187199792818529590968773776639717845818054857352552455956407733220880597259130200
new-20260906-48,"[""1"", ""0"", ""0"", ""-32856125399473211842388268920550481481461685620655"", ""50166999670818394109703619550634496881463755230595821387380798956334398777""]",27,147676042850045582105281636565121030866804104224016092263850219019460568292075503441131704586859227228714615923228919163468564630,EXACT,295.12074269220955,353.66227100372254,27.5014920279631,1182790077711728831856317845186999535713169902594682239906236672497194800513116482348101575012252507832482337761622737817679997165643813176142528000000,345.55564006925465,"[""2"", ""3"", ""5"", ""7"", ""11"", ""13"", ""19"", ""47"", ""509"", ""1880603"", ""7106189011"", ""259807211574607"", ""553567795022107"", ""1129105272486743"", ""1872767131490633970393149"", ""140106331191119962071569896497953""]",147676042850045582105281636565121030866804104224016092263850219019460568292075503441131704586859227228714615923228919163468564630
new-20260906-90,"[""1"", ""0"", ""0"", ""-88108880187467390244983554210163381341807515589530"", ""318508301422647662201303129477995684907149943554616095388335083180311039076""]",27,255417940288246678150583574922944179897578074304448055056272816920964172850303531273517623698377800620421130739930868904355190006,EXACT,295.6686229022663,356.62269600633846,27.471207011728698,-49039776566510582000950184566169350233516872079338741934263021194957711940191240379209795043386946144496881210372526345874210490545126624645563629568,342.37264040559444,"[""2"", ""3"", ""11"", ""13"", ""37"", ""41"", ""71"", ""1327"", ""338177617721711"", ""613548173194227342170437609"", ""1201184027477738426918374049"", ""642839906786788643584327182240675424261680581201""]",255417940288246678150583574922944179897578074304448055056272816920964172850303531273517623698377800620421130739930868904355190006
new-20260906-92,"[""1"", ""-1"", ""1"", ""-92207352294731174553825719130388184989080186077"", ""10935366812635030493234154552109729074397935479118509032889671367785829""]",26,178321887387254814419033031050910811472177334674674639168272857236608886001857928328384699652646249158710,EXACT,240.04726975868553,336.06389276756386,25.886619857327165,-1485773085482047089021113141755836386415412571498516634728390964118021046987132066373084082973486671532107735153366794470454140292633600000000,325.0604333452361,"[""2"", ""3"", ""5"", ""7"", ""13"", ""19"", ""23"", ""29"", ""31"", ""41"", ""283"", ""3691"", ""3408066824933"", ""7157927821735015295533"", ""53048104164325577339746005745829265539013919930274219""]",178321887387254814419033031050910811472177334674674639168272857236608886001857928328384699652646249158710
