step	q	a	b	v	root_rank	roots	rootdet	MW	ADE
1	6	2	3	-5,-3,6,6,-8,-4,2,4,-1,8,-16,-1,0,3,5,-2,-2	11	108	16	6	D7+D4
2	4	2	2	32,48,-21,28,8,-52,-34,0,18,5,-23,43,9,-18,16,-6,-6	10	62	35	7	A6+A4
3	4	2	2	10,53,-192,-114,29,-256,-170,-12,-14,74,-32,-14,-6,-26,-58,84,-28	9	54	28	8	A6+A3
4	6	2	3	85,2699,1257,7718,3756,-41,3077,-4614,-6615,6032,2584,-1678,121,-736,-913,1,1165	7	28	30	10	A4+A2+A1
5	4	2	2	-94,-1003,5298,4977,-1431,-1440,100,1,-1632,1893,1634,-1264,-4175,2248,-3111,1561,2842	5	18	12	12	A3+A2
6	4	2	2	30693,-339,-2534,45446,10413,16390,-11527,5970,-18424,4193,21146,11296,25035,17925,-6032,4304,7717	4	8	16	13	A1+A1+A1+A1
7	4	2	2	21,671,-20182,-10366,27727,30558,5582,20831,-10195,-19691,6086,10389,20928,18651,16123,15473,-11496	1	2	2	16	A1
8	6	2	3	-44717,-282065,63356,564493,-98198,249323,239104,-1054,-22328,-389456,-231271,-641746,-570362,-123785,227276,-186445,89497	0	0	1	17	rootless
