rank	shell_id	eligible_id	ade	root_rank	mw_rank	root_count	root_det	d_f	d_o	mw_height	short_norm	section_p_o	fiber_twist	vertical_integral	support_fibres	support_components	vertical_l1	vertical_max	reflection_count	nearest_section_lifts	section_root_shift	section_nonzero_pairings	root_coefficients	reduced	v
99	7655	7653	A1+A1+A1+A1	4	13	8	16	2	0	19/3	8	2	0	1	0	0	0	0	6	18	0,0,0,0,0	O:2;R2:1;R5:1	0,0,0,0,0	2,2,-26498,289,2183,-39234,-8991,-14144,9951,-5149,15904,-3622,-18253,-9752,-21617,-15478,5210,-3714,-6666	5690,-62,-471,8427,1925,3040,-2135,1109,-3417,776,3920,2094,4637,3321,-1119,800,1429
100	7656	7654	A1+A1+A1+A1	4	13	8	16	2	0	19/3	8	2	0	1	0	0	0	0	6	18	0,0,0,0,0	O:2;R2:1;R4:1	0,0,0,0,0	2,2,-34756,380,2867,-51461,-11790,-18557,13051,-6758,20861,-4750,-23942,-12792,-28349,-20299,6831,-4873,-8740	-2568,29,213,-3800,-874,-1373,965,-500,1540,-352,-1769,-946,-2095,-1500,502,-359,-645
101	7657	7655	A1+A1+A1+A1	4	13	8	16	2	0	19/3	8	2	0	1	0	0	0	0	6	18	0,0,0,0,0	O:2;R2:1;R5:1	0,0,0,0,0	2,2,-25884,286,2138,-38325,-8782,-13823,9721,-5036,15537,-3536,-17832,-9527,-21112,-15116,5086,-3630,-6507	6304,-65,-516,9336,2134,3361,-2365,1222,-3784,862,4341,2319,5142,3683,-1243,884,1588
102	7659	7657	A1+A1+A1+A1	4	13	8	16	2	0	19/3	8	2	0	1	0	0	0	0	6	18	0,0,0,0,0	O:2;R2:1;R4:1	0,0,0,0,0	2,2,-27991,306,2311,-41444,-9495,-14948,10511,-5445,16801,-3825,-19283,-10302,-22829,-16347,5500,-3925,-7037	4197,-45,-343,6217,1421,2236,-1575,813,-2520,573,2890,1544,3425,2452,-829,589,1058
103	7662	7660	A1+A1+A1+A1	4	13	8	16	2	0	19/3	8	2	0	1	0	0	0	0	6	18	0,0,0,0,0	O:2;R2:1;R5:1	0,0,0,0,0	2,2,-30399,334,2508,-45009,-10314,-16231,11416,-5911,18246,-4154,-20942,-11188,-24796,-17754,5974,-4262,-7644	1789,-17,-146,2652,602,953,-670,347,-1075,244,1231,658,1458,1045,-355,252,451
104	7663	7661	A1+A1+A1+A1	4	13	8	16	2	0	19/3	8	2	0	1	0	0	0	0	6	18	0,0,0,0,0	O:2;R2:1;R5:1	0,0,0,0,0	2,2,-44287,490,3656,-65575,-15025,-23648,16632,-8614,26584,-6050,-30510,-16300,-36124,-25864,8704,-6211,-11135	-12099,139,1002,-17914,-4109,-6464,4546,-2356,7263,-1652,-8337,-4454,-9870,-7065,2375,-1697,-3040
105	7688	7686	A1+A1+A1+A1	4	13	8	16	2	0	19/3	8	2	0	1	0	0	0	0	6	18	0,0,0,0,0	O:2;R2:1;R5:1	0,0,0,0,0	2,2,-11475,122,943,-16990,-3894,-6122,4309,-2227,6886,-1570,-7902,-4223,-9363,-6705,2258,-1607,-2889	20713,-229,-1711,30671,7022,11062,-7777,4031,-12435,2828,14271,7623,16891,12094,-4071,2907,5206
106	7689	7687	A1+A1+A1+A1	4	13	8	16	2	0	19/3	8	2	0	1	0	0	0	0	6	18	0,0,0,0,0	O:2;R2:1;R5:1	0,0,0,0,0	2,2,-22141,241,1824,-32782,-7512,-11818,8314,-4302,13288,-3027,-15250,-8149,-18062,-12933,4353,-3103,-5570	10047,-110,-830,14879,3404,5366,-3772,1956,-6033,1371,6923,3697,8192,5866,-1976,1411,2525
107	7693	7691	A1+A1+A1+A1	4	13	8	16	2	0	19/3	8	2	0	1	0	0	0	0	6	18	0,0,0,0,0	O:2;R2:1;R5:1	0,0,0,0,0	2,2,-9225,96,757,-13657,-3131,-4921,3464,-1789,5535,-1263,-6353,-3394,-7527,-5391,1815,-1291,-2323	22963,-255,-1897,34004,7785,12263,-8622,4469,-13786,3135,15820,8452,18727,13408,-4514,3223,5772
108	7694	7692	A1+A1+A1+A1	4	13	8	16	2	0	19/3	8	2	0	1	0	0	0	0	6	18	0,0,0,0,0	O:2;R2:1;R5:1	0,0,0,0,0	2,2,-23113,252,1905,-34223,-7842,-12338,8680,-4492,13873,-3159,-15921,-8506,-18855,-13501,4545,-3240,-5814	9075,-99,-749,13438,3074,4846,-3406,1766,-5448,1239,6252,3340,7399,5298,-1784,1274,2281
