i	j	c0	c1	c2
0	1	1	0	1
0	2	-1.3940235104471879	1	-1.4148678421839089
0	3	0.24151851226396442	-0.50857061264192827	0.2515444801720797
0	4	0.24107461945807107	-0.50332231143878781	0.25157654130169671
0	5	0.24107461945807104	-0.50332231143878792	0.2515765413016966
0	6	0.2517155388323527	-0.37535482187734892	0.25906045740198907
0	7	0.24107461945807102	-0.50332231143878803	0.25157654130169665
0	8	0.24179934391358801	-0.49836399419366445	0.25161975179426993
1	2	-0.65809524210154235	0.47888022799136698	-0.66794681321303706
1	3	0.19290123509733484	-0.30966986093325621	0.19874973045073796
1	4	0.19233840074916703	-0.30301527192564082	0.19879038239361677
1	5	0.19233840074916697	-0.30301527192564071	0.19879038239361665
1	6	0.20651527967378672	-0.13252440154231615	0.20876119118409497
1	7	0.19233840074916697	-0.30301527192564076	0.19879038239361671
1	8	0.19326020408176153	-0.29670860830221546	0.19884534338707271
2	3	0.29425699037586522	-0.72468897207843475	0.30876105408066401
2	4	0.2938958197279653	-0.72041872412499675	0.30878714042133548
2	5	0.29389581972796525	-0.72041872412499675	0.30878714042133543
2	6	0.30227236560045739	-0.61968254628214803	0.31467848912110086
2	7	0.29389581972796525	-0.72041872412499675	0.30878714042133548
2	8	0.29448420516701751	-0.7163931918733617	0.30882222192638314
3	4	0.010453615520637097	0.44453560146526994	0.0017911192094751426
3	5	0.010453615520636648	0.44453560146526688	0.0017911192094767858
3	6	-0.048580899119598266	-0.26541232411037524	-0.039728728751866407
3	7	0.010453615520636788	0.44453560146526727	0.0017911192094725032
3	8	-0.051524642337234874	0.020501525589907428	-0.0019042315276857377
4	5	0.1358257888360285	-0.1420401433043014	0.13939211719937358
4	6	-0.045674343509253139	-0.29977755622100832	-0.039938661093470031
4	7	0.20032059062102625	-0.37613275615415087	-0.090863410123993391
4	8	-0.013119145537597179	-0.4335802085239317	-0.0046781526063434005
5	6	-0.045674343509253187	-0.29977755622100838	-0.039938661093469982
5	7	-0.42176724969189644	-0.1281557463377824	-0.055055614826358498
5	8	-0.013119145537596934	-0.43358020852393525	-0.0046781526063416744
6	7	0.045674343509253167	0.29977755622100843	0.039938661093470169
6	8	0.050748952696485661	0.33449629939818903	0.04024122624209691
7	8	-0.013119145537597013	-0.43358020852393386	-0.0046781526063461934
