observation_id,family,parameter,native_parameter,generic_subgroup_rank,retained_rank_lower_bound,retained_quotient_rank,full_curve_rank,cohort,phase,boxes,score_units,dictionary_coverage,dictionary_size,compatible_cover_count,simultaneous_carrier_genus,simultaneous_carrier_degree,split_quartet_count
compact_r17_initial_measurements_v1.json:compact-r17-top64-v1:10,published-R17,825/2224,825/2224,17,19,2,UNKNOWN,compact-r17-top64-v1,initial_measurement,43,95489802194956,COMPLETE_NATIVE_ATLAS,39120,0,0,1,0
compact_r17_initial_measurements_v1.json:compact-r17-top64-v1:11,published-R17,1501/732,1501/732,17,20,3,UNKNOWN,compact-r17-top64-v1,initial_measurement,43,95486292499921,COMPLETE_NATIVE_ATLAS,39120,1,0,2,0
compact_r17_initial_measurements_v1.json:compact-r17-top64-v1:15,published-R17,-3895/3749,-3895/3749,17,23,6,UNKNOWN,compact-r17-top64-v1,initial_measurement,43,95299631695012,COMPLETE_NATIVE_ATLAS,39120,0,0,1,0
compact_r17_initial_measurements_v1.json:compact-r17-top64-v1:16,published-R17,85/2016,85/2016,17,17,0,UNKNOWN,compact-r17-top64-v1,initial_measurement,43,95231527551847,COMPLETE_NATIVE_ATLAS,39120,0,0,1,0
compact_r17_initial_measurements_v1.json:compact-r17-top64-v1:18,published-R17,1101/2566,1101/2566,17,18,1,UNKNOWN,compact-r17-top64-v1,initial_measurement,43,95207467143955,COMPLETE_NATIVE_ATLAS,39120,0,0,1,0
compact_r17_initial_measurements_v1.json:compact-r17-top64-v1:19,published-R17,2051/2045,2051/2045,17,18,1,UNKNOWN,compact-r17-top64-v1,initial_measurement,43,95190850316870,COMPLETE_NATIVE_ATLAS,39120,0,0,1,0
compact_r17_initial_measurements_v1.json:compact-r17-top64-v1:20,published-R17,-560/1609,-560/1609,17,19,2,UNKNOWN,compact-r17-top64-v1,initial_measurement,43,95167073160049,COMPLETE_NATIVE_ATLAS,39120,0,0,1,0
compact_r17_initial_measurements_v1.json:compact-r17-top64-v1:21,published-R17,-585/1223,-585/1223,17,19,2,UNKNOWN,compact-r17-top64-v1,initial_measurement,43,95137979787911,COMPLETE_NATIVE_ATLAS,39120,0,0,1,0
compact_r17_initial_measurements_v1.json:compact-r17-top64-v1:22,published-R17,3243/1708,3243/1708,17,18,1,UNKNOWN,compact-r17-top64-v1,initial_measurement,43,95125210228894,COMPLETE_NATIVE_ATLAS,39120,0,0,1,0
compact_r17_initial_measurements_v1.json:compact-r17-top64-v1:23,published-R17,1576/2331,1576/2331,17,17,0,UNKNOWN,compact-r17-top64-v1,initial_measurement,43,94937810930907,COMPLETE_NATIVE_ATLAS,39120,0,0,1,0
