parameter,generic_subgroup_rank,best_retained_quotient_rank,full_curve_rank,compatible_cover_count,co_split_triples,eligible_total_degree_6,eligible_total_degree_8,degree_6_incidence_count,degree_8_incidence_count,pair_incidence_count,pair_relation_rank,triple_relation_rank,combined_relation_rank,extra_relation_rank_beyond_pairs,native_quotient_upper_bound
-198633/101894,17,0,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0
-2/377,17,8,UNKNOWN,6,20,0,2,0,0,0,0,0,0,0,6
-202703/106054,17,0,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0
-2221/1361,17,0,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0
-2300/843,17,7,UNKNOWN,3,1,0,0,0,0,0,0,0,0,0,3
-2416/9,17,4,UNKNOWN,2,0,0,0,0,0,0,0,0,0,0,2
-278/2615,17,0,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0
-28367/15470,17,3,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0
-288/65,17,7,UNKNOWN,4,4,0,0,0,0,0,0,0,0,0,4
-3/148,17,5,UNKNOWN,1,0,0,0,0,0,0,0,0,0,0,1
-308/251,17,9,UNKNOWN,3,1,0,0,0,0,0,0,0,0,0,3
-3086/3229,17,0,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0
-3106/4753,17,0,UNKNOWN,1,0,0,0,0,0,0,0,0,0,0,1
-3115/2756,17,5,UNKNOWN,3,1,0,1,0,0,0,0,0,0,0,3
-3162/2135,17,0,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0
-3359/9754,17,0,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0
-3381/3083,17,0,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0
-33841/18655,17,0,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0
-339/7,17,3,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0
-3459/2327,17,0,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0
-3712/10017,17,0,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0
-373/12028,17,0,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0
-3871/1618,17,0,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0
-3895/3749,17,6,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0
-3958/1267,17,0,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0
-4021/2640,17,0,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0
-4035/1852,17,2,UNKNOWN,1,0,0,0,0,0,0,0,0,0,0,1
-4112/1937,17,8,UNKNOWN,4,4,0,0,0,0,1,1,0,1,0,3
-4113/7910,17,0,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0
-41346/21827,17,0,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0
-41757/22880,17,1,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0
-4253/2347,17,2,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0
-430/7371,17,2,UNKNOWN,1,0,0,0,0,0,0,0,0,0,0,1
-45321/23621,17,3,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0
-4659/2815,17,0,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0
-511/2711,17,1,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0
-5195/5602,17,0,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0
-5284/455,17,2,UNKNOWN,1,0,0,0,0,0,0,0,0,0,0,1
-5353/4106,17,0,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0
-55104/28535,17,0,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0
-560/1609,17,2,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0
-5643/6760,17,0,UNKNOWN,1,0,0,0,0,0,0,0,0,0,0,1
-585/1223,17,2,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0
-5877/1690,17,5,UNKNOWN,2,0,0,0,0,0,0,0,0,0,0,2
-601/1570,17,1,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0
-636/3209,17,1,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0
-639/2575,17,1,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0
-63985/35256,17,1,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0
-649/10913,17,0,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0
-6726/2305,17,1,UNKNOWN,1,0,0,0,0,0,0,0,0,0,0,1
-695/97,17,7,UNKNOWN,1,0,0,0,0,0,0,0,0,0,0,1
-70/61,17,5,UNKNOWN,13,286,1,65,0,0,6,5,0,5,0,8
-70665/36751,17,2,UNKNOWN,1,0,0,0,0,0,0,0,0,0,0,1
-70688/36829,17,0,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0
-73681/39130,17,0,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0
-7540/2317,17,5,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0
-75641/41314,17,0,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0
-7634/2859,17,0,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0
