id,family,parameter,rank_lower_bound,reference_rank,certified_free_quotient_rank,full_rank_upper_bound,epsilon_scope,origin,galois_group,coefficient_bits,score_units,chart_count
a1-fibration-02:39/10,a1-fibration-02,39/10,21,16,5,UNKNOWN,full epsilon_M=0,retrospective_search_control,S3,175,,36
published-R17:-3/148,published-R17,-3/148,22,17,5,UNKNOWN,full epsilon_M=0,prospective_discovery,S3,218,,
published-R17:-70/61,published-R17,-70/61,22,17,5,UNKNOWN,full epsilon_M=0,prospective_discovery,S3,206,,
published-R17:-7540/2317,published-R17,-7540/2317,22,17,5,UNKNOWN,full epsilon_M=0,prospective_discovery,S3,267,,
published-R17:1348/1431,published-R17,1348/1431,22,17,5,UNKNOWN,full epsilon_M=0,prospective_discovery,S3,270,,
published-R17:8/39,published-R17,8/39,22,17,5,UNKNOWN,full epsilon_M=0,prospective_discovery,S3,181,,
a1-fibration-01:-197/118,a1-fibration-01,-197/118,20,16,4,UNKNOWN,full epsilon_M=0,retrospective_search_control,S3,190,,43
a1-fibration-01:2407/532,a1-fibration-01,2407/532,20,16,4,UNKNOWN,full epsilon_M=0,retrospective_search_control,S3,231,,43
a1-fibration-02:28/323,a1-fibration-02,28/323,20,16,4,UNKNOWN,full epsilon_M=0,retrospective_search_control,S3,225,,43
a1-fibration-04:632/611,a1-fibration-04,632/611,20,16,4,UNKNOWN,full epsilon_M=0,retrospective_search_control,S3,221,,43
control-r21-t3_8,published-R17,3/8,21,17,4,UNKNOWN,full epsilon_M=0,historic_oracle,S3,171,,
a1-fibration-01:320/2617,a1-fibration-01,320/2617,18,16,2,UNKNOWN,full epsilon_M=0,retrospective_search_control,S3,262,,43
a1-fibration-01:-3187/3697,a1-fibration-01,-3187/3697,17,16,1,UNKNOWN,full epsilon_M=0,retrospective_search_control,S3,249,,43
a1-fibration-02:199/3254,a1-fibration-02,199/3254,17,16,1,UNKNOWN,full epsilon_M=0,retrospective_search_control,S3,241,,43
a1-fibration-05:1666/3461,a1-fibration-05,1666/3461,17,16,1,UNKNOWN,full epsilon_M=0,retrospective_search_control,S3,273,,43
a1-fibration-05:2714/3419,a1-fibration-05,2714/3419,17,16,1,UNKNOWN,full epsilon_M=0,retrospective_search_control,S3,276,,43
a1-fibration-02:-1511/3474,a1-fibration-02,-1511/3474,16,16,0,UNKNOWN,full epsilon_M=0,retrospective_search_control,S3,256,,43
a1-fibration-02:-2968/3107,a1-fibration-02,-2968/3107,16,16,0,UNKNOWN,full epsilon_M=0,retrospective_search_control,S3,271,,43
a1-fibration-02:-3581/4061,a1-fibration-02,-3581/4061,16,16,0,UNKNOWN,full epsilon_M=0,retrospective_search_control,S3,282,,43
a1-fibration-03:-1013/283,a1-fibration-03,-1013/283,16,16,0,UNKNOWN,full epsilon_M=0,retrospective_search_control,S3,263,,43
a1-fibration-03:-1193/4073,a1-fibration-03,-1193/4073,16,16,0,UNKNOWN,full epsilon_M=0,retrospective_search_control,S3,313,,43
a1-fibration-03:-181/936,a1-fibration-03,-181/936,16,16,0,UNKNOWN,full epsilon_M=0,retrospective_search_control,S3,293,,43
a1-fibration-03:3290/1563,a1-fibration-03,3290/1563,16,16,0,UNKNOWN,full epsilon_M=0,retrospective_search_control,S3,302,,43
a1-fibration-03:3343/780,a1-fibration-03,3343/780,16,16,0,UNKNOWN,full epsilon_M=0,retrospective_search_control,S3,290,,43
a1-fibration-03:3769/1361,a1-fibration-03,3769/1361,16,16,0,UNKNOWN,full epsilon_M=0,retrospective_search_control,S3,295,,43
a1-fibration-03:873/227,a1-fibration-03,873/227,16,16,0,UNKNOWN,full epsilon_M=0,retrospective_search_control,S3,262,,43
a1-fibration-04:-2177/2397,a1-fibration-04,-2177/2397,16,16,0,UNKNOWN,full epsilon_M=0,retrospective_search_control,S3,268,93613610761223,43
a1-fibration-04:-3076/1981,a1-fibration-04,-3076/1981,16,16,0,UNKNOWN,full epsilon_M=0,retrospective_search_control,S3,267,,43
a1-fibration-05:-3158/1291,a1-fibration-05,-3158/1291,16,16,0,UNKNOWN,full epsilon_M=0,retrospective_search_control,S3,265,94196044392844,43
nagao-0001,published-R17,-5643/6760,17,17,0,UNKNOWN,full epsilon_M=0,retrospective_search_control,S3,257,,
nagao-0002,published-R17,1452/7817,17,17,0,UNKNOWN,full epsilon_M=0,retrospective_search_control,S3,295,,
nagao-0003,published-R17,4298/8873,17,17,0,UNKNOWN,full epsilon_M=0,retrospective_search_control,S3,285,,
nagao-0004,published-R17,-7634/2859,17,17,0,UNKNOWN,full epsilon_M=0,retrospective_search_control,S3,272,,
nagao-0005,published-R17,-841/8544,17,17,0,UNKNOWN,full epsilon_M=0,retrospective_search_control,S3,288,,
nagao-0006,published-R17,461/4420,17,17,0,UNKNOWN,full epsilon_M=0,retrospective_search_control,S3,256,,
nagao-0007,published-R17,6695/1353,17,17,0,UNKNOWN,full epsilon_M=0,retrospective_search_control,S3,281,,
nagao-0008,published-R17,1217/151,17,17,0,UNKNOWN,full epsilon_M=0,retrospective_search_control,S3,248,,
nagao-0009,published-R17,9783/7559,17,17,0,UNKNOWN,full epsilon_M=0,retrospective_search_control,S3,301,,
nagao-0010,published-R17,9446/3605,17,17,0,UNKNOWN,full epsilon_M=0,retrospective_search_control,S3,288,,
published-R17:-1561/3133,published-R17,-1561/3133,17,17,0,UNKNOWN,full epsilon_M=0,retrospective_search_control,S3,248,93955181295586,43
fermigier-E22,Fermigier/Mestre MW12,19754/39,22,12,10,UNKNOWN,inside L only: 12,historic_oracle,S3,,,
fermigier-rank20-near-miss,Fermigier/Mestre MW12,28917/20,20,12,8,UNKNOWN,inside L only: 0,historic_oracle,S3,,,
nagao-section7-rank20-t5081,Nagao section 7 MW12,5081/47,20,12,8,UNKNOWN,inside L only: 11,historic_oracle,S3,,,
ICARM-273,UNKNOWN,,30,UNKNOWN,UNKNOWN,UNKNOWN,selected coordinate subgroup is not generic,historic_masked_control,not recomputed,,,
ICARM-302,UNKNOWN,,31,UNKNOWN,UNKNOWN,UNKNOWN,selected coordinate subgroup is not generic,historic_masked_control,not recomputed,,,
