orbit_mask	category	minimum_norm	reduced_basis_w	parent_MW17_w	lattice_class_at_minimum
79051	genus_one	8	1 1 -2 -1 0 0 -1 1 2 0 1 0 -1 1 0 0 1	1 -1 -2 0 0 -1 1 -1 0 0 1 -1 1 0 1 0 1	2O+4F+phi(w)
79052	genus_one	8	0 0 -1 1 0 0 -1 1 2 -2 1 0 -1 1 0 0 -1	0 0 0 1 0 1 1 -1 0 0 1 1 1 -2 -1 0 -1	2O+4F+phi(w)
79053	genus_one	8	1 0 -1 -1 0 0 -1 1 2 0 1 0 -1 1 0 0 1	1 -2 -2 1 0 -1 1 -1 0 0 1 -1 1 0 1 0 1	2O+4F+phi(w)
79054	genus_one	8	0 1 -1 -1 0 0 -1 1 2 0 1 0 -1 1 0 0 1	0 -1 -2 1 0 -1 1 -1 0 0 1 -1 1 0 1 0 1	2O+4F+phi(w)
79055	genus_one	8	1 1 -1 -1 0 0 -1 1 2 0 1 0 -1 1 0 0 1	1 -1 -2 1 0 -1 1 -1 0 0 1 -1 1 0 1 0 1	2O+4F+phi(w)
79056	genus_one	8	-2 0 0 0 1 0 1 1 0 0 -1 0 1 -1 -2 0 1	0 0 -1 -2 0 -3 0 1 0 0 1 -1 -1 4 1 -2 1	2O+4F+phi(w)
79057	genus_one	8	-1 0 2 0 1 0 1 -3 -2 2 -1 0 1 -1 0 0 -1	-1 2 3 -2 0 1 -2 1 2 0 -1 1 -1 0 -1 0 -1	2O+4F+phi(w)
79058	rational	10	0 1 -2 0 -1 0 1 1 2 0 -1 2 -1 -1 -2 0 1	0 -1 -1 0 0 -1 0 1 0 0 1 -1 -1 2 1 -2 1	2O+4F+phi(w)
79060	rational	10	2 2 -3 2 -3 0 1 1 0 0 -1 2 -1 1 0 0 1	0 0 1 1 0 1 0 1 0 0 -1 -1 1 -2 -1 0 1	2O+4F+phi(w)
79061	rational	10	-1 0 3 -2 1 2 -1 -1 -2 0 -1 -2 1 -1 0 0 1	-1 0 1 1 0 -1 0 1 0 2 -1 -1 -1 0 -1 0 1	2O+4F+phi(w)
79062	genus_one	8	0 1 -1 2 -1 0 -1 1 0 -2 1 0 -1 1 0 0 -1	0 1 1 1 0 1 0 -1 0 0 -1 1 1 -2 -1 0 -1	2O+4F+phi(w)
79063	genus_one	8	1 1 1 0 -1 0 1 1 -2 0 -1 0 1 1 0 -2 1	1 -1 -1 -1 0 -3 0 1 0 0 1 -3 -1 4 1 -2 1	2O+4F+phi(w)
79064	genus_one	8	-2 0 2 -1 1 0 1 -1 -2 2 -1 0 1 -1 0 0 1	-2 0 0 0 0 -1 0 1 0 0 -1 -1 -1 2 1 0 1	2O+4F+phi(w)
79065	genus_one	8	-1 0 2 -1 1 0 1 -3 -2 2 -1 0 1 -1 0 0 -1	-1 2 2 -2 0 1 -2 1 2 0 -1 1 -1 0 -1 0 -1	2O+4F+phi(w)
79066	genus_one	8	0 1 -2 1 -1 0 -1 3 2 -2 1 0 -1 1 0 0 1	0 -1 -2 2 0 -1 2 -1 -2 0 1 -1 1 0 1 0 1	2O+4F+phi(w)
79067	genus_one	8	1 1 -2 3 -3 0 1 1 0 0 -1 2 -1 1 0 0 -1	1 1 0 0 2 1 0 -1 0 -2 1 1 1 -2 -1 0 -1	2O+4F+phi(w)
79068	rational	10	0 2 1 1 -1 0 1 1 -2 0 -1 0 1 1 0 -2 1	0 0 0 -1 0 -3 0 1 0 0 1 -3 -1 4 1 -2 1	2O+4F+phi(w)
79070	rational	10	0 1 1 1 -1 0 1 1 -2 0 -1 0 1 1 0 -2 1	0 -1 0 -1 0 -3 0 1 0 0 1 -3 -1 4 1 -2 1	2O+4F+phi(w)
79072	rational	10	-2 0 2 -2 2 -1 1 -1 0 2 -1 0 1 -1 -2 0 1	0 0 -1 -2 -1 -3 -1 1 2 0 1 -1 -1 4 1 -2 1	2O+4F+phi(w)
79073	rational	10	1 2 -2 2 -2 -1 1 1 0 0 -1 2 -1 1 0 0 1	-1 0 1 2 -1 1 1 1 0 0 -1 -1 1 -2 -1 0 1	2O+4F+phi(w)
79074	rational	10	-2 -1 2 0 0 -1 3 -1 -2 2 -1 0 1 -1 0 0 -1	0 1 -1 -2 1 -1 -1 1 0 -2 1 1 -1 2 1 0 -1	2O+4F+phi(w)
79075	rational	10	1 1 -2 2 -2 1 -1 1 2 -2 1 0 -1 1 0 0 -1	1 1 1 0 1 1 -1 -1 0 0 1 1 1 -2 -1 0 -1	2O+4F+phi(w)
79076	rational	10	0 2 -3 2 -2 -1 1 3 2 0 -1 2 -1 1 -2 0 1	2 0 -3 -1 1 -3 1 -1 0 -2 3 -1 1 2 1 -2 1	2O+4F+phi(w)
79077	rational	10	-1 0 3 -2 2 1 -1 -1 -2 0 -1 -2 1 -1 0 0 1	-1 0 1 1 -1 -1 1 1 0 2 -1 -1 -1 0 -1 0 1	2O+4F+phi(w)
79078	rational	10	0 1 -1 0 0 -1 -1 1 2 0 -1 2 -1 -1 -2 0 1	0 -1 -1 1 -1 -1 1 -1 0 0 1 -1 -1 2 1 -2 1	2O+4F+phi(w)
79079	rational	10	1 1 -1 0 0 -1 -1 1 2 0 -1 2 -1 -1 -2 0 1	1 -1 -1 1 -1 -1 1 -1 0 0 1 -1 -1 2 1 -2 1	2O+4F+phi(w)
79080	rational	10	2 2 -2 1 -2 -1 1 1 0 0 -1 2 -1 1 0 0 1	0 0 0 2 -1 1 1 1 0 0 -1 -1 1 -2 -1 0 1	2O+4F+phi(w)
79081	rational	10	1 0 -2 1 -2 1 -1 1 2 -2 1 0 -1 1 0 0 -1	1 0 0 0 1 1 -1 -1 0 0 1 1 1 -2 -1 0 -1	2O+4F+phi(w)
