orbit_mask	category	minimum_norm	reduced_basis_w	parent_MW17_w	lattice_class_at_minimum
7	genus_one	8	-1 -1 1 -2 2 0 0 -2 0 2 0 0 0 -2 0 0 0	-1 -1 0 -1 0 0 0 0 0 0 0 0 -2 2 2 0 0	2O+4F+phi(w)
13	genus_one	8	-1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	-1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	2O+4F+phi(w)
19	genus_one	8	-1 -1 2 0 1 0 0 -2 -2 0 2 -2 0 0 2 0 -2	-1 1 2 0 0 2 -1 0 0 0 -2 2 0 -2 0 2 -2	2O+4F+phi(w)
25	genus_one	8	1 0 0 -1 -1 0 0 0 0 0 0 0 0 0 0 0 0	1 0 -1 0 0 0 -1 0 0 0 0 0 0 0 0 0 0	2O+4F+phi(w)
31	genus_one	8	1 1 -1 1 -1 0 0 2 0 -2 2 0 0 2 0 -2 0	1 -1 -1 -1 0 -2 -1 0 0 0 0 -2 0 4 2 -2 0	2O+4F+phi(w)
37	genus_one	8	-1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0	-1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0	2O+4F+phi(w)
41	genus_one	8	-1 0 0 -1 0 1 0 -2 0 2 -2 0 0 -2 0 2 0	-1 2 1 0 1 2 0 0 0 0 0 2 0 -4 -2 2 0	2O+4F+phi(w)
42	genus_one	8	0 1 0 1 0 -1 0 2 0 -2 2 0 0 2 0 -2 0	0 -1 -1 0 -1 -2 0 0 0 0 0 -2 0 4 2 -2 0	2O+4F+phi(w)
43	genus_one	8	1 1 0 1 0 -1 0 2 0 -2 2 0 0 2 0 -2 0	1 -1 -1 0 -1 -2 0 0 0 0 0 -2 0 4 2 -2 0	2O+4F+phi(w)
44	genus_one	8	0 0 1 -1 0 1 0 0 0 0 0 0 0 0 0 0 0	0 0 -1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	2O+4F+phi(w)
45	genus_one	8	-1 0 1 -1 0 1 0 0 0 0 0 0 0 0 0 0 0	-1 0 -1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	2O+4F+phi(w)
46	genus_one	8	0 1 -1 -1 0 1 0 0 0 0 0 0 0 0 0 0 0	0 1 -1 -1 1 0 0 0 0 0 0 0 0 0 0 0 0	2O+4F+phi(w)
47	genus_one	8	-1 -1 1 -1 0 1 0 -2 0 2 -2 0 0 -2 0 2 0	-1 1 1 1 1 2 0 0 0 0 0 2 0 -4 -2 2 0	2O+4F+phi(w)
49	genus_one	8	-1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0	-1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0	2O+4F+phi(w)
55	genus_one	8	-1 -1 1 0 1 1 0 -2 -2 0 2 -2 0 0 2 0 -2	-1 1 2 -1 1 2 -1 0 0 0 -2 2 0 -2 0 2 -2	2O+4F+phi(w)
56	genus_one	8	0 0 0 1 1 -1 0 0 0 0 0 0 0 0 0 0 0	0 0 1 0 -1 0 1 0 0 0 0 0 0 0 0 0 0	2O+4F+phi(w)
57	genus_one	8	-1 0 0 1 1 -1 0 0 0 0 0 0 0 0 0 0 0	-1 0 1 0 -1 0 1 0 0 0 0 0 0 0 0 0 0	2O+4F+phi(w)
58	genus_one	8	0 -1 0 1 1 -1 0 0 0 0 0 0 0 0 0 0 0	0 -1 1 0 -1 0 1 0 0 0 0 0 0 0 0 0 0	2O+4F+phi(w)
59	genus_one	8	1 1 0 1 -1 -1 0 2 0 -2 2 0 0 2 0 -2 0	1 -1 -1 0 -1 -2 -1 0 0 0 0 -2 0 4 2 -2 0	2O+4F+phi(w)
61	rational	10	1 0 1 1 -1 1 0 0 -2 -2 2 -2 0 2 2 -2 -2	1 0 1 -1 1 0 -1 0 0 0 0 0 0 0 0 0 -2	2O+4F+phi(w)
67	genus_one	8	-1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0	-1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0	2O+4F+phi(w)
69	genus_one	8	1 2 -3 2 -2 0 -1 2 2 -2 2 0 -2 2 0 0 0	1 0 0 1 0 0 0 -1 0 0 0 0 2 -2 0 0 0	2O+4F+phi(w)
70	genus_one	8	0 1 -1 0 0 0 -1 2 2 -2 0 0 0 0 -2 0 2	0 -1 0 1 -2 -2 0 1 0 2 0 -2 0 2 0 -2 2	2O+4F+phi(w)
71	genus_one	8	-1 1 -1 0 0 0 1 0 0 0 0 0 0 0 0 0 0	-1 1 0 -1 0 0 0 1 0 0 0 0 0 0 0 0 0	2O+4F+phi(w)
74	genus_one	8	-2 1 0 1 0 0 1 0 0 0 0 0 0 0 -2 0 0	0 1 1 -2 0 -2 -2 1 2 0 0 0 0 2 0 -2 0	2O+4F+phi(w)
75	genus_one	8	1 1 0 -1 0 0 -1 0 0 0 0 0 0 0 0 0 0	1 1 -1 0 0 0 0 -1 0 0 0 0 0 0 0 0 0	2O+4F+phi(w)
78	genus_one	8	0 1 -1 1 0 0 -1 0 0 0 0 0 0 0 0 0 0	0 1 1 -1 0 0 0 -1 0 0 0 0 0 0 0 0 0	2O+4F+phi(w)
79	genus_one	8	-1 1 -1 1 0 0 1 0 0 0 0 0 0 0 0 0 0	-1 1 1 -1 0 0 0 1 0 0 0 0 0 0 0 0 0	2O+4F+phi(w)
81	genus_one	8	-1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0	-1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0	2O+4F+phi(w)
82	genus_one	8	0 1 0 0 1 0 -1 0 0 0 0 0 0 0 0 0 0	0 1 0 0 0 0 1 -1 0 0 0 0 0 0 0 0 0	2O+4F+phi(w)
83	genus_one	8	-1 1 0 0 1 0 -1 0 0 0 0 0 0 0 0 0 0	-1 1 0 0 0 0 1 -1 0 0 0 0 0 0 0 0 0	2O+4F+phi(w)
87	rational	10	1 -1 1 0 -1 0 1 -2 -2 2 0 0 0 0 2 0 -2	1 1 0 -1 2 2 -1 -1 0 -2 0 2 0 -2 0 2 -2	2O+4F+phi(w)
90	genus_one	8	0 1 -2 1 -1 0 1 0 0 0 0 0 0 0 0 0 0	0 1 1 -2 0 0 -1 1 0 0 0 0 0 0 0 0 0	2O+4F+phi(w)
91	genus_one	8	1 1 -2 1 -1 0 -1 2 2 -2 2 0 -2 2 0 0 0	1 -1 -1 2 0 0 1 -1 0 0 0 0 2 -2 0 0 0	2O+4F+phi(w)
93	genus_one	8	1 2 -3 1 -1 0 -1 2 2 -2 2 0 -2 2 0 0 0	1 0 -1 1 0 0 1 -1 0 0 0 0 2 -2 0 0 0	2O+4F+phi(w)
97	genus_one	8	-1 0 0 0 0 -1 1 0 0 2 0 0 0 0 0 0 0	1 0 -2 -2 1 -2 0 -1 0 -2 2 0 0 2 2 0 0	2O+4F+phi(w)
100	genus_one	8	0 0 1 0 0 -1 1 0 0 0 0 0 0 0 0 0 0	0 0 0 1 -1 0 0 1 0 0 0 0 0 0 0 0 0	2O+4F+phi(w)
101	genus_one	8	-1 0 1 0 0 -1 1 0 0 0 0 0 0 0 0 0 0	-1 0 0 1 -1 0 0 1 0 0 0 0 0 0 0 0 0	2O+4F+phi(w)
103	rational	10	-1 -1 1 -2 2 1 -1 -2 0 2 -2 0 0 -2 0 2 0	-1 1 0 1 1 2 2 -1 0 0 0 2 0 -4 -2 2 0	2O+4F+phi(w)
107	rational	10	1 1 0 1 0 -1 1 0 -2 0 2 0 0 2 2 -2 0	-1 -1 1 0 -1 0 0 1 0 0 -2 -2 0 2 2 0 0	2O+4F+phi(w)
109	rational	10	1 0 1 -1 0 1 -1 2 0 -2 2 -2 0 2 2 -2 0	1 -2 -3 1 1 -2 2 -1 -2 0 2 -2 0 2 2 0 0	2O+4F+phi(w)
110	rational	10	0 1 1 1 0 -1 1 0 -2 0 0 0 0 0 0 -2 0	0 -1 1 -1 -1 -2 0 1 0 0 0 -2 -2 4 2 -2 0	2O+4F+phi(w)
111	rational	10	-1 -1 1 1 0 -1 1 0 0 0 0 0 0 0 0 0 -2	1 1 -1 -1 1 0 0 -1 0 -2 2 2 0 0 0 0 -2	2O+4F+phi(w)
112	genus_one	8	0 0 0 0 -1 1 1 0 0 0 0 0 0 0 0 0 0	0 0 0 0 1 0 -1 1 0 0 0 0 0 0 0 0 0	2O+4F+phi(w)
113	genus_one	8	-1 0 0 0 1 1 -1 0 0 -2 2 -2 0 0 0 0 0	-1 0 2 0 -1 0 -1 1 0 2 -2 0 0 0 0 0 0	2O+4F+phi(w)
115	rational	10	1 1 -2 0 -1 1 -1 2 2 -2 0 0 -2 0 0 0 0	1 -1 -2 2 1 0 3 -1 -2 0 2 0 0 -2 0 0 0	2O+4F+phi(w)
117	rational	10	1 0 -1 2 -1 -1 1 2 0 -2 2 0 0 2 0 -2 0	1 -2 0 -1 -1 -2 -1 1 0 0 0 -2 0 4 2 -2 0	2O+4F+phi(w)
118	genus_one	8	0 1 -1 2 -1 -1 1 2 0 -2 2 0 0 2 0 -2 0	0 -1 0 -1 -1 -2 -1 1 0 0 0 -2 0 4 2 -2 0	2O+4F+phi(w)
119	genus_one	8	1 1 -1 2 -1 -1 1 2 0 -2 2 0 0 2 0 -2 0	1 -1 0 -1 -1 -2 -1 1 0 0 0 -2 0 4 2 -2 0	2O+4F+phi(w)
121	rational	10	1 2 0 1 -1 -1 1 0 -2 0 2 0 0 2 2 -2 0	-1 0 1 0 -1 0 -1 1 0 0 -2 -2 0 2 2 0 0	2O+4F+phi(w)
122	rational	10	2 1 0 1 -1 -1 1 0 -2 0 2 0 0 2 2 -2 0	0 -1 1 0 -1 0 -1 1 0 0 -2 -2 0 2 2 0 0	2O+4F+phi(w)
123	rational	10	1 1 0 1 -1 -1 1 0 -2 0 2 0 0 2 2 -2 0	-1 -1 1 0 -1 0 -1 1 0 0 -2 -2 0 2 2 0 0	2O+4F+phi(w)
124	genus_one	8	0 0 -1 1 -1 -1 1 0 0 0 0 0 0 0 0 0 0	0 0 1 -1 -1 0 -1 1 0 0 0 0 0 0 0 0 0	2O+4F+phi(w)
125	genus_one	8	1 0 -1 1 -1 -1 1 0 0 0 0 0 0 0 0 0 0	1 0 1 -1 -1 0 -1 1 0 0 0 0 0 0 0 0 0	2O+4F+phi(w)
126	genus_one	8	0 -1 1 -1 1 1 -1 0 0 0 0 0 0 0 0 0 0	0 -1 -1 1 1 0 1 -1 0 0 0 0 0 0 0 0 0	2O+4F+phi(w)
127	genus_one	8	1 1 -1 1 -1 -1 1 2 0 -2 2 0 0 2 0 -2 0	1 -1 -1 -1 -1 -2 -1 1 0 0 0 -2 0 4 2 -2 0	2O+4F+phi(w)
131	genus_one	8	1 1 -2 0 0 0 -2 1 2 -2 2 0 -2 0 0 0 0	0 -1 0 2 -1 1 1 -1 -1 1 -1 0 0 -1 1 0 0	2O+4F+phi(w)
133	genus_one	8	-1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0	0 0 -2 1 1 -1 1 -1 -1 -1 1 0 0 1 1 0 0	2O+4F+phi(w)
134	genus_one	8	2 1 -3 0 -2 0 0 1 2 0 0 2 -2 0 0 0 0	1 -1 -2 1 1 1 1 -1 -1 -1 1 0 0 -1 1 0 0	2O+4F+phi(w)
135	genus_one	8	-1 1 -1 0 0 0 0 1 0 0 0 0 0 0 0 0 0	0 1 -2 -1 1 -1 1 -1 -1 -1 1 0 0 1 1 0 0	2O+4F+phi(w)
138	genus_one	8	2 1 -4 1 -2 0 0 1 2 0 0 2 -2 0 0 0 0	1 -1 -1 0 1 1 1 -1 -1 -1 1 0 0 -1 1 0 0	2O+4F+phi(w)
139	genus_one	8	-1 -1 0 -1 0 0 0 -1 0 2 -2 0 0 -2 0 2 0	0 1 -1 0 1 1 1 -1 -1 -1 1 2 0 -3 -1 2 0	2O+4F+phi(w)
142	genus_one	8	2 1 -3 1 -2 0 0 1 2 0 0 2 -2 0 0 0 0	1 -1 -1 1 1 1 1 -1 -1 -1 1 0 0 -1 1 0 0	2O+4F+phi(w)
143	genus_one	8	1 1 -3 1 -2 0 0 1 2 0 0 2 -2 0 0 0 0	0 -1 -1 1 1 1 1 -1 -1 -1 1 0 0 -1 1 0 0	2O+4F+phi(w)
145	genus_one	8	-1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0	0 0 -2 0 1 -1 2 -1 -1 -1 1 0 0 1 1 0 0	2O+4F+phi(w)
146	genus_one	8	0 1 0 0 1 0 0 -1 0 0 0 0 0 0 0 0 0	-1 1 2 0 -1 1 0 1 1 1 -1 0 0 -1 -1 0 0	2O+4F+phi(w)
147	genus_one	8	-1 1 0 0 1 0 0 -1 0 0 0 0 0 0 0 0 0	-2 1 2 0 -1 1 0 1 1 1 -1 0 0 -1 -1 0 0	2O+4F+phi(w)
151	rational	10	1 1 -3 0 -1 0 0 1 2 0 0 2 -2 0 0 0 0	0 -1 -2 1 1 1 2 -1 -1 -1 1 0 0 -1 1 0 0	2O+4F+phi(w)
154	genus_one	8	0 1 -2 1 -1 0 0 1 0 0 0 0 0 0 0 0 0	1 1 -1 -2 1 -1 0 -1 -1 -1 1 0 0 1 1 0 0	2O+4F+phi(w)
155	genus_one	8	1 1 0 1 -1 0 0 1 0 -2 2 0 0 2 0 -2 0	0 -1 1 0 -1 -1 -2 1 1 1 -1 -2 0 3 1 -2 0	2O+4F+phi(w)
157	genus_one	8	1 2 -1 1 -1 0 0 1 0 -2 2 0 0 2 0 -2 0	0 0 1 -1 -1 -1 -2 1 1 1 -1 -2 0 3 1 -2 0	2O+4F+phi(w)
161	genus_one	8	1 0 0 0 -2 1 0 1 0 0 -2 0 0 0 0 0 0	2 0 -2 0 2 -1 1 -1 -1 -1 3 0 0 -1 -1 0 0	2O+4F+phi(w)
164	genus_one	8	0 0 1 0 0 -1 0 1 0 0 0 0 0 0 0 0 0	1 0 -2 1 0 -1 1 -1 -1 -1 1 0 0 1 1 0 0	2O+4F+phi(w)
165	genus_one	8	1 0 -1 0 0 1 -2 1 2 -2 0 0 0 0 0 0 0	0 0 0 1 0 1 1 -1 -1 1 1 0 0 -1 -1 0 0	2O+4F+phi(w)
167	rational	10	1 1 -1 0 0 -1 0 1 2 0 -2 2 0 0 -2 0 2	0 -1 0 1 -2 -1 1 1 1 1 1 -2 0 1 -1 -2 2	2O+4F+phi(w)
173	rational	10	1 0 1 -1 0 -1 0 1 0 0 0 0 0 0 0 -2 0	2 -2 -3 -1 0 -3 1 -1 -1 -1 3 -2 -2 5 3 -2 0	2O+4F+phi(w)
175	rational	10	1 1 1 -1 0 1 -2 1 0 -2 2 -2 0 2 2 -2 0	0 -1 -1 1 0 -1 1 -1 -1 1 1 -2 0 1 1 0 0	2O+4F+phi(w)
176	genus_one	8	2 0 -2 0 -1 -1 0 1 2 0 0 2 -2 0 0 0 0	1 -2 -2 2 0 1 2 -1 -1 -1 1 0 0 -1 1 0 0	2O+4F+phi(w)
177	genus_one	8	-1 -2 0 0 1 -1 0 -1 2 2 -2 2 0 -2 -2 2 0	0 0 0 0 0 1 0 -1 1 -1 1 2 0 -1 -1 0 0	2O+4F+phi(w)
179	rational	10	1 1 -2 0 -1 -1 0 1 2 0 0 2 -2 0 0 0 0	0 -1 -2 2 0 1 2 -1 -1 -1 1 0 0 -1 1 0 0	2O+4F+phi(w)
181	rational	10	-1 0 1 2 -1 -1 2 -1 -2 0 0 0 0 0 0 0 -2	0 2 2 -1 0 1 -2 1 1 -1 -1 2 0 -1 -1 0 -2	2O+4F+phi(w)
182	genus_one	8	2 1 -3 0 -1 -1 0 1 2 0 0 2 -2 0 0 0 0	1 -1 -2 1 0 1 2 -1 -1 -1 1 0 0 -1 1 0 0	2O+4F+phi(w)
183	genus_one	8	1 1 1 0 -1 1 0 1 -2 -2 2 -2 0 2 2 -2 0	0 -1 0 1 0 -1 0 1 -1 1 -1 -2 0 1 1 0 0	2O+4F+phi(w)
185	rational	10	-1 0 0 -1 -1 1 0 -1 0 2 -2 0 0 -2 0 2 0	0 2 -1 0 2 1 0 -1 -1 -1 1 2 0 -3 -1 2 0	2O+4F+phi(w)
186	rational	10	0 -1 0 1 -1 -1 2 -1 -2 2 0 0 0 0 2 0 -2	1 1 -1 -2 2 1 0 -1 -1 -3 1 2 0 -1 1 2 -2	2O+4F+phi(w)
187	rational	10	-1 -1 0 -1 1 -1 0 -1 2 2 -2 2 0 -2 -2 2 0	0 1 -1 0 0 1 0 -1 1 -1 1 2 0 -1 -1 0 0	2O+4F+phi(w)
188	genus_one	8	2 0 -3 1 -1 -1 0 1 2 0 0 2 -2 0 0 0 0	1 -2 -1 1 0 1 2 -1 -1 -1 1 0 0 -1 1 0 0	2O+4F+phi(w)
189	genus_one	8	-1 0 -1 1 -1 -1 2 1 0 0 0 0 0 0 0 0 0	0 0 -1 -1 0 -1 0 1 -1 -1 1 0 0 1 1 0 0	2O+4F+phi(w)
190	genus_one	8	2 1 -3 1 -1 -1 0 1 2 0 0 2 -2 0 0 0 0	1 -1 -1 1 0 1 2 -1 -1 -1 1 0 0 -1 1 0 0	2O+4F+phi(w)
191	genus_one	8	1 1 -3 1 -1 -1 0 1 2 0 0 2 -2 0 0 0 0	0 -1 -1 1 0 1 2 -1 -1 -1 1 0 0 -1 1 0 0	2O+4F+phi(w)
199	rational	10	1 1 1 0 0 0 1 -1 -2 0 0 0 0 0 0 -2 0	0 -1 2 -1 -1 -1 -1 2 1 1 -1 -2 -2 3 1 -2 0	2O+4F+phi(w)
200	rational	10	0 0 0 -1 0 0 1 1 0 0 0 0 0 0 0 -2 0	1 -2 -3 -2 1 -3 1 0 -1 -1 3 -2 -2 5 3 -2 0	2O+4F+phi(w)
201	rational	10	-3 -2 4 -3 4 0 1 -3 -2 2 0 -2 2 -2 0 0 0	-2 0 1 -2 -1 -1 -1 2 1 1 -1 0 -2 3 1 0 0	2O+4F+phi(w)
202	genus_one	8	2 1 0 1 -2 0 1 1 -2 0 0 0 0 2 2 -2 0	1 -1 -1 0 1 -1 1 0 -1 -1 1 -2 0 1 1 0 0	2O+4F+phi(w)
203	genus_one	8	-1 -1 0 -1 0 0 1 -1 0 2 -2 0 0 -2 0 2 0	0 1 -1 0 1 1 1 0 -1 -1 1 2 0 -3 -1 2 0	2O+4F+phi(w)
206	genus_one	8	-2 -1 3 -1 2 0 1 -1 -2 0 0 -2 2 0 0 0 0	-1 1 1 -1 -1 -1 -1 2 1 1 -1 0 0 1 -1 0 0	2O+4F+phi(w)
207	genus_one	8	1 -1 1 -1 2 0 -1 -1 0 0 0 0 0 0 0 0 0	0 -1 1 1 -1 1 1 0 1 1 -1 0 0 -1 -1 0 0	2O+4F+phi(w)
211	rational	10	1 -1 0 0 1 0 -1 -1 0 0 0 0 0 0 0 0 0	0 -1 2 0 -1 1 0 0 1 1 -1 0 0 -1 -1 0 0	2O+4F+phi(w)
213	genus_one	8	-1 0 1 2 -1 0 1 -1 -2 0 0 0 0 0 0 0 -2	0 2 2 -1 1 1 -2 0 1 -1 -1 2 0 -1 -1 0 -2	2O+4F+phi(w)
214	genus_one	8	2 1 -3 0 -1 0 -1 1 2 0 0 2 -2 0 0 0 0	1 -1 -2 1 1 1 2 -2 -1 -1 1 0 0 -1 1 0 0	2O+4F+phi(w)
215	genus_one	8	-1 1 -1 0 -1 0 1 1 0 0 0 0 0 0 0 0 0	0 1 -2 -1 1 -1 0 0 -1 -1 1 0 0 1 1 0 0	2O+4F+phi(w)
218	genus_one	8	0 -1 0 1 -1 0 1 1 0 0 0 0 0 0 0 0 0	1 -1 -1 0 1 -1 0 0 -1 -1 1 0 0 1 1 0 0	2O+4F+phi(w)
219	genus_one	8	-1 -1 0 1 -1 0 1 1 0 0 0 0 0 0 0 0 0	0 -1 -1 0 1 -1 0 0 -1 -1 1 0 0 1 1 0 0	2O+4F+phi(w)
227	genus_one	8	1 1 0 0 0 1 -1 -1 0 0 0 0 0 0 0 0 0	0 1 2 0 0 1 -1 0 1 1 -1 0 0 -1 -1 0 0	2O+4F+phi(w)
229	rational	10	1 0 -1 0 0 1 -1 1 0 -2 2 -2 0 2 2 0 0	0 0 0 1 0 1 1 0 -1 1 -1 0 2 -3 -1 2 0	2O+4F+phi(w)
230	genus_one	8	0 -1 -1 0 0 -1 1 1 0 0 0 0 0 0 0 0 0	1 -1 -2 -1 0 -1 1 0 -1 -1 1 0 0 1 1 0 0	2O+4F+phi(w)
231	genus_one	8	1 -1 -1 0 0 -1 1 1 0 0 0 0 0 0 0 0 0	2 -1 -2 -1 0 -1 1 0 -1 -1 1 0 0 1 1 0 0	2O+4F+phi(w)
232	rational	10	2 2 0 1 -2 -1 1 1 -2 0 0 0 0 2 2 -2 0	1 0 -1 0 0 -1 1 0 -1 -1 1 -2 0 1 1 0 0	2O+4F+phi(w)
239	rational	10	1 -1 1 -1 0 -1 1 1 0 0 0 0 0 0 0 -2 0	2 -3 -3 -1 0 -3 1 0 -1 -1 3 -2 -2 5 3 -2 0	2O+4F+phi(w)
241	rational	10	1 0 0 0 -1 1 -1 1 0 -2 2 -2 0 2 2 0 0	0 0 0 2 0 1 0 0 -1 1 -1 0 2 -3 -1 2 0	2O+4F+phi(w)
242	genus_one	8	2 1 -2 0 -1 -1 -1 1 2 0 0 2 -2 0 0 0 0	1 -1 -2 2 0 1 2 -2 -1 -1 1 0 0 -1 1 0 0	2O+4F+phi(w)
243	genus_one	8	1 -1 0 0 -1 -1 1 1 0 0 0 0 0 0 0 0 0	2 -1 -2 0 0 -1 0 0 -1 -1 1 0 0 1 1 0 0	2O+4F+phi(w)
244	genus_one	8	0 0 -1 2 -1 -1 1 1 0 0 0 0 0 0 0 0 0	1 0 0 -1 0 -1 0 0 -1 -1 1 0 0 1 1 0 0	2O+4F+phi(w)
245	genus_one	8	-1 0 -1 2 -1 -1 1 1 0 0 0 0 0 0 0 0 0	0 0 0 -1 0 -1 0 0 -1 -1 1 0 0 1 1 0 0	2O+4F+phi(w)
246	rational	10	0 1 -1 2 -1 -1 1 1 0 0 -2 2 0 0 -2 0 0	1 1 0 -1 0 -1 0 0 1 -1 1 0 0 1 -1 -2 0	2O+4F+phi(w)
247	rational	10	1 -1 -1 2 -1 -1 1 -1 0 0 0 2 0 0 0 0 -2	0 1 2 -1 0 3 -2 0 1 -1 -1 2 0 -1 -1 0 -2	2O+4F+phi(w)
251	rational	10	-1 -1 2 -1 1 1 1 -3 -2 2 -2 0 2 -2 0 0 0	-2 1 3 -2 0 1 -2 2 1 1 -1 0 -2 1 -1 0 0	2O+4F+phi(w)
253	genus_one	8	-1 0 1 -1 1 -1 1 -1 0 2 0 0 0 0 0 0 0	0 0 -1 -1 0 -1 0 0 1 -1 1 0 0 1 1 0 0	2O+4F+phi(w)
254	genus_one	8	0 1 -1 1 -1 -1 1 1 0 0 0 0 0 0 0 0 0	1 1 -1 -1 0 -1 0 0 -1 -1 1 0 0 1 1 0 0	2O+4F+phi(w)
255	genus_one	8	-1 1 -1 1 -1 -1 1 1 0 0 0 0 0 0 0 0 0	0 1 -1 -1 0 -1 0 0 -1 -1 1 0 0 1 1 0 0	2O+4F+phi(w)
262	genus_one	8	0 1 -1 0 0 0 0 0 1 0 0 0 0 0 0 0 0	0 1 0 -1 0 0 0 0 0 0 1 0 0 0 0 0 0	2O+4F+phi(w)
268	genus_one	8	2 2 -3 1 -2 0 0 0 1 0 0 2 -2 0 0 0 0	0 0 1 1 0 2 0 0 0 0 -1 0 0 -2 0 0 0	2O+4F+phi(w)
271	genus_one	8	1 -1 1 -1 0 0 0 0 1 0 0 0 0 0 0 0 0	1 -1 -1 1 0 0 0 0 0 0 1 0 0 0 0 0 0	2O+4F+phi(w)
273	genus_one	8	-1 0 0 0 1 0 0 0 1 0 0 0 0 0 -2 0 0	1 0 0 -2 0 -2 -1 0 2 0 1 0 0 2 0 -2 0	2O+4F+phi(w)
275	genus_one	8	-1 -1 0 2 -1 0 2 0 -1 0 0 0 0 0 0 0 -2	1 1 0 -2 2 0 -1 0 0 -2 1 2 0 0 0 0 -2	2O+4F+phi(w)
276	genus_one	8	-2 0 1 0 1 0 0 0 1 0 0 0 0 0 -2 0 0	0 0 0 -1 0 -2 -1 0 2 0 1 0 0 2 0 -2 0	2O+4F+phi(w)
278	genus_one	8	0 -1 -1 0 -1 0 0 2 1 0 0 0 0 0 0 0 0	2 -1 -4 -1 2 -2 1 -2 -2 -2 3 0 0 2 2 0 0	2O+4F+phi(w)
279	rational	10	-1 -1 1 0 1 0 0 -2 -1 2 -2 0 0 -2 0 2 0	-1 1 2 1 0 2 1 0 0 0 -1 2 0 -4 -2 2 0	2O+4F+phi(w)
281	genus_one	8	-1 2 0 1 -1 0 0 0 -1 0 0 0 0 0 0 0 0	-1 2 1 0 0 0 -1 0 0 0 -1 0 0 0 0 0 0	2O+4F+phi(w)
284	genus_one	8	0 0 -1 1 -1 0 0 0 1 0 0 0 0 0 0 0 0	0 0 1 -1 0 0 -1 0 0 0 1 0 0 0 0 0 0	2O+4F+phi(w)
285	rational	10	-1 0 1 -1 1 0 0 -2 -1 2 -2 0 0 -2 0 2 0	-1 2 1 1 0 2 1 0 0 0 -1 2 0 -4 -2 2 0	2O+4F+phi(w)
287	genus_one	8	1 1 -1 1 -1 0 0 2 1 -2 2 0 0 2 0 -2 0	1 -1 -1 -1 0 -2 -1 0 0 0 1 -2 0 4 2 -2 0	2O+4F+phi(w)
289	genus_one	8	1 0 0 0 0 -1 0 2 1 -2 2 0 0 2 0 -2 0	1 -2 -2 0 -1 -2 0 0 0 0 1 -2 0 4 2 -2 0	2O+4F+phi(w)
290	genus_one	8	2 1 0 0 0 -1 0 0 -1 0 2 0 0 2 2 -2 0	0 -1 0 0 -1 0 0 0 0 0 -1 -2 0 2 2 0 0	2O+4F+phi(w)
293	genus_one	8	1 0 -1 0 0 -1 0 0 1 0 0 0 0 0 0 0 0	1 0 0 -1 -1 0 0 0 0 0 1 0 0 0 0 0 0	2O+4F+phi(w)
294	genus_one	8	0 -1 1 0 0 -1 0 0 1 0 0 0 0 0 0 0 0	0 -1 0 1 -1 0 0 0 0 0 1 0 0 0 0 0 0	2O+4F+phi(w)
295	rational	10	-1 -1 1 0 0 1 0 -2 -1 0 0 0 0 -2 0 0 -2	-1 1 2 -1 1 2 -2 0 0 0 -1 2 -2 0 0 0 -2	2O+4F+phi(w)
297	genus_one	8	1 0 0 1 0 -1 0 2 1 -2 2 0 0 2 0 -2 0	1 -2 -1 0 -1 -2 0 0 0 0 1 -2 0 4 2 -2 0	2O+4F+phi(w)
299	genus_one	8	1 1 0 1 -2 1 0 0 -1 0 -2 0 0 0 0 0 0	1 1 1 0 1 0 0 0 0 0 1 0 0 -2 -2 0 0	2O+4F+phi(w)
301	genus_one	8	-1 0 1 1 0 -1 0 0 -1 0 0 0 0 0 0 0 0	-1 0 1 1 -1 0 0 0 0 0 -1 0 0 0 0 0 0	2O+4F+phi(w)
302	rational	10	-2 -1 3 -1 2 1 0 -2 -1 0 0 -2 2 0 0 0 0	-2 1 3 -1 -1 0 -2 2 2 2 -1 0 0 0 -2 0 0	2O+4F+phi(w)
303	genus_one	8	-1 1 -1 1 0 1 0 0 -1 0 0 0 0 0 0 0 0	-1 1 1 -1 1 0 0 0 0 0 -1 0 0 0 0 0 0	2O+4F+phi(w)
304	genus_one	8	0 0 0 0 -1 1 0 0 1 0 0 0 0 0 0 0 0	0 0 0 0 1 0 -1 0 0 0 1 0 0 0 0 0 0	2O+4F+phi(w)
305	rational	10	1 0 -2 2 -1 -1 0 0 1 0 0 2 -2 0 0 0 -2	1 0 0 0 1 2 1 -2 0 -2 1 2 0 -2 0 0 -2	2O+4F+phi(w)
