mask	representative
3461	1 0 1 2 2 -2 -4 1 -1 2 1 -3 -2 2 -2 0 -2
3461	1 0 1 0 2 -4 -4 1 -1 0 -1 -3 0 2 -2 -2 -2
3461	1 0 1 0 2 -2 -4 1 -1 0 -1 -3 0 2 -2 -2 -2
3465	1 0 0 1 2 0 -2 -1 -1 0 1 -1 0 0 -2 0 -2
3465	1 0 0 1 2 -2 -4 1 -1 2 1 -3 -2 2 -2 0 -2
3465	1 0 0 -1 2 0 -2 -1 -1 0 1 -1 0 0 -2 0 0
3465	3 -2 0 -1 2 -2 -2 1 -3 0 1 -1 0 0 -2 0 -2
3489	1 0 0 0 2 -1 -2 -1 -1 0 1 -1 0 0 -2 0 -2
3489	1 0 0 0 2 -3 -4 1 -1 0 -1 -3 0 2 -2 -2 -2
3489	3 -2 0 0 2 -1 -2 1 -3 0 1 -1 0 0 -2 0 -2
3489	1 0 2 0 2 -3 -4 1 -1 0 -1 -3 0 2 -2 -2 -2
3490	2 -1 0 0 2 -1 -2 -1 -1 0 1 -1 0 0 -2 0 -2
3490	0 1 2 4 4 -5 -10 3 -3 2 -1 -7 -2 4 -4 0 -4
3490	2 -1 0 0 2 -1 -2 1 -3 0 1 -1 0 0 -2 0 -2
3490	2 -1 0 0 2 1 0 -1 -1 -2 1 -1 0 -2 0 0 0
3508	0 2 3 4 3 -5 -10 3 -3 2 -1 -7 -2 4 -4 0 -4
3508	2 0 1 0 1 -3 -4 1 -1 0 -1 -3 0 2 -2 -2 -2
3508	0 0 1 0 1 -1 -2 -1 -1 0 1 -1 0 0 -2 0 0
3508	2 -2 -1 -2 1 1 2 -1 -1 -2 1 1 0 -2 0 0 0
3522	2 -1 0 0 2 0 -1 -1 -1 0 1 -1 0 0 -2 0 -2
3522	0 1 0 2 2 -2 -5 1 -1 2 1 -3 -2 2 -2 0 -2
3522	0 1 0 0 2 0 -3 -1 -1 0 1 -1 0 0 -2 0 0
3522	2 -1 0 0 2 -2 -3 1 -3 0 1 -1 0 0 -2 0 -2
3527	1 -1 1 0 2 0 -1 -1 -1 0 1 -1 0 0 -2 0 -2
3527	1 1 1 2 2 -2 -5 1 -1 2 1 -3 -2 2 -2 0 -2
3527	1 1 3 4 4 -6 -11 3 -5 2 -1 -7 -2 4 -4 0 -4
3527	1 1 1 0 2 -4 -5 1 -1 0 -1 -3 0 2 -2 -2 -2
3547	1 1 0 1 3 -2 -5 1 -1 2 1 -3 -2 2 -2 0 -2
3547	1 1 2 3 3 -4 -9 3 -3 2 -1 -5 -2 4 -4 0 -4
3547	1 -1 0 -1 1 -2 -1 1 1 0 -1 -1 0 2 0 -2 -2
3547	1 -1 0 -1 -1 2 3 -1 1 -2 1 1 0 -2 0 0 0
3641	1 0 0 1 3 -1 -4 0 -2 -1 1 -3 0 0 -2 0 -2
3641	3 -2 2 1 3 -1 -4 0 -4 -1 1 -3 0 0 -2 0 -2
3641	1 -2 -2 -3 -1 5 8 -4 2 -3 1 5 2 -4 2 0 2
3641	1 -2 0 -3 -1 3 6 -2 0 -3 1 3 2 -4 2 0 2
3647	1 -1 -1 -1 1 1 2 -2 0 -1 1 1 0 -2 0 0 0
3647	1 -1 -1 -1 -1 3 4 -2 2 -1 1 3 0 -2 0 0 0
3647	3 -1 1 1 3 -1 -4 0 -4 -1 1 -3 0 0 -2 0 -2
3647	1 -1 1 1 3 -1 -4 0 -2 -1 1 -3 0 0 -2 0 -2
3677	1 0 1 1 3 0 -3 0 -2 -1 1 -3 0 0 -2 0 -2
3677	1 0 1 1 3 -2 -5 0 -2 1 1 -3 0 2 -2 0 -2
3677	1 0 1 1 3 -2 -5 2 -2 1 1 -3 -2 2 -2 0 -2
3677	1 0 1 1 1 -2 -3 2 0 1 -1 -3 -2 2 -2 0 -2
3708	0 0 1 1 -1 -1 -1 2 0 1 -1 -1 0 0 0 0 0
3708	2 0 1 1 3 -5 -7 2 -2 1 -1 -5 0 4 -2 -2 -4
3708	0 0 1 1 1 -1 -3 0 0 1 -1 -1 0 2 -2 0 -2
3708	0 0 1 1 -1 -1 -1 2 0 1 -1 -1 -2 2 0 0 0
3724	2 0 1 1 2 -2 -4 1 -2 1 1 -3 -2 2 -2 0 -2
3724	2 -2 -1 -1 0 0 2 -1 0 -1 1 1 0 -2 0 0 0
3724	0 0 1 1 0 -2 -2 1 -2 1 -1 -1 0 2 0 0 0
3724	2 -2 -1 -3 0 2 4 -1 0 -1 1 3 0 -2 0 0 0
3729	1 0 2 2 3 -4 -8 3 -2 3 -1 -5 -2 4 -4 0 -4
3729	1 0 0 0 1 -2 -2 1 0 1 -1 -1 0 2 -2 -2 -2
3729	1 0 0 0 3 -2 -4 1 -2 1 1 -3 0 2 -2 0 -2
3729	1 0 0 0 1 -2 -2 1 0 -1 -1 -1 0 2 0 -2 -2
3730	2 -1 0 0 3 0 -2 -1 -2 -1 1 -1 0 0 -2 0 -2
3730	0 1 2 2 3 -4 -8 3 -2 3 -1 -5 -2 4 -4 0 -4
3730	0 1 0 0 1 0 -2 -1 0 1 1 -1 0 0 -2 0 0
3730	2 -1 0 0 1 -2 -2 1 -2 1 1 -1 0 0 -2 0 -2
3804	2 0 1 1 3 -2 -5 1 -2 1 1 -3 -2 2 -2 0 -2
3804	0 0 1 1 1 -2 -3 1 -2 1 -1 -1 0 2 0 0 0
3804	2 -2 -1 -1 1 2 3 -1 0 -1 1 1 0 -2 0 0 0
3804	2 -2 -1 -1 -1 2 3 -1 0 -1 1 3 0 -2 0 0 0
3844	0 0 1 0 0 -2 -2 2 -1 1 -1 -1 0 2 0 0 0
3844	2 -2 -1 -2 0 2 4 -2 1 -1 1 3 0 -2 0 0 0
3844	2 -2 1 0 2 0 -2 0 -3 -1 1 -1 0 0 -2 0 -2
3844	0 0 1 2 2 -2 -4 0 -1 1 -1 -3 0 2 -2 0 -2
3846	2 -1 1 0 4 -2 -4 0 -3 -1 1 -3 0 0 -2 0 -2
3846	2 -1 1 0 2 0 -2 0 -3 -1 1 -1 0 0 -2 0 -2
3846	2 -1 1 0 2 0 -2 0 -1 1 1 -1 0 0 -2 0 -2
3846	0 1 1 2 2 -2 -4 0 -1 1 -1 -3 0 2 -2 0 -2
3869	1 0 -1 -1 1 2 2 -2 1 -1 1 1 0 -2 0 0 0
3869	1 -2 -1 -1 -1 2 4 -2 1 -1 1 3 0 -2 0 0 0
3869	1 0 1 1 3 -4 -6 2 -1 1 -1 -5 0 4 -2 -2 -4
3869	1 0 1 1 3 -2 -4 0 -3 -1 1 -3 0 0 -2 0 -2
3885	1 0 -1 -1 0 1 2 -2 1 -1 1 1 0 -2 0 0 0
3885	1 -2 -1 -1 0 3 4 -2 1 -1 1 3 0 -2 0 0 0
3885	1 0 1 1 4 -1 -4 0 -3 -1 1 -3 0 0 -2 0 -2
3885	3 -2 1 -1 2 -1 -2 0 -3 -1 1 -1 0 0 -2 0 -2
3899	1 -1 0 1 1 -1 -2 0 -1 1 1 -1 0 0 -2 0 -2
3899	1 -1 0 -1 -1 3 4 -2 1 -1 1 3 0 -2 0 0 0
3899	1 -1 2 1 3 -1 -4 0 -3 -1 1 -3 0 0 -2 0 -2
3899	1 -1 0 -1 -1 1 2 0 -1 -1 1 1 0 -2 0 0 2
3907	1 -1 0 0 2 0 -1 0 -1 1 1 -1 0 0 -2 0 -2
3907	1 -1 0 0 0 2 3 -2 1 -1 1 1 0 -2 0 0 0
3907	1 -1 -2 -2 -2 2 5 0 1 -1 1 3 0 -2 2 0 2
3907	1 -1 0 0 2 0 -1 0 -1 -1 1 -1 0 0 0 0 -2
3955	1 -1 0 0 1 -1 -1 0 -1 1 1 -1 0 0 -2 0 -2
3955	1 -1 0 0 1 1 1 -2 -1 -1 1 1 0 -2 0 0 0
3955	1 -1 0 0 1 1 1 -2 -1 -1 1 1 2 -2 0 0 0
3955	1 -1 0 -2 -1 3 5 -2 -1 -3 1 3 2 -4 2 0 2
3959	3 -1 1 0 3 -1 -3 0 -3 -1 1 -3 0 0 -2 0 -2
3959	1 -1 1 0 1 -1 -1 0 -1 1 1 -1 0 0 -2 0 -2
3959	1 -1 -1 0 1 1 1 -2 -1 -1 1 1 2 -2 0 0 0
3959	1 1 1 2 3 -3 -7 2 -3 1 1 -5 -2 2 -2 0 -2
3978	0 1 0 1 2 -2 -4 1 -1 1 1 -3 -2 2 -2 0 -2
3978	0 1 2 3 2 -4 -8 3 -1 3 -1 -5 -2 4 -4 0 -4
3978	0 1 0 1 2 -4 -6 1 -1 1 -1 -3 0 4 -2 -2 -2
3978	0 1 2 1 0 -4 -4 3 -1 1 -3 -3 0 4 0 -2 -2
4014	2 -1 1 1 4 -1 -4 -1 -3 -1 1 -3 0 0 -2 0 -2
4014	0 1 1 1 2 -1 -4 1 -1 1 1 -3 -2 2 -2 0 -2
4014	0 1 1 1 2 -3 -4 1 -1 1 -1 -3 0 2 -2 -2 -2
4014	0 1 1 1 2 -3 -6 1 -1 1 -1 -3 0 4 -2 -2 -2
4020	0 0 1 2 1 1 -2 -1 -1 1 1 -1 -2 0 -2 2 0
4020	0 2 3 4 3 -5 -10 3 -3 3 -1 -7 -2 4 -4 0 -4
4020	0 0 1 0 1 -1 -2 -1 -1 1 1 -1 0 0 -2 0 0
4020	2 -2 -1 -2 1 1 2 -1 -1 -1 3 1 0 -2 0 0 0
4034	0 1 0 2 2 -2 -5 1 -1 1 1 -3 -2 2 -2 0 -2
4034	0 1 2 2 2 -4 -7 3 -1 3 -1 -5 -2 4 -4 0 -4
4034	0 1 0 0 2 -4 -5 1 -1 1 -1 -3 0 4 -2 -2 -2
4034	0 1 2 2 0 -4 -5 3 -1 1 -3 -3 0 4 0 -2 -2
4040	0 2 2 3 4 -6 -11 3 -3 3 -1 -7 -2 6 -4 0 -4
4040	0 0 2 1 0 0 -1 1 -1 -1 -1 -1 0 0 0 0 0
4040	0 0 0 1 0 -2 -1 1 1 1 -1 -1 0 2 0 -2 -2
4040	2 -2 0 -1 0 0 1 -1 -1 -1 1 1 0 -2 0 0 0
4060	2 0 1 1 3 -2 -5 1 -3 1 1 -3 -2 2 -2 0 -2
4060	2 -2 -1 -3 -1 2 5 -1 -1 -3 1 3 2 -4 2 0 2
4060	0 0 1 1 1 -2 -3 3 -1 1 -1 -3 0 2 0 0 -2
4060	0 2 1 1 3 -4 -7 1 -1 1 -1 -5 0 4 -2 -2 -2
4110	2 -1 1 1 2 0 -2 0 -2 0 2 -2 -1 0 -2 0 -2
4110	0 1 1 1 2 -2 -4 0 0 2 0 -2 -1 2 -2 0 -2
4110	2 -1 -1 -1 2 0 0 -2 -2 -2 2 0 1 -2 0 0 0
4110	0 1 1 1 2 -4 -6 2 0 2 -2 -4 -1 4 -2 -2 -2
4123	1 1 2 3 5 -4 -10 2 -4 2 0 -6 -1 4 -4 0 -4
4123	1 -1 0 -1 1 2 2 -2 0 -2 2 0 1 -2 0 0 0
4123	1 -1 0 -1 1 2 2 -2 0 -2 0 2 1 -2 0 0 0
4123	1 -1 0 -1 1 0 0 0 0 0 0 0 1 0 0 0 -2
4174	2 -1 1 1 2 0 -3 0 -2 0 2 -2 -1 0 -2 0 -2
4174	2 -1 1 1 2 -2 -3 0 -2 0 0 -2 -1 0 -2 0 -2
4174	0 1 1 1 2 -4 -5 2 0 2 -2 -4 -1 4 -2 -2 -2
4174	0 1 1 1 0 -4 -5 2 0 2 -2 -2 -1 4 -2 -2 -2
4325	1 0 1 0 2 -1 -3 -1 -2 0 2 -2 -1 0 -2 0 0
4325	1 0 1 2 2 -1 -3 1 -2 0 0 -2 -1 0 -2 0 -2
4325	1 0 1 2 2 -3 -5 1 -2 0 0 -4 -1 2 -2 0 -2
4325	1 0 1 2 4 -3 -7 1 -4 0 0 -4 -1 2 -2 0 -2
4341	3 -2 1 0 3 -1 -3 1 -4 0 2 -2 -1 0 -2 0 -2
4341	1 0 1 0 1 -3 -3 3 -2 0 -2 -2 1 2 0 -2 -2
4341	1 0 1 2 1 -1 -3 1 -2 0 0 -2 -1 0 -2 0 -2
4341	1 0 1 0 3 -3 -5 1 -2 0 0 -4 -1 2 -2 0 -2
4374	0 1 1 2 3 -2 -6 0 -1 0 0 -4 -1 2 -2 0 -2
4374	0 1 1 2 1 -2 -4 0 -1 2 0 -2 -1 2 -2 0 -2
4374	2 -1 -1 -2 1 2 2 -2 -1 -2 2 2 1 -2 0 0 0
4374	2 -1 1 0 3 -2 -4 0 -3 0 0 -2 1 0 -2 0 -2
4375	1 -1 1 0 1 2 0 -2 -1 0 2 0 -1 -2 -2 2 0
4375	3 -3 -1 -2 1 2 4 -2 -1 -2 2 2 1 -4 0 0 0
4375	1 -1 -1 -2 1 2 2 -2 -1 -2 2 2 1 -2 0 0 0
4375	1 -1 1 0 -1 0 0 2 -1 0 0 0 -1 0 0 0 0
4403	1 -1 0 0 1 1 0 -2 -1 0 2 0 -1 -2 -2 2 0
4403	3 -3 0 -2 1 3 4 -2 -1 -2 2 2 1 -4 0 0 0
4403	1 -1 0 0 1 1 0 -2 -1 -2 2 0 1 -2 0 0 0
4403	1 -1 0 0 -1 -1 0 2 -1 0 0 0 -1 0 0 0 0
4517	3 -2 1 0 2 -1 -2 1 -3 0 2 -2 -1 0 -2 0 -2
4517	1 0 1 0 0 -3 -2 3 -1 0 -2 -2 1 2 0 -2 -2
4517	1 0 1 2 2 -5 -6 3 -1 2 -2 -4 -1 4 -2 -2 -4
4517	1 0 1 0 2 -1 -2 1 -1 0 0 -2 -1 0 -2 0 -2
4536	0 2 2 3 5 -7 -12 3 -3 2 -2 -8 -1 6 -4 -2 -4
4536	0 0 0 1 1 -3 -4 1 -1 2 0 -2 -1 2 -2 0 -2
4536	0 0 0 1 1 -1 -2 1 1 2 0 -2 -1 2 -2 0 -2
4536	0 0 0 1 1 1 0 -1 1 0 0 0 -1 0 0 0 0
4604	0 0 1 1 -1 -1 -1 1 -1 0 -2 0 1 0 0 0 0
4604	2 0 1 1 1 -1 -3 1 -1 0 0 -2 -1 0 -2 0 -2
4604	0 2 1 3 3 -5 -9 3 -1 2 -2 -6 -1 6 -2 -2 -4
4604	2 0 1 1 3 -3 -5 1 -3 0 0 -4 -1 2 -2 0 -2
4612	0 0 1 2 2 -2 -4 0 -2 1 0 -2 -1 2 -2 0 -2
4612	2 0 3 2 4 -4 -8 2 -4 1 0 -6 -1 2 -4 0 -4
4612	2 -2 -1 -2 0 2 4 -2 0 -1 2 2 1 -2 0 0 0
4612	0 2 1 0 2 -4 -6 2 0 1 -2 -4 -1 4 -2 -2 -2
4619	1 -1 0 -1 -2 2 4 0 0 -1 0 2 1 -2 2 0 2
4619	1 -1 0 -1 0 2 2 -2 0 -1 2 2 1 -2 0 0 0
4619	1 -1 0 -1 0 2 2 -2 0 -1 0 2 1 -2 0 0 0
4619	1 1 0 1 2 -4 -6 2 -2 1 0 -4 -1 2 -2 0 -2
4625	1 0 0 0 -1 0 0 2 0 1 0 0 -1 0 0 0 0
4625	1 -2 0 0 -1 2 4 0 0 -1 0 2 1 -2 2 0 0
4625	1 0 0 0 3 -2 -4 2 -2 1 0 -2 -1 2 -2 0 -2
4625	1 -2 -2 -2 -1 4 6 -2 0 -1 2 4 1 -4 2 2 2
4675	1 -1 0 -2 0 2 3 -2 0 -1 2 2 1 -2 0 0 0
4675	1 -1 0 0 0 2 3 -2 0 -1 0 2 1 -2 0 0 0
4675	1 -1 0 0 2 0 -1 0 -2 -1 0 0 1 0 0 0 -2
4675	1 1 2 2 4 -4 -9 2 -4 1 0 -6 -1 2 -4 0 -2
4686	0 1 1 1 2 0 -3 0 0 1 0 -2 -1 2 -2 0 -2
4686	0 1 1 1 0 -2 -3 2 0 1 -2 -2 -1 2 0 0 0
4686	0 1 1 1 0 -2 -3 2 -2 1 0 -2 -1 2 0 0 0
4686	0 1 1 1 2 -4 -5 2 0 1 -2 -4 -1 4 -2 -2 -2
4696	0 0 0 1 1 -2 -3 0 0 1 0 -2 -1 2 -2 0 -2
4696	2 0 2 3 5 -4 -9 2 -4 1 0 -6 -1 2 -4 0 -4
4696	2 -2 0 -1 1 0 1 0 0 -1 0 0 1 0 0 -2 -2
4696	0 0 0 1 1 -2 -3 2 -2 1 0 -2 -1 2 0 0 0
4700	0 0 1 1 1 -2 -3 0 0 1 0 -2 -1 2 -2 0 -2
4700	2 -2 -1 -3 1 2 3 -2 0 -1 2 2 1 -2 0 0 0
4700	0 0 1 1 1 -2 -3 2 -2 1 0 -2 -1 2 0 0 0
4700	0 2 1 1 1 -4 -5 2 0 1 -2 -4 -1 4 -2 -2 -2
4767	1 -1 -1 -1 1 2 2 -3 0 -1 2 2 1 -2 0 0 0
4767	1 1 1 1 3 -4 -6 1 -2 1 0 -4 -1 2 -2 0 -2
4767	1 1 1 1 3 -2 -6 1 -2 1 0 -4 -1 2 -2 0 -2
4767	1 -1 -1 -3 -3 2 6 -1 2 -1 0 4 1 -2 2 0 2
4793	1 0 0 1 1 -1 -2 1 0 1 0 -2 -1 0 -2 0 -2
4793	1 0 0 1 1 -3 -4 1 -2 1 0 -2 -1 2 -2 0 -2
4793	1 0 0 1 3 -1 -4 1 -2 1 0 -2 -1 2 -2 0 -2
4793	1 0 2 3 3 -3 -6 1 -4 1 0 -4 -1 2 -2 0 -2
4796	0 0 1 1 1 -1 -2 1 -2 -1 0 -2 1 0 0 0 0
4796	2 0 1 1 3 -5 -6 3 -2 1 -2 -4 -1 4 -2 -2 -4
4796	0 0 1 1 1 -1 -2 1 0 1 0 -2 -1 0 -2 0 -2
4796	2 0 1 1 3 -3 -6 1 -2 1 0 -4 -1 2 -2 0 -2
4828	2 0 1 1 1 -2 -3 1 -2 1 0 -2 -1 0 -2 0 -2
4828	0 2 1 3 3 -2 -7 1 -2 1 0 -4 -1 2 -2 0 -2
4828	2 0 1 1 3 -2 -5 1 -2 1 0 -4 -1 2 -2 0 -2
4828	0 0 1 3 3 -2 -5 1 -2 1 0 -4 -1 2 -2 0 -2
4846	2 -1 1 1 2 -1 -3 1 -2 1 2 -2 -1 0 -2 0 -2
4846	2 -1 1 1 2 -1 -3 1 -2 -1 0 -2 -1 0 -2 0 -2
4846	2 -1 1 1 2 -1 -3 1 -2 1 0 -2 -1 0 -2 0 -2
4846	0 1 1 1 2 -5 -7 3 0 3 -2 -4 -1 6 -2 -2 -4
4868	0 0 1 2 2 -2 -4 0 -1 1 0 -2 -1 2 -2 0 -2
4868	2 -2 -1 -2 2 2 2 -2 -1 -1 2 2 1 -2 0 0 0
4868	0 0 1 0 0 -2 -2 2 -1 1 0 -2 -1 2 0 0 0
4868	0 2 3 4 4 -6 -12 4 -3 3 -2 -8 -3 6 -4 0 -4
4911	1 1 1 1 2 -1 -4 0 -1 1 0 -2 -1 2 -2 0 -2
4911	1 -1 -1 -1 0 1 2 -2 -1 -1 2 2 1 -2 0 0 0
4911	1 -1 -1 -1 0 1 2 -2 1 -1 0 2 1 -2 0 0 0
4911	1 1 1 1 2 -5 -6 2 -1 1 -2 -4 -1 4 -2 -2 -2
4936	0 0 0 1 2 -2 -3 0 -1 1 0 -2 -1 2 -2 0 -2
4936	2 -2 0 -1 0 2 3 -2 -1 -1 2 2 1 -2 0 0 0
4936	0 0 0 1 0 -2 -3 2 -1 1 0 -2 -1 2 0 0 0
4936	0 2 2 1 2 -4 -7 2 -1 1 -2 -4 -1 4 -2 -2 -2
4947	1 -1 -2 -2 1 2 3 -2 1 -1 2 2 1 -2 0 0 0
4947	1 -1 0 0 1 2 1 -2 -1 -1 2 0 1 -2 0 0 0
4947	1 -1 0 0 -1 2 3 -2 1 -1 0 2 1 -2 0 0 0
4947	1 -1 0 0 1 0 -1 0 -1 -1 0 0 1 0 0 0 -2
4980	0 0 1 2 1 -1 -3 0 -1 1 0 -2 -1 2 -2 0 -2
4980	2 -2 -1 -2 1 1 3 -2 -1 -1 2 2 1 -2 0 0 0
4980	2 -2 1 0 3 -1 -3 0 -3 -1 0 -2 1 0 -2 0 -2
4980	0 2 1 2 1 -5 -7 2 -1 1 -2 -4 -1 4 -2 -2 -2
5003	1 -1 0 1 2 -2 -4 1 -1 1 0 -2 -1 2 -2 0 -2
5003	1 -1 0 -1 -2 2 4 -1 1 -1 0 2 1 -2 2 0 2
5003	1 1 0 1 2 -2 -4 1 -1 1 0 -2 -1 2 -2 0 -2
5003	1 -1 0 -1 0 0 0 1 -1 -1 0 0 1 0 0 0 0
5023	1 1 1 1 3 -4 -6 3 -1 1 -2 -4 -1 4 -2 -2 -4
5023	1 -1 1 1 1 -2 -2 1 -1 1 0 -2 -1 0 -2 0 -2
5023	1 1 1 1 3 -4 -6 1 -3 1 0 -4 -1 2 -2 0 -2
5023	1 1 1 3 3 -2 -6 1 -3 1 0 -4 -1 2 -2 0 -2
5024	2 0 0 0 2 -3 -4 1 -1 1 0 -2 -1 2 -2 -2 -2
5024	0 2 0 2 2 -3 -6 1 -1 1 0 -4 -1 2 -2 0 -2
5024	0 0 0 0 2 -3 -4 1 -1 1 0 -2 -1 2 -2 0 -2
5024	0 0 0 2 2 -1 -4 1 -1 1 0 -2 -1 2 -2 0 -2
5105	1 0 2 2 3 -3 -7 1 -3 1 0 -4 -1 2 -4 0 -2
5105	1 0 0 0 1 -3 -3 1 -1 1 0 -2 -1 2 -2 0 -2
5105	1 0 0 0 3 -1 -3 1 -1 1 0 -2 -1 2 -2 0 -2
5105	1 0 0 0 1 1 -1 -1 -1 1 2 0 -1 -2 -2 2 0
5113	1 0 2 1 3 -3 -7 1 -3 1 0 -4 -1 2 -4 0 -2
5113	1 0 0 1 3 -3 -5 1 -1 1 0 -4 -1 2 -2 0 -2
5113	1 0 0 1 3 -3 -5 1 -3 1 0 -2 -1 2 -2 0 -2
5113	1 0 0 1 1 -1 -3 1 -1 1 0 -2 -1 2 -2 0 -2
5157	1 0 1 2 2 -1 -4 0 -2 0 1 -2 -1 0 -2 0 -2
5157	3 -2 1 0 2 -1 -2 0 -2 0 1 -2 -1 0 -2 0 -2
5157	1 0 1 0 2 -3 -4 0 -2 0 -1 -2 1 2 -2 -2 -2
5157	1 -2 -1 -2 0 5 6 -4 0 -2 3 4 1 -6 0 2 2
5159	3 -1 1 0 2 -1 -2 0 -2 0 1 -2 -1 0 -2 0 -2
5159	1 -1 -1 -2 0 1 2 -2 0 -2 1 2 1 -2 0 0 0
5159	1 -1 -1 0 0 1 2 -2 0 0 1 2 1 -2 0 0 0
5159	1 -1 1 0 2 -1 -2 0 -2 0 1 -2 1 0 -2 0 -2
5161	1 -2 0 -1 0 3 4 -2 0 -2 1 2 1 -2 0 0 0
5161	1 -2 0 -1 -2 5 6 -2 0 -2 1 4 1 -4 2 2 2
5161	1 0 0 1 2 -1 -4 0 -2 0 1 -2 -1 0 -2 0 0
5161	1 0 0 1 2 -3 -4 2 -2 2 -1 -2 -1 2 -2 0 -2
5201	1 0 0 0 1 2 1 -2 0 -2 1 0 1 -2 0 0 0
5201	1 -2 0 -2 1 2 3 -2 0 -2 1 2 1 -2 0 0 0
5201	1 0 0 0 1 -2 -3 0 -2 0 1 -2 -1 0 -2 0 0
5201	1 0 0 0 1 -2 -3 2 0 2 -1 -2 -1 2 -2 0 -2
5226	2 -1 0 1 2 -1 -3 0 -2 0 1 -2 -1 0 -2 0 -2
5226	0 1 0 1 2 -1 -3 0 0 2 1 -2 -1 2 -2 0 -2
5226	2 -1 2 1 2 -1 -3 0 -2 0 1 -2 -1 0 -2 0 -2
5226	2 -1 0 -1 2 1 1 -2 -2 -2 1 0 1 -2 0 0 0
5232	2 0 0 0 3 -1 -3 0 -2 0 1 -2 -1 0 -2 0 -2
5232	0 0 0 0 1 -1 -1 0 0 0 -1 0 1 2 0 -2 -2
5232	2 -2 0 0 1 1 1 -2 -2 -2 1 0 1 -2 0 0 0
5232	0 0 0 0 1 1 1 -2 0 -2 1 0 1 -2 0 0 0
5234	2 -1 0 0 3 -1 -3 0 -2 0 1 -2 -1 0 -2 0 -2
5234	2 -1 0 0 3 -1 -3 0 -2 0 1 -2 1 0 -2 0 -2
5234	2 -1 0 0 1 1 1 -2 -2 -2 1 0 1 -2 0 0 0
5234	0 1 0 0 -1 -1 -1 2 0 2 -1 0 -1 2 0 0 0
5250	0 1 0 0 2 0 -2 -1 0 0 1 -2 -1 0 -2 0 0
5250	2 1 2 2 4 -6 -10 3 -4 2 -1 -6 -1 4 -4 -2 -4
5250	2 -1 0 0 2 -2 -2 1 -2 0 1 -2 -1 0 -2 0 -2
5250	0 1 0 0 2 -2 -4 1 0 2 1 -2 -1 2 -2 0 -2
5277	1 0 -1 -1 1 0 0 -1 0 0 1 0 -1 0 0 0 0
5277	1 0 1 1 3 -2 -4 1 -2 0 1 -4 -1 0 -2 0 -2
5277	3 -2 1 1 3 -2 -4 1 -4 0 1 -2 -1 0 -2 0 -2
5277	1 0 1 1 3 -2 -6 1 -2 0 1 -4 -1 2 -2 0 -2
5289	1 0 0 1 2 -3 -4 1 -2 2 1 -2 -1 2 -2 0 -2
5289	1 0 0 1 2 1 -2 -1 -2 0 3 -2 -1 -2 -2 2 0
5289	1 0 2 3 4 -5 -10 3 -4 2 -1 -6 -1 4 -4 0 -4
5289	1 0 0 1 0 1 0 -1 0 0 1 0 -1 0 0 0 0
5293	1 0 1 1 2 -1 -4 -1 -2 0 1 -2 -1 0 -2 0 0
5293	1 0 1 1 2 -1 -4 1 -2 0 1 -2 -1 0 -2 0 -2
5293	3 -2 1 -1 2 -1 -2 1 -2 0 1 -2 -1 0 -2 0 -2
5293	1 0 1 1 4 -3 -6 1 -4 0 1 -4 -1 2 -2 0 -2
5315	3 -1 0 0 2 -2 -3 1 -2 0 1 -2 -1 0 -2 0 -2
5315	1 -1 0 0 2 2 -1 -1 -2 0 3 0 -1 -2 -2 2 0
5315	1 -1 0 0 0 0 1 -1 0 0 1 0 -1 0 0 0 0
5315	1 -1 0 0 0 -2 -1 1 -2 0 -1 0 1 0 0 0 0
5381	1 0 1 0 2 0 -2 0 -1 0 1 -2 -1 0 -2 0 -2
5381	1 0 1 2 4 -2 -6 0 -3 0 1 -4 -1 2 -2 0 -2
5381	1 0 1 0 2 -2 -4 0 -1 0 -1 -2 1 2 -2 -2 -2
5381	1 -2 -1 -2 0 2 4 -2 1 -2 1 2 1 -2 0 0 0
5386	2 -1 0 1 2 0 -2 0 -1 0 1 -2 -1 0 -2 0 -2
5386	0 1 0 1 2 -2 -4 0 -1 2 1 -2 -1 2 -2 0 -2
5386	2 -1 0 -1 0 2 2 -2 -1 -2 1 2 1 -2 0 0 0
5386	0 1 0 1 2 -2 -4 2 -1 2 -1 -2 -1 2 -2 0 -2
5424	0 0 0 0 1 1 0 -2 -1 -2 1 0 1 -2 0 0 0
5424	2 -2 0 -2 1 1 2 -2 -1 -2 1 2 1 -2 0 0 0
5424	0 0 0 0 1 -1 -2 0 -1 0 1 -2 -1 0 -2 0 0
5424	0 0 0 2 1 -3 -4 2 -1 2 -1 -2 -1 2 -2 0 -2
5446	2 -1 1 0 2 0 -1 0 -1 0 1 -2 -1 0 -2 0 -2
5446	0 1 1 2 0 -2 -3 2 -1 2 -1 -2 -1 2 0 0 0
5446	0 1 1 0 0 -2 -3 2 -1 0 -1 -2 -1 2 0 0 0
5446	2 -1 1 0 2 -2 -3 0 -3 0 1 -2 1 0 -2 0 -2
5486	2 -1 1 1 2 -1 -3 0 -3 0 1 -2 -1 0 -2 0 -2
5486	2 -1 1 1 2 -1 -3 0 -1 0 1 -2 -1 0 -2 0 -2
5486	2 -1 -1 -1 2 1 1 -2 -1 -2 1 0 1 -2 0 0 0
5486	0 1 1 1 0 -3 -3 2 -1 2 -1 -2 -1 2 0 0 0
5516	0 0 1 1 2 0 -2 -1 -1 0 1 -2 -1 0 -2 0 0
