mask	representative
123312	2 0 2 2 3 -3 -6 1 -3 0 0 -4 0 1 -3 -1 -3
123312	2 -2 0 0 1 1 0 -1 -1 0 2 0 0 -1 -1 1 -1
123312	0 0 0 0 1 1 0 -1 -1 0 2 0 0 -1 -1 1 -1
1575	1 -1 -1 0 0 1 2 -2 0 -1 1 2 0 -2 0 0 0
1575	1 -1 -1 -2 0 3 4 -2 2 -1 1 2 0 -2 0 0 0
1575	1 1 1 2 4 -5 -8 2 -2 1 -1 -6 0 4 -2 -2 -4
1575	1 -1 1 0 2 -1 -2 0 -2 -1 1 -2 0 0 -2 0 -2
3903	1 -1 -1 -1 1 1 2 -2 1 -1 1 1 0 -2 0 0 0
3903	1 -1 -1 -1 -1 3 4 -2 1 -1 1 3 0 -2 0 0 0
3903	1 -1 1 1 3 -1 -4 0 -3 -1 1 -3 0 0 -2 0 -2
3903	3 -1 1 1 3 -1 -4 0 -3 -1 1 -3 0 0 -2 0 -2
7127	1 -1 1 0 1 0 -1 1 -3 -1 0 -1 1 0 0 0 0
7127	1 1 1 2 3 -4 -7 3 -1 1 -2 -5 -1 4 -2 -2 -4
7127	1 1 1 2 3 -4 -7 1 -3 1 0 -5 -1 2 -2 0 -2
7127	1 -1 -1 -2 -1 2 5 -1 1 -1 0 3 1 -2 2 0 2
7454	2 -1 1 1 3 -2 -4 0 -3 0 1 -3 -1 0 -2 0 -2
7454	2 -1 1 1 1 0 -2 0 -1 0 1 -1 -1 0 -2 0 -2
7454	2 -1 -1 -1 1 2 2 -2 -1 -2 1 1 1 -2 0 0 0
7454	0 1 1 1 -1 -2 -2 2 -1 2 -1 -1 -1 2 0 0 0
29691	1 -1 0 -1 1 1 1 -1 -1 -1 2 0 -1 -1 -1 0 0
29691	1 -1 0 -1 1 1 1 1 -1 -1 0 0 1 -1 1 0 0
29691	1 -1 0 -1 -1 -1 1 1 -1 -1 0 0 1 -1 1 0 0
29691	1 1 2 3 3 -5 -9 3 -3 1 -2 -6 -1 5 -3 -2 -4
34989	1 0 -1 -1 0 -1 0 -1 0 0 0 1 0 0 0 -1 0
34989	1 0 1 1 0 -1 -2 1 -2 0 0 -1 0 0 0 1 0
34989	1 0 -1 -1 0 1 2 -1 2 0 0 1 0 0 0 -1 0
34989	1 -2 -1 -1 0 3 4 -3 0 -2 2 3 0 -4 0 1 2
37067	1 1 2 1 2 -2 -5 1 -2 0 0 -4 -1 2 -2 -1 -2
37067	1 -1 0 1 0 2 1 -1 0 0 2 0 -1 -2 0 1 0
37067	1 -1 0 -1 0 2 3 -1 0 0 2 2 -1 -2 0 1 0
37067	1 -1 0 -1 0 0 1 1 0 0 0 0 1 0 0 -1 0
39395	1 1 0 0 2 -3 -5 1 -1 0 0 -3 -1 2 -2 -1 -2
39395	1 1 0 2 2 -3 -5 1 -1 2 0 -3 -1 2 -2 -1 -2
39395	1 -1 0 0 2 1 -1 -1 -1 0 2 -1 -1 -2 -2 1 0
39395	1 -1 0 0 0 1 1 -1 -1 0 2 1 -1 -2 -2 1 0
42459	1 1 2 3 5 -6 -11 3 -3 2 -1 -8 -2 5 -4 -1 -4
42459	1 1 2 3 3 -2 -7 1 -3 2 1 -4 -2 1 -4 1 -2
42459	3 -1 0 -1 3 -2 -3 1 -3 0 1 -2 0 1 -2 -1 -2
42459	1 -1 0 -1 -1 2 3 -1 -1 -2 1 2 0 -3 2 1 2
52676	0 0 1 2 2 -2 -5 1 -1 2 1 -3 -2 2 -3 1 -2
52676	0 0 1 2 0 0 -1 1 -1 0 -1 -1 0 0 1 1 0
52676	0 0 1 0 0 -2 -1 1 -1 0 -1 -1 0 2 1 -1 0
52676	0 0 1 0 -2 0 1 1 1 0 -1 1 0 0 1 -1 0
