i	j	c0	c1	c2
0	1	1	0	1
0	2	-1.9630222843296166	1	-2.012076503351623
0	3	0.14125473917059816	-0.39071822804963263	0.16099951572333071
0	4	0.062701784684199888	-0.31342874164394735	0.14367880130415767
0	5	0.023043704885284039	-0.12063020793880559	0.075873603456961508
0	6	0.14125473917059791	-0.39071822804963169	0.16099951572333063
0	7	0.00033596055932195518	0.15314155000859175	0.012015784303333259
0	8	0.14125473917059761	-0.3907182280496308	0.16099951572333004
1	2	-0.67227488521500645	0.16041613419189607	-0.68133074326880827
1	3	0.13711950707185216	-0.37451321325786241	0.15452666723821618
1	4	0.056692400743466632	-0.29537971940190944	0.1367927073969521
1	5	0.014942286375768324	-0.095363268923533931	0.066544632119386729
1	6	0.13711950707185197	-0.37451321325786169	0.15452666723821609
1	7	-0.015676968655858575	0.2151871673179736	-0.0070145363265288075
1	8	0.13711950707185158	-0.37451321325786052	0.15452666723821545
2	3	0.14383955542409393	-0.40084752300132565	0.16504550965334813
2	4	0.066414355138788655	-0.32466765167713824	0.14797346199126743
2	5	0.027979487659087341	-0.13613098023739453	0.081612571067133308
2	6	0.14383955542409368	-0.40084752300132465	0.16504550965334805
2	7	0.0094507555968982894	0.1178105548489268	0.022965475632186094
2	8	0.14383955542409338	-0.40084752300132376	0.16504550965334749
3	4	0.03620406872713177	-0.30470165123228549	0.11677545517115558
3	5	-0.013870115143314593	-0.1084725470539489	0.038394702296965073
3	6	-0.11350233322985115	0.2994873658019726	-0.31148607793378985
3	7	-0.088058493735930443	0.18225448924357002	-0.077731822773281653
3	8	-0.079039712965274234	-0.0074396596272179221	-0.049420383527295685
4	5	0.2645151241661568	-0.38238015892966826	0.099777896094295035
4	6	-0.036204068727133304	0.30470165123229115	-0.11677545517115963
4	7	0.024122628105529804	0.071877720499101613	-0.052996188227864817
4	8	-0.036204068727133491	0.30470165123229459	-0.11677545517116623
5	6	0.013870115143313591	0.10847254705395107	-0.038394702296965948
5	7	0.11491491590008814	-0.28149821096054811	0.068433015099455485
5	8	0.013870115143313594	0.10847254705395337	-0.038394702296967433
6	7	-0.088058493735929819	0.18225448924356891	-0.077731822773281306
6	8	0.18221064924299554	-0.33814944786523227	0.011653591081829661
7	8	0.088058493735929722	-0.18225448924356771	0.077731822773280682
