i	j	c0	c1	c2
0	1	-1	0	1
0	2	0.46905288573006171	1	0.058428882609390977
0	3	1.0747331407497016e-07	-5.3898114818562267e-07	-6.4246329180723116e-08
0	4	-1.6842072196842067e-07	-6.3695391439229929e-07	2.2843838048394439e-07
0	5	-2.0144540407025889e-07	-6.2117983664356083e-08	-1.96416048491031e-07
0	6	1.5393929506906383e-07	-3.724843919895652e-07	4.9483567243035007e-08
0	7	-1.3187644209100257e-07	-2.1074810821665625e-07	1.0949055565337727e-07
0	8	5.1119601606998334e-08	-2.9320250643700927e-07	-2.5252701470130672e-07
1	2	0.4690528857300546	1.0000000000000011	0.058428882609390789
1	3	1.0747332432587967e-07	-5.3898113707955484e-07	-6.4246334065354441e-08
1	4	-1.6842071930187067e-07	-6.3695393770460476e-07	2.284383786765183e-07
1	5	-2.0144540500280977e-07	-6.2117979431707035e-08	-1.9641604084703683e-07
1	6	1.5393929575363261e-07	-3.72484389350228e-07	4.9483568541881449e-08
1	7	-1.3187643897776537e-07	-2.1074810935064207e-07	1.0949055965249981e-07
1	8	5.1119606467065141e-08	-2.9320250115788347e-07	-2.5252701002680791e-07
2	3	-0.46905288573003895	-0.99999999999999833	-0.058428882609394966
2	4	-0.46905288573003323	-1.0000000000000455	-0.058428882609392489
2	5	-0.46905288573003795	-0.99999999999998457	-0.058428882609405472
2	6	-0.46905288573000814	-1.0000000000000393	-0.058428882609384412
2	7	-0.46905288573004911	-0.99999999999999212	-0.058428882609389006
2	8	-0.46905288573003384	-0.99999999999994216	-0.058428882609433241
3	4	-1.2950464271385458e-07	3.1901616287625247e-07	3.9712946860989002e-07
3	5	-1.7371220488855547e-07	1.1873797974136748e-07	-1.0160620923914981e-07
3	6	1.0779416537632251e-07	-3.0313367907117088e-07	8.2232373324078797e-08
3	7	-2.0667252708847176e-07	-2.3113568802821572e-07	5.9408115049844804e-08
3	8	2.2226484115813551e-07	-5.5994928177611205e-08	-2.8908665232613647e-07
4	5	3.9576493829361959e-08	1.3763432612808003e-07	-2.0506199824868284e-07
4	6	1.9626209095264848e-07	-2.8393163893270158e-07	3.9476562635792753e-10
4	7	-1.4390106993440619e-07	-7.2419751121123798e-08	8.5825815782164488e-09
4	8	5.3435376948741993e-08	-2.1085509647523273e-07	-2.7043961837984332e-07
5	6	2.9286756464873688e-07	-1.0164769812500099e-07	6.1342085376419627e-08
5	7	5.2098419290623746e-08	-5.243922954628676e-08	1.4892511711393707e-07
5	8	4.774752151955845e-08	-3.1416844401922699e-07	-5.0050625490406467e-07
6	7	-6.6779768542258924e-08	2.707512833315719e-07	3.8229640060919234e-07
6	8	-1.2873378464420067e-07	-2.0315018434352842e-07	-1.5571252469096568e-07
7	8	2.4137066596681571e-07	-2.0562907263679041e-07	-1.8934017650039186e-07
