RATIONAL_NAGAO_LOCAL_TABLE_V1
F CURVE302_DET1092_MW17 8 12
B D 8
P 149
1 -4 125000004928
1 -8 250000009856
1 -19 593750023407
1 -22 687500027103
1 -16 500000019711
1 -12 375000014783
1 -16 500000019711
1 -16 500000019711
1 -11 343750013551
1 -19 593750023407
1 -1 31250001232
1 -21 656250025871
1 11 -343750013551
1 -12 375000014783
1 -20 625000024639
1 -14 437500017247
1 -12 375000014783
1 -16 500000019711
1 6 -187500007392
1 -22 687500027103
1 -24 750000029567
1 -21 656250025871
1 -24 750000029567
1 -20 625000024639
1 4 -125000004928
1 -22 687500027103
1 -18 562500022175
1 -20 625000024639
1 -11 343750013551
1 -18 562500022175
1 -20 625000024639
1 -24 750000029567
1 -24 750000029567
1 -22 687500027103
1 -16 500000019711
1 -22 687500027103
1 -24 750000029567
1 -18 562500022175
1 -22 687500027103
1 -21 656250025871
1 -16 500000019711
1 -25 781250030799
1 -20 625000024639
1 -19 593750023407
1 -4 125000004928
1 -10 312500012319
1 -21 656250025871
1 -23 718750028335
1 -22 687500027103
1 -20 625000024639
1 -2 62500002464
1 6 -187500007392
1 -16 500000019711
1 -7 218750008624
1 -6 187500007392
1 -22 687500027103
1 -12 375000014783
1 -17 531250020943
0 0 0
1 -20 625000024639
1 -17 531250020943
1 -19 593750023407
1 -5 156250006160
1 -14 437500017247
1 -19 593750023407
1 -16 500000019711
1 -21 656250025871
1 -17 531250020943
1 -16 500000019711
1 -17 531250020943
1 -15 468750018479
1 -22 687500027103
1 10 -312500012319
1 -16 500000019711
1 13 -406250016015
1 -11 343750013551
1 -22 687500027103
1 -5 156250006160
1 -12 375000014783
1 -6 187500007392
1 -20 625000024639
1 -22 687500027103
1 -24 750000029567
1 -20 625000024639
1 2 -62500002464
1 -11 343750013551
1 -19 593750023407
1 -13 406250016015
1 -20 625000024639
1 -14 437500017247
1 -22 687500027103
1 -18 562500022175
1 -19 593750023407
1 -19 593750023407
1 -25 781250030799
1 -6 187500007392
1 -12 375000014783
1 -22 687500027103
1 -18 562500022175
1 -25 781250030799
1 -17 531250020943
1 -22 687500027103
1 -8 250000009856
1 2 -62500002464
1 -12 375000014783
1 -20 625000024639
1 -13 406250016015
1 -23 718750028335
1 6 -187500007392
1 -24 750000029567
0 0 0
1 -7 218750008624
1 15 -468750018479
1 -16 500000019711
1 -11 343750013551
1 -4 125000004928
1 -20 625000024639
1 -21 656250025871
1 -16 500000019711
1 -16 500000019711
1 -20 625000024639
0 0 0
1 -15 468750018479
1 -8 250000009856
1 -17 531250020943
1 -13 406250016015
1 -6 187500007392
1 -20 625000024639
1 -2 62500002464
1 -17 531250020943
1 -25 781250030799
1 -16 500000019711
1 -20 625000024639
1 6 -187500007392
1 -4 125000004928
1 -16 500000019711
1 -15 468750018479
1 -21 656250025871
1 -24 750000029567
1 -16 500000019711
1 9 -281250011087
1 -16 500000019711
1 -14 437500017247
1 -20 625000024639
1 -1 31250001232
1 -20 625000024639
1 -16 500000019711
1 -14 437500017247
1 -16 500000019711
1 -20 625000024639
1 -1 31250001232
P 173
1 -23 685119691754
1 -13 387241564904
1 -19 565968441014
1 -19 565968441014
1 -1 29787812685
1 -13 387241564904
1 -22 655331879069
1 -24 714907504439
1 -18 536180628329
1 -12 357453752219
1 -24 714907504439
1 -14 417029377589
1 -22 655331879069
1 -24 714907504439
1 -16 476605002959
1 6 -178726876110
1 -9 268090314165
0 0 0
1 -22 655331879069
1 -19 565968441014
1 -24 714907504439
1 -25 744695317124
1 -14 417029377589
1 -9 268090314165
1 -26 774483129809
1 -18 536180628329
1 -6 178726876110
1 -21 625544066384
1 -19 565968441014
1 -3 89363438055
1 0 0
1 -14 417029377589
1 -22 655331879069
1 -25 744695317124
1 -6 178726876110
1 -21 625544066384
1 -20 595756253699
1 -20 595756253699
1 -14 417029377589
1 -9 268090314165
1 -18 536180628329
1 -14 417029377589
1 -25 744695317124
1 -21 625544066384
1 6 -178726876110
1 0 0
1 -18 536180628329
1 -17 506392815644
1 -13 387241564904
1 -16 476605002959
1 -12 357453752219
1 -24 714907504439
1 -16 476605002959
1 -8 238302501480
1 -13 387241564904
1 -3 89363438055
1 -21 625544066384
1 -14 417029377589
1 0 0
1 -14 417029377589
1 -24 714907504439
1 -16 476605002959
1 -22 655331879069
1 -19 565968441014
1 -19 565968441014
1 -5 148939063425
1 -18 536180628329
1 -24 714907504439
1 -21 625544066384
1 -24 714907504439
1 -21 625544066384
1 -21 625544066384
1 -20 595756253699
1 -22 655331879069
1 -14 417029377589
1 -21 625544066384
1 -24 714907504439
1 -21 625544066384
1 2 -59575625370
1 -4 119151250740
1 -8 238302501480
1 -16 476605002959
1 -21 625544066384
1 -10 297878126850
1 -11 327665939535
1 -26 774483129809
1 -18 536180628329
1 -14 417029377589
1 -11 327665939535
1 -17 506392815644
1 -25 744695317124
1 -16 476605002959
