parameter,generic_subgroup_rank,best_retained_quotient_rank,full_curve_rank,compatible_cover_count,eligible_degree_one_pairs,rational_degree_one_components_at_parameter_mod_conjugation,pair_relation_rank,native_quotient_upper_bound,co_split_triples,zero_residual_triples,triple_total_intersection_degree_lower_bound
-5195/5602,17,0,UNKNOWN,0,0,0,0,0,0,0,NOT_APPLICABLE
-5284/455,17,2,UNKNOWN,1,0,0,0,1,0,0,NOT_APPLICABLE
-5353/4106,17,0,UNKNOWN,0,0,0,0,0,0,0,NOT_APPLICABLE
-55104/28535,17,0,UNKNOWN,0,0,0,0,0,0,0,NOT_APPLICABLE
-560/1609,17,2,UNKNOWN,0,0,0,0,0,0,0,NOT_APPLICABLE
-5643/6760,17,0,UNKNOWN,1,0,0,0,1,0,0,NOT_APPLICABLE
-585/1223,17,2,UNKNOWN,0,0,0,0,0,0,0,NOT_APPLICABLE
-5877/1690,17,5,UNKNOWN,2,0,0,0,2,0,0,NOT_APPLICABLE
-601/1570,17,1,UNKNOWN,0,0,0,0,0,0,0,NOT_APPLICABLE
-636/3209,17,1,UNKNOWN,0,0,0,0,0,0,0,NOT_APPLICABLE
-639/2575,17,1,UNKNOWN,0,0,0,0,0,0,0,NOT_APPLICABLE
-63985/35256,17,1,UNKNOWN,0,0,0,0,0,0,0,NOT_APPLICABLE
-649/10913,17,0,UNKNOWN,0,0,0,0,0,0,0,NOT_APPLICABLE
-6726/2305,17,1,UNKNOWN,1,0,0,0,1,0,0,NOT_APPLICABLE
-695/97,17,7,UNKNOWN,1,0,0,0,1,0,0,NOT_APPLICABLE
-70/61,17,5,UNKNOWN,13,25,6,5,8,286,0,6
-70665/36751,17,2,UNKNOWN,1,0,0,0,1,0,0,NOT_APPLICABLE
-70688/36829,17,0,UNKNOWN,0,0,0,0,0,0,0,NOT_APPLICABLE
-73681/39130,17,0,UNKNOWN,0,0,0,0,0,0,0,NOT_APPLICABLE
-7540/2317,17,5,UNKNOWN,0,0,0,0,0,0,0,NOT_APPLICABLE
-75641/41314,17,0,UNKNOWN,0,0,0,0,0,0,0,NOT_APPLICABLE
-7634/2859,17,0,UNKNOWN,0,0,0,0,0,0,0,NOT_APPLICABLE
-7726/2611,17,1,UNKNOWN,1,0,0,0,1,0,0,NOT_APPLICABLE
-79649/42198,17,0,UNKNOWN,0,0,0,0,0,0,0,NOT_APPLICABLE
-8382/14489,17,0,UNKNOWN,0,0,0,0,0,0,0,NOT_APPLICABLE
-8387/1750,17,0,UNKNOWN,0,0,0,0,0,0,0,NOT_APPLICABLE
-841/8544,17,0,UNKNOWN,0,0,0,0,0,0,0,NOT_APPLICABLE
-848/9373,17,0,UNKNOWN,0,0,0,0,0,0,0,NOT_APPLICABLE
-8921/2715,17,0,UNKNOWN,0,0,0,0,0,0,0,NOT_APPLICABLE
-894/749,17,3,UNKNOWN,1,0,0,0,1,0,0,NOT_APPLICABLE
-903/470,17,6,UNKNOWN,0,0,0,0,0,0,0,NOT_APPLICABLE
-94057/48789,17,0,UNKNOWN,0,0,0,0,0,0,0,NOT_APPLICABLE
-94199/50700,17,0,UNKNOWN,0,0,0,0,0,0,0,NOT_APPLICABLE
-9529/5471,17,11,UNKNOWN,1,0,0,0,1,0,0,NOT_APPLICABLE
-9795/13063,17,1,UNKNOWN,0,0,0,0,0,0,0,NOT_APPLICABLE
10126/11795,17,0,UNKNOWN,0,0,0,0,0,0,0,NOT_APPLICABLE
10126/15275,17,0,UNKNOWN,0,0,0,0,0,0,0,NOT_APPLICABLE
1101/2566,17,1,UNKNOWN,0,0,0,0,0,0,0,NOT_APPLICABLE
11744/9849,17,0,UNKNOWN,0,0,0,0,0,0,0,NOT_APPLICABLE
11992/8347,17,0,UNKNOWN,0,0,0,0,0,0,0,NOT_APPLICABLE
1207/1194,17,2,UNKNOWN,0,0,0,0,0,0,0,NOT_APPLICABLE
1217/151,17,0,UNKNOWN,0,0,0,0,0,0,0,NOT_APPLICABLE
1229/894,17,6,UNKNOWN,2,1,1,1,1,0,0,NOT_APPLICABLE
12344/8655,17,0,UNKNOWN,0,0,0,0,0,0,0,NOT_APPLICABLE
1263/710,17,2,UNKNOWN,1,0,0,0,1,0,0,NOT_APPLICABLE
129/70,17,6,UNKNOWN,0,0,0,0,0,0,0,NOT_APPLICABLE
1348/1431,17,5,UNKNOWN,1,0,0,0,1,0,0,NOT_APPLICABLE
13591/9675,17,0,UNKNOWN,0,0,0,0,0,0,0,NOT_APPLICABLE
13833/10535,17,0,UNKNOWN,0,0,0,0,0,0,0,NOT_APPLICABLE
13969/15813,17,0,UNKNOWN,0,0,0,0,0,0,0,NOT_APPLICABLE
1452/7817,17,0,UNKNOWN,0,0,0,0,0,0,0,NOT_APPLICABLE
14771/6673,17,0,UNKNOWN,0,0,0,0,0,0,0,NOT_APPLICABLE
14981/15381,17,0,UNKNOWN,0,0,0,0,0,0,0,NOT_APPLICABLE
1501/732,17,3,UNKNOWN,1,0,0,0,1,0,0,NOT_APPLICABLE
1576/2331,17,0,UNKNOWN,0,0,0,0,0,0,0,NOT_APPLICABLE
15850/13287,17,0,UNKNOWN,0,0,0,0,0,0,0,NOT_APPLICABLE
1641/15448,17,0,UNKNOWN,0,0,0,0,0,0,0,NOT_APPLICABLE
1966/3615,17,0,UNKNOWN,0,0,0,0,0,0,0,NOT_APPLICABLE
2051/2045,17,1,UNKNOWN,0,0,0,0,0,0,0,NOT_APPLICABLE
2108/1939,17,0,UNKNOWN,0,0,0,0,0,0,0,NOT_APPLICABLE
2139/3865,17,1,UNKNOWN,0,0,0,0,0,0,0,NOT_APPLICABLE
2263/1084,17,0,UNKNOWN,0,0,0,0,0,0,0,NOT_APPLICABLE
2291/2392,17,6,UNKNOWN,0,0,0,0,0,0,0,NOT_APPLICABLE
2456/135,17,10,UNKNOWN,2,0,0,0,2,0,0,NOT_APPLICABLE
2762/3203,17,2,UNKNOWN,0,0,0,0,0,0,0,NOT_APPLICABLE
2798/7213,17,0,UNKNOWN,0,0,0,0,0,0,0,NOT_APPLICABLE
28/117,17,6,UNKNOWN,11,13,1,1,10,165,0,6
3/8,17,4,UNKNOWN,25,69,7,7,18,2300,0,6
3056/609,17,1,UNKNOWN,0,0,0,0,0,0,0,NOT_APPLICABLE
3243/1708,17,1,UNKNOWN,0,0,0,0,0,0,0,NOT_APPLICABLE
33/119,17,7,UNKNOWN,7,6,0,0,7,35,0,6
3419/3564,17,2,UNKNOWN,1,0,0,0,1,0,0,NOT_APPLICABLE
4120/14827,17,0,UNKNOWN,0,0,0,0,0,0,0,NOT_APPLICABLE
